time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,LU2103,2645,2710,2614,2704,27558.0,734971860.0,2702,2,2704,8,30808.0,2667,2645.0,0.9643974960876368,96
2021-01-05,LU2103,2670,2696,2583,2595,22010.0,579083100.0,2594,1,2606,38,29912.0,2631,2704.0,0.9643974960876368,113
2021-01-06,LU2104,2624,2769,2624,2766,64875.0,1756815000.0,2755,13,2766,127,77310.0,2708,2606.0,0.9603267468716108,145
2021-01-07,LU2104,2750,2778,2694,2751,63726.0,1745455140.0,2750,23,2765,12,84750.0,2739,2766.0,0.9603267468716108,84
2021-01-08,LU2104,2749,2786,2711,2759,56253.0,1546957500.0,2759,4,2761,1,87052.0,2750,2751.0,0.9603267468716108,75
2021-01-11,LU2104,2779,2821,2566,2754,78691.0,2183675250.0,2748,2,2750,13,84980.0,2775,2759.0,0.9603267468716108,255
2021-01-12,LU2104,2763,2864,2744,2855,72783.0,2043018810.0,2854,2,2855,3,89256.0,2807,2754.0,0.9603267468716108,120
2021-01-13,LU2104,2876,2890,2805,2864,56966.0,1625809640.0,2862,1,2864,1,87250.0,2854,2855.0,0.9603267468716108,85
2021-01-14,LU2104,2852,2885,2800,2849,42879.0,1218192390.0,2845,1,2849,2,88656.0,2841,2864.0,0.9603267468716108,85
2021-01-15,LU2104,2842,2918,2814,2842,52545.0,1501210650.0,2839,2,2843,2,90380.0,2857,2849.0,0.9603267468716108,104
2021-01-18,LU2104,2837,2868,2805,2858,48788.0,1387530720.0,2857,6,2864,67,96518.0,2844,2842.0,0.9603267468716108,63
2021-01-19,LU2104,2852,2905,2831,2845,42155.0,1205633000.0,2844,3,2851,3,97700.0,2860,2858.0,0.9603267468716108,74
2021-01-20,LU2104,2841,2928,2838,2913,52983.0,1529619210.0,2912,4,2913,3,104483.0,2887,2845.0,0.9603267468716108,90
2021-01-21,LU2104,2915,2922,2830,2849,44789.0,1281861180.0,2842,1,2850,25,101444.0,2862,2913.0,0.9603267468716108,92
2021-01-22,LU2104,2839,2862,2789,2804,51115.0,1441954150.0,2801,1,2804,4,99065.0,2821,2849.0,0.9603267468716108,73
2021-01-25,LU2104,2778,2818,2745,2790,42849.0,1194630120.0,2790,11,2792,2,95903.0,2788,2804.0,0.9603267468716108,73
2021-01-26,LU2104,2800,2841,2776,2804,39272.0,1102757760.0,2801,3,2807,1,91207.0,2808,2790.0,0.9603267468716108,65
2021-01-27,LU2104,2823,2865,2806,2851,28557.0,808734240.0,2851,8,2864,4,87698.0,2832,2804.0,0.9603267468716108,59
2021-01-28,LU2104,2844,2846,2790,2818,36927.0,1040602860.0,2817,6,2820,10,79136.0,2818,2851.0,0.9603267468716108,56
2021-01-29,LU2104,2824,2877,2786,2798,60896.0,1718485120.0,2796,1,2800,4,53309.0,2822,2818.0,0.9603267468716108,91
2021-02-01,LU2104,2813,2849,2770,2834,46099.0,1297225860.0,2825,29,2828,1,42391.0,2814,2798.0,0.9603267468716108,79
2021-02-02,LU2104,2842,2942,2826,2942,32810.0,950177600.0,2934,1,2942,9,42440.0,2896,2834.0,0.9603267468716108,116
2021-02-03,LU2105,2977,2990,2932,2952,42255.0,1249057800.0,2952,13,2954,1,101795.0,2956,2939.0,0.961307005544838,58
2021-02-04,LU2105,2953,3009,2943,2974,53721.0,1597662540.0,2974,36,2981,3,104762.0,2974,2952.0,0.961307005544838,66
2021-02-05,LU2105,2966,3038,2966,3025,52379.0,1576084110.0,3024,5,3033,4,109844.0,3009,2974.0,0.961307005544838,72
2021-02-08,LU2105,3040,3087,3030,3045,60548.0,1849135920.0,3044,8,3047,23,112062.0,3054,3025.0,0.961307005544838,57
2021-02-09,LU2105,3056,3148,3054,3120,55596.0,1728479640.0,3120,8,3121,11,104976.0,3109,3045.0,0.961307005544838,94
2021-02-10,LU2105,3107,3117,3033,3055,45068.0,1384939640.0,3052,1,3069,10,98700.0,3073,3120.0,0.961307005544838,84
