time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,M2105,3477,3544,3458,3483,1236212.0,43230333640.0,3482,1244,3483,619,1669465.0,3497,3479.0,1.8779272789900388,86
2021-01-05,M2105,3485,3505,3429,3483,1409491.0,48881147880.0,3483,269,3484,17,1658509.0,3468,3483.0,1.8779272789900388,76
2021-01-06,M2105,3486,3550,3475,3535,1499101.0,52678409140.0,3534,103,3536,149,1705283.0,3514,3483.0,1.8779272789900388,75
2021-01-07,M2105,3548,3559,3496,3517,1214440.0,42772576800.0,3517,98,3518,1222,1682718.0,3522,3535.0,1.8779272789900388,63
2021-01-08,M2105,3510,3545,3480,3536,1406258.0,49345593220.0,3535,104,3536,14,1696313.0,3509,3517.0,1.8779272789900388,65
2021-01-11,M2105,3548,3657,3523,3619,2091759.0,75052312920.0,3618,155,3619,311,1720950.0,3588,3536.0,1.8779272789900388,134
2021-01-12,M2105,3628,3653,3595,3635,1620923.0,58774667980.0,3635,585,3636,620,1758261.0,3626,3619.0,1.8779272789900388,58
2021-01-13,M2105,3645,3825,3630,3775,2110513.0,78722134900.0,3775,388,3776,138,1787399.0,3730,3635.0,1.8779272789900388,195
2021-01-14,M2105,3767,3773,3711,3736,1531539.0,57218297040.0,3736,46,3737,506,1747883.0,3736,3775.0,1.8779272789900388,62
2021-01-15,M2105,3749,3785,3702,3717,1435325.0,53623742000.0,3716,23,3719,189,1710357.0,3736,3736.0,1.8779272789900388,83
2021-01-18,M2105,3732,3738,3652,3677,1467855.0,54163849500.0,3676,28,3677,15,1646177.0,3690,3717.0,1.8779272789900388,86
2021-01-19,M2105,3677,3712,3639,3665,1259068.0,46220386280.0,3664,23,3665,70,1621366.0,3671,3677.0,1.8779272789900388,73
2021-01-20,M2105,3680,3680,3501,3534,2343092.0,83531229800.0,3533,66,3534,78,1544206.0,3565,3665.0,1.8779272789900388,179
2021-01-21,M2105,3532,3582,3515,3571,1226411.0,43562118720.0,3571,33,3572,120,1563855.0,3552,3534.0,1.8779272789900388,67
2021-01-22,M2105,3583,3588,3464,3481,1749260.0,61521474200.0,3480,455,3481,64,1499347.0,3517,3571.0,1.8779272789900388,124
2021-01-25,M2105,3455,3533,3393,3423,1864471.0,64231025950.0,3422,68,3423,12,1461306.0,3445,3481.0,1.8779272789900388,140
2021-01-26,M2105,3418,3486,3416,3432,1224106.0,42194933820.0,3433,2,3434,6,1453658.0,3447,3423.0,1.8779272789900388,70
2021-01-27,M2105,3460,3546,3449,3518,1579393.0,55247167140.0,3518,217,3519,63,1457266.0,3498,3432.0,1.8779272789900388,97
2021-01-28,M2105,3521,3528,3465,3483,1187400.0,41535252000.0,3482,124,3483,160,1444940.0,3498,3518.0,1.8779272789900388,63
2021-01-29,M2105,3520,3520,3404,3484,1291991.0,44909607160.0,3484,4,3485,1,1413263.0,3476,3483.0,1.8779272789900388,116
2021-02-01,M2105,3478,3518,3425,3485,1311557.0,45576605750.0,3484,508,3485,617,1386514.0,3475,3484.0,1.8779272789900388,93
2021-02-02,M2105,3484,3484,3415,3418,1189886.0,41015370420.0,3417,345,3418,482,1401930.0,3447,3485.0,1.8779272789900388,69
2021-02-03,M2105,3405,3419,3364,3410,1373970.0,46508884500.0,3410,281,3411,538,1358059.0,3385,3418.0,1.8779272789900388,55
2021-02-04,M2105,3410,3489,3396,3482,1183489.0,40794865830.0,3481,141,3482,5,1345029.0,3447,3410.0,1.8779272789900388,93
