time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,MA2105,2392,2418,2367,2405,1057338.0,25291524960.0,2405,958,2406,18,934658.0,2392,2397.0,0.7995799972251856,51
2021-01-05,MA2105,2392,2425,2387,2416,1222454.0,29448916860.0,2416,1459,2417,949,889468.0,2409,2405.0,0.7995799972251856,38
2021-01-06,MA2105,2426,2436,2371,2386,1339162.0,32260412580.0,2385,291,2386,12,987317.0,2409,2416.0,0.7995799972251856,65
2021-01-07,MA2105,2386,2392,2335,2380,1461009.0,34640523390.0,2379,449,2380,183,939591.0,2371,2386.0,0.7995799972251856,57
2021-01-08,MA2105,2376,2385,2293,2317,1568935.0,36760147050.0,2316,1207,2317,31,1068336.0,2343,2380.0,0.7995799972251856,92
2021-01-11,MA2105,2327,2369,2318,2327,1612697.0,37817744650.0,2327,8,2328,5,1028335.0,2345,2317.0,0.7995799972251856,51
2021-01-12,MA2105,2329,2352,2266,2342,1653110.0,38302558700.0,2341,103,2342,588,1062972.0,2317,2327.0,0.7995799972251856,86
2021-01-13,MA2105,2353,2384,2322,2362,1504293.0,35380971360.0,2362,13,2363,265,1004703.0,2352,2342.0,0.7995799972251856,62
2021-01-14,MA2105,2361,2367,2306,2318,1297929.0,30332600730.0,2317,373,2318,323,1006711.0,2337,2362.0,0.7995799972251856,61
2021-01-15,MA2105,2313,2344,2280,2303,1653957.0,38305644120.0,2302,316,2303,260,1116495.0,2316,2318.0,0.7995799972251856,64
2021-01-18,MA2105,2303,2345,2287,2341,1230802.0,28517682340.0,2341,8,2342,67,1056936.0,2317,2303.0,0.7995799972251856,58
2021-01-19,MA2105,2341,2350,2302,2315,1281289.0,29841220810.0,2315,45,2316,1017,1046484.0,2329,2341.0,0.7995799972251856,48
2021-01-20,MA2105,2309,2317,2260,2263,1504778.0,34504559540.0,2263,315,2264,117,1148081.0,2293,2315.0,0.7995799972251856,57
2021-01-21,MA2105,2265,2328,2257,2318,1443003.0,33116918850.0,2317,794,2318,1125,1081298.0,2295,2263.0,0.7995799972251856,71
2021-01-22,MA2105,2319,2344,2311,2338,1453034.0,33797570840.0,2337,1761,2338,69,1105460.0,2326,2318.0,0.7995799972251856,33
2021-01-25,MA2105,2327,2340,2273,2280,1635375.0,37744455000.0,2279,38,2280,140,1079170.0,2308,2338.0,0.7995799972251856,67
2021-01-26,MA2105,2280,2293,2236,2239,1347347.0,30625197310.0,2239,51,2240,33,1051873.0,2273,2280.0,0.7995799972251856,57
2021-01-27,MA2105,2239,2259,2235,2258,875329.0,19677395920.0,2257,3282,2258,1606,982434.0,2248,2239.0,0.7995799972251856,24
2021-01-28,MA2105,2252,2269,2226,2259,1166014.0,26223654860.0,2258,1020,2259,2711,1044061.0,2249,2258.0,0.7995799972251856,43
2021-01-29,MA2105,2260,2317,2253,2297,1513273.0,34578288050.0,2297,12,2298,782,989481.0,2285,2259.0,0.7995799972251856,64
2021-02-01,MA2105,2306,2329,2290,2297,1054000.0,24326320000.0,2297,113,2298,62,879969.0,2308,2297.0,0.7995799972251856,39
2021-02-02,MA2105,2294,2310,2253,2275,1190667.0,27194834280.0,2274,188,2275,54,997208.0,2284,2297.0,0.7995799972251856,57
2021-02-03,MA2105,2280,2281,2230,2267,1198678.0,27066149240.0,2266,221,2267,201,958930.0,2258,2275.0,0.7995799972251856,51
2021-02-04,MA2105,2277,2321,2269,2319,1309000.0,30028460000.0,2319,40,2320,470,938222.0,2294,2267.0,0.7995799972251856,52
2021-02-05,MA2105,2321,2338,2306,2328,1031285.0,23967063400.0,2328,832,2329,737,887644.0,2324,2319.0,0.7995799972251856,32
2021-02-08,MA2105,2330,2359,2312,2320,979195.0,22844619350.0,2319,447,2320,9,942671.0,2333,2328.0,0.7995799972251856,47
2021-02-09,MA2105,2320,2339,2301,2326,770012.0,17864278400.0,2326,170,2327,67,809468.0,2320,2320.0,0.7995799972251856,38
2021-02-10,MA2105,2322,2331,2248,2248,934661.0,21300924190.0,2248,190,2249,226,826607.0,2279,2326.0,0.7995799972251856,83
2021-02-18,MA2105,2305,2360,2292,2356,844737.0,19707714210.0,2355,305,2356,58,805648.0,2333,2248.0,0.7995799972251856,68
2021-02-19,MA2105,2360,2413,2343,2387,1382750.0,32854140000.0,2386,328,2387,21,1027917.0,2376,2356.0,0.7995799972251856,70
2021-02-22,MA2105,2387,2462,2369,2435,1282483.0,31087387920.0,2434,165,2435,29,991582.0,2424,2387.0,0.7995799972251856,93
2021-02-23,MA2105,2435,2485,2408,2450,1635519.0,39939373980.0,2450,360,2451,403,1077318.0,2442,2435.0,0.7995799972251856,77
