time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,NI2103,123500,128950,123260,128210,546456.0,69301549920.0,128210,47,128250,4,167792.0,126820,123580.0,0.921031260268721,5690
2021-01-05,NI2103,128260,130250,128020,129580,846858.0,109219276260.0,129580,7,129610,1,175333.0,128970,128210.0,0.921031260268721,2230
2021-01-06,NI2103,129480,130740,128220,129470,776117.0,100522673840.0,129470,1,129480,3,170286.0,129520,129580.0,0.921031260268721,2520
2021-01-07,NI2103,130230,133950,129160,133270,996704.0,130966905600.0,133270,7,133290,3,193751.0,131400,129470.0,0.921031260268721,4790
2021-01-08,NI2103,132350,134490,130930,132490,931869.0,123761521890.0,132490,43,132500,107,184217.0,132810,133270.0,0.921031260268721,3560
2021-01-11,NI2103,132400,132870,126800,127490,1058810.0,137666476200.0,127430,3,127490,3,170195.0,130020,132490.0,0.921031260268721,6070
2021-01-12,NI2103,127060,130240,125700,129920,924052.0,117520933360.0,129900,16,129920,78,168529.0,127180,127490.0,0.921031260268721,4540
2021-01-13,NI2103,130040,131650,129290,131180,937328.0,122199451360.0,131130,3,131180,11,182424.0,130370,129920.0,0.921031260268721,2360
2021-01-14,NI2103,130800,132260,129000,132150,961456.0,125787288480.0,132110,8,132150,20,198042.0,130830,131180.0,0.921031260268721,3260
2021-01-15,NI2103,132660,136500,132000,132390,926750.0,124425455000.0,132390,190,132440,9,201567.0,134260,132150.0,0.921031260268721,4500
2021-01-18,NI2103,132660,135180,131700,134930,614432.0,81842342400.0,134910,7,134920,1,198598.0,133200,132390.0,0.921031260268721,3480
2021-01-19,NI2103,134550,134750,132660,133460,443753.0,59387463990.0,133440,1,133460,6,187656.0,133830,134930.0,0.921031260268721,2090
2021-01-20,NI2103,133700,136700,133200,134020,581785.0,78424618000.0,134020,25,134050,108,189776.0,134800,133460.0,0.921031260268721,3500
2021-01-21,NI2103,133690,136880,133000,135690,496772.0,67019510520.0,135680,14,135700,4,202159.0,134910,134020.0,0.921031260268721,3880
2021-01-22,NI2103,135810,136370,132800,133380,507231.0,68344304940.0,133260,80,133380,1,178368.0,134740,135690.0,0.921031260268721,3570
2021-01-25,NI2103,132540,137280,132080,135930,538874.0,72661770160.0,135910,29,135930,12,179803.0,134840,133380.0,0.921031260268721,5200
2021-01-26,NI2103,135690,136260,133900,134000,398765.0,54016706900.0,133970,1,134000,2,154452.0,135460,135930.0,0.921031260268721,2360
2021-01-27,NI2103,134770,134950,133230,133710,337839.0,45290696340.0,133700,5,133710,12,131543.0,134060,134000.0,0.921031260268721,1720
2021-01-28,NI2103,132980,132980,130710,131270,342951.0,45197512290.0,131270,2,131290,17,109970.0,131790,133710.0,0.921031260268721,2270
