time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,P2105,6980,7112,6958,7026,498302.0,35150223080.0,7022,54,7026,74,334448.0,7054,6938.0,0.6198634335680162,154
2021-01-05,P2105,7052,7092,6940,7024,526478.0,36948226040.0,7022,17,7024,14,333437.0,7018,7026.0,0.6198634335680162,152
2021-01-06,P2105,7088,7250,7042,7238,733666.0,52398425720.0,7236,43,7238,76,379117.0,7142,7024.0,0.6198634335680162,208
2021-01-07,P2105,7266,7328,7238,7296,692610.0,50435860200.0,7296,48,7298,13,374020.0,7282,7238.0,0.6198634335680162,90
2021-01-08,P2105,7250,7298,7172,7246,581116.0,42061176080.0,7244,23,7246,171,355266.0,7238,7296.0,0.6198634335680162,126
2021-01-11,P2105,7256,7356,7092,7120,908187.0,65625592620.0,7118,112,7120,13,339244.0,7226,7246.0,0.6198634335680162,264
2021-01-12,P2105,7144,7154,6954,7106,648291.0,45847139520.0,7104,27,7108,4,338535.0,7072,7120.0,0.6198634335680162,200
2021-01-13,P2105,7012,7150,6966,7046,704351.0,49670832520.0,7046,222,7048,36,348118.0,7052,7106.0,0.6198634335680162,184
2021-01-14,P2105,7046,7048,6790,6794,736457.0,50844991280.0,6792,188,6800,38,345267.0,6904,7046.0,0.6198634335680162,258
2021-01-15,P2105,6760,6924,6616,6646,859909.0,58095452040.0,6646,38,6648,3,342014.0,6756,6794.0,0.6198634335680162,308
2021-01-18,P2105,6628,6768,6572,6724,673089.0,44948883420.0,6724,81,6726,4,337856.0,6678,6646.0,0.6198634335680162,196
2021-01-19,P2105,6748,6758,6600,6676,601159.0,40121351660.0,6676,18,6678,40,350519.0,6674,6724.0,0.6198634335680162,158
2021-01-20,P2105,6646,6696,6468,6528,825468.0,54299285040.0,6526,53,6530,73,368482.0,6578,6676.0,0.6198634335680162,228
2021-01-21,P2105,6528,6622,6496,6584,549629.0,36066654980.0,6580,259,6586,6,369223.0,6562,6528.0,0.6198634335680162,126
2021-01-22,P2105,6618,6652,6444,6468,644837.0,42107856100.0,6468,50,6470,1,384782.0,6530,6584.0,0.6198634335680162,208
2021-01-25,P2105,6490,6584,6390,6554,790798.0,51338606160.0,6554,4,6556,57,383297.0,6492,6468.0,0.6198634335680162,194
2021-01-26,P2105,6494,6656,6482,6516,739447.0,48507723200.0,6516,34,6518,98,386477.0,6560,6554.0,0.6198634335680162,174
2021-01-27,P2105,6586,6756,6560,6742,739667.0,49394962260.0,6742,46,6744,2,403529.0,6678,6516.0,0.6198634335680162,196
