time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,PB2102,14745,15140,14660,15045,44892.0,3350065500.0,15045,9,15050,6,29719.0,14925,14625.0,1.2278547503529305,480
2021-01-05,PB2102,15140,15185,14865,15010,62794.0,4718969100.0,14970,8,15010,51,27749.0,15030,15045.0,1.2278547503529305,320
2021-01-06,PB2102,15050,15165,14940,15035,55399.0,4163234850.0,15035,2,15040,79,27191.0,15030,15010.0,1.2278547503529305,225
2021-01-07,PB2102,15050,15230,14725,15230,62558.0,4698105800.0,15230,2,15235,40,27527.0,15020,15035.0,1.2278547503529305,505
2021-01-08,PB2102,15060,15230,14815,14950,51398.0,3865129600.0,14960,1,14965,32,28444.0,15040,15230.0,1.2278547503529305,415
2021-01-11,PB2102,14800,14880,14350,14470,60013.0,4386950300.0,14460,1,14475,9,29549.0,14620,14950.0,1.2278547503529305,530
2021-01-12,PB2102,14595,14625,14380,14505,49448.0,3583743800.0,14500,30,14505,2,26662.0,14495,14470.0,1.2278547503529305,245
2021-01-13,PB2102,14505,14800,14390,14795,42169.0,3079391225.0,14785,1,14790,1,21995.0,14605,14505.0,1.2278547503529305,410
2021-01-14,PB2102,14805,14980,14745,14910,39014.0,2898740200.0,14910,6,14920,5,17412.0,14860,14795.0,1.2278547503529305,235
2021-01-15,PB2102,14970,15110,14825,14905,25961.0,1942531825.0,14905,6,14940,1,14988.0,14965,14910.0,1.2278547503529305,285
2021-01-18,PB2103,14870,15115,14845,14985,62036.0,4652700000.0,14985,47,14990,23,34453.0,15000,14905.0,1.2278547503529305,270
2021-01-19,PB2103,14980,15045,14740,14785,46558.0,3467407050.0,14780,255,14795,7,35894.0,14895,14985.0,1.2278547503529305,305
2021-01-20,PB2103,14820,15150,14815,15130,55717.0,4185739625.0,15130,4,15135,11,38274.0,15025,14785.0,1.2278547503529305,335
2021-01-21,PB2103,15140,15280,15085,15190,54921.0,4169876925.0,15170,6,15190,27,39396.0,15185,15130.0,1.2278547503529305,195
2021-01-22,PB2103,15295,15320,14970,15085,58394.0,4413126550.0,15075,10,15085,2,37515.0,15115,15190.0,1.2278547503529305,350
2021-01-25,PB2103,15100,15635,15020,15555,91876.0,7072155100.0,15550,10,15555,7,48026.0,15395,15085.0,1.2278547503529305,615
2021-01-26,PB2103,15495,15665,15315,15430,66890.0,5172269250.0,15410,4,15440,6,45623.0,15465,15555.0,1.2278547503529305,350
2021-01-27,PB2103,15480,15765,15320,15420,87013.0,6754384125.0,15410,10,15415,12,45049.0,15525,15430.0,1.2278547503529305,445
2021-01-28,PB2103,15305,15500,15235,15380,68911.0,5294087575.0,15380,18,15390,8,41493.0,15365,15420.0,1.2278547503529305,265
2021-01-29,PB2103,15355,15510,15085,15110,74928.0,5730118800.0,15110,21,15115,5,39102.0,15295,15380.0,1.2278547503529305,425
2021-02-01,PB2103,15280,15320,14995,15070,64253.0,4859133125.0,15070,4,15075,24,37271.0,15125,15110.0,1.2278547503529305,325
2021-02-02,PB2103,15035,15130,14880,14910,57942.0,4341304350.0,14905,3,14940,1,35314.0,14985,15070.0,1.2278547503529305,250
2021-02-03,PB2103,15070,15085,14760,14765,56796.0,4246920900.0,14770,1,14785,6,35247.0,14955,14910.0,1.2278547503529305,325
2021-02-04,PB2103,14840,15070,14820,15020,44041.0,3297569875.0,15020,10,15030,8,32072.0,14975,14765.0,1.2278547503529305,250
2021-02-05,PB2103,14900,15300,14890,15275,43974.0,3333229200.0,15275,4,15280,241,30015.0,15160,15020.0,1.2278547503529305,410
2021-02-08,PB2103,15250,15250,15040,15145,43493.0,3285896150.0,15145,16,15150,39,27980.0,15110,15275.0,1.2278547503529305,210
2021-02-09,PB2103,15135,15380,15115,15190,41557.0,3169760175.0,15190,1,15195,5,26626.0,15255,15145.0,1.2278547503529305,265
2021-02-10,PB2103,15245,15520,15025,15430,68408.0,5234922200.0,15385,9,15430,2,27995.0,15305,15190.0,1.2278547503529305,495
2021-02-18,PB2103,15370,15625,15270,15560,30428.0,2355887900.0,15555,3,15565,14,27688.0,15485,15430.0,1.2278547503529305,355
2021-02-19,PB2103,15640,15670,15245,15570,59999.0,4645422575.0,15560,7,15565,1,26582.0,15485,15560.0,1.2278547503529305,425
2021-02-22,PB2103,15700,15955,15450,15810,56145.0,4415804250.0,15810,3,15815,2,25021.0,15730,15570.0,1.2278547503529305,505
2021-02-23,PB2104,15815,16120,15625,15880,95751.0,7607416950.0,15875,1,15880,9,35485.0,15890,15840.0,1.225529267871201,495
2021-02-24,PB2104,15840,15865,15510,15595,72961.0,5729262525.0,15595,5,15605,4,40153.0,15705,15880.0,1.225529267871201,355
2021-02-25,PB2104,15665,16145,15630,15775,103214.0,8195191600.0,15780,4,15785,12,44498.0,15880,15595.0,1.225529267871201,515
2021-02-26,PB2104,15930,15965,15510,15595,87918.0,6912552750.0,15595,32,15600,8,43560.0,15725,15775.0,1.225529267871201,455
2021-03-01,PB2104,15550,15635,15250,15330,85766.0,6601837850.0,15330,77,15335,9,43713.0,15395,15595.0,1.225529267871201,385
2021-03-02,PB2104,15325,15435,15155,15360,64612.0,4942818000.0,15350,1,15360,12,41172.0,15300,15330.0,1.225529267871201,280
2021-03-03,PB2104,15395,15475,15260,15355,59545.0,4580499125.0,15340,11,15350,1,39800.0,15385,15360.0,1.225529267871201,215
2021-03-04,PB2104,15295,15540,15050,15105,82133.0,6274961200.0,15105,8,15120,15,36942.0,15280,15355.0,1.225529267871201,490
2021-03-05,PB2104,15160,15335,14850,15080,80888.0,6086822000.0,15080,9,15085,4,33690.0,15050,15105.0,1.225529267871201,485
2021-03-08,PB2104,15085,15085,14790,14825,85341.0,6355770975.0,14820,63,14825,1,40399.0,14895,15080.0,1.225529267871201,295
2021-03-09,PB2104,14950,15040,14755,14880,61588.0,4588306000.0,14860,6,14895,1,36689.0,14900,14825.0,1.225529267871201,285
2021-03-10,PB2104,14915,14920,14610,14635,64117.0,4719011200.0,14635,2,14650,1,38007.0,14720,14880.0,1.225529267871201,310
2021-03-11,PB2104,14650,15010,14600,14900,54431.0,4018368575.0,14885,4,14900,10,33814.0,14765,14635.0,1.225529267871201,410
2021-03-12,PB2104,14715,14945,14650,14855,52856.0,3903415600.0,14835,2,14845,2,36171.0,14770,14900.0,1.225529267871201,295
