time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,PG2102,3866,3929,3827,3895,65790.0,5107935600.0,3888,8,3893,3,36948.0,3882,3776.0,0.9730775586869048,102
2021-01-05,PG2102,3895,3954,3886,3945,62506.0,4909221240.0,3940,3,3945,17,34371.0,3927,3895.0,0.9730775586869048,68
2021-01-06,PG2102,3960,4009,3922,3948,55820.0,4417594800.0,3948,23,3949,2,35834.0,3957,3945.0,0.9730775586869048,87
2021-01-07,PG2102,3945,4029,3933,3953,80727.0,6414567420.0,3953,1,3954,1,35408.0,3973,3948.0,0.9730775586869048,96
2021-01-08,PG2102,3960,3973,3830,3942,100105.0,7838221500.0,3941,6,3943,11,32483.0,3915,3953.0,0.9730775586869048,143
2021-01-11,PG2102,3952,3965,3844,3857,58501.0,4549037760.0,3857,19,3859,2,33099.0,3888,3942.0,0.9730775586869048,121
2021-01-12,PG2102,3850,3914,3786,3904,65559.0,5067710700.0,3902,4,3904,1,29720.0,3865,3857.0,0.9730775586869048,128
2021-01-13,PG2102,3920,3988,3882,3966,72377.0,5685937120.0,3966,2,3975,4,28251.0,3928,3904.0,0.9730775586869048,106
2021-01-14,PG2102,3966,4069,3911,3988,107405.0,8566622800.0,3988,4,3989,2,23703.0,3988,3966.0,0.9730775586869048,158
2021-01-15,PG2102,3973,4021,3891,3896,77478.0,6165699240.0,3895,2,3896,20,23197.0,3979,3988.0,0.9730775586869048,130
2021-01-18,PG2102,3903,3907,3748,3774,87510.0,6675262800.0,3771,8,3774,6,25970.0,3814,3896.0,0.9730775586869048,159
2021-01-19,PG2102,3780,3815,3750,3798,52376.0,3961720640.0,3797,30,3799,2,23487.0,3782,3774.0,0.9730775586869048,65
2021-01-20,PG2102,3820,3821,3661,3661,71218.0,5335652560.0,3661,17,3669,3,22429.0,3746,3798.0,0.9730775586869048,160
2021-01-21,PG2102,3650,3759,3632,3672,55051.0,4085885220.0,3672,3,3677,2,20747.0,3711,3661.0,0.9730775586869048,127
2021-01-22,PG2102,3679,3708,3587,3658,48817.0,3556806620.0,3658,1,3659,8,19501.0,3643,3672.0,0.9730775586869048,121
2021-01-25,PG2103,3450,3494,3413,3432,78777.0,5440339620.0,3431,23,3432,4,41913.0,3453,3490.0,1.019919114520544,81
2021-01-26,PG2103,3430,3455,3331,3336,99325.0,6742181000.0,3336,43,3337,14,54996.0,3394,3432.0,1.019919114520544,124
2021-01-27,PG2103,3350,3434,3336,3402,95684.0,6475893120.0,3402,1,3404,2,52457.0,3384,3336.0,1.019919114520544,98
2021-01-28,PG2103,3400,3402,3275,3299,138001.0,9152226320.0,3299,1,3300,3,60742.0,3316,3402.0,1.019919114520544,127
2021-01-29,PG2103,3302,3342,3253,3301,124355.0,8202455800.0,3301,8,3302,26,58447.0,3298,3299.0,1.019919114520544,89
2021-02-01,PG2103,3303,3445,3303,3425,125809.0,8544947280.0,3425,137,3426,2,44759.0,3396,3301.0,1.019919114520544,142
2021-02-02,PG2103,3449,3473,3358,3397,102082.0,6982408800.0,3397,1,3398,17,47536.0,3420,3425.0,1.019919114520544,115
2021-02-03,PG2103,3406,3429,3327,3367,69185.0,4682440800.0,3369,1,3370,79,47142.0,3384,3397.0,1.019919114520544,102
2021-02-04,PG2103,3379,3443,3320,3429,79816.0,5387580000.0,3429,43,3430,64,41907.0,3375,3367.0,1.019919114520544,123
2021-02-05,PG2103,3425,3496,3422,3480,101991.0,7049617920.0,3480,25,3481,7,36625.0,3456,3429.0,1.019919114520544,74
2021-02-08,PG2103,3480,3547,3441,3488,72684.0,5077704240.0,3488,10,3489,26,31777.0,3493,3480.0,1.019919114520544,106
2021-02-09,PG2103,3490,3544,3451,3510,66696.0,4664718240.0,3504,4,3510,4,27718.0,3497,3488.0,1.019919114520544,93
2021-02-10,PG2103,3500,3500,3259,3264,145641.0,9714254700.0,3264,10,3265,1,36157.0,3335,3510.0,1.019919114520544,241
2021-02-18,PG2103,3350,3377,3289,3314,47116.0,3134156320.0,3313,12,3314,9,37974.0,3326,3264.0,1.019919114520544,88
2021-02-19,PG2103,3325,3449,3301,3426,110117.0,7446111540.0,3424,1,3426,5,29258.0,3381,3314.0,1.019919114520544,148
2021-02-22,PG2103,3429,3494,3381,3468,66171.0,4552564800.0,3465,4,3470,56,24227.0,3440,3426.0,1.019919114520544,113
2021-02-23,PG2103,3440,3515,3421,3506,55583.0,3861906840.0,3505,6,3506,1,17665.0,3474,3468.0,1.019919114520544,94
2021-02-24,PG2104,3930,4082,3913,4010,144890.0,11599893400.0,4009,6,4010,6,38300.0,4003,3927.0,0.9105771366205824,169
2021-02-25,PG2104,4030,4150,3978,4071,129737.0,10555402320.0,4071,1,4072,6,36520.0,4068,4010.0,0.9105771366205824,172
2021-02-26,PG2104,4071,4092,3964,4042,146496.0,11766558720.0,4040,6,4042,27,31220.0,4016,4071.0,0.9105771366205824,128
2021-03-01,PG2104,4012,4109,3915,4071,92906.0,7451061200.0,4070,1,4073,34,26787.0,4010,4042.0,0.9105771366205824,194
2021-03-02,PG2104,4071,4087,3856,3928,87512.0,6899446080.0,3924,1,3928,14,24014.0,3942,4071.0,0.9105771366205824,231
2021-03-03,PG2104,3948,4008,3928,3988,57936.0,4597800960.0,3987,9,3988,1,24651.0,3968,3928.0,0.9105771366205824,80
2021-03-04,PG2104,3990,4033,3872,3882,79861.0,6321796760.0,3881,6,3882,2,25016.0,3958,3988.0,0.9105771366205824,161
2021-03-05,PG2104,3870,4009,3852,3985,79601.0,6272558800.0,3981,4,3982,4,24910.0,3940,3882.0,0.9105771366205824,157
2021-03-08,PG2104,3998,4116,3893,3908,98490.0,7906777200.0,3905,15,3908,8,26341.0,4014,3985.0,0.9105771366205824,223
2021-03-09,PG2104,3876,3939,3804,3883,82848.0,6435632640.0,3883,15,3890,2,25613.0,3884,3908.0,0.9105771366205824,135
2021-03-10,PG2104,3913,3975,3878,3934,78641.0,6176464140.0,3933,1,3936,1,23556.0,3927,3883.0,0.9105771366205824,97
2021-03-11,PG2104,3952,4050,3934,4044,72496.0,5788080640.0,4043,6,4044,17,25509.0,3992,3934.0,0.9105771366205824,116
2021-03-12,PG2104,4056,4060,3970,4030,67418.0,5408271960.0,4025,6,4030,2,25039.0,4011,4044.0,0.9105771366205824,90
2021-03-15,PG2104,4030,4185,3992,4017,102270.0,8322732600.0,4013,2,4017,3,21658.0,4069,4030.0,0.9105771366205824,193
2021-03-16,PG2104,3995,4070,3971,4040,44693.0,3601361940.0,4039,1,4040,6,19985.0,4029,4017.0,0.9105771366205824,99
2021-03-17,PG2104,4050,4085,4004,4022,43435.0,3511285400.0,4022,48,4025,1,18220.0,4042,4040.0,0.9105771366205824,81
2021-03-18,PG2104,3998,4096,3993,4064,41356.0,3353971600.0,4064,8,4065,8,18418.0,4055,4022.0,0.9105771366205824,103
2021-03-19,PG2104,4075,4075,3956,4009,59711.0,4801958620.0,4009,83,4013,14,14223.0,4021,4064.0,0.9105771366205824,119
2021-03-22,PG2104,3989,4080,3955,4077,38189.0,3063521580.0,4075,3,4078,2,13747.0,4011,4009.0,0.9105771366205824,125
2021-03-23,PG2104,4065,4096,4010,4019,26135.0,2116412300.0,4018,1,4019,3,10923.0,4049,4077.0,0.9105771366205824,86
2021-03-24,PG2105,3880,3920,3750,3764,79427.0,6079342580.0,3764,2,3766,3,31217.0,3827,3920.0,0.9335738551219694,170
2021-03-25,PG2105,3770,3888,3760,3867,74076.0,5691999840.0,3867,12,3868,1,30628.0,3842,3764.0,0.9335738551219694,128
2021-03-26,PG2105,3862,3863,3783,3823,47463.0,3620477640.0,3821,2,3823,10,30023.0,3814,3867.0,0.9335738551219694,80
2021-03-29,PG2105,3823,3920,3718,3749,95207.0,7277623080.0,3748,4,3749,23,32897.0,3822,3823.0,0.9335738551219694,202
2021-03-30,PG2105,3767,3845,3750,3838,54659.0,4146431740.0,3838,1,3839,13,32153.0,3793,3749.0,0.9335738551219694,95
2021-03-31,PG2105,3829,3909,3814,3887,59184.0,4574923200.0,3886,2,3888,26,33881.0,3865,3838.0,0.9335738551219694,95
2021-04-01,PG2105,3887,3914,3770,3782,83069.0,6383021960.0,3780,17,3782,2,24450.0,3842,3887.0,0.9335738551219694,144
2021-04-02,PG2105,3761,3800,3750,3779,53899.0,4070452480.0,3779,26,3782,23,25906.0,3776,3782.0,0.9335738551219694,50
2021-04-06,PG2105,3752,3795,3684,3785,60584.0,4529259840.0,3783,4,3788,1,26244.0,3738,3779.0,0.9335738551219694,111
2021-04-07,PG2105,3788,3835,3745,3822,56271.0,4265341800.0,3821,3,3823,18,24233.0,3790,3785.0,0.9335738551219694,90
2021-04-08,PG2105,3826,3875,3792,3821,71358.0,5470304280.0,3821,4,3822,1,20369.0,3833,3822.0,0.9335738551219694,83
2021-04-09,PG2105,3821,3833,3782,3818,48176.0,3668120640.0,3821,3,3823,11,19008.0,3807,3821.0,0.9335738551219694,51
2021-04-12,PG2105,3818,3921,3760,3899,75594.0,5813178600.0,3898,16,3900,4,18703.0,3845,3818.0,0.9335738551219694,161
2021-04-13,PG2105,3917,3937,3879,3914,31427.0,2455077240.0,3915,2,3921,9,17928.0,3906,3899.0,0.9335738551219694,58
2021-04-14,PG2105,3923,3955,3891,3926,39403.0,3088407140.0,3926,1,3928,3,15044.0,3919,3914.0,0.9335738551219694,64
2021-04-15,PG2105,3916,3934,3888,3915,26096.0,2040707200.0,3915,6,3916,5,14362.0,3910,3926.0,0.9335738551219694,46
2021-04-16,PG2106,3797,3848,3758,3810,68366.0,5190346720.0,3810,2,3811,3,42533.0,3796,3798.0,0.9623332392844944,90
2021-04-19,PG2106,3810,3821,3720,3779,57003.0,4301446380.0,3778,2,3781,1,40512.0,3773,3810.0,0.9623332392844944,101
2021-04-20,PG2106,3799,3799,3729,3749,45026.0,3382353120.0,3749,1,3751,15,42909.0,3756,3779.0,0.9623332392844944,70
2021-04-21,PG2106,3740,3755,3686,3736,68525.0,5095519000.0,3737,2,3738,41,45067.0,3718,3749.0,0.9623332392844944,69
2021-04-22,PG2106,3700,3705,3656,3656,61570.0,4530320600.0,3656,17,3662,3,50133.0,3679,3736.0,0.9623332392844944,49
2021-04-23,PG2106,3656,3682,3650,3668,40951.0,3004165360.0,3668,1,3670,1,51865.0,3668,3656.0,0.9623332392844944,32
2021-04-26,PG2106,3653,3707,3635,3670,59896.0,4387980960.0,3671,1,3672,5,51930.0,3663,3668.0,0.9623332392844944,72
2021-04-27,PG2106,3666,3693,3633,3681,52852.0,3871937520.0,3679,7,3681,6,51296.0,3663,3670.0,0.9623332392844944,60
2021-04-28,PG2106,3681,3697,3650,3663,44709.0,3278063880.0,3662,13,3664,23,51264.0,3666,3681.0,0.9623332392844944,47
2021-04-29,PG2106,3679,3800,3658,3798,71427.0,5328454200.0,3793,6,3798,4,46242.0,3730,3663.0,0.9623332392844944,142
2021-04-30,PG2106,3836,3958,3780,3914,81189.0,6249929220.0,3916,10,3917,3,44143.0,3849,3798.0,0.9623332392844944,178
2021-05-06,PG2106,3990,4094,3906,4026,66005.0,5294921100.0,4006,1,4028,8,42584.0,4011,3914.0,0.9623332392844944,188
2021-05-07,PG2106,4026,4066,3974,4052,50595.0,4065814200.0,4052,7,4053,1,41259.0,4018,4026.0,0.9623332392844944,92
2021-05-10,PG2106,4052,4180,4015,4050,63108.0,5140777680.0,4050,2,4055,8,37721.0,4073,4052.0,0.9623332392844944,165
2021-05-11,PG2106,4066,4106,4010,4059,49961.0,4050837880.0,4053,24,4059,2,36782.0,4054,4050.0,0.9623332392844944,96
2021-05-12,PG2106,4059,4190,4032,4159,90158.0,7434428680.0,4154,4,4159,1,36611.0,4123,4059.0,0.9623332392844944,158
2021-05-13,PG2106,4162,4285,4081,4134,83942.0,7037697280.0,4133,14,4140,13,30374.0,4192,4159.0,0.9623332392844944,204
2021-05-14,PG2106,4124,4154,4067,4127,55750.0,4579305000.0,4124,1,4134,10,27850.0,4107,4134.0,0.9623332392844944,87
2021-05-17,PG2106,4150,4328,4142,4248,91531.0,7787457480.0,4248,8,4252,1,24601.0,4254,4127.0,0.9623332392844944,186
2021-05-18,PG2106,4248,4250,4120,4151,61561.0,5136649840.0,4151,17,4154,7,20275.0,4172,4248.0,0.9623332392844944,130
2021-05-19,PG2106,4168,4180,4050,4087,37242.0,3059057880.0,4082,4,4087,1,17458.0,4107,4151.0,0.9623332392844944,130
2021-05-20,PG2106,4088,4112,4001,4060,49525.0,4019449000.0,4060,1,4066,1,15275.0,4058,4087.0,0.9623332392844944,111
2021-05-21,PG2106,4060,4107,4028,4078,34856.0,2831004320.0,4078,1,4084,1,13282.0,4061,4060.0,0.9623332392844944,79
2021-05-24,PG2107,4090,4225,4055,4174,113082.0,9406160760.0,4174,31,4175,2,49241.0,4159,4090.0,0.9595097676777918,170
2021-05-25,PG2107,4174,4195,4112,4136,63780.0,5302669200.0,4136,4,4139,8,50265.0,4157,4174.0,0.9595097676777918,83
2021-05-26,PG2107,4122,4148,4020,4119,75726.0,6217104600.0,4116,3,4119,399,47512.0,4105,4136.0,0.9595097676777918,128
2021-05-27,PG2107,4109,4188,4090,4175,86611.0,7185248560.0,4175,3,4176,2,48380.0,4148,4119.0,0.9595097676777918,98
2021-05-28,PG2107,4130,4320,4130,4306,130722.0,11100912240.0,4306,47,4308,7,55049.0,4246,4175.0,0.9595097676777918,190
2021-05-31,PG2107,4306,4396,4302,4392,123279.0,10735135320.0,4392,1,4393,1,53580.0,4354,4306.0,0.9595097676777918,94
2021-06-01,PG2107,4400,4445,4356,4432,86130.0,7581162600.0,4431,32,4432,18,46142.0,4401,4392.0,0.9595097676777918,89
2021-06-02,PG2107,4455,4498,4370,4385,67707.0,6004256760.0,4388,2,4389,2,40943.0,4434,4432.0,0.9595097676777918,128
2021-06-03,PG2107,4385,4465,4316,4417,71209.0,6243605120.0,4413,2,4417,4,38113.0,4384,4385.0,0.9595097676777918,149
2021-06-04,PG2107,4386,4396,4290,4353,80098.0,6933282880.0,4351,1,4354,44,32521.0,4328,4417.0,0.9595097676777918,106
2021-06-07,PG2107,4368,4412,4275,4277,66479.0,5766388460.0,4277,2,4280,2,28512.0,4337,4353.0,0.9595097676777918,137
2021-06-08,PG2107,4290,4316,4245,4260,39138.0,3353343840.0,4258,5,4261,3,24617.0,4284,4277.0,0.9595097676777918,71
2021-06-09,PG2107,4260,4350,4247,4342,45021.0,3871806000.0,4342,6,4345,3,21601.0,4300,4260.0,0.9595097676777918,103
2021-06-10,PG2107,4359,4449,4359,4392,41211.0,3632337540.0,4391,2,4392,13,19661.0,4407,4342.0,0.9595097676777918,90
2021-06-11,PG2108,4400,4509,4400,4490,63929.0,5703745380.0,4488,2,4495,11,59276.0,4461,4394.0,0.9590730313247297,109
2021-06-15,PG2108,4562,4578,4447,4537,51070.0,4604471200.0,4530,3,4537,10,63319.0,4508,4490.0,0.9590730313247297,131
2021-06-16,PG2108,4537,4542,4477,4511,62597.0,5646249400.0,4508,21,4511,27,63752.0,4510,4537.0,0.9590730313247297,65
2021-06-17,PG2108,4533,4547,4421,4480,77225.0,6913182000.0,4478,11,4480,9,61862.0,4476,4511.0,0.9590730313247297,126
