time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,PP2105,8041,8067,7934,8032,340849.0,13633960000.0,8032,5,8033,47,275229.0,8000,8057.0,2.0308269589176597,133
2021-01-05,PP2105,8031,8134,7917,7995,491080.0,19714406600.0,7995,2,7996,19,288455.0,8029,8032.0,2.0308269589176597,217
2021-01-06,PP2105,8020,8093,7926,7938,489714.0,19595905710.0,7940,1,7941,166,311681.0,8003,7995.0,2.0308269589176597,167
2021-01-07,PP2105,7938,8025,7844,7906,680457.0,27048165750.0,7905,1,7906,88,321187.0,7950,7938.0,2.0308269589176597,181
2021-01-08,PP2105,7922,7943,7750,7775,600852.0,23592453780.0,7775,31,7778,2,349711.0,7853,7906.0,2.0308269589176597,193
2021-01-11,PP2105,7787,7893,7732,7810,595073.0,23225699190.0,7810,6,7811,21,330025.0,7806,7775.0,2.0308269589176597,161
2021-01-12,PP2105,7810,7870,7715,7857,508735.0,19812684575.0,7857,7,7858,24,324169.0,7789,7810.0,2.0308269589176597,155
2021-01-13,PP2105,7868,7986,7787,7969,565864.0,22317676160.0,7968,2,7970,14,327361.0,7888,7857.0,2.0308269589176597,199
2021-01-14,PP2105,7969,7977,7818,7925,569260.0,22474384800.0,7924,42,7926,31,316303.0,7896,7969.0,2.0308269589176597,159
2021-01-15,PP2105,7950,8013,7883,7977,537367.0,21344217240.0,7976,81,7977,6,316477.0,7944,7925.0,2.0308269589176597,130
2021-01-18,PP2105,7977,8220,7970,8213,601784.0,24318091440.0,8212,6,8213,9,329146.0,8082,7977.0,2.0308269589176597,250
2021-01-19,PP2105,8212,8228,8079,8130,547935.0,22366706700.0,8129,5,8130,7,310458.0,8164,8213.0,2.0308269589176597,149
2021-01-20,PP2105,8140,8174,8026,8033,488464.0,19790118960.0,8033,21,8034,10,309616.0,8103,8130.0,2.0308269589176597,148
2021-01-21,PP2105,8033,8126,8033,8105,454405.0,18362506050.0,8103,2,8107,1,315051.0,8082,8033.0,2.0308269589176597,93
2021-01-22,PP2105,8114,8214,8011,8170,698098.0,28307873900.0,8170,12,8171,13,328914.0,8110,8105.0,2.0308269589176597,203
2021-01-25,PP2105,8151,8250,8030,8057,631918.0,25649551620.0,8055,4,8056,1,296251.0,8118,8170.0,2.0308269589176597,220
2021-01-26,PP2105,8057,8157,8050,8071,507760.0,20604900800.0,8071,1,8076,5,292916.0,8116,8057.0,2.0308269589176597,107
2021-01-27,PP2105,8111,8192,8058,8190,531299.0,21568082905.0,8189,9,8190,88,308421.0,8119,8071.0,2.0308269589176597,134
2021-01-28,PP2105,8190,8278,8153,8246,656795.0,26990990525.0,8246,40,8248,8,329985.0,8219,8190.0,2.0308269589176597,125
2021-01-29,PP2105,8246,8346,8218,8284,541465.0,22422065650.0,8282,112,8284,7,340653.0,8282,8246.0,2.0308269589176597,128
2021-02-01,PP2105,8300,8360,8160,8166,531122.0,21853014690.0,8163,45,8166,2,313752.0,8229,8284.0,2.0308269589176597,200
2021-02-02,PP2105,8189,8209,8121,8165,434317.0,17744021035.0,8165,13,8166,15,302179.0,8171,8166.0,2.0308269589176597,88
2021-02-03,PP2105,8180,8245,8107,8241,474057.0,19362858165.0,8239,4,8242,21,301099.0,8169,8165.0,2.0308269589176597,138
2021-02-04,PP2105,8241,8337,8185,8335,456133.0,18817766915.0,8333,12,8335,1,323835.0,8251,8241.0,2.0308269589176597,152
2021-02-05,PP2105,8326,8419,8297,8342,499824.0,20865152880.0,8341,7,8342,344,334474.0,8349,8335.0,2.0308269589176597,122
2021-02-08,PP2105,8342,8384,8280,8331,463070.0,19277604100.0,8331,13,8332,1,312709.0,8326,8342.0,2.0308269589176597,104
2021-02-09,PP2105,8357,8360,8207,8250,460029.0,19017598860.0,8250,7,8251,49,282735.0,8268,8331.0,2.0308269589176597,153
2021-02-10,PP2105,8250,8268,8125,8203,448201.0,18340384920.0,8203,3,8204,15,260717.0,8184,8250.0,2.0308269589176597,143
