time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,RB2105,4354,4407,4307,4383,1420698.0,61743535080.0,4383,37,4384,68,1220915.0,4346,4388.0,1.1469366452766043,100
2021-01-05,RB2105,4388,4426,4359,4397,1578335.0,69304689850.0,4397,30,4398,84,1257064.0,4391,4383.0,1.1469366452766043,67
2021-01-06,RB2105,4400,4447,4315,4377,2154746.0,94399422260.0,4376,27,4377,129,1236056.0,4381,4397.0,1.1469366452766043,132
2021-01-07,RB2105,4377,4473,4363,4455,2098980.0,92586007800.0,4455,55,4456,58,1313573.0,4411,4377.0,1.1469366452766043,110
2021-01-08,RB2105,4455,4511,4435,4487,2047522.0,91585659060.0,4486,5,4487,204,1321813.0,4473,4455.0,1.1469366452766043,76
2021-01-11,RB2105,4495,4500,4331,4348,2787680.0,122769427200.0,4348,267,4349,6,1247798.0,4404,4487.0,1.1469366452766043,169
2021-01-12,RB2105,4349,4355,4262,4327,2163248.0,93106193920.0,4326,519,4327,8,1193034.0,4304,4348.0,1.1469366452766043,93
2021-01-13,RB2105,4320,4328,4253,4293,1917584.0,82302705280.0,4292,303,4293,285,1178576.0,4292,4327.0,1.1469366452766043,75
2021-01-14,RB2105,4289,4304,4251,4294,1497549.0,64110072690.0,4294,3,4295,91,1169652.0,4281,4293.0,1.1469366452766043,53
2021-01-15,RB2105,4305,4412,4301,4360,2117861.0,92508168480.0,4360,1050,4361,47,1265904.0,4368,4294.0,1.1469366452766043,111
2021-01-18,RB2105,4370,4400,4334,4392,1547808.0,67685643840.0,4392,42,4393,213,1273675.0,4373,4360.0,1.1469366452766043,66
2021-01-19,RB2105,4392,4392,4282,4288,1908555.0,82621345950.0,4287,63,4288,217,1246331.0,4329,4392.0,1.1469366452766043,110
2021-01-20,RB2105,4290,4325,4267,4310,1485631.0,63807851450.0,4310,9,4311,8,1249904.0,4295,4288.0,1.1469366452766043,58
2021-01-21,RB2105,4310,4384,4270,4369,2077734.0,89758108800.0,4367,926,4369,411,1304359.0,4320,4310.0,1.1469366452766043,114
2021-01-22,RB2105,4367,4387,4280,4294,1858367.0,80504458440.0,4293,244,4294,180,1236925.0,4332,4369.0,1.1469366452766043,107
2021-01-25,RB2105,4280,4352,4245,4321,2167772.0,93192518280.0,4319,90,4321,102,1243903.0,4299,4294.0,1.1469366452766043,107
2021-01-26,RB2105,4320,4362,4296,4303,1609339.0,69603911750.0,4302,80,4303,2,1266940.0,4325,4321.0,1.1469366452766043,66
2021-01-27,RB2105,4314,4398,4291,4385,1878084.0,81677873160.0,4384,36,4385,580,1348252.0,4349,4303.0,1.1469366452766043,107
2021-01-28,RB2105,4373,4381,4275,4275,2052146.0,88796357420.0,4275,151,4277,40,1192387.0,4327,4385.0,1.1469366452766043,106
2021-01-29,RB2105,4265,4307,4219,4267,1893215.0,80840280500.0,4267,191,4268,343,1173970.0,4270,4275.0,1.1469366452766043,88
2021-02-01,RB2105,4273,4303,4211,4221,1588518.0,67480244640.0,4221,867,4223,895,1215897.0,4248,4267.0,1.1469366452766043,92
2021-02-02,RB2105,4225,4242,4128,4154,1868757.0,78188792880.0,4153,9,4154,213,1272168.0,4184,4221.0,1.1469366452766043,114
2021-02-03,RB2105,4162,4200,4132,4175,1400700.0,58339155000.0,4175,24,4176,5,1238189.0,4165,4154.0,1.1469366452766043,68
2021-02-04,RB2105,4181,4249,4172,4246,1474021.0,62144725360.0,4245,5,4246,16,1174941.0,4216,4175.0,1.1469366452766043,77
2021-02-05,RB2105,4243,4292,4226,4285,1312422.0,55882928760.0,4284,21,4285,340,1130483.0,4258,4246.0,1.1469366452766043,66
2021-02-08,RB2105,4291,4361,4267,4335,1238633.0,53508945600.0,4334,198,4335,9,1134679.0,4320,4285.0,1.1469366452766043,94
2021-02-09,RB2105,4335,4420,4323,4420,1047598.0,45780032600.0,4417,245,4420,2396,1150440.0,4370,4335.0,1.1469366452766043,97
2021-02-10,RB2105,4415,4415,4351,4404,898635.0,39414131100.0,4403,93,4404,2,1094782.0,4386,4420.0,1.1469366452766043,64
2021-02-18,RB2105,4486,4547,4468,4529,978913.0,44158765430.0,4529,255,4530,96,1181090.0,4511,4404.0,1.1469366452766043,79
2021-02-19,RB2105,4531,4588,4479,4524,1503027.0,68117183640.0,4524,69,4525,268,1209469.0,4532,4529.0,1.1469366452766043,109
2021-02-22,RB2105,4524,4676,4488,4582,2081968.0,95437413120.0,4582,177,4583,8,1205401.0,4584,4524.0,1.1469366452766043,188
2021-02-23,RB2105,4565,4628,4535,4552,1457647.0,66774809070.0,4551,192,4552,19,1213858.0,4581,4582.0,1.1469366452766043,93
2021-02-24,RB2105,4550,4619,4514,4618,1638383.0,74890486930.0,4618,43,4619,530,1252201.0,4571,4552.0,1.1469366452766043,105
2021-02-25,RB2105,4615,4746,4612,4686,2078722.0,97138679060.0,4685,142,4686,12,1264478.0,4673,4618.0,1.1469366452766043,134
2021-02-26,RB2105,4681,4725,4610,4677,1814382.0,84749783220.0,4676,1,4677,139,1259695.0,4671,4686.0,1.1469366452766043,115
2021-03-01,RB2105,4655,4704,4601,4639,2141292.0,99505839240.0,4639,3,4641,4,1207873.0,4647,4677.0,1.1469366452766043,103
2021-03-02,RB2105,4639,4733,4620,4732,2176669.0,101476308780.0,4731,615,4732,60,1277277.0,4662,4639.0,1.1469366452766043,113
2021-03-03,RB2105,4782,4924,4761,4842,3010753.0,145840875320.0,4840,31,4842,12,1265923.0,4844,4732.0,1.1469366452766043,163
2021-03-04,RB2105,4844,4887,4822,4849,1756663.0,85163022240.0,4848,127,4849,539,1233841.0,4848,4842.0,1.1469366452766043,65
2021-03-05,RB2105,4822,4822,4633,4696,2869471.0,135381641780.0,4696,114,4697,2,1097841.0,4718,4849.0,1.1469366452766043,189
2021-03-08,RB2105,4701,4850,4701,4752,1947568.0,93074274720.0,4751,282,4752,47,1105484.0,4779,4696.0,1.1469366452766043,149
2021-03-09,RB2105,4752,4796,4575,4592,2416092.0,113846255040.0,4593,1,4594,1,1072298.0,4712,4752.0,1.1469366452766043,221
2021-03-10,RB2105,4616,4636,4558,4589,1983047.0,91160670590.0,4589,42,4590,183,1061406.0,4597,4592.0,1.1469366452766043,78
2021-03-11,RB2105,4608,4704,4504,4687,2479092.0,113889486480.0,4686,65,4687,5,1065287.0,4594,4589.0,1.1469366452766043,200
2021-03-12,RB2105,4729,4828,4698,4729,2730355.0,129882987350.0,4727,67,4729,1,1053642.0,4757,4687.0,1.1469366452766043,130
2021-03-15,RB2105,4729,4790,4670,4787,2242762.0,105925649260.0,4786,50,4787,103,1050050.0,4723,4729.0,1.1469366452766043,120
2021-03-16,RB2105,4788,4798,4658,4701,2297261.0,108775308350.0,4700,558,4701,4,983475.0,4735,4787.0,1.1469366452766043,140
2021-03-17,RB2105,4689,4794,4666,4785,1886315.0,89373604700.0,4784,88,4785,6,1040308.0,4738,4701.0,1.1469366452766043,128
2021-03-18,RB2105,4781,4821,4728,4759,2285393.0,109264639330.0,4758,228,4759,52,995590.0,4781,4785.0,1.1469366452766043,93
2021-03-19,RB2105,4741,4805,4721,4746,2295850.0,109489086500.0,4745,14,4746,25,966527.0,4769,4759.0,1.1469366452766043,84
2021-03-22,RB2105,4764,4903,4739,4763,2913208.0,139833984000.0,4762,276,4763,26,984310.0,4800,4746.0,1.1469366452766043,164
2021-03-23,RB2105,4763,4779,4643,4715,2558890.0,120677252400.0,4715,105,4716,2,957353.0,4716,4763.0,1.1469366452766043,136
2021-03-24,RB2105,4703,4819,4657,4816,2385637.0,112912199210.0,4815,17,4816,48,996558.0,4733,4715.0,1.1469366452766043,162
2021-03-25,RB2105,4818,4843,4776,4795,1886984.0,90612971680.0,4795,40,4796,26,937529.0,4802,4816.0,1.1469366452766043,67
2021-03-26,RB2105,4789,4943,4765,4934,2129811.0,103231939170.0,4934,5,4935,82,1038295.0,4847,4795.0,1.1469366452766043,178
2021-03-29,RB2105,4946,5017,4920,4971,2487470.0,123652133700.0,4970,10,4971,14,978227.0,4971,4934.0,1.1469366452766043,97
2021-03-30,RB2105,4976,4995,4937,4964,1567060.0,77835870200.0,4964,84,4965,21,859089.0,4967,4971.0,1.1469366452766043,58
2021-03-31,RB2105,4955,5032,4910,4935,2185356.0,108306243360.0,4935,115,4936,1,754275.0,4956,4964.0,1.1469366452766043,122
