time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,RM2105,2880,2922,2863,2872,664379.0,19173977940.0,2871,34,2872,19,392444.0,2886,2883.0,1.625423121042478,59
2021-01-05,RM2105,2869,2885,2832,2873,670209.0,19174679490.0,2872,178,2873,3,385630.0,2861,2872.0,1.625423121042478,53
2021-01-06,RM2105,2877,2926,2861,2911,726926.0,21029969180.0,2910,64,2911,87,399089.0,2893,2873.0,1.625423121042478,65
2021-01-07,RM2105,2916,2930,2875,2895,617490.0,17907210000.0,2895,10,2896,108,393462.0,2900,2911.0,1.625423121042478,55
2021-01-08,RM2105,2892,2928,2865,2926,822744.0,23810211360.0,2926,56,2927,1,402579.0,2894,2895.0,1.625423121042478,63
2021-01-11,RM2105,2931,3008,2901,2986,1014208.0,30020556800.0,2985,6,2986,147,403881.0,2960,2926.0,1.625423121042478,107
2021-01-12,RM2105,2994,3027,2976,3010,919384.0,27609101520.0,3009,3,3010,38,406330.0,3003,2986.0,1.625423121042478,51
2021-01-13,RM2105,3012,3154,3004,3154,1302940.0,40456287000.0,3154,1393,0,0,432576.0,3105,3010.0,1.625423121042478,150
2021-01-14,RM2105,3149,3161,3103,3131,1128739.0,35352105480.0,3130,70,3131,85,431208.0,3132,3154.0,1.625423121042478,58
2021-01-15,RM2105,3132,3166,3084,3095,1180218.0,36763790700.0,3095,177,3096,61,410732.0,3115,3131.0,1.625423121042478,82
2021-01-18,RM2105,3102,3122,3048,3062,840341.0,25899309620.0,3061,59,3062,10,389040.0,3082,3095.0,1.625423121042478,74
2021-01-19,RM2105,3059,3090,3036,3052,672314.0,20566085260.0,3052,149,3053,1,387209.0,3059,3062.0,1.625423121042478,54
2021-01-20,RM2105,3060,3063,2906,2918,1353283.0,40043643970.0,2918,70,2919,459,392887.0,2959,3052.0,1.625423121042478,157
2021-01-21,RM2105,2915,2953,2905,2940,841199.0,24647130700.0,2940,31,2941,24,374844.0,2930,2918.0,1.625423121042478,48
2021-01-22,RM2105,2950,2956,2849,2861,1008637.0,29149609300.0,2861,151,2863,190,363591.0,2890,2940.0,1.625423121042478,107
2021-01-25,RM2105,2857,2895,2785,2810,1042842.0,29491571760.0,2809,111,2810,31,352138.0,2828,2861.0,1.625423121042478,110
2021-01-26,RM2105,2806,2858,2801,2803,775870.0,21895051400.0,2802,10,2803,196,360194.0,2822,2810.0,1.625423121042478,57
2021-01-27,RM2105,2823,2890,2815,2872,936481.0,26745897360.0,2872,45,2873,110,362885.0,2856,2803.0,1.625423121042478,75
2021-01-28,RM2105,2873,2880,2826,2841,804169.0,22942941570.0,2841,21,2842,140,360287.0,2853,2872.0,1.625423121042478,54
2021-01-29,RM2105,2859,2870,2785,2857,896912.0,25490239040.0,2857,15,2858,242,368461.0,2842,2841.0,1.625423121042478,85
2021-02-01,RM2105,2859,2907,2823,2867,1007208.0,28816220880.0,2867,349,2868,20,369208.0,2861,2857.0,1.625423121042478,84
2021-02-02,RM2105,2861,2865,2805,2810,832349.0,23572123680.0,2809,146,2810,86,391490.0,2832,2867.0,1.625423121042478,60
2021-02-03,RM2105,2790,2808,2763,2788,1005903.0,27964103400.0,2787,193,2788,41,383679.0,2780,2810.0,1.625423121042478,45
2021-02-04,RM2105,2788,2875,2784,2871,1036425.0,29393013000.0,2870,23,2871,218,381890.0,2836,2788.0,1.625423121042478,91
2021-02-05,RM2105,2868,2923,2859,2919,1087729.0,31457122680.0,2919,38,2920,213,374914.0,2892,2871.0,1.625423121042478,64
2021-02-08,RM2105,2920,2942,2869,2886,942500.0,27379625000.0,2886,395,2887,6,345645.0,2905,2919.0,1.625423121042478,73
