time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,RU2105,14050,14315,14020,14245,315400.0,44723720000.0,14240,69,14245,86,208400.0,14180,13900.0,0.2556205105186048,295
2021-01-05,RU2105,14210,14425,14055,14415,427118.0,60928382700.0,14410,13,14415,1,211167.0,14265,14245.0,0.2556205105186048,370
2021-01-06,RU2105,14415,14490,14255,14375,396540.0,56982798000.0,14375,39,14380,33,213442.0,14370,14415.0,0.2556205105186048,235
2021-01-07,RU2105,14345,14930,14135,14875,655782.0,95317913700.0,14870,21,14880,85,221706.0,14535,14375.0,0.2556205105186048,795
2021-01-08,RU2105,14795,14930,14580,14820,511118.0,75517684500.0,14815,39,14820,54,219883.0,14775,14875.0,0.2556205105186048,350
2021-01-11,RU2105,14805,15115,14010,14085,875100.0,127414560000.0,14085,38,14095,4,212894.0,14560,14820.0,0.2556205105186048,1105
2021-01-12,RU2105,14200,14220,13925,14155,446317.0,62930697000.0,14155,97,14160,27,213784.0,14100,14085.0,0.2556205105186048,295
2021-01-13,RU2105,14220,14340,14110,14325,439528.0,62544834400.0,14325,3,14330,31,214733.0,14230,14155.0,0.2556205105186048,230
2021-01-14,RU2105,14285,14350,14050,14265,498328.0,70936990800.0,14260,4,14265,86,210719.0,14235,14325.0,0.2556205105186048,300
2021-01-15,RU2105,14280,14700,14245,14575,561218.0,81432731800.0,14575,12,14580,78,205057.0,14510,14265.0,0.2556205105186048,455
2021-01-18,RU2105,14545,14930,14440,14770,517236.0,76085415600.0,14765,60,14770,2,211608.0,14710,14575.0,0.2556205105186048,490
2021-01-19,RU2105,14685,14835,14520,14665,497269.0,73048816100.0,14665,1,14670,65,209792.0,14690,14770.0,0.2556205105186048,315
2021-01-20,RU2105,14695,14840,14540,14665,465206.0,68338761400.0,14665,2,14670,14,211977.0,14690,14665.0,0.2556205105186048,300
2021-01-21,RU2105,14620,15100,14455,14745,678540.0,100322139000.0,14740,26,14745,13,221471.0,14785,14665.0,0.2556205105186048,645
2021-01-22,RU2105,14720,14795,14320,14380,612061.0,89024272450.0,14380,24,14385,197,218421.0,14545,14745.0,0.2556205105186048,475
2021-01-25,RU2105,14350,14435,14145,14260,504839.0,72267702850.0,14260,74,14265,3,215106.0,14315,14380.0,0.2556205105186048,290
2021-01-26,RU2105,14345,14380,14050,14060,450129.0,64120876050.0,14060,1,14065,96,218902.0,14245,14260.0,0.2556205105186048,330
2021-01-27,RU2105,14145,14380,14105,14310,322926.0,45984662400.0,14305,72,14310,39,211173.0,14240,14060.0,0.2556205105186048,275
2021-01-28,RU2105,14245,14285,13990,14150,445626.0,62989235100.0,14145,70,14150,43,214022.0,14135,14310.0,0.2556205105186048,295
2021-01-29,RU2105,14205,14480,14205,14405,497243.0,71528405550.0,14405,38,14410,30,202891.0,14385,14150.0,0.2556205105186048,275
2021-02-01,RU2105,14415,14750,14415,14655,464483.0,67930638750.0,14650,2,14655,143,200005.0,14625,14405.0,0.2556205105186048,335
2021-02-02,RU2105,14655,14855,14460,14570,497287.0,72802816800.0,14565,74,14570,2,197479.0,14640,14655.0,0.2556205105186048,395
2021-02-03,RU2105,14590,14610,14280,14300,416366.0,60227341900.0,14295,84,14300,18,195941.0,14465,14570.0,0.2556205105186048,330
2021-02-04,RU2105,14400,14630,14260,14615,389496.0,56223747600.0,14615,17,14620,99,193802.0,14435,14300.0,0.2556205105186048,370
2021-02-05,RU2105,14610,14790,14550,14730,417584.0,61301331200.0,14725,156,14730,38,196435.0,14680,14615.0,0.2556205105186048,240
2021-02-08,RU2105,14760,15030,14650,14765,482058.0,71489201400.0,14765,20,14770,31,197161.0,14830,14730.0,0.2556205105186048,380
2021-02-09,RU2105,14790,14980,14630,14855,382552.0,56598568400.0,14855,3,14860,17,193980.0,14795,14765.0,0.2556205105186048,350
2021-02-10,RU2105,14800,14850,14535,14680,336995.0,49437166500.0,14675,40,14680,1,180855.0,14670,14855.0,0.2556205105186048,315
2021-02-18,RU2105,15300,15600,15065,15205,348458.0,53261805300.0,15200,24,15205,60,191085.0,15285,14680.0,0.2556205105186048,535
2021-02-19,RU2105,15235,15735,15215,15650,557193.0,85947020250.0,15645,62,15650,38,209940.0,15425,15205.0,0.2556205105186048,520
2021-02-22,RU2105,15650,16240,15595,15840,618528.0,98315025600.0,15840,3,15845,15,210686.0,15895,15650.0,0.2556205105186048,645
2021-02-23,RU2105,15825,16390,15680,16020,642885.0,102990177000.0,16015,34,16020,121,209800.0,16020,15840.0,0.2556205105186048,710
2021-02-24,RU2105,15955,16260,15850,16160,652008.0,104679884400.0,16155,7,16160,16,212880.0,16055,16020.0,0.2556205105186048,410
2021-02-25,RU2105,16250,17335,16250,16955,1005974.0,170361696900.0,16950,204,16955,32,218668.0,16935,16160.0,0.2556205105186048,1085
2021-02-26,RU2105,16955,17040,15965,15990,906077.0,149140274200.0,15990,60,15995,44,199311.0,16460,16955.0,0.2556205105186048,1075
2021-03-01,RU2105,15910,16190,15720,15895,701023.0,111637912750.0,15895,17,15900,45,197760.0,15925,15990.0,0.2556205105186048,470
2021-03-02,RU2105,15975,16095,15210,15445,701963.0,109506228000.0,15440,16,15445,6,187768.0,15600,15895.0,0.2556205105186048,885
2021-03-03,RU2105,15575,15635,15320,15540,509762.0,78987621900.0,15535,116,15540,26,190741.0,15495,15445.0,0.2556205105186048,315
2021-03-04,RU2105,15650,15675,15050,15200,676849.0,103862479050.0,15190,27,15200,74,186708.0,15345,15540.0,0.2556205105186048,625
2021-03-05,RU2105,15165,15375,14850,15360,691481.0,104793945550.0,15360,1,15365,19,181958.0,15155,15200.0,0.2556205105186048,525
2021-03-08,RU2105,15420,15720,15110,15160,642539.0,99047386850.0,15150,61,15160,61,183977.0,15415,15360.0,0.2556205105186048,610
2021-03-09,RU2105,15160,15335,15000,15020,565530.0,85706071500.0,15020,309,15025,10,175318.0,15155,15160.0,0.2556205105186048,335
2021-03-10,RU2105,15075,15345,14935,15320,676923.0,102519988350.0,15310,54,15320,42,172033.0,15145,15020.0,0.2556205105186048,410
2021-03-11,RU2105,15345,15400,15000,15385,632304.0,96110208000.0,15380,5,15390,97,173008.0,15200,15320.0,0.2556205105186048,400
2021-03-12,RU2105,15350,15550,15225,15265,545284.0,83837415000.0,15265,27,15270,26,169328.0,15375,15385.0,0.2556205105186048,325
2021-03-15,RU2105,15255,15455,15000,15115,572354.0,86883337200.0,15110,15,15115,10,172242.0,15180,15265.0,0.2556205105186048,455
2021-03-16,RU2105,15130,15330,15025,15150,500685.0,76054051500.0,15145,3,15150,18,166004.0,15190,15115.0,0.2556205105186048,305
2021-03-17,RU2105,15100,15310,15000,15300,515848.0,78202556800.0,15295,68,15300,101,164166.0,15160,15150.0,0.2556205105186048,310
2021-03-18,RU2105,15215,15455,15140,15175,504179.0,76912506450.0,15175,12,15180,75,163925.0,15255,15300.0,0.2556205105186048,315
2021-03-19,RU2105,15120,15210,14330,14365,756266.0,111549235000.0,14360,55,14365,11,176784.0,14750,15175.0,0.2556205105186048,880
2021-03-22,RU2105,14475,14585,14375,14530,449656.0,65065223200.0,14530,24,14535,19,164805.0,14470,14365.0,0.2556205105186048,210
2021-03-23,RU2105,14530,14560,14320,14490,393646.0,56960576200.0,14485,53,14490,6,158666.0,14470,14530.0,0.2556205105186048,240
2021-03-24,RU2105,14380,14385,14060,14345,440513.0,62707025550.0,14345,66,14350,1,152955.0,14235,14490.0,0.2556205105186048,325
2021-03-25,RU2105,14345,14380,14070,14125,313321.0,44507248050.0,14125,2,14130,25,155179.0,14205,14345.0,0.2556205105186048,310
2021-03-26,RU2105,14020,14165,13870,14120,428263.0,60042472600.0,14115,2,14120,41,147658.0,14020,14125.0,0.2556205105186048,295
2021-03-29,RU2105,14165,14300,14080,14160,362266.0,51369318800.0,14160,2,14165,79,134131.0,14180,14120.0,0.2556205105186048,220
2021-03-30,RU2105,14170,14255,14005,14015,314213.0,44508271450.0,14010,54,14015,51,123820.0,14165,14160.0,0.2556205105186048,250
2021-03-31,RU2105,14035,14110,13635,13695,391014.0,54174989700.0,13700,1,13705,4,113515.0,13855,14015.0,0.2556205105186048,475
2021-04-01,RU2105,13760,13885,13710,13850,184966.0,25516059700.0,13845,6,13850,5,97179.0,13795,13695.0,0.2556205105186048,175
2021-04-02,RU2105,13895,14155,13830,14150,179798.0,25144750300.0,14145,31,14155,22,82546.0,13985,13850.0,0.2556205105186048,325
2021-04-06,RU2109,14355,14430,14210,14315,181615.0,25970945000.0,14310,1,14315,119,171420.0,14300,14405.0,0.2510954685066475,220
2021-04-07,RU2109,14315,14465,14235,14315,269288.0,38629363600.0,14310,7,14315,6,181114.0,14345,14315.0,0.2510954685066475,230
2021-04-08,RU2109,14300,14350,13895,13970,369115.0,52137493750.0,13970,69,13975,25,202242.0,14125,14315.0,0.2510954685066475,455
