time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SA2105,1611,1636,1588,1609,277664.0,8918567680.0,1609,22,1610,198,175758.0,1606,1611.0,0.7528334060757305,48
2021-01-05,SA2105,1608,1627,1592,1599,360539.0,11602145020.0,1599,116,1600,75,176301.0,1609,1609.0,0.7528334060757305,35
2021-01-06,SA2105,1604,1650,1585,1650,571014.0,18489433320.0,1649,49,1650,265,210459.0,1619,1599.0,0.7528334060757305,65
2021-01-07,SA2105,1650,1682,1632,1637,617212.0,20417372960.0,1636,65,1637,259,212951.0,1654,1650.0,0.7528334060757305,50
2021-01-08,SA2105,1636,1652,1603,1608,494790.0,16130154000.0,1607,69,1608,135,207560.0,1630,1637.0,0.7528334060757305,49
2021-01-11,SA2105,1605,1608,1548,1548,645432.0,20214930240.0,0,0,1548,3969,200965.0,1566,1608.0,0.7528334060757305,60
2021-01-12,SA2105,1544,1549,1504,1529,435317.0,13277168500.0,1528,72,1529,16,168567.0,1525,1548.0,0.7528334060757305,45
2021-01-13,SA2105,1531,1538,1489,1503,405275.0,12239305000.0,1503,271,1504,299,203248.0,1510,1529.0,0.7528334060757305,49
2021-01-14,SA2105,1500,1530,1499,1522,384261.0,11650793520.0,1522,467,1523,74,184047.0,1516,1503.0,0.7528334060757305,31
2021-01-15,SA2105,1523,1553,1507,1547,366232.0,11192049920.0,1547,64,1548,92,189980.0,1528,1522.0,0.7528334060757305,46
2021-01-18,SA2105,1547,1560,1516,1556,384912.0,11862987840.0,1556,91,1557,394,179372.0,1541,1547.0,0.7528334060757305,44
2021-01-19,SA2105,1556,1562,1533,1547,255603.0,7903244760.0,1547,100,1548,68,169153.0,1546,1556.0,0.7528334060757305,29
2021-01-20,SA2105,1548,1584,1543,1583,367880.0,11514644000.0,1583,1,1584,272,190121.0,1565,1547.0,0.7528334060757305,41
2021-01-21,SA2105,1586,1586,1563,1570,318968.0,10028353920.0,1570,146,1571,55,179100.0,1572,1583.0,0.7528334060757305,23
2021-01-22,SA2105,1570,1593,1541,1552,462432.0,14492618880.0,1551,811,1552,14,186020.0,1567,1570.0,0.7528334060757305,52
2021-01-25,SA2105,1551,1578,1535,1578,350135.0,10896201200.0,1577,20,1578,693,177269.0,1556,1552.0,0.7528334060757305,43
2021-01-26,SA2105,1575,1588,1567,1576,277251.0,8744496540.0,1575,16,1576,127,177929.0,1577,1578.0,0.7528334060757305,21
2021-01-27,SA2105,1576,1593,1545,1559,386605.0,12116200700.0,1559,19,1560,476,175753.0,1567,1576.0,0.7528334060757305,48
2021-01-28,SA2105,1556,1607,1553,1603,392145.0,12407467800.0,1603,1,1604,3,194993.0,1582,1559.0,0.7528334060757305,54
2021-01-29,SA2105,1603,1626,1597,1618,349662.0,11273102880.0,1617,75,1618,3,192350.0,1612,1603.0,0.7528334060757305,29
2021-02-01,SA2105,1618,1629,1593,1596,328247.0,10569553400.0,1596,57,1597,428,181081.0,1610,1618.0,0.7528334060757305,36
2021-02-02,SA2105,1596,1628,1596,1614,314575.0,10160772500.0,1614,352,1615,141,183088.0,1615,1596.0,0.7528334060757305,32
2021-02-03,SA2105,1613,1640,1597,1637,444357.0,14388279660.0,1636,290,1637,13,225743.0,1619,1614.0,0.7528334060757305,43
2021-02-04,SA2105,1639,1643,1619,1633,370563.0,12095176320.0,1633,127,1634,675,198208.0,1632,1637.0,0.7528334060757305,24
2021-02-05,SA2105,1634,1639,1616,1627,263482.0,8578973920.0,1627,45,1628,154,185306.0,1628,1633.0,0.7528334060757305,23
2021-02-08,SA2105,1628,1653,1611,1645,334484.0,10904178400.0,1644,585,1645,2,198042.0,1630,1627.0,0.7528334060757305,42
2021-02-09,SA2105,1645,1647,1605,1618,265757.0,8626472220.0,1618,58,1619,65,160540.0,1623,1645.0,0.7528334060757305,42
2021-02-10,SA2105,1618,1630,1590,1598,211327.0,6804729400.0,1597,46,1598,37,149675.0,1610,1618.0,0.7528334060757305,40
2021-02-18,SA2105,1614,1668,1611,1668,217829.0,7157860940.0,1665,327,1668,465,173175.0,1643,1598.0,0.7528334060757305,57
2021-02-19,SA2105,1668,1674,1648,1666,280189.0,9307878580.0,1666,168,1667,49,203728.0,1661,1668.0,0.7528334060757305,26
2021-02-22,SA2105,1665,1745,1656,1745,402630.0,13713577800.0,1745,17363,0,0,236481.0,1703,1666.0,0.7528334060757305,89
2021-02-23,SA2105,1757,1804,1746,1763,593440.0,21043382400.0,1762,72,1763,31,223086.0,1773,1745.0,0.7528334060757305,58
2021-02-24,SA2105,1762,1797,1756,1781,444727.0,15814492120.0,1781,33,1782,36,232740.0,1778,1763.0,0.7528334060757305,41
2021-02-25,SA2105,1787,1867,1768,1847,649527.0,23733716580.0,1845,243,1847,63,217560.0,1827,1781.0,0.7528334060757305,99
