time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SC2102,302.9,321.5,301.6,320.1,91239.0,28639922100.0,320.1,2,320.3,17,32033.0,313.9,301.7,0.6413789165078475,19.899999999999977
2021-01-05,SC2102,313.5,319.4,308.0,311.1,152795.0,47885953000.0,311.1,1,311.2,1,28425.0,313.4,320.1,0.6413789165078475,11.399999999999977
2021-01-06,SC2102,316.2,326.9,311.200000000001,323.7,158366.0,50566263800.00001,323.7,12,323.8,6,27801.0,319.3,311.1,0.6413789165078475,15.699999999998965
2021-01-07,SC2102,320.7,337.5,320.3,335.3,137801.0,45143607600.0,335.2,23,335.3,1,28196.0,327.6,323.7,0.6413789165078475,17.19999999999999
2021-01-08,SC2102,334.3,338.7,328.1,336.5,123119.0,40961691300.0,336.4,17,336.8,3,27427.0,332.7,335.3,0.6413789165078475,10.599999999999966
2021-01-11,SC2102,338.0,344.800000000001,312.0,325.7,147644.0,49608384000.0,325.5,12,325.7,3,21499.0,336.0,336.5,0.6413789165078475,32.80000000000098
2021-01-12,SC2102,326.5,339.5,324.0,336.9,104764.0,34802600800.0,336.9,1,337.4,4,20129.0,332.2,325.7,0.6413789165078475,15.5
2021-01-13,SC2102,339.9,345.7,334.5,342.4,76956.0,26165040000.0,342.2,18,342.6,1,18408.0,340.0,336.9,0.6413789165078475,11.199999999999989
2021-01-14,SC2103,348.5,350.0,340.2,342.4,129001.0,44363443900.0,342.3,5,342.4,2,46676.0,343.9,350.3,0.6269144761983642,9.800000000000011
2021-01-15,SC2103,342.0,347.6,335.0,339.4,159692.0,54486910400.0,339.3,4,339.4,26,46932.0,341.2,342.4,0.6269144761983642,12.600000000000023
2021-01-18,SC2103,338.3,339.2,326.8,333.0,161671.0,53755607500.0,332.9,13,333.0,2,46064.0,332.5,339.4,0.6269144761983642,12.399999999999977
2021-01-19,SC2103,332.5,338.6,331.8,334.3,99435.0,33350499000.0,334.3,1,334.5,16,45654.0,335.4,333.0,0.6269144761983642,6.800000000000011
2021-01-20,SC2103,335.4,343.8,335.1,342.7,123996.0,42121441199.99999,342.6,27,342.7,53,47340.0,339.7,334.3,0.6269144761983642,8.699999999999989
2021-01-21,SC2103,342.4,344.3,337.2,340.0,116190.0,39632409000.0,339.9,34,340.0,10,45812.0,341.1,342.7,0.6269144761983642,7.100000000000023
2021-01-22,SC2103,339.2,341.8,332.0,332.3,130119.0,43902150599.99999,332.3,2,332.4,4,47164.0,337.4,340.0,0.6269144761983642,9.800000000000011
2021-01-25,SC2103,329.0,336.7,324.599999999999,332.1,161179.0,53463074300.0,331.9,2,332.1,4,43103.0,331.7,332.3,0.6269144761983642,12.100000000000989
2021-01-26,SC2103,330.5,332.8,327.699999999999,328.0,107960.0,35648392000.0,327.9,83,328.0,14,41631.0,330.2,332.1,0.6269144761983642,5.100000000000989
2021-01-27,SC2103,332.5,335.7,330.400000000001,335.0,92348.0,30742649200.0,335.0,6,335.1,14,39174.0,332.9,328.0,0.6269144761983642,5.299999999998988
2021-01-28,SC2103,332.2,339.3,329.0,333.3,140516.0,46932344000.0,333.3,2,333.4,14,37516.0,334.0,335.0,0.6269144761983642,10.300000000000011
2021-01-29,SC2103,334.5,340.9,332.8,335.0,130152.0,43783132800.0,334.8,7,335.1,16,36018.0,336.4,333.3,0.6269144761983642,8.099999999999966
2021-02-01,SC2103,336.5,339.800000000001,329.7,336.3,134066.0,45046176000.0,336.3,3,336.4,4,34182.0,336.0,335.0,0.6269144761983642,10.100000000000989
2021-02-02,SC2103,336.8,347.6,334.6,346.8,117974.0,40181944400.00001,346.8,4,346.9,30,35632.0,340.6,336.3,0.6269144761983642,13.0
2021-02-03,SC2103,351.9,351.9,344.0,347.1,110049.0,38242027500.0,347.0,63,347.2,43,29003.0,347.5,346.8,0.6269144761983642,7.899999999999977
2021-02-04,SC2103,348.8,360.0,347.9,357.5,127925.0,45170317500.0,357.5,37,357.7,4,25937.0,353.1,347.1,0.6269144761983642,12.100000000000023
2021-02-05,SC2103,357.5,360.6,351.6,358.1,84733.0,30190367900.000004,358.1,5,358.2,8,18529.0,356.3,357.5,0.6269144761983642,9.0
2021-02-08,SC2103,359.2,367.4,358.1,362.1,74007.0,26783133300.0,362.1,55,362.2,1,10808.0,361.9,358.1,0.6269144761983642,9.299999999999955
2021-02-09,SC2103,362.7,378.3,361.4,376.0,34170.0,12550641000.0,374.9,2,376.0,4,2950.0,367.3,362.1,0.6269144761983642,16.900000000000034
2021-02-10,SC2104,376.1,376.499999999999,367.3,371.2,95910.0,35668929000.0,371.2,1,371.3,9,47103.0,371.9,378.2,0.6232676971194736,9.199999999998965
2021-02-18,SC2104,392.1,405.3,392.1,399.0,47685.0,19050157500.0,398.9,3,399.1,31,48960.0,399.5,371.2,0.6232676971194736,13.199999999999989
2021-02-19,SC2104,397.7,400.6,380.1,388.4,114593.0,44840240900.0,388.3,28,388.5,1,48545.0,391.3,399.0,0.6232676971194736,20.5
2021-02-22,SC2104,387.6,396.0,384.6,392.2,122174.0,47733381800.0,392.2,1,392.4,2,49205.0,390.7,388.4,0.6232676971194736,11.399999999999977
2021-02-23,SC2104,390.8,419.2,390.0,412.9,167885.0,68010213500.0,412.7,1,412.9,9,48906.0,405.1,392.2,0.6232676971194736,29.19999999999999
2021-02-24,SC2104,409.2,412.3,400.3,405.8,140181.0,56913486000.0,405.8,7,405.9,5,43960.0,406.0,412.9,0.6232676971194736,12.0
2021-02-25,SC2104,412.0,422.2,408.1,417.8,163926.0,68176823399.99999,417.6,14,417.8,6,43297.0,415.9,405.8,0.6232676971194736,14.099999999999966
2021-02-26,SC2104,418.0,419.2,402.1,405.9,158243.0,65006224400.0,405.9,10,406.1,10,38669.0,410.8,417.8,0.6232676971194736,17.099999999999966
2021-03-01,SC2104,402.3,414.5,398.099999999999,409.0,155225.0,63207620000.0,409.0,55,409.1,1,34855.0,407.2,405.9,0.6232676971194736,16.400000000001
2021-03-02,SC2104,407.3,408.099999999999,385.4,387.1,155349.0,61704622800.0,387.1,4,387.3,6,31410.0,397.2,409.0,0.6232676971194736,22.699999999999022
2021-03-03,SC2104,393.8,398.0,386.5,392.8,118187.0,46435672300.0,392.4,1,392.8,15,27791.0,392.9,387.1,0.6232676971194736,11.5
2021-03-04,SC2104,395.5,402.4,390.0,399.4,143111.0,56743511500.0,399.5,4,399.6,6,25044.0,396.5,392.8,0.6232676971194736,12.399999999999977
2021-03-05,SC2104,399.9,424.8,397.0,423.6,225414.0,92802943800.0,423.6,77,423.7,12,25109.0,411.7,399.4,0.6232676971194736,27.80000000000001
2021-03-08,SC2104,425.0,444.6,424.2,441.4,141785.0,61477976000.0,441.4,1,441.5,2,22927.0,433.6,423.6,0.6232676971194736,20.400000000000034
2021-03-09,SC2104,433.5,435.5,420.5,422.7,136609.0,58482312900.00001,422.2,1,422.7,10,19323.0,428.1,441.4,0.6232676971194736,15.0
2021-03-10,SC2104,427.0,427.7,405.7,412.0,133296.0,55704398400.0,411.9,2,412.0,8,17125.0,417.9,422.7,0.6232676971194736,22.0
2021-03-11,SC2104,417.4,421.1,410.2,416.2,107405.0,44712701500.0,416.2,7,416.3,1,15122.0,416.3,412.0,0.6232676971194736,10.900000000000034
2021-03-12,SC2104,418.3,425.500000000001,417.5,418.8,80530.0,33919236000.0,418.3,3,418.9,1,13797.0,421.2,416.2,0.6232676971194736,8.000000000001023
2021-03-15,SC2105,425.4,434.4,421.3,428.1,120400.0,51362640000.0,427.8,12,428.1,9,44193.0,426.6,423.4,0.6164962483553037,13.099999999999966
2021-03-16,SC2105,422.1,422.7,414.6,416.0,129211.0,53958513600.0,416.0,5,416.1,21,44371.0,417.6,428.1,0.6164962483553037,8.099999999999966
2021-03-17,SC2105,415.5,422.2,410.199999999999,420.9,140951.0,58565140500.0,420.7,10,420.9,28,46156.0,415.5,416.0,0.6164962483553037,12.000000000000966
2021-03-18,SC2105,414.0,416.2,407.4,411.5,164656.0,67937065600.00001,411.3,9,411.4,1,46598.0,412.6,420.9,0.6164962483553037,8.800000000000011
2021-03-19,SC2105,408.6,408.9,379.5,379.5,268668.0,106365661199.99998,0.0,0,379.5,248,51163.0,395.9,411.5,0.6164962483553037,29.399999999999977
2021-03-22,SC2105,378.9,393.7,377.5,390.1,224117.0,86531573700.0,390.1,16,390.2,1,48345.0,386.1,379.5,0.6164962483553037,16.19999999999999
2021-03-23,SC2105,390.1,395.9,388.6,390.8,134770.0,52856794000.0,390.7,3,391.0,12,48269.0,392.2,390.1,0.6164962483553037,7.2999999999999545
2021-03-24,SC2105,379.6,388.199999999999,372.699999999999,378.1,223694.0,85160305800.0,378.1,11,378.2,8,49164.0,380.7,390.8,0.6164962483553037,15.5
2021-03-25,SC2105,382.1,395.100000000001,380.9,383.2,226964.0,87835068000.0,383.2,3,383.4,20,45180.0,387.0,378.1,0.6164962483553037,14.200000000001012
2021-03-26,SC2105,379.5,386.8,374.699999999999,384.3,227299.0,86509999400.0,384.3,1,384.4,21,42184.0,380.6,383.2,0.6164962483553037,12.100000000000989
2021-03-29,SC2105,385.7,397.2,385.3,388.0,213632.0,83679654399.99998,388.0,6,388.2,1,38213.0,391.7,384.3,0.6164962483553037,11.899999999999977
2021-03-30,SC2105,397.2,402.7,390.100000000001,398.6,185852.0,73467295600.00002,398.5,11,398.6,1,35738.0,395.3,388.0,0.6164962483553037,12.599999999999
2021-03-31,SC2105,393.1,400.8,392.0,399.7,155362.0,61523352000.0,399.3,22,399.7,13,30560.0,396.0,398.6,0.6164962483553037,8.800000000000011
2021-04-01,SC2105,395.9,399.399999999999,383.5,392.8,171283.0,67382732200.0,392.6,5,392.8,4,29285.0,393.4,399.7,0.6164962483553037,15.899999999999011
2021-04-02,SC2105,392.9,409.0,387.6,408.8,228120.0,90449580000.0,408.8,2,409.0,10,29871.0,396.5,392.8,0.6164962483553037,21.399999999999977
2021-04-06,SC2105,390.7,393.1,383.6,388.1,74580.0,28974330000.0,388.0,25,388.1,37,31201.0,388.5,408.8,0.6164962483553037,9.5
2021-04-07,SC2105,388.6,394.200000000001,384.1,386.0,128994.0,50217364200.0,385.9,3,386.0,8,30554.0,389.3,388.1,0.6164962483553037,10.100000000000989
2021-04-08,SC2105,387.7,388.9,379.399999999999,383.5,151938.0,58404967199.99999,383.4,8,383.5,7,30577.0,384.4,386.0,0.6164962483553037,9.500000000000966
2021-04-09,SC2105,384.7,389.700000000001,382.5,386.6,128074.0,49487793599.99999,386.5,28,386.6,21,28959.0,386.4,383.5,0.6164962483553037,7.200000000001012
2021-04-12,SC2105,385.9,393.2,381.9,382.4,124130.0,48075549000.0,382.4,3,382.6,3,27697.0,387.3,386.6,0.6164962483553037,11.300000000000011
2021-04-13,SC2105,388.2,395.0,386.4,392.8,121917.0,47681738700.0,392.7,7,392.8,10,22151.0,391.1,382.4,0.6164962483553037,8.600000000000023
2021-04-14,SC2105,394.0,398.3,389.8,397.8,92517.0,36451698000.0,397.7,9,397.8,3,19985.0,394.0,392.8,0.6164962483553037,8.5
2021-04-15,SC2105,398.0,412.1,397.5,411.0,101789.0,41356870700.0,410.9,7,411.0,6,16825.0,406.3,397.8,0.6164962483553037,14.600000000000023
2021-04-16,SC2105,409.2,414.1,407.3,412.8,62756.0,25736235600.0,412.1,2,412.8,1,11671.0,410.1,411.0,0.6164962483553037,6.800000000000011
2021-04-19,SC2106,416.6,417.3,408.8,412.3,107549.0,44396227200.0,412.2,14,412.3,11,41739.0,412.8,416.9,0.6104333205110803,8.5
2021-04-20,SC2106,414.2,418.5,410.4,414.3,117599.0,48662466200.0,414.3,1,414.4,22,42473.0,413.8,412.3,0.6104333205110803,8.100000000000023
2021-04-21,SC2106,412.8,414.4,400.0,402.5,172578.0,69963121200.0,402.5,8,402.6,3,41785.0,405.4,414.3,0.6104333205110803,14.399999999999977
2021-04-22,SC2106,396.2,403.499999999999,391.7,395.3,187496.0,74417162399.99998,395.0,4,395.3,39,40009.0,396.9,402.5,0.6104333205110803,11.799999999998988
2021-04-23,SC2106,397.6,400.3,394.300000000001,399.0,124231.0,49344553199.99999,399.0,16,399.2,11,38217.0,397.2,395.3,0.6104333205110803,5.999999999999034
2021-04-26,SC2106,395.8,405.7,394.6,396.5,147019.0,58822301900.00001,396.4,9,396.5,35,38743.0,400.1,399.0,0.6104333205110803,11.099999999999966
2021-04-27,SC2106,394.0,404.6,391.2,402.4,132602.0,52881677600.0,402.4,12,402.5,5,39553.0,398.8,396.5,0.6104333205110803,13.400000000000034
2021-04-28,SC2106,402.4,408.2,400.3,408.1,114219.0,46121632200.0,408.1,2,408.2,4,39012.0,403.8,402.4,0.6104333205110803,7.899999999999977
2021-04-29,SC2106,410.0,416.5,408.2,414.9,114970.0,47436622000.0,414.9,1,415.0,9,39924.0,412.6,408.1,0.6104333205110803,8.300000000000011
2021-04-30,SC2106,421.9,423.6,415.200000000001,420.1,128071.0,53712977400.0,420.1,19,420.3,3,33686.0,419.4,414.9,0.6104333205110803,8.399999999999011
2021-05-06,SC2106,423.6,432.4,423.3,428.3,46304.0,19869046400.000004,428.3,1,429.0,3,35217.0,429.1,420.1,0.6104333205110803,9.099999999999966
2021-05-07,SC2106,428.1,428.5,420.2,425.7,96704.0,41041177600.0,425.7,6,426.1,3,33569.0,424.4,428.3,0.6104333205110803,8.300000000000011
2021-05-10,SC2106,419.7,431.1,417.7,428.3,120656.0,51158144000.0,428.3,10,428.4,1,30440.0,424.0,425.7,0.6104333205110803,13.400000000000034
2021-05-11,SC2106,426.3,427.7,416.6,418.6,102975.0,43362772500.0,418.6,2,418.8,16,28206.0,421.1,428.3,0.6104333205110803,11.099999999999966
2021-05-12,SC2106,416.0,426.0,414.199999999999,425.8,116689.0,49079393400.00001,425.7,12,425.9,4,25929.0,420.6,418.6,0.6104333205110803,11.800000000000978
2021-05-13,SC2106,426.6,434.5,421.9,423.8,115876.0,49676041199.99999,423.7,5,423.8,12,22214.0,428.7,425.8,0.6104333205110803,12.600000000000023
2021-05-14,SC2106,421.0,423.2,410.6,414.3,98175.0,40988062500.0,414.3,1,414.4,1,18918.0,417.5,423.8,0.6104333205110803,12.599999999999966
2021-05-17,SC2106,418.9,431.2,418.5,427.1,75715.0,32171303500.0,426.9,3,427.0,70,15512.0,424.9,414.3,0.6104333205110803,12.699999999999989
2021-05-18,SC2107,425.0,438.0,424.2,436.6,105637.0,45709129900.0,436.6,14,436.7,2,53658.0,432.7,426.7,0.6110055570430806,13.800000000000011
2021-05-19,SC2107,436.6,436.6,419.0,421.2,173481.0,74163127500.0,421.1,4,421.2,10,51215.0,427.5,436.6,0.6110055570430806,17.600000000000023
2021-05-20,SC2107,417.2,418.0,405.299999999999,411.0,175018.0,72037408800.0,411.0,33,411.6,3,51190.0,411.6,421.2,0.6110055570430806,12.700000000001012
2021-05-21,SC2107,408.8,410.8,399.8,400.2,157404.0,63827322000.0,400.1,2,400.2,3,52740.0,405.5,411.0,0.6110055570430806,11.0
2021-05-24,SC2107,406.8,415.8,405.6,414.0,142604.0,58496160800.0,414.0,1,414.4,6,46020.0,410.2,400.2,0.6110055570430806,10.199999999999989
