time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SF2105,6670,6716,6572,6656,136253.0,4527687190.0,6654,98,6656,94,80654.0,6646,6616.0,1.0481529229025122,144
2021-01-05,SF2105,6666,6844,6646,6830,166144.0,5610682880.0,6830,31,6832,4,84745.0,6754,6656.0,1.0481529229025122,198
2021-01-06,SF2105,6850,7160,6848,7160,310428.0,10892918520.0,7160,2341,0,0,104035.0,7018,6830.0,1.0481529229025122,312
2021-01-07,SF2105,7178,7366,7110,7298,450950.0,16301842500.0,7296,17,7298,5,107670.0,7230,7160.0,1.0481529229025122,256
2021-01-08,SF2105,7350,7664,7330,7664,735474.0,27859755120.0,7664,8706,0,0,154420.0,7576,7298.0,1.0481529229025122,334
2021-01-11,SF2105,7602,7862,7508,7816,694370.0,26677695400.0,7814,4,7816,170,163236.0,7684,7664.0,1.0481529229025122,354
2021-01-12,SF2105,7736,7740,7510,7620,491925.0,18678392250.0,7620,32,7622,7,152709.0,7594,7816.0,1.0481529229025122,230
2021-01-13,SF2105,7628,7934,7616,7930,532164.0,20685214680.0,7930,90,7932,1,197186.0,7774,7620.0,1.0481529229025122,318
2021-01-14,SF2105,7962,7962,7810,7882,528165.0,20825545950.0,7880,19,7882,117,204629.0,7886,7930.0,1.0481529229025122,152
2021-01-15,SF2105,7910,7980,7412,7412,640544.0,24513618880.0,0,0,7412,4685,161345.0,7654,7882.0,1.0481529229025122,568
2021-01-18,SF2105,7440,7614,7364,7602,383993.0,14411257290.0,7602,144,7604,119,155729.0,7506,7412.0,1.0481529229025122,250
2021-01-19,SF2105,7596,7600,7306,7572,444073.0,16603889470.0,7568,191,7572,2,167386.0,7478,7602.0,1.0481529229025122,294
2021-01-20,SF2105,7578,7578,7386,7482,325380.0,12156196800.0,7478,2,7482,9,152046.0,7472,7572.0,1.0481529229025122,192
2021-01-21,SF2105,7450,7450,7130,7180,438647.0,15874634930.0,7178,58,7180,160,136866.0,7238,7482.0,1.0481529229025122,320
2021-01-22,SF2105,7244,7256,7060,7076,228059.0,8166792790.0,7076,40,7078,24,133843.0,7162,7180.0,1.0481529229025122,196
2021-01-25,SF2105,7174,7238,7036,7126,238676.0,8520733200.0,7126,17,7128,85,140853.0,7140,7076.0,1.0481529229025122,202
2021-01-26,SF2105,7148,7166,6916,6988,211511.0,7453647640.0,6988,2,6990,147,133175.0,7048,7126.0,1.0481529229025122,250
2021-01-27,SF2105,7012,7086,6956,7012,168349.0,5903999430.0,7012,12,7014,10,135716.0,7014,6988.0,1.0481529229025122,130
2021-01-28,SF2105,7000,7156,6930,7086,253998.0,8981369280.0,7082,18,7084,2,149529.0,7072,7012.0,1.0481529229025122,226
2021-01-29,SF2105,7044,7084,6676,6752,348626.0,11940440500.0,6752,16,6754,15,134943.0,6850,7086.0,1.0481529229025122,408
2021-02-01,SF2105,6748,6878,6678,6820,171397.0,5820642120.0,6818,37,6820,2,136682.0,6792,6752.0,1.0481529229025122,200
2021-02-02,SF2105,6796,6854,6572,6582,222988.0,7445569320.0,6580,202,6584,45,141335.0,6678,6820.0,1.0481529229025122,282
2021-02-03,SF2105,6596,6658,6546,6614,137096.0,4525538960.0,6604,18,6612,4,126058.0,6602,6582.0,1.0481529229025122,112
2021-02-04,SF2105,6632,7000,6606,7000,393139.0,13472873530.0,7000,9614,0,0,169153.0,6854,6614.0,1.0481529229025122,394
2021-02-05,SF2105,7052,7072,6734,6740,422512.0,14483711360.0,6740,18,6742,42,128107.0,6856,7000.0,1.0481529229025122,338
2021-02-08,SF2105,6776,6922,6774,6814,212128.0,7256898880.0,6814,235,6816,30,124647.0,6842,6740.0,1.0481529229025122,148
2021-02-09,SF2105,6866,7036,6818,6942,190072.0,6574590480.0,6942,17,6944,4,113241.0,6918,6814.0,1.0481529229025122,218
2021-02-10,SF2105,6986,7160,6934,7158,196422.0,6925839720.0,7158,27,7160,311,105018.0,7052,6942.0,1.0481529229025122,226
2021-02-18,SF2105,7186,7410,7184,7338,146806.0,5351078700.0,7330,4,7338,4,120065.0,7290,7158.0,1.0481529229025122,226
2021-02-19,SF2105,7346,7346,7114,7224,152563.0,5495319260.0,7222,16,7224,2,120307.0,7204,7338.0,1.0481529229025122,232
2021-02-22,SF2105,7218,7510,7162,7370,274495.0,10073966500.0,7370,26,7376,11,139867.0,7340,7224.0,1.0481529229025122,348
2021-02-23,SF2105,7400,7604,7400,7530,230504.0,8657730240.0,7528,109,7530,35,132879.0,7512,7370.0,1.0481529229025122,204
2021-02-24,SF2105,7552,7782,7552,7746,263468.0,10143518000.0,7746,3,7748,8,146889.0,7700,7530.0,1.0481529229025122,230
2021-02-25,SF2105,7980,7998,7638,7684,321811.0,12463740030.0,7682,5,7684,2,153824.0,7746,7746.0,1.0481529229025122,360
2021-02-26,SF2105,7582,7882,7452,7796,286946.0,11064637760.0,7796,11,7798,3,157855.0,7712,7684.0,1.0481529229025122,430
2021-03-01,SF2105,8004,8112,7812,7920,317833.0,12605256780.0,7918,29,7920,4,160843.0,7932,7796.0,1.0481529229025122,300
2021-03-02,SF2105,7860,7914,7576,7692,290218.0,11240143140.0,7688,18,7692,14,144451.0,7746,7920.0,1.0481529229025122,338
2021-03-03,SF2105,7760,7924,7708,7762,290151.0,11333298060.0,7760,40,7764,18,149358.0,7812,7692.0,1.0481529229025122,216
2021-03-04,SF2105,7700,7808,7600,7726,218774.0,8429362220.0,7730,3,7734,9,146445.0,7706,7762.0,1.0481529229025122,208
2021-03-05,SF2105,7564,8080,7510,8078,374552.0,14581309360.0,8076,2,8078,47,188196.0,7786,7726.0,1.0481529229025122,570
2021-03-08,SF2105,8166,8254,7992,8076,423203.0,17215898040.0,8074,3,8076,9,217430.0,8136,8078.0,1.0481529229025122,262
2021-03-09,SF2105,8100,8188,7872,7968,321165.0,12920467950.0,7968,48,7970,15,208416.0,8046,8076.0,1.0481529229025122,316
2021-03-10,SF2105,7970,8386,7970,8110,631964.0,25720934800.0,8108,13,8110,15,263483.0,8140,7968.0,1.0481529229025122,416
2021-03-11,SF2105,8084,8084,7756,7846,436233.0,17157043890.0,7846,13,7848,237,216764.0,7866,8110.0,1.0481529229025122,328
2021-03-12,SF2105,7880,7910,7542,7552,370603.0,14301569770.0,7550,89,7556,3,199164.0,7718,7846.0,1.0481529229025122,368
2021-03-15,SF2105,7560,7564,7264,7370,346254.0,12731759580.0,7368,8,7370,11,178758.0,7354,7552.0,1.0481529229025122,300
2021-03-16,SF2105,7350,7406,7130,7134,259264.0,9408690560.0,7134,35,7136,15,177424.0,7258,7370.0,1.0481529229025122,276
2021-03-17,SF2105,7130,7180,7056,7096,195489.0,6947679060.0,7094,32,7096,5,170197.0,7108,7134.0,1.0481529229025122,124
2021-03-18,SF2105,7178,7350,7092,7254,281429.0,10207429830.0,7252,31,7254,6,167372.0,7254,7096.0,1.0481529229025122,258
2021-03-19,SF2105,7092,7282,6920,6962,274539.0,9737898330.0,6962,2,6966,1,154233.0,7094,7254.0,1.0481529229025122,362
2021-03-22,SF2105,6956,7218,6866,7190,252982.0,8945443520.0,7190,16,7192,25,150402.0,7072,6962.0,1.0481529229025122,352
2021-03-23,SF2105,7190,7190,6956,7018,220379.0,7761748380.0,7018,25,7020,24,149369.0,7044,7190.0,1.0481529229025122,234
2021-03-24,SF2105,6922,7062,6886,6928,177527.0,6181490140.0,6928,12,6930,25,144235.0,6964,7018.0,1.0481529229025122,176
2021-03-25,SF2105,6966,7136,6930,7036,217040.0,7644148800.0,7034,3,7036,477,143531.0,7044,6928.0,1.0481529229025122,206
2021-03-26,SF2105,7028,7078,6802,6978,240848.0,8367059520.0,6970,2,6976,5,144672.0,6948,7036.0,1.0481529229025122,276
