time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SM2105,6818,6942,6720,6898,210325.0,7199424750.0,6896,86,6900,223,115751.0,6846,6776.0,2.1514836761771785,222
2021-01-05,SM2105,6896,7040,6830,7038,281761.0,9774289090.0,7036,5,7038,11,133879.0,6938,6898.0,2.1514836761771785,210
2021-01-06,SM2105,7038,7254,7022,7186,321689.0,11461779070.0,7184,7,7186,98,149978.0,7126,7038.0,2.1514836761771785,232
2021-01-07,SM2105,7228,7546,7160,7448,429909.0,15885137550.0,7446,14,7448,30,170618.0,7390,7186.0,2.1514836761771785,386
2021-01-08,SM2105,7460,7808,7352,7474,736969.0,27805840370.0,7474,8,7476,12,152971.0,7546,7448.0,2.1514836761771785,456
2021-01-11,SM2105,7450,7674,7390,7564,445176.0,16760876400.0,7566,2,7570,13,141495.0,7530,7474.0,2.1514836761771785,284
2021-01-12,SM2105,7488,7498,7306,7422,259485.0,9595755300.0,7420,31,7422,7,144871.0,7396,7564.0,2.1514836761771785,192
2021-01-13,SM2105,7454,7614,7366,7524,422171.0,15827190790.0,7524,4,7526,7,145699.0,7498,7422.0,2.1514836761771785,248
2021-01-14,SM2105,7520,7618,7444,7478,383212.0,14397274840.0,7478,3,7480,4,145369.0,7514,7524.0,2.1514836761771785,174
2021-01-15,SM2105,7550,7640,7164,7304,648805.0,24038225250.0,7302,26,7304,19,139064.0,7410,7478.0,2.1514836761771785,476
2021-01-18,SM2105,7356,7490,7300,7438,309676.0,11501366640.0,7436,36,7438,165,127385.0,7428,7304.0,2.1514836761771785,190
2021-01-19,SM2105,7420,7510,7340,7444,209562.0,7776845820.0,7444,1,7446,92,126803.0,7422,7438.0,2.1514836761771785,170
2021-01-20,SM2105,7488,7570,7380,7512,341884.0,12762529720.0,7510,34,7512,4,131929.0,7466,7444.0,2.1514836761771785,190
2021-01-21,SM2105,7504,7540,7250,7256,369551.0,13562521700.0,7256,101,7258,40,127484.0,7340,7512.0,2.1514836761771785,290
2021-01-22,SM2105,7274,7372,7084,7110,304742.0,11022518140.0,7108,5,7112,4,120504.0,7234,7256.0,2.1514836761771785,288
2021-01-25,SM2105,7220,7280,7110,7182,290795.0,10486067700.0,7182,13,7184,5,119755.0,7212,7110.0,2.1514836761771785,170
2021-01-26,SM2105,7200,7226,6980,7042,182923.0,6502912650.0,7042,5,7044,44,125217.0,7110,7182.0,2.1514836761771785,246
2021-01-27,SM2105,7070,7110,7014,7030,167236.0,5900086080.0,7030,7,7032,20,124129.0,7056,7042.0,2.1514836761771785,96
2021-01-28,SM2105,6988,7096,6920,6984,253846.0,8902379220.0,6976,32,6984,9,121132.0,7014,7030.0,2.1514836761771785,176
2021-01-29,SM2105,6958,6994,6744,6802,242949.0,8323432740.0,6798,8,6802,25,120640.0,6852,6984.0,2.1514836761771785,250
2021-02-01,SM2105,6830,6920,6784,6874,153733.0,5274579230.0,6872,1,6874,30,115670.0,6862,6802.0,2.1514836761771785,136
2021-02-02,SM2105,6840,6896,6698,6740,177153.0,6007258230.0,6740,85,6742,2,114423.0,6782,6874.0,2.1514836761771785,198
2021-02-03,SM2105,6710,6790,6670,6768,137998.0,4647772640.0,6764,2,6766,3,116362.0,6736,6740.0,2.1514836761771785,120
2021-02-04,SM2105,6778,7024,6720,6986,365573.0,12626891420.0,6986,65,6988,87,123265.0,6908,6768.0,2.1514836761771785,304
2021-02-05,SM2105,6982,6998,6790,6798,235904.0,8117456640.0,6798,10,6800,6,125019.0,6882,6986.0,2.1514836761771785,208
2021-02-08,SM2105,6818,6892,6780,6834,158311.0,5406320650.0,6834,5,6836,48,127272.0,6830,6798.0,2.1514836761771785,112
2021-02-09,SM2105,6854,7072,6834,6970,194433.0,6750713760.0,6970,107,6972,57,112260.0,6944,6834.0,2.1514836761771785,238
2021-02-10,SM2105,6988,7240,6964,7240,223732.0,7958147240.0,7238,5,7240,18,104425.0,7114,6970.0,2.1514836761771785,276
2021-02-18,SM2105,7248,7498,7218,7482,206950.0,7607482000.0,7482,101,7484,2,112011.0,7352,7240.0,2.1514836761771785,280
2021-02-19,SM2105,7460,7468,7270,7344,177018.0,6500100960.0,7344,43,7346,113,113327.0,7344,7482.0,2.1514836761771785,198
2021-02-22,SM2105,7410,7590,7376,7496,296355.0,11086640550.0,7490,24,7496,53,120559.0,7482,7344.0,2.1514836761771785,214
2021-02-23,SM2105,7498,7606,7484,7552,221412.0,8351660640.0,7550,1,7552,12,122570.0,7544,7496.0,2.1514836761771785,122
2021-02-24,SM2105,7552,7758,7550,7628,301832.0,11557147280.0,7628,48,7630,13,129440.0,7658,7552.0,2.1514836761771785,208
2021-02-25,SM2105,7716,7780,7466,7518,300131.0,11395974070.0,7518,3,7520,6,132449.0,7594,7628.0,2.1514836761771785,314
2021-02-26,SM2105,7460,7680,7366,7632,265118.0,10016158040.0,7632,1,7634,4,125556.0,7556,7518.0,2.1514836761771785,314
2021-03-01,SM2105,7800,7898,7542,7726,336777.0,12969282270.0,7726,89,7730,29,129670.0,7702,7632.0,2.1514836761771785,356
2021-03-02,SM2105,7688,7784,7550,7648,284837.0,10926347320.0,7648,24,7650,10,123632.0,7672,7726.0,2.1514836761771785,234
2021-03-03,SM2105,7696,7770,7556,7584,266454.0,10205188200.0,7584,30,7586,60,129068.0,7660,7648.0,2.1514836761771785,214
2021-03-04,SM2105,7536,7660,7490,7506,235041.0,8889250620.0,7500,3,7506,6,128380.0,7564,7584.0,2.1514836761771785,170
2021-03-05,SM2105,7410,7828,7340,7814,321432.0,12098700480.0,7812,1,7814,12,134164.0,7528,7506.0,2.1514836761771785,488
2021-03-08,SM2105,7864,7948,7658,7758,303553.0,11817318290.0,7756,3,7758,80,145849.0,7786,7814.0,2.1514836761771785,290
2021-03-09,SM2105,7762,7820,7524,7564,258973.0,9936794010.0,7562,38,7564,25,134696.0,7674,7758.0,2.1514836761771785,296
2021-03-10,SM2105,7570,7790,7514,7558,341924.0,13020465920.0,7556,3,7558,11,129897.0,7616,7564.0,2.1514836761771785,276
2021-03-11,SM2105,7542,7542,7360,7416,251637.0,9355863660.0,7412,1,7414,1,124719.0,7436,7558.0,2.1514836761771785,182
2021-03-12,SM2105,7470,7498,7252,7270,241091.0,8855272430.0,7270,14,7276,3,125866.0,7346,7416.0,2.1514836761771785,246
2021-03-15,SM2105,7270,7270,7080,7140,225869.0,8068040680.0,7140,19,7142,13,120208.0,7144,7270.0,2.1514836761771785,190
2021-03-16,SM2105,7140,7190,7038,7038,153790.0,5462620800.0,7038,23,7040,9,122047.0,7104,7140.0,2.1514836761771785,152
2021-03-17,SM2105,7038,7094,6958,6978,159367.0,5589000690.0,6972,6,6978,36,126422.0,7014,7038.0,2.1514836761771785,136
2021-03-18,SM2105,7020,7176,6978,7112,192959.0,6850044500.0,7112,11,7114,6,114831.0,7100,6978.0,2.1514836761771785,198
2021-03-19,SM2105,7052,7160,6866,6910,248299.0,8692947990.0,6908,1,6910,92,126535.0,7002,7112.0,2.1514836761771785,294
2021-03-22,SM2105,6928,7080,6860,7054,176493.0,6152545980.0,7054,10,7056,46,117679.0,6972,6910.0,2.1514836761771785,220
2021-03-23,SM2105,7030,7032,6882,6920,166491.0,5772242970.0,6920,14,6922,11,122700.0,6934,7054.0,2.1514836761771785,150
2021-03-24,SM2105,6860,6994,6804,6834,223761.0,7699616010.0,6832,4,6834,2,134343.0,6882,6920.0,2.1514836761771785,190
2021-03-25,SM2105,6838,7010,6834,6942,181917.0,6308881560.0,6938,34,6942,35,125268.0,6936,6834.0,2.1514836761771785,176
2021-03-26,SM2105,6930,6958,6758,6910,253045.0,8692095750.0,6910,16,6912,33,129781.0,6870,6942.0,2.1514836761771785,200
2021-03-29,SM2105,6954,7050,6826,6832,255283.0,8876189910.0,6832,110,6834,25,128850.0,6954,6910.0,2.1514836761771785,224
2021-03-30,SM2105,6812,6906,6768,6788,200323.0,6847040140.0,6788,5,6790,13,136154.0,6836,6832.0,2.1514836761771785,138
2021-03-31,SM2105,6802,6850,6692,6784,239090.0,8090805600.0,6780,27,6784,10,146179.0,6768,6788.0,2.1514836761771785,158
2021-04-01,SM2105,6806,6880,6760,6792,210898.0,7187403840.0,6790,17,6794,25,138104.0,6816,6784.0,2.1514836761771785,120
2021-04-02,SM2105,6802,6916,6758,6854,232109.0,7935806710.0,6852,11,6854,53,128619.0,6838,6792.0,2.1514836761771785,158
2021-04-06,SM2105,6854,6922,6720,6834,270613.0,9225197170.0,6834,3,6836,11,136485.0,6818,6854.0,2.1514836761771785,202
2021-04-07,SM2105,6852,6950,6772,6830,297188.0,10214351560.0,6830,16,6836,51,120940.0,6874,6834.0,2.1514836761771785,178
2021-04-08,SM2105,6804,6900,6766,6766,196961.0,6738035810.0,6766,6,6772,37,122998.0,6842,6830.0,2.1514836761771785,134
2021-04-09,SM2105,6768,6810,6710,6712,188825.0,6386061500.0,6712,27,6714,10,144830.0,6764,6766.0,2.1514836761771785,100
2021-04-12,SM2105,6688,6754,6632,6708,233083.0,7801288010.0,6704,10,6708,11,153125.0,6694,6712.0,2.1514836761771785,122
2021-04-13,SM2105,6714,6818,6706,6778,209753.0,7091748930.0,6776,37,6778,21,127766.0,6762,6708.0,2.1514836761771785,112
2021-04-14,SM2105,6778,6930,6726,6930,262971.0,9004127040.0,6928,1,6930,153,108856.0,6848,6778.0,2.1514836761771785,204
2021-04-15,SM2105,6922,7060,6886,7028,236288.0,8239362560.0,7028,14,7038,12,95442.0,6974,6930.0,2.1514836761771785,174
2021-04-16,SM2105,7038,7164,6912,7112,261124.0,9217677200.0,7108,1,7112,30,80901.0,7060,7028.0,2.1514836761771785,252
2021-04-19,SM2105,7100,7220,7028,7146,152184.0,5426881440.0,7146,7,7148,16,64591.0,7132,7112.0,2.1514836761771785,192
2021-04-20,SM2105,7170,7178,7078,7128,87759.0,3124220400.0,7128,3,7134,7,57346.0,7120,7146.0,2.1514836761771785,100
2021-04-21,SM2109,7152,7266,7100,7192,246313.0,8867268000.0,7192,2,7196,1,122885.0,7200,7184.0,2.1347126452938374,166
2021-04-22,SM2109,7210,7300,7156,7208,223556.0,8099433880.0,7204,1,7208,12,136974.0,7246,7192.0,2.1347126452938374,144
2021-04-23,SM2109,7208,7450,7182,7448,259263.0,9501988950.0,7446,1,7448,15,160218.0,7330,7208.0,2.1347126452938374,268
2021-04-26,SM2109,7496,7500,7290,7298,200718.0,7412515740.0,7292,35,7298,26,156243.0,7386,7448.0,2.1347126452938374,210
2021-04-27,SM2109,7298,7352,7162,7202,228676.0,8291791760.0,7200,57,7202,129,154719.0,7252,7298.0,2.1347126452938374,190
2021-04-28,SM2109,7228,7314,7192,7228,190627.0,6914041290.0,7226,14,7228,55,153541.0,7254,7202.0,2.1347126452938374,122
2021-04-29,SM2109,7258,7426,7230,7380,201501.0,7401131730.0,7378,5,7380,31,160543.0,7346,7228.0,2.1347126452938374,196
2021-04-30,SM2109,7340,7456,7132,7144,304261.0,11072057790.0,7140,3,7144,156,144207.0,7278,7380.0,2.1347126452938374,324
2021-05-06,SM2109,7152,7418,7152,7368,271847.0,9922415500.0,7360,12,7364,3,143866.0,7300,7144.0,2.1347126452938374,266
2021-05-07,SM2109,7372,7568,7336,7436,344484.0,12828584160.0,7436,19,7440,3,158984.0,7448,7368.0,2.1347126452938374,232
2021-05-10,SM2109,7570,7678,7478,7612,383921.0,14539088270.0,7610,17,7612,7,168435.0,7574,7436.0,2.1347126452938374,200
2021-05-11,SM2109,7492,7592,7430,7476,291666.0,10937475000.0,7474,28,7476,31,162821.0,7500,7612.0,2.1347126452938374,162
2021-05-12,SM2109,7472,7738,7388,7662,410149.0,15479023260.0,7654,16,7664,1,187943.0,7548,7476.0,2.1347126452938374,350
2021-05-13,SM2109,7602,7742,7182,7218,548420.0,20384771400.0,7218,28,7220,11,182703.0,7434,7662.0,2.1347126452938374,560
2021-05-14,SM2109,7262,7350,7008,7118,462116.0,16603827880.0,7118,190,7120,9,169682.0,7186,7218.0,2.1347126452938374,342
2021-05-17,SM2109,7130,7238,7120,7180,237266.0,8522594720.0,7180,2,7182,13,164941.0,7184,7118.0,2.1347126452938374,118
2021-05-18,SM2109,7210,7448,7204,7442,324895.0,11907401750.0,7436,2,7446,65,158606.0,7330,7180.0,2.1347126452938374,244
2021-05-19,SM2109,7382,7494,7254,7442,444788.0,16443812360.0,7440,7,7444,42,152428.0,7394,7442.0,2.1347126452938374,240
2021-05-20,SM2109,7200,7586,7120,7580,545233.0,20157264010.0,7576,23,7580,34,169558.0,7394,7442.0,2.1347126452938374,466
2021-05-21,SM2109,7510,7700,7464,7536,507981.0,19181362560.0,7536,127,7538,33,162446.0,7552,7580.0,2.1347126452938374,236
2021-05-24,SM2109,7494,7590,7342,7460,490567.0,18312866110.0,7460,4,7464,16,146914.0,7466,7536.0,2.1347126452938374,248
2021-05-25,SM2109,7478,7612,7300,7302,535104.0,19932624000.0,7300,429,7302,5,152413.0,7450,7460.0,2.1347126452938374,312
2021-05-26,SM2109,7320,7380,7250,7276,236326.0,8651894860.0,7276,32,7280,2,153044.0,7322,7302.0,2.1347126452938374,130
2021-05-27,SM2109,7320,7342,7130,7162,331608.0,11957784480.0,7160,6,7162,119,156793.0,7212,7276.0,2.1347126452938374,212
2021-05-28,SM2109,7282,7478,7210,7464,409391.0,15008274060.0,7462,2,7464,14,137233.0,7332,7162.0,2.1347126452938374,268
2021-05-31,SM2109,7550,7772,7504,7772,524831.0,20101027300.0,7772,148,0,0,171425.0,7660,7464.0,2.1347126452938374,268
2021-06-01,SM2109,7798,7842,7704,7772,450140.0,17478936200.0,7772,28,7774,55,178980.0,7766,7772.0,2.1347126452938374,138
2021-06-02,SM2109,7736,7790,7646,7768,333034.0,12841791040.0,7764,46,7768,64,173728.0,7712,7772.0,2.1347126452938374,144
2021-06-03,SM2109,7850,7994,7686,7766,629863.0,24633941930.0,7764,32,7766,6,179892.0,7822,7768.0,2.1347126452938374,308
2021-06-04,SM2109,7700,7858,7676,7852,432448.0,16783306880.0,7856,2,7858,29,184644.0,7762,7766.0,2.1347126452938374,182
