time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SN2103,151870,154500,151000,154350,42591.0,6539422140.0,154360,2,154400,2,34093.0,153540,151170.0,0.8706123447634909,3500
2021-01-05,SN2103,154510,159800,154440,159050,86916.0,13691877480.0,159050,16,159070,1,40087.0,157530,154350.0,0.8706123447634909,5360
2021-01-06,SN2103,158390,159330,157210,158690,68847.0,10895037750.0,158650,4,158700,1,40471.0,158250,159050.0,0.8706123447634909,2120
2021-01-07,SN2103,158500,159500,157360,158650,65534.0,10374032200.0,158650,9,158760,3,41961.0,158300,158690.0,0.8706123447634909,2140
2021-01-08,SN2103,157790,158850,156510,158650,72063.0,11352805020.0,158600,40,158640,1,38786.0,157540,158650.0,0.8706123447634909,2340
2021-01-11,SN2103,158650,158650,152500,153770,77662.0,12043822960.0,153620,1,153770,1,33895.0,155080,158650.0,0.8706123447634909,6150
2021-01-12,SN2103,153050,154660,151520,153240,60370.0,9241439600.0,153150,8,153190,1,30835.0,153080,153770.0,0.8706123447634909,3140
2021-01-13,SN2103,153770,154460,152600,153240,56411.0,8658524390.0,153240,2,153340,4,31848.0,153490,153240.0,0.8706123447634909,1860
2021-01-14,SN2103,153390,154100,152090,153470,41192.0,6308554800.0,153410,1,153460,1,31836.0,153150,153240.0,0.8706123447634909,2010
2021-01-15,SN2103,153520,154840,153380,153680,42923.0,6612288150.0,153640,1,153750,1,32088.0,154050,153470.0,0.8706123447634909,1460
2021-01-18,SN2103,153680,157060,153650,156760,54256.0,8470446720.0,156730,4,156760,3,31760.0,156120,153680.0,0.8706123447634909,3410
2021-01-19,SN2103,156760,158440,156530,157920,47992.0,7558260080.0,157920,1,157940,6,33343.0,157490,156760.0,0.8706123447634909,1910
2021-01-20,SN2103,158000,158780,157340,157870,37878.0,5987375460.0,157830,8,157870,26,33194.0,158070,157920.0,0.8706123447634909,1440
2021-01-21,SN2103,158400,161800,158400,161720,72649.0,11616575100.0,161670,7,161690,1,39188.0,159900,157870.0,0.8706123447634909,3400
2021-01-22,SN2103,161230,164350,161200,162830,90527.0,14764048430.0,162820,1,162830,2,40856.0,163090,161720.0,0.8706123447634909,3150
2021-01-25,SN2103,162500,171460,162010,169760,122744.0,20519114480.0,169730,1,169800,7,43677.0,167170,162830.0,0.8706123447634909,9450
2021-01-26,SN2103,170310,173070,168500,170490,126638.0,21629770400.0,170480,1,170490,5,35437.0,170800,169760.0,0.8706123447634909,4570
2021-01-27,SN2103,172900,173890,169360,171090,135532.0,23277621000.0,171080,1,171100,1,30376.0,171750,170490.0,0.8706123447634909,4530
2021-01-28,SN2103,171470,172970,169870,170920,128848.0,22110316800.0,170900,3,170920,26,29166.0,171600,171090.0,0.8706123447634909,3100
2021-01-29,SN2103,171500,174880,170650,172110,137780.0,23829051000.0,172040,34,172110,1,25846.0,172950,170920.0,0.8706123447634909,4230
2021-02-01,SN2103,172950,173450,165890,169450,126020.0,21405757200.0,169450,37,169490,1,17673.0,169860,172110.0,0.8706123447634909,7560
2021-02-02,SN2103,169860,170300,166710,166720,65709.0,11066052690.0,166720,5,167000,1,15033.0,168410,169450.0,0.8706123447634909,3590
2021-02-03,SN2103,167310,168400,163250,164180,72963.0,12120613560.0,164180,1,164280,1,12070.0,166120,166720.0,0.8706123447634909,5150
2021-02-04,SN2103,164180,165000,162800,163720,43965.0,7206303150.0,163710,2,163780,10,10415.0,163910,164180.0,0.8706123447634909,2200
2021-02-05,SN2103,162900,165000,162500,163550,39434.0,6464809960.0,163550,1,163560,1,10312.0,163940,163720.0,0.8706123447634909,2500
2021-02-08,SN2104,164980,167300,164170,166260,85891.0,14272507470.0,166330,12,166470,9,36020.0,166170,163660.0,0.8700271843215749,3130
