time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SP2103,5750,5788,5686,5738,185935.0,10672669000.0,5738,2,5740,99,150171.0,5740,5746.0,0.8833191051808453,102
2021-01-05,SP2103,5742,5952,5724,5888,385690.0,22586006400.0,5888,4,5890,4,158990.0,5856,5738.0,0.8833191051808453,228
2021-01-06,SP2103,5898,5960,5872,5950,306781.0,18179842060.0,5948,69,5950,88,160574.0,5926,5888.0,0.8833191051808453,88
2021-01-07,SP2103,5966,6136,5962,6132,384821.0,23297063340.0,6130,34,6132,13,166710.0,6054,5950.0,0.8833191051808453,174
2021-01-08,SP2103,6130,6356,6002,6100,764976.0,47122521600.0,6100,56,6102,137,155413.0,6160,6132.0,0.8833191051808453,354
2021-01-11,SP2103,6116,6248,5914,5958,644710.0,39301521600.0,5954,66,5958,31,137414.0,6096,6100.0,0.8833191051808453,334
2021-01-12,SP2103,5958,6232,5896,6226,518402.0,31352952960.0,6226,94,6228,18,156125.0,6048,5958.0,0.8833191051808453,336
2021-01-13,SP2103,6220,6308,6132,6160,637896.0,39677131200.0,6158,16,6160,2,153912.0,6220,6226.0,0.8833191051808453,176
2021-01-14,SP2103,6184,6274,6082,6164,512629.0,31608704140.0,6164,6,6166,34,145570.0,6166,6160.0,0.8833191051808453,192
2021-01-15,SP2103,6150,6336,6150,6300,518179.0,32406914660.0,6298,80,6300,54,151969.0,6254,6164.0,0.8833191051808453,186
2021-01-18,SP2103,6300,6446,6258,6438,524122.0,33355124080.0,6436,100,6438,1,179816.0,6364,6300.0,0.8833191051808453,188
2021-01-19,SP2103,6430,6438,6202,6220,562348.0,35416677040.0,6218,89,6220,9,147449.0,6298,6438.0,0.8833191051808453,236
2021-01-20,SP2103,6236,6294,6208,6248,356245.0,22258187600.0,6248,20,6250,10,141996.0,6248,6220.0,0.8833191051808453,86
2021-01-21,SP2103,6252,6326,6180,6310,442351.0,27691172600.0,6310,4,6312,106,138964.0,6260,6248.0,0.8833191051808453,146
2021-01-22,SP2103,6310,6336,6242,6288,322279.0,20245566780.0,6286,72,6288,14,139004.0,6282,6310.0,0.8833191051808453,94
2021-01-25,SP2103,6280,6418,6232,6368,517046.0,32791057320.0,6368,4,6370,169,156073.0,6342,6288.0,0.8833191051808453,186
2021-01-26,SP2103,6366,6530,6350,6504,524952.0,33911899200.0,6500,138,6502,1,178552.0,6460,6368.0,0.8833191051808453,180
2021-01-27,SP2103,6502,6596,6480,6588,530561.0,34688078180.0,6588,20,6590,164,186218.0,6538,6504.0,0.8833191051808453,116
2021-01-28,SP2103,6586,6616,6472,6522,570524.0,37243806720.0,6522,91,6524,1,162630.0,6528,6588.0,0.8833191051808453,144
2021-01-29,SP2103,6526,6746,6524,6702,636244.0,42322950880.0,6700,171,6702,5,176334.0,6652,6522.0,0.8833191051808453,222
2021-02-01,SP2103,6700,6778,6622,6712,460826.0,30875342000.0,6712,19,6716,145,150303.0,6700,6702.0,0.8833191051808453,156
2021-02-02,SP2103,6720,6738,6636,6712,354679.0,23699650780.0,6710,66,6712,28,149209.0,6682,6712.0,0.8833191051808453,102
2021-02-03,SP2103,6710,6756,6396,6448,605296.0,39767947200.0,6448,20,6454,177,115489.0,6570,6712.0,0.8833191051808453,360
2021-02-04,SP2103,6448,6598,6426,6586,379772.0,24677584560.0,6584,175,6586,223,103225.0,6498,6448.0,0.8833191051808453,172
2021-02-05,SP2103,6580,6640,6534,6624,291373.0,19224790540.0,6622,115,6624,8,97673.0,6598,6586.0,0.8833191051808453,106
2021-02-08,SP2105,6576,6632,6456,6626,445723.0,29150284200.0,6624,9,6628,127,165074.0,6540,6560.0,0.8919368525484633,176
2021-02-09,SP2105,6608,6786,6588,6726,458768.0,30664053120.0,6724,2,6726,34,175647.0,6684,6626.0,0.8919368525484633,198
2021-02-10,SP2105,6724,6836,6684,6810,343069.0,23177741640.0,6808,5,6810,18,175726.0,6756,6726.0,0.8919368525484633,152
2021-02-18,SP2105,6880,6916,6728,6820,236201.0,16113632220.0,6818,31,6820,173,182822.0,6822,6810.0,0.8919368525484633,188
2021-02-19,SP2105,6820,7002,6802,6972,440742.0,30534605760.0,6972,2,6974,30,212270.0,6928,6820.0,0.8919368525484633,200
2021-02-22,SP2105,6972,7034,6870,6942,473848.0,32875574240.0,6940,8,6942,37,209033.0,6938,6972.0,0.8919368525484633,164
2021-02-23,SP2105,6942,7340,6878,7234,746617.0,53338318480.0,7232,7,7234,6,218380.0,7144,6942.0,0.8919368525484633,462
2021-02-24,SP2105,7234,7310,7196,7286,480476.0,34863338560.0,7284,18,7286,23,222281.0,7256,7234.0,0.8919368525484633,114
2021-02-25,SP2105,7304,7536,7220,7476,559215.0,41214145500.0,7474,11,7476,140,213969.0,7370,7286.0,0.8919368525484633,316
2021-02-26,SP2105,7470,7526,7338,7466,524674.0,38993771680.0,7466,3,7468,88,214787.0,7432,7476.0,0.8919368525484633,188
2021-03-01,SP2105,7448,7652,7396,7488,645364.0,48466836400.0,7488,61,7490,71,212949.0,7510,7466.0,0.8919368525484633,256
2021-03-02,SP2105,7496,7510,7094,7256,845862.0,61663339800.0,7250,45,7258,2,193343.0,7290,7488.0,0.8919368525484633,416
2021-03-03,SP2105,7288,7608,7286,7410,1001696.0,74706487680.0,7410,293,7414,54,192378.0,7458,7256.0,0.8919368525484633,322
2021-03-04,SP2105,7438,7446,7322,7352,625218.0,46103575320.0,7352,10,7354,7,185745.0,7374,7410.0,0.8919368525484633,124
2021-03-05,SP2105,7332,7352,7114,7286,753854.0,54579029600.0,7284,50,7288,67,179888.0,7240,7352.0,0.8919368525484633,238
2021-03-08,SP2105,7312,7440,7128,7232,758728.0,54977430880.0,7230,4,7232,30,181793.0,7246,7286.0,0.8919368525484633,312
2021-03-09,SP2105,7228,7396,7104,7218,806610.0,58656679200.0,7216,3,7220,13,180621.0,7272,7232.0,0.8919368525484633,292
2021-03-10,SP2105,7250,7382,7160,7236,866514.0,62822265000.0,7236,6,7240,33,186828.0,7250,7218.0,0.8919368525484633,222
2021-03-11,SP2105,7268,7336,7140,7260,826726.0,59673082680.0,7258,32,7260,92,194430.0,7218,7236.0,0.8919368525484633,196
2021-03-12,SP2105,7286,7368,7218,7312,684789.0,49893726540.0,7312,35,7314,34,192582.0,7286,7260.0,0.8919368525484633,150
2021-03-15,SP2105,7318,7406,7178,7240,751654.0,54705378120.0,7238,1,7240,80,194525.0,7278,7312.0,0.8919368525484633,228
2021-03-16,SP2105,7250,7266,7006,7144,922894.0,65783884320.0,7142,178,7144,1,209606.0,7128,7240.0,0.8919368525484633,260
2021-03-17,SP2105,7144,7250,7128,7248,520382.0,37384242880.0,7246,35,7248,72,211852.0,7184,7144.0,0.8919368525484633,122
2021-03-18,SP2105,7230,7348,7220,7338,526142.0,38334706120.0,7338,22,7342,87,218241.0,7286,7248.0,0.8919368525484633,128
2021-03-19,SP2105,7314,7320,7024,7058,737639.0,52829705180.0,7058,12,7060,74,201944.0,7162,7338.0,0.8919368525484633,296
2021-03-22,SP2105,7068,7260,7020,7234,698621.0,49895511820.0,7232,11,7234,4,188788.0,7142,7058.0,0.8919368525484633,240
2021-03-23,SP2105,7232,7248,7140,7180,497989.0,35795449320.0,7178,10,7180,6,177925.0,7188,7234.0,0.8919368525484633,108
2021-03-24,SP2105,7148,7208,7034,7178,636688.0,45421321920.0,7176,157,7180,69,169498.0,7134,7180.0,0.8919368525484633,174
2021-03-25,SP2105,7184,7216,7050,7052,482881.0,34390784820.0,7050,2603,7052,42,175192.0,7122,7178.0,0.8919368525484633,166
2021-03-26,SP2105,7040,7086,6826,7076,685697.0,47834222720.0,7076,12,7080,58,160980.0,6976,7052.0,0.8919368525484633,260
2021-03-29,SP2105,7076,7120,7010,7014,511540.0,36053339200.0,7012,62,7014,45,163161.0,7048,7076.0,0.8919368525484633,110
2021-03-30,SP2105,7020,7022,6730,6798,703736.0,48304439040.0,6798,73,6800,52,160282.0,6864,7014.0,0.8919368525484633,292
2021-03-31,SP2105,6780,6846,6590,6630,615687.0,41608127460.0,6626,18,6630,8,150900.0,6758,6798.0,0.8919368525484633,256
2021-04-01,SP2105,6630,7004,6626,6984,532234.0,36298358800.0,6984,9,6986,42,131754.0,6820,6630.0,0.8919368525484633,378
2021-04-02,SP2105,6998,7228,6944,7106,733096.0,51932520640.0,7104,86,7106,1,104633.0,7084,6984.0,0.8919368525484633,284
2021-04-06,SP2105,6988,7284,6988,7212,298908.0,21455616240.0,7210,63,7212,7,101306.0,7178,7106.0,0.8919368525484633,296
2021-04-07,SP2105,7210,7286,7178,7254,315225.0,22841203500.0,7254,27,7256,76,103926.0,7246,7212.0,0.8919368525484633,108
2021-04-08,SP2105,7254,7276,7194,7224,218277.0,15790158180.0,7224,64,7226,2,100527.0,7234,7254.0,0.8919368525484633,82
2021-04-09,SP2105,7250,7262,7126,7154,311004.0,22292766720.0,7152,26,7154,12,92916.0,7168,7224.0,0.8919368525484633,136
2021-04-12,SP2105,7160,7200,7000,7034,278878.0,19778027760.0,7032,21,7034,49,84474.0,7092,7154.0,0.8919368525484633,200
2021-04-13,SP2105,7058,7428,7022,7354,371443.0,26966761800.0,7354,14,7356,72,93359.0,7260,7034.0,0.8919368525484633,406
2021-04-14,SP2105,7354,7382,7298,7328,170649.0,12525636600.0,7326,15,7332,11,82129.0,7340,7354.0,0.8919368525484633,84
2021-04-15,SP2106,7200,7204,7038,7104,438528.0,31196881920.0,7102,51,7106,38,169842.0,7114,7234.0,0.9035268531206994,166
2021-04-16,SP2106,7112,7308,7112,7272,438744.0,31686091680.0,7270,14,7274,2,183184.0,7222,7104.0,0.9035268531206994,196
2021-04-19,SP2106,7272,7414,7210,7334,456004.0,33324772320.0,7332,7,7334,2,190703.0,7308,7272.0,0.9035268531206994,204
2021-04-20,SP2106,7334,7348,7254,7326,273626.0,19963752960.0,7320,412,7326,19,189979.0,7296,7334.0,0.9035268531206994,94
2021-04-21,SP2106,7310,7316,7128,7196,377219.0,27220123040.0,7196,73,7198,79,176138.0,7216,7326.0,0.9035268531206994,188
2021-04-22,SP2106,7186,7222,7080,7136,376036.0,26848970400.0,7134,72,7138,16,176975.0,7140,7196.0,0.9035268531206994,142
2021-04-23,SP2106,7136,7164,7070,7122,340507.0,24223667980.0,7120,1,7122,27,171058.0,7114,7136.0,0.9035268531206994,94
2021-04-26,SP2106,7118,7240,7092,7224,384469.0,27574116680.0,7222,18,7224,1,167233.0,7172,7122.0,0.9035268531206994,148
2021-04-27,SP2106,7248,7248,7164,7196,271142.0,19533069680.0,7192,58,7196,54,157167.0,7204,7224.0,0.9035268531206994,84
2021-04-28,SP2106,7196,7276,7186,7220,285531.0,20643891300.0,7214,37,7220,26,145254.0,7230,7196.0,0.9035268531206994,90
2021-04-29,SP2106,7206,7244,7096,7146,275779.0,19784385460.0,7144,4,7146,35,132707.0,7174,7220.0,0.9035268531206994,148
2021-04-30,SP2106,7180,7192,7094,7140,268494.0,19186581240.0,7130,32,7136,1,111863.0,7146,7146.0,0.9035268531206994,98
