time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,SR2105,5230,5331,5220,5330,490715.0,25944102050.0,5330,25,5331,770,467893.0,5287,5215.0,0.6387376846141625,111
2021-01-05,SR2105,5335,5364,5310,5340,480371.0,25656615110.0,5340,13,5341,124,467109.0,5341,5330.0,0.6387376846141625,54
2021-01-06,SR2105,5340,5374,5315,5355,487336.0,26028615760.0,5354,254,5355,34,477576.0,5341,5340.0,0.6387376846141625,59
2021-01-07,SR2105,5351,5363,5278,5337,512167.0,27303622770.0,5337,62,5338,51,478806.0,5331,5355.0,0.6387376846141625,85
2021-01-08,SR2105,5320,5330,5224,5266,617811.0,32595708360.0,5265,19,5266,46,470722.0,5276,5337.0,0.6387376846141625,106
2021-01-11,SR2105,5268,5281,5160,5179,547101.0,28525846140.0,5179,12,5180,90,439825.0,5214,5266.0,0.6387376846141625,121
2021-01-12,SR2105,5180,5225,5180,5209,371766.0,19354137960.0,5209,19,5210,4,442855.0,5206,5179.0,0.6387376846141625,45
2021-01-13,SR2105,5220,5237,5170,5225,467543.0,24363665730.0,5224,85,5225,64,448147.0,5211,5209.0,0.6387376846141625,67
2021-01-14,SR2105,5230,5288,5229,5273,415275.0,21855923250.0,5273,8,5274,1,444920.0,5263,5225.0,0.6387376846141625,59
2021-01-15,SR2105,5291,5467,5263,5450,856272.0,46135935360.0,5450,7,5451,15,478201.0,5388,5273.0,0.6387376846141625,204
2021-01-18,SR2105,5435,5490,5413,5448,472083.0,25695477690.0,5447,1,5448,92,480275.0,5443,5450.0,0.6387376846141625,77
2021-01-19,SR2105,5435,5463,5404,5435,434684.0,23625075400.0,5435,48,5436,1,475454.0,5435,5448.0,0.6387376846141625,59
2021-01-20,SR2105,5445,5449,5313,5330,613407.0,32909285550.0,5330,1,5331,52,449477.0,5365,5435.0,0.6387376846141625,136
2021-01-21,SR2105,5336,5355,5321,5332,355624.0,18993877840.0,5331,115,5332,144,446682.0,5341,5330.0,0.6387376846141625,34
2021-01-22,SR2105,5318,5329,5236,5258,585133.0,30889171070.0,5256,25,5259,58,437131.0,5279,5332.0,0.6387376846141625,93
2021-01-25,SR2105,5245,5273,5223,5262,357405.0,18785206800.0,5262,55,5263,11,445317.0,5256,5258.0,0.6387376846141625,50
2021-01-26,SR2105,5259,5294,5231,5268,417138.0,21928944660.0,5267,2,5268,21,456663.0,5257,5262.0,0.6387376846141625,63
2021-01-27,SR2105,5268,5299,5252,5286,331551.0,17495946270.0,5285,123,5286,36,463684.0,5277,5268.0,0.6387376846141625,47
2021-01-28,SR2105,5300,5310,5211,5226,414133.0,21733699840.0,5225,1,5226,3,463274.0,5248,5286.0,0.6387376846141625,99
2021-01-29,SR2105,5230,5257,5202,5215,323406.0,16894729440.0,5214,46,5215,393,462388.0,5224,5226.0,0.6387376846141625,55
2021-02-01,SR2105,5227,5274,5220,5266,321055.0,16848966400.0,5265,3,5266,51,451797.0,5248,5215.0,0.6387376846141625,54
2021-02-02,SR2105,5270,5305,5248,5283,391150.0,20640985500.0,5283,31,5284,86,435585.0,5277,5266.0,0.6387376846141625,57
2021-02-03,SR2105,5283,5334,5264,5328,466886.0,24777640020.0,5328,123,5329,11,430762.0,5307,5283.0,0.6387376846141625,70
2021-02-04,SR2105,5325,5326,5281,5318,358887.0,19046133090.0,5317,54,5318,6,418728.0,5307,5328.0,0.6387376846141625,45
2021-02-05,SR2105,5318,5355,5291,5342,395912.0,21078354880.0,5340,22,5342,9,424176.0,5324,5318.0,0.6387376846141625,64
2021-02-08,SR2105,5345,5376,5292,5305,419121.0,22343340510.0,5304,45,5306,154,422257.0,5331,5342.0,0.6387376846141625,84
2021-02-09,SR2105,5317,5317,5235,5248,394046.0,20754402820.0,5247,12,5249,20,423626.0,5267,5305.0,0.6387376846141625,82
2021-02-10,SR2105,5251,5271,5225,5238,252766.0,13262632020.0,5238,3,5239,79,417438.0,5247,5248.0,0.6387376846141625,46
2021-02-18,SR2105,5288,5387,5275,5383,336469.0,17960715220.0,5382,227,5383,39,414810.0,5338,5238.0,0.6387376846141625,112
2021-02-19,SR2105,5389,5440,5381,5429,368407.0,19938186840.0,5428,31,5429,14,424180.0,5412,5383.0,0.6387376846141625,59
2021-02-22,SR2105,5440,5455,5414,5441,363227.0,19730490640.0,5441,21,5442,68,430038.0,5432,5429.0,0.6387376846141625,41
2021-02-23,SR2105,5440,5526,5392,5472,563775.0,30832854750.0,5470,43,5472,351,432328.0,5469,5441.0,0.6387376846141625,134
2021-02-24,SR2105,5473,5485,5412,5446,401207.0,21841709080.0,5445,92,5446,29,424864.0,5444,5472.0,0.6387376846141625,73
2021-02-25,SR2105,5460,5557,5447,5500,558490.0,30722534900.0,5500,9,5501,1,451575.0,5501,5446.0,0.6387376846141625,110
2021-02-26,SR2105,5503,5517,5353,5390,512643.0,27826262040.0,5390,16,5391,2,413259.0,5428,5500.0,0.6387376846141625,164
2021-03-01,SR2105,5368,5454,5340,5453,430963.0,23315098300.0,5453,2,5454,192,400455.0,5410,5390.0,0.6387376846141625,114
2021-03-02,SR2105,5455,5486,5373,5433,530774.0,28826335940.0,5431,105,5433,155,380754.0,5431,5453.0,0.6387376846141625,113
2021-03-03,SR2105,5420,5518,5417,5517,505019.0,27659890630.0,5515,146,5517,267,401462.0,5477,5433.0,0.6387376846141625,101
2021-03-04,SR2105,5500,5522,5454,5494,505536.0,27728649600.0,5493,2,5494,8,390880.0,5485,5517.0,0.6387376846141625,68
2021-03-05,SR2105,5500,5560,5406,5409,756177.0,41461184910.0,5408,3,5409,12,364425.0,5483,5494.0,0.6387376846141625,154
2021-03-08,SR2105,5402,5458,5384,5434,440803.0,23904746690.0,5432,42,5434,57,355675.0,5423,5409.0,0.6387376846141625,74
2021-03-09,SR2105,5432,5435,5364,5366,340311.0,18352972230.0,5364,166,5365,1,345146.0,5393,5434.0,0.6387376846141625,71
2021-03-10,SR2105,5361,5375,5310,5340,362095.0,19353977750.0,5339,15,5340,14,334442.0,5345,5366.0,0.6387376846141625,65
2021-03-11,SR2105,5345,5388,5342,5384,284677.0,15278614590.0,5384,1,5385,53,324325.0,5367,5340.0,0.6387376846141625,46
2021-03-12,SR2105,5390,5454,5370,5428,368003.0,19916322360.0,5427,8,5428,85,306540.0,5412,5384.0,0.6387376846141625,84
2021-03-15,SR2105,5418,5419,5335,5351,335660.0,18014872200.0,5350,239,5351,4,299446.0,5367,5428.0,0.6387376846141625,84
2021-03-16,SR2105,5345,5361,5322,5336,242058.0,12925897200.0,5336,22,5337,27,294202.0,5340,5351.0,0.6387376846141625,39
2021-03-17,SR2105,5360,5390,5346,5374,252227.0,13542067630.0,5373,2,5375,140,273967.0,5369,5336.0,0.6387376846141625,44
2021-03-18,SR2105,5350,5406,5342,5397,246637.0,13261671490.0,5396,14,5397,18,259439.0,5377,5374.0,0.6387376846141625,64
2021-03-19,SR2105,5386,5390,5285,5289,352006.0,18744319500.0,5289,2,5292,8,248018.0,5325,5397.0,0.6387376846141625,105
2021-03-22,SR2105,5290,5320,5290,5303,149510.0,7933000600.0,5301,43,5303,23,237029.0,5306,5289.0,0.6387376846141625,30
2021-03-23,SR2105,5301,5309,5276,5304,159293.0,8432971420.0,5303,2,5304,55,230382.0,5294,5303.0,0.6387376846141625,33
2021-03-24,SR2105,5270,5325,5246,5318,219799.0,11620773130.0,5317,33,5318,1,219759.0,5287,5304.0,0.6387376846141625,79
2021-03-25,SR2105,5313,5349,5305,5337,141154.0,7526331280.0,5335,9,5337,5,204692.0,5332,5318.0,0.6387376846141625,44
2021-03-26,SR2105,5300,5315,5260,5272,189620.0,10017624600.0,5272,4,5273,7,207127.0,5283,5337.0,0.6387376846141625,55
2021-03-29,SR2109,5360,5371,5295,5313,293189.0,15635769370.0,5312,3,5313,66,439785.0,5333,5350.0,0.6294252473431523,76
2021-03-30,SR2109,5313,5347,5312,5324,173781.0,9260789490.0,5323,3,5324,26,440268.0,5329,5313.0,0.6294252473431523,35
2021-03-31,SR2109,5321,5346,5260,5269,265596.0,14073932040.0,5266,1,5269,49,465085.0,5299,5324.0,0.6294252473431523,86
2021-04-01,SR2109,5271,5338,5270,5330,238590.0,12654813600.0,5330,10,5331,127,451849.0,5304,5269.0,0.6294252473431523,68
2021-04-02,SR2109,5325,5336,5309,5333,183658.0,9776115340.0,5333,11,5334,2,453658.0,5323,5330.0,0.6294252473431523,27
2021-04-06,SR2109,5338,5389,5331,5372,204133.0,10963983430.0,5372,112,5373,31,436482.0,5371,5333.0,0.6294252473431523,58
2021-04-07,SR2109,5379,5385,5352,5377,185042.0,9933054560.0,5375,29,5376,1,438707.0,5368,5372.0,0.6294252473431523,33
2021-04-08,SR2109,5377,5384,5332,5362,265521.0,14245201650.0,5361,24,5362,1,443416.0,5365,5377.0,0.6294252473431523,52
2021-04-09,SR2109,5361,5367,5315,5362,269421.0,14392469820.0,5361,203,5362,264,452798.0,5342,5362.0,0.6294252473431523,52
2021-04-12,SR2109,5375,5413,5344,5348,432912.0,23325298560.0,5347,3,5348,3,454947.0,5388,5362.0,0.6294252473431523,69
2021-04-13,SR2109,5355,5365,5302,5314,333772.0,17786709880.0,5313,6,5315,140,475900.0,5329,5348.0,0.6294252473431523,63
2021-04-14,SR2109,5338,5338,5271,5272,314186.0,16636148700.0,5271,243,5273,2,504691.0,5295,5314.0,0.6294252473431523,67
2021-04-15,SR2109,5298,5316,5288,5309,243752.0,12926168560.0,5308,180,5309,8,511681.0,5303,5272.0,0.6294252473431523,28
2021-04-16,SR2109,5319,5420,5312,5410,482048.0,25924541440.0,5409,1,5410,7,467604.0,5378,5309.0,0.6294252473431523,108
2021-04-19,SR2109,5410,5453,5386,5449,335505.0,18204501300.0,5450,20,5451,121,484942.0,5426,5410.0,0.6294252473431523,67
2021-04-20,SR2109,5449,5451,5411,5443,223282.0,12128678240.0,5441,52,5443,148,489723.0,5432,5449.0,0.6294252473431523,40
2021-04-21,SR2109,5470,5495,5446,5464,308084.0,16849113960.0,5463,6,5464,28,493886.0,5469,5443.0,0.6294252473431523,49
2021-04-22,SR2109,5456,5494,5431,5486,334383.0,18304125420.0,5485,2,5486,134,507468.0,5474,5464.0,0.6294252473431523,63
2021-04-23,SR2109,5494,5510,5471,5482,287485.0,15782926500.0,5482,2,5483,114,513323.0,5490,5486.0,0.6294252473431523,39
2021-04-26,SR2109,5490,5528,5471,5490,351376.0,19301083680.0,5489,27,5490,48,510031.0,5493,5482.0,0.6294252473431523,57
2021-04-27,SR2109,5490,5538,5464,5534,339575.0,18703791000.0,5533,31,5534,182,527565.0,5508,5490.0,0.6294252473431523,74
2021-04-28,SR2109,5534,5594,5511,5542,382329.0,21234552660.0,5542,3,5543,416,533623.0,5554,5534.0,0.6294252473431523,83
2021-04-29,SR2109,5525,5555,5505,5550,289420.0,15984666600.0,5550,28,5551,1,531369.0,5523,5542.0,0.6294252473431523,50
2021-04-30,SR2109,5550,5562,5460,5464,353289.0,19423829220.0,5464,20,5465,14,491039.0,5498,5550.0,0.6294252473431523,102
2021-05-06,SR2109,5520,5575,5506,5571,282980.0,15665772800.0,5570,18,5571,86,508825.0,5536,5464.0,0.6294252473431523,69
2021-05-07,SR2109,5571,5612,5555,5610,459084.0,25639841400.0,5608,11,5610,1036,533452.0,5585,5571.0,0.6294252473431523,57
2021-05-10,SR2109,5585,5635,5579,5626,498625.0,27962890000.0,5625,464,5626,2,534741.0,5608,5610.0,0.6294252473431523,56
2021-05-11,SR2109,5635,5667,5576,5627,463896.0,26033843520.0,5626,25,5627,56,522618.0,5612,5626.0,0.6294252473431523,91
2021-05-12,SR2109,5652,5822,5645,5786,764263.0,44075047210.0,5785,611,5787,108,563529.0,5767,5627.0,0.6294252473431523,177
2021-05-13,SR2109,5747,5797,5688,5720,597725.0,34333324000.0,5719,2,5720,1,541920.0,5744,5786.0,0.6294252473431523,109
2021-05-14,SR2109,5690,5700,5609,5665,589340.0,33303603400.0,5664,45,5665,272,523242.0,5651,5720.0,0.6294252473431523,91
2021-05-17,SR2109,5665,5684,5614,5636,362085.0,20446939950.0,5636,57,5637,1,525848.0,5647,5665.0,0.6294252473431523,70
2021-05-18,SR2109,5619,5688,5603,5672,383560.0,21709496000.0,5671,10,5672,35,536219.0,5660,5636.0,0.6294252473431523,85
2021-05-19,SR2109,5674,5716,5585,5598,606789.0,34313917950.0,5598,11,5599,14,520772.0,5655,5672.0,0.6294252473431523,131
2021-05-20,SR2109,5576,5616,5526,5613,448366.0,24942600580.0,5613,4,5614,86,495865.0,5563,5598.0,0.6294252473431523,90
