time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,T2103,97.95,98.065,97.805,97.84,46679,45666065700.0,97.84,55,97.85,8,112509,97.83,97.995,1.095038967785374,0.2599999999999909
2021-01-05,T2103,97.885,98.135,97.845,98.07,46983,46080926400.0,98.07,21,98.075,40,115753,98.08,97.84,1.095038967785374,0.29000000000000625
2021-01-06,T2103,98.12,98.245,97.995,98.105,55342,54276666500.0,98.1,9,98.105,19,116340,98.075,98.07,1.095038967785374,0.25
2021-01-07,T2103,98.225,98.285,98.1,98.125,54330,53319462000.0,98.125,22,98.135,22,118834,98.14,98.105,1.095038967785374,0.18500000000000227
2021-01-08,T2103,98.105,98.12,97.825,97.94,57755,56527706250.0,97.94,102,97.945,3,113832,97.875,98.125,1.095038967785374,0.2950000000000017
2021-01-11,T2103,97.9,97.94,97.655,97.835,62679,61290660150.0,97.83,7,97.835,4,110479,97.785,97.94,1.095038967785374,0.2849999999999966
2021-01-12,T2103,97.85,97.975,97.74,97.965,51395,50295147000.0,97.96,1,97.965,6,109340,97.86,97.835,1.095038967785374,0.23499999999999943
2021-01-13,T2103,97.915,98.085,97.865,98.04,54430,53371336500.0,98.04,9,98.045,48,114162,98.055,97.965,1.095038967785374,0.21999999999999886
2021-01-14,T2103,98.19,98.405,98.085,98.2,68076,66857439600.0,98.195,6,98.2,192,114323,98.21,98.04,1.095038967785374,0.3200000000000074
2021-01-15,T2103,98.19,98.275,97.91,97.92,62019,60741408599.99999,97.92,27,97.925,16,116908,97.94,98.2,1.095038967785374,0.3650000000000091
2021-01-18,T2103,97.84,97.9,97.72,97.825,57522,56288153100.00001,97.82,36,97.825,11,112792,97.855,97.92,1.095038967785374,0.18000000000000682
2021-01-19,T2103,97.825,97.96,97.805,97.86,43940,43026048000.0,97.86,10,97.865,6,110995,97.92,97.825,1.095038967785374,0.15499999999998693
