time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,TA2105,3824,3934,3804,3922,1581564.0,30650710320.0,3922,374,3924,262,2705736.0,3876,3820.0,0.943301569899548,130
2021-01-05,TA2105,3898,3940,3874,3890,1647191.0,32136696410.0,3888,1161,3890,611,2692465.0,3902,3922.0,0.943301569899548,66
2021-01-06,TA2105,3908,3990,3894,3952,1714980.0,33819405600.0,3950,940,3954,855,2662615.0,3944,3890.0,0.943301569899548,96
2021-01-07,TA2105,3946,4094,3928,4068,2247914.0,45115633980.0,4068,218,4070,1370,2711888.0,4014,3952.0,0.943301569899548,166
2021-01-08,TA2105,4060,4088,4006,4028,1716326.0,34772764760.0,4028,28,4030,491,2704891.0,4052,4068.0,0.943301569899548,82
2021-01-11,TA2105,4046,4066,3886,3910,2844204.0,56457449400.0,3910,4612,3912,630,2396441.0,3970,4028.0,0.943301569899548,180
2021-01-12,TA2105,3910,3972,3892,3964,1645222.0,32361516740.0,3962,72,3964,102,2367006.0,3934,3910.0,0.943301569899548,80
2021-01-13,TA2105,3990,4074,3950,4062,1693762.0,34044616200.0,4062,77,4064,1222,2356640.0,4020,3964.0,0.943301569899548,124
2021-01-14,TA2105,4050,4110,4012,4034,2158674.0,43799495460.0,4034,167,4036,92,2430505.0,4058,4062.0,0.943301569899548,98
2021-01-15,TA2105,4030,4098,4002,4036,1912798.0,38695903540.0,4034,76,4036,194,2448107.0,4046,4034.0,0.943301569899548,96
2021-01-18,TA2105,4036,4062,3940,3980,1609957.0,32166940860.0,3978,466,3980,545,2393018.0,3996,4036.0,0.943301569899548,122
2021-01-19,TA2105,3976,4026,3956,3978,1257248.0,25107242560.0,3978,206,3980,1267,2398977.0,3994,3980.0,0.943301569899548,70
2021-01-20,TA2105,3990,4014,3968,3984,1162237.0,23198250520.0,3984,1389,3986,795,2408043.0,3992,3978.0,0.943301569899548,46
2021-01-21,TA2105,3984,4002,3938,3962,1299115.0,25800423900.0,3960,137,3962,524,2397806.0,3972,3984.0,0.943301569899548,64
2021-01-22,TA2105,3962,3972,3876,3892,2003667.0,39271873200.0,3892,13,3894,88,2284845.0,3920,3962.0,0.943301569899548,96
2021-01-25,TA2105,3874,3950,3852,3928,1684746.0,32835699540.0,3926,1755,3928,69,2196644.0,3898,3892.0,0.943301569899548,98
2021-01-26,TA2105,3918,3978,3886,3890,1113516.0,21902859720.0,3890,271,3892,12,2160566.0,3934,3928.0,0.943301569899548,92
2021-01-27,TA2105,3916,3954,3898,3940,993864.0,19519488960.0,3940,1013,3942,851,2162597.0,3928,3890.0,0.943301569899548,56
2021-01-28,TA2105,3920,3942,3896,3912,1004051.0,19649278070.0,3910,3910,3912,96,2125566.0,3914,3940.0,0.943301569899548,46
2021-01-29,TA2105,3930,4044,3924,4036,2063075.0,41220238500.0,4034,58,4036,1373,2164892.0,3996,3912.0,0.943301569899548,120
2021-02-01,TA2105,4056,4134,4040,4122,2005154.0,41065553920.0,4122,160,4124,2,2285010.0,4096,4036.0,0.943301569899548,94
2021-02-02,TA2105,4130,4178,4116,4148,1650523.0,34215341790.0,4148,29,4150,2337,2290706.0,4146,4122.0,0.943301569899548,62
2021-02-03,TA2105,4156,4196,4082,4108,1843393.0,38213536890.0,4108,213,4110,730,2267510.0,4146,4148.0,0.943301569899548,114
2021-02-04,TA2105,4112,4158,4102,4156,1312309.0,27099180850.0,4154,403,4156,94,2239706.0,4130,4108.0,0.943301569899548,56
2021-02-05,TA2105,4156,4162,4102,4140,1269841.0,26247613470.0,4138,42,4140,1137,2209277.0,4134,4156.0,0.943301569899548,60
2021-02-08,TA2105,4146,4228,4126,4166,1988553.0,41580643230.0,4166,470,4168,803,2229297.0,4182,4140.0,0.943301569899548,102
