time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,TF2103,99.8,99.84,99.705,99.755,18153,18103986900.0,99.75,5,99.755,8,59018,99.73,99.815,0.9970850555355568,0.13500000000000512
2021-01-05,TF2103,99.785,99.92,99.72,99.88,17398,17379732100.0,99.875,17,99.88,3,59021,99.895,99.755,0.9970850555355568,0.20000000000000284
2021-01-06,TF2103,99.91,100.005,99.82,99.905,20742,20716072500.0,99.895,18,99.91,16,58769,99.875,99.88,0.9970850555355568,0.18500000000000227
2021-01-07,TF2103,100.0,100.04,99.905,99.935,23146,23136741600.0,99.935,21,99.945,2,58379,99.96,99.905,0.9970850555355568,0.13500000000000512
2021-01-08,TF2103,99.94,99.98,99.77,99.86,23494,23449361400.0,99.85,17,99.86,18,55876,99.81,99.935,0.9970850555355568,0.21000000000000796
2021-01-11,TF2103,99.8,99.83,99.67,99.81,23158,23104736600.0,99.805,2,99.81,17,57017,99.77,99.86,0.9970850555355568,0.1599999999999966
2021-01-12,TF2103,99.795,99.97,99.765,99.97,22070,22039102000.0,99.95,2,99.955,1,56826,99.86,99.81,0.9970850555355568,0.2049999999999983
2021-01-13,TF2103,99.905,100.11,99.89,100.085,31035,31055172750.0,100.085,5,100.09,9,60597,100.065,99.97,0.9970850555355568,0.21999999999999886
2021-01-14,TF2103,100.185,100.41,100.01,100.075,37907,37946802350.0,100.075,23,100.08,2,62459,100.105,100.085,0.9970850555355568,0.3999999999999915
2021-01-15,TF2103,100.015,100.145,99.835,99.85,34511,34466135700.0,99.85,77,99.855,2,61037,99.87,100.075,0.9970850555355568,0.3100000000000023
2021-01-18,TF2103,99.73,99.795,99.65,99.74,26340,26275467000.0,99.74,17,99.745,8,58961,99.755,99.85,0.9970850555355568,0.14499999999999602
2021-01-19,TF2103,99.715,99.82,99.7,99.765,19099,19058892100.000004,99.76,1,99.765,3,57963,99.79,99.74,0.9970850555355568,0.11999999999999034
