time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,TS2103,100.385,100.405,100.315,100.345,6034,12109031200.000002,100.335,7,100.35,40,21247,100.34,100.385,1.0157934770220485,0.09000000000000341
2021-01-05,TS2103,100.345,100.44,100.345,100.425,6455,12964867500.0,100.42,28,100.425,53,22154,100.425,100.345,1.0157934770220485,0.09499999999999886
2021-01-06,TS2103,100.435,100.52,100.405,100.43,8585,17242972500.0,100.425,10,100.435,1,22659,100.425,100.425,1.0157934770220485,0.11499999999999488
2021-01-07,TS2103,100.5,100.52,100.455,100.48,7868,15813106399.999998,100.475,2,100.48,9,23318,100.49,100.43,1.0157934770220485,0.06499999999999773
2021-01-08,TS2103,100.49,100.52,100.435,100.48,10033,20156297000.0,100.475,10,100.48,27,24099,100.45,100.48,1.0157934770220485,0.08499999999999375
2021-01-11,TS2103,100.48,100.48,100.405,100.455,7234,14532382600.0,100.45,5,100.455,4,24733,100.445,100.48,1.0157934770220485,0.07500000000000284
2021-01-12,TS2103,100.48,100.56,100.44,100.555,6585,13237167000.0,100.54,12,100.555,12,24900,100.51,100.455,1.0157934770220485,0.12000000000000455
2021-01-13,TS2103,100.57,100.66,100.53,100.65,9801,19726472700.0,100.65,14,100.655,9,25591,100.635,100.555,1.0157934770220485,0.12999999999999545
2021-01-14,TS2103,100.7,100.775,100.525,100.55,15444,31062517200.0,100.545,52,100.555,1,25830,100.565,100.65,1.0157934770220485,0.25
2021-01-15,TS2103,100.54,100.595,100.435,100.435,11102,22303918000.000004,100.435,12,100.445,3,25876,100.45,100.55,1.0157934770220485,0.1599999999999966
2021-01-18,TS2103,100.41,100.41,100.335,100.38,9156,18382501200.0,100.375,62,100.38,4,25543,100.385,100.435,1.0157934770220485,0.07500000000000284
2021-01-19,TS2103,100.385,100.425,100.37,100.395,6285,12620908500.0,100.395,11,100.4,15,24939,100.405,100.38,1.0157934770220485,0.05499999999999261
2021-01-20,TS2103,100.43,100.46,100.39,100.46,6708,13473688800.000002,100.45,4,100.46,10,24556,100.43,100.395,1.0157934770220485,0.06999999999999318
2021-01-21,TS2103,100.45,100.525,100.445,100.51,7024,14116835200.0,100.51,6,100.52,29,24058,100.49,100.46,1.0157934770220485,0.0800000000000125
