time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,UR2105,1821,1846,1808,1841,56592.0,2070135360.0,1840,66,1842,13,52515.0,1829,1831.0,1.038863550523375,38
2021-01-05,UR2105,1837,1856,1824,1850,70390.0,2598798800.0,1850,32,1852,98,58017.0,1846,1841.0,1.038863550523375,32
2021-01-06,UR2105,1860,1864,1842,1852,49019.0,1816644140.0,1852,85,1853,9,57821.0,1853,1850.0,1.038863550523375,22
2021-01-07,UR2105,1856,1899,1856,1895,88287.0,3328419900.0,1893,162,1895,123,72657.0,1885,1852.0,1.038863550523375,43
2021-01-08,UR2105,1897,1909,1869,1888,70578.0,2666436840.0,1887,46,1888,76,69024.0,1889,1895.0,1.038863550523375,40
2021-01-11,UR2105,1887,1943,1881,1913,154190.0,5896225600.0,1912,30,1913,123,71639.0,1912,1888.0,1.038863550523375,62
2021-01-12,UR2105,1909,1962,1897,1951,153673.0,5959438940.0,1951,120,1953,20,99169.0,1939,1913.0,1.038863550523375,65
2021-01-13,UR2105,1969,1980,1946,1953,113194.0,4439468680.0,1953,52,1955,52,101002.0,1961,1951.0,1.038863550523375,34
2021-01-14,UR2105,1964,2012,1961,2008,151303.0,6018833340.0,2008,77,2009,4,117739.0,1989,1953.0,1.038863550523375,51
2021-01-15,UR2105,2025,2048,2013,2033,160303.0,6511507860.0,2032,6,2034,123,114740.0,2031,2008.0,1.038863550523375,35
2021-01-18,UR2105,2019,2027,1956,1967,152668.0,6051759520.0,1966,112,1967,21,90422.0,1982,2033.0,1.038863550523375,71
2021-01-19,UR2105,1963,1986,1941,1948,128085.0,5031178800.0,1947,27,1948,22,76058.0,1964,1967.0,1.038863550523375,45
2021-01-20,UR2105,1947,1958,1923,1930,79999.0,3095961300.0,1930,177,1931,20,72484.0,1935,1948.0,1.038863550523375,35
2021-01-21,UR2105,1931,1969,1931,1962,88727.0,3463902080.0,1961,104,1962,26,77400.0,1952,1930.0,1.038863550523375,38
2021-01-22,UR2105,1958,1979,1935,1942,115831.0,4538258580.0,1942,1,1943,48,74546.0,1959,1962.0,1.038863550523375,44
2021-01-25,UR2105,1948,1992,1935,1991,121385.0,4772858200.0,1990,45,1991,21,91753.0,1966,1942.0,1.038863550523375,57
2021-01-26,UR2105,1994,2005,1964,1967,130175.0,5160137000.0,1967,244,1968,13,89997.0,1982,1991.0,1.038863550523375,41
2021-01-27,UR2105,1977,2002,1974,1997,120853.0,4809949400.0,1996,73,1997,2,104842.0,1990,1967.0,1.038863550523375,28
2021-01-28,UR2105,1995,2008,1977,1989,125679.0,5007051360.0,1989,44,1990,86,101667.0,1992,1997.0,1.038863550523375,31
2021-01-29,UR2105,2015,2059,2000,2058,194067.0,7886882880.0,2057,426,2058,89,132050.0,2032,1989.0,1.038863550523375,59
2021-02-01,UR2105,2058,2078,2022,2035,194753.0,7988768060.0,2034,24,2035,125,122970.0,2051,2058.0,1.038863550523375,56
2021-02-02,UR2105,2054,2066,2030,2045,133299.0,5457261060.0,2045,1,2046,62,130771.0,2047,2035.0,1.038863550523375,36
2021-02-03,UR2105,2057,2062,1966,1981,241984.0,9655161600.0,1981,5,1982,17,118884.0,1995,2045.0,1.038863550523375,96
2021-02-04,UR2105,1990,2009,1958,2009,176774.0,7017927800.0,2008,50,2009,335,121211.0,1985,1981.0,1.038863550523375,51
2021-02-05,UR2105,2014,2019,1966,1984,165603.0,6604247640.0,1983,19,1984,32,117938.0,1994,2009.0,1.038863550523375,53
2021-02-08,UR2105,1985,1994,1945,1962,178835.0,7031792200.0,1962,11,1963,52,116478.0,1966,1984.0,1.038863550523375,49
2021-02-09,UR2105,1965,2022,1955,2016,135584.0,5404378240.0,2015,45,2016,103,108461.0,1993,1962.0,1.038863550523375,67
2021-02-10,UR2105,2016,2016,1955,1970,120792.0,4759204800.0,1970,91,1971,244,99435.0,1970,2016.0,1.038863550523375,61
2021-02-18,UR2105,1990,2051,1990,2028,123692.0,5004578320.0,2028,5,2029,180,107117.0,2023,1970.0,1.038863550523375,61
2021-02-19,UR2105,2025,2035,2000,2026,127669.0,5157827600.0,2025,123,2026,171,116096.0,2020,2028.0,1.038863550523375,35
2021-02-22,UR2105,2035,2069,2026,2044,187427.0,7677009920.0,2044,20,2045,58,121153.0,2048,2026.0,1.038863550523375,43
2021-02-23,UR2105,2051,2103,2038,2045,295889.0,12237969040.0,2045,35,2046,27,121010.0,2068,2044.0,1.038863550523375,65
2021-02-24,UR2105,2041,2063,2010,2024,184725.0,7525696500.0,2024,478,2025,20,131579.0,2037,2045.0,1.038863550523375,53
2021-02-25,UR2105,2052,2070,2015,2029,260359.0,10653890280.0,2028,1,2029,37,134059.0,2046,2024.0,1.038863550523375,55
2021-02-26,UR2105,2001,2016,1964,1964,213773.0,8503889940.0,0,0,1964,2149,131341.0,1989,2029.0,1.038863550523375,52
2021-03-01,UR2105,1965,1977,1914,1943,201234.0,7815928560.0,1943,671,1944,6,129208.0,1942,1964.0,1.038863550523375,63
2021-03-02,UR2105,1932,1952,1910,1939,173427.0,6701219280.0,1939,21,1940,9,129480.0,1932,1943.0,1.038863550523375,42
2021-03-03,UR2105,1939,1958,1902,1907,222870.0,8616154200.0,1907,4,1908,1,130974.0,1933,1939.0,1.038863550523375,56
2021-03-04,UR2105,1892,1914,1876,1895,206305.0,7827211700.0,1894,12,1895,12,123878.0,1897,1907.0,1.038863550523375,38
2021-03-05,UR2105,1898,1898,1840,1842,173511.0,6475430520.0,1840,125,1841,10,116293.0,1866,1895.0,1.038863550523375,58
2021-03-08,UR2105,1858,1908,1856,1899,200513.0,7583401660.0,1897,96,1899,31,100484.0,1891,1842.0,1.038863550523375,52
2021-03-09,UR2105,1889,1918,1880,1895,157790.0,6005487400.0,1895,2,1896,1,99533.0,1903,1899.0,1.038863550523375,38
2021-03-10,UR2105,1906,1948,1906,1939,201350.0,7772110000.0,1938,52,1939,95,93012.0,1930,1895.0,1.038863550523375,42
2021-03-11,UR2105,1940,1947,1897,1927,166107.0,6371864520.0,1927,3,1928,169,91499.0,1918,1939.0,1.038863550523375,50
2021-03-12,UR2105,1941,1947,1898,1906,132941.0,5099616760.0,1905,137,1907,47,92635.0,1918,1927.0,1.038863550523375,49
2021-03-15,UR2105,1940,1984,1940,1969,224385.0,8827305900.0,1969,1,1970,70,98539.0,1967,1906.0,1.038863550523375,44
2021-03-16,UR2105,1974,1977,1942,1950,115469.0,4517147280.0,1949,31,1950,113,97213.0,1956,1969.0,1.038863550523375,35
2021-03-17,UR2105,1948,1991,1924,1981,183274.0,7217330120.0,1980,144,1981,4,97983.0,1969,1950.0,1.038863550523375,67
2021-03-18,UR2105,1989,1989,1955,1969,124321.0,4893274560.0,1968,77,1969,23,90215.0,1968,1981.0,1.038863550523375,34
2021-03-19,UR2105,1942,1989,1929,1939,198298.0,7781213520.0,1938,8,1939,73,86230.0,1962,1969.0,1.038863550523375,60
2021-03-22,UR2105,1958,1963,1891,1912,178894.0,6873107480.0,1910,90,1911,3,89498.0,1921,1939.0,1.038863550523375,72
2021-03-23,UR2105,1907,1943,1906,1939,124936.0,4802539840.0,1938,31,1939,176,88942.0,1922,1912.0,1.038863550523375,37
2021-03-24,UR2105,1932,1980,1932,1969,158814.0,6225508800.0,1967,3,1969,6,87112.0,1960,1939.0,1.038863550523375,48
2021-03-25,UR2105,1975,1984,1954,1979,120982.0,4766690800.0,1978,49,1979,10,89124.0,1970,1969.0,1.038863550523375,30
2021-03-26,UR2105,1981,2021,1967,2020,173353.0,6895982340.0,2020,1,2021,20,96085.0,1989,1979.0,1.038863550523375,54
2021-03-29,UR2105,2030,2035,1999,2012,131503.0,5296940840.0,2011,8,2012,19,93051.0,2014,2020.0,1.038863550523375,36
2021-03-30,UR2105,2012,2022,1994,2003,95146.0,3822966280.0,2004,2,2005,85,91821.0,2009,2012.0,1.038863550523375,28
2021-03-31,UR2105,1966,1978,1942,1947,181803.0,7123041540.0,1946,198,1947,8,70375.0,1959,2003.0,1.038863550523375,36
2021-04-01,UR2105,1940,1947,1915,1928,129314.0,4981175280.0,1927,79,1928,27,63630.0,1926,1947.0,1.038863550523375,32
2021-04-02,UR2105,1932,1955,1918,1923,85989.0,3319175400.0,1921,151,1923,13,61934.0,1930,1928.0,1.038863550523375,37
2021-04-06,UR2105,1911,1949,1906,1937,78755.0,3050968700.0,1937,19,1938,43,63159.0,1937,1923.0,1.038863550523375,43
2021-04-07,UR2105,1941,1981,1940,1975,93063.0,3659237160.0,1975,78,1976,23,61358.0,1966,1937.0,1.038863550523375,41
2021-04-08,UR2105,1975,1984,1966,1976,58796.0,2322442000.0,1976,33,1977,6,59652.0,1975,1975.0,1.038863550523375,18
2021-04-09,UR2105,1983,2015,1983,2012,104564.0,4190925120.0,2011,51,2012,46,68140.0,2004,1976.0,1.038863550523375,32
2021-04-12,UR2105,2019,2024,1980,1991,83576.0,3331339360.0,1989,51,1991,100,61958.0,1993,2012.0,1.038863550523375,44
2021-04-13,UR2105,1987,2050,1977,2009,132495.0,5342198400.0,2009,9,2010,14,60397.0,2016,1991.0,1.038863550523375,73
2021-04-14,UR2105,2002,2042,2000,2036,80291.0,3248573860.0,2036,4,2037,7,63321.0,2023,2009.0,1.038863550523375,42
2021-04-15,UR2105,2045,2049,2024,2040,73709.0,3001430480.0,2040,2,2042,71,53997.0,2036,2036.0,1.038863550523375,25
2021-04-16,UR2105,2050,2074,2022,2056,80730.0,3309930000.0,2056,6,2057,6,44045.0,2050,2040.0,1.038863550523375,52
2021-04-19,UR2105,2060,2090,2037,2061,74256.0,3065287680.0,2061,7,2063,16,36252.0,2064,2056.0,1.038863550523375,53
2021-04-20,UR2105,2061,2095,2050,2050,59830.0,2475765400.0,2050,2,2051,13,27136.0,2069,2061.0,1.038863550523375,45
2021-04-21,UR2107,2036,2056,2018,2052,150936.0,6152151360.0,2051,86,2053,80,84054.0,2038,2040.0,1.0439560189082937,38
2021-04-22,UR2107,2055,2103,2054,2097,189164.0,7888138800.0,2097,39,2100,23,100793.0,2085,2052.0,1.0439560189082937,49
2021-04-23,UR2107,2101,2102,2080,2092,126572.0,5290709600.0,2091,282,2092,46,98344.0,2090,2097.0,1.0439560189082937,22
2021-04-26,UR2107,2087,2087,2050,2063,132505.0,5464506200.0,2063,47,2064,20,91588.0,2062,2092.0,1.0439560189082937,37
2021-04-27,UR2107,2085,2111,2072,2106,158871.0,6640807800.0,2105,108,2106,68,102157.0,2090,2063.0,1.0439560189082937,39
2021-04-28,UR2107,2092,2121,2092,2103,157364.0,6625024400.0,2102,36,2103,42,102746.0,2105,2106.0,1.0439560189082937,29
2021-04-29,UR2107,2115,2117,2094,2115,121574.0,5127991320.0,2114,50,2115,4,97386.0,2109,2103.0,1.0439560189082937,23
2021-04-30,UR2107,2115,2130,2099,2129,120990.0,5110617600.0,2128,5,2129,15,94854.0,2112,2115.0,1.0439560189082937,31
2021-05-06,UR2107,2101,2157,2065,2146,228107.0,9616991120.0,2146,7,2147,32,105028.0,2108,2129.0,1.0439560189082937,92
2021-05-07,UR2107,2151,2152,2095,2122,201155.0,8532995100.0,2122,188,2123,90,92173.0,2121,2146.0,1.0439560189082937,57
2021-05-10,UR2107,2130,2193,2121,2180,152102.0,6576890480.0,2180,10,2181,18,99724.0,2162,2122.0,1.0439560189082937,72
2021-05-11,UR2107,2168,2249,2149,2245,224946.0,9924617520.0,2245,4,2246,297,106329.0,2206,2180.0,1.0439560189082937,100
2021-05-12,UR2107,2241,2292,2238,2279,194659.0,8845304960.0,2278,1,2279,46,96930.0,2272,2245.0,1.0439560189082937,54
2021-05-13,UR2107,2270,2361,2232,2294,307313.0,14191714340.0,2294,4,2296,5,88149.0,2309,2279.0,1.0439560189082937,129
2021-05-14,UR2107,2302,2317,2216,2216,195814.0,8854709080.0,0,0,2216,1936,83522.0,2261,2294.0,1.0439560189082937,101
2021-05-17,UR2107,2217,2292,2217,2267,162397.0,7359832040.0,2267,6,2270,25,79848.0,2266,2216.0,1.0439560189082937,75
2021-05-18,UR2107,2267,2345,2267,2340,174117.0,8012864340.0,2340,60,2341,10,87626.0,2301,2267.0,1.0439560189082937,78
2021-05-19,UR2107,2317,2330,2216,2282,297717.0,13575895200.0,2281,2,2285,30,85346.0,2280,2340.0,1.0439560189082937,114
2021-05-20,UR2107,2175,2296,2168,2294,269158.0,12058278400.0,2293,24,2296,167,96123.0,2240,2282.0,1.0439560189082937,128
2021-05-21,UR2107,2289,2325,2245,2282,288182.0,13187208320.0,2282,31,2283,41,95959.0,2288,2294.0,1.0439560189082937,80
2021-05-24,UR2107,2264,2279,2226,2267,185784.0,8356564320.0,2266,20,2267,1,95795.0,2249,2282.0,1.0439560189082937,53
2021-05-25,UR2107,2272,2298,2230,2238,167076.0,7561859760.0,2235,17,2238,2,90468.0,2263,2267.0,1.0439560189082937,68
2021-05-26,UR2107,2250,2267,2221,2262,157353.0,7065149700.0,2261,39,2262,51,86629.0,2245,2238.0,1.0439560189082937,46
2021-05-27,UR2107,2255,2270,2176,2199,223128.0,9862257600.0,2199,6,2200,29,76821.0,2210,2262.0,1.0439560189082937,94
