time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,V2105,7150,7235,7080,7210,225573.0,8064234750.0,7205,53,7210,162,382913.0,7150,7130.0,0.7685620546573819,155
2021-01-05,V2105,7220,7300,7135,7170,236614.0,8547680750.0,7165,140,7170,112,383088.0,7225,7210.0,0.7685620546573819,165
2021-01-06,V2105,7195,7260,7165,7190,203508.0,7326288000.0,7185,91,7190,36,392445.0,7200,7170.0,0.7685620546573819,95
2021-01-07,V2105,7180,7315,7155,7170,310406.0,11228937050.0,7170,47,7175,236,396677.0,7235,7190.0,0.7685620546573819,160
2021-01-08,V2105,7175,7180,7000,7000,362868.0,12872742300.0,7000,290,7005,85,389493.0,7095,7170.0,0.7685620546573819,180
2021-01-11,V2105,7000,7005,6890,6940,392481.0,13638714750.0,6940,49,6945,67,391764.0,6950,7000.0,0.7685620546573819,115
2021-01-12,V2105,6930,7040,6875,7025,246556.0,8555493200.0,7020,44,7025,78,397863.0,6940,6940.0,0.7685620546573819,165
2021-01-13,V2105,7010,7065,6965,7040,255733.0,8976228300.0,7035,297,7040,330,405871.0,7020,7025.0,0.7685620546573819,100
2021-01-14,V2105,7020,7045,6910,7020,311978.0,10880232750.0,7020,1,7025,458,406693.0,6975,7040.0,0.7685620546573819,135
2021-01-15,V2105,7000,7060,6965,7040,252501.0,8856472575.0,7040,138,7045,70,411093.0,7015,7020.0,0.7685620546573819,95
2021-01-18,V2105,7040,7195,7000,7190,377602.0,13367110800.0,7190,3,7195,114,413706.0,7080,7040.0,0.7685620546573819,195
2021-01-19,V2105,7170,7295,7170,7200,336701.0,12163323625.0,7200,292,7205,297,397861.0,7225,7190.0,0.7685620546573819,125
2021-01-20,V2105,7210,7300,7180,7205,237025.0,8562528125.0,7205,22,7210,162,395203.0,7225,7200.0,0.7685620546573819,120
2021-01-21,V2105,7205,7390,7205,7390,271475.0,9902050625.0,7380,76,7390,826,404066.0,7295,7205.0,0.7685620546573819,185
2021-01-22,V2105,7420,7440,7315,7415,341180.0,12581012500.0,7410,185,7415,11,395177.0,7375,7390.0,0.7685620546573819,125
2021-01-25,V2105,7395,7495,7210,7275,460422.0,16874466300.0,7270,243,7280,75,367251.0,7330,7415.0,0.7685620546573819,285
2021-01-26,V2105,7260,7425,7260,7265,328997.0,12074189900.0,7260,85,7265,25,364542.0,7340,7275.0,0.7685620546573819,165
2021-01-27,V2105,7285,7355,7275,7340,201774.0,7384928400.0,7340,93,7345,618,365677.0,7320,7265.0,0.7685620546573819,80
2021-01-28,V2105,7320,7430,7295,7420,263826.0,9708796800.0,7415,21,7420,114,372606.0,7360,7340.0,0.7685620546573819,135
2021-01-29,V2105,7410,7485,7345,7430,251253.0,9315204975.0,7430,153,7435,56,375645.0,7415,7420.0,0.7685620546573819,140
2021-02-01,V2105,7435,7550,7280,7280,364483.0,13476758925.0,7280,732,7290,144,352155.0,7395,7430.0,0.7685620546573819,270
2021-02-02,V2105,7300,7365,7250,7305,245837.0,8979196425.0,7300,52,7305,119,351607.0,7305,7280.0,0.7685620546573819,115
2021-02-03,V2105,7330,7445,7270,7445,270176.0,9915459200.0,7440,131,7445,217,347925.0,7340,7305.0,0.7685620546573819,175
2021-02-04,V2105,7455,7660,7370,7645,383713.0,14408423150.0,7640,26,7645,107,384229.0,7510,7445.0,0.7685620546573819,290
2021-02-05,V2105,7620,7665,7535,7625,302301.0,11479880475.0,7620,78,7630,223,381700.0,7595,7645.0,0.7685620546573819,130
2021-02-08,V2105,7630,7725,7565,7640,251532.0,9621099000.0,7640,821,7645,37,378181.0,7650,7625.0,0.7685620546573819,160
2021-02-09,V2105,7650,7720,7600,7720,223878.0,8585721300.0,7715,145,7720,181,376435.0,7670,7640.0,0.7685620546573819,120
2021-02-10,V2105,7705,7735,7600,7720,233750.0,8958468750.0,7700,2,7715,1,356454.0,7665,7720.0,0.7685620546573819,135
2021-02-18,V2105,7895,8100,7845,8000,280950.0,11174786250.0,7995,377,8000,6,347140.0,7955,7720.0,0.7685620546573819,255
2021-02-19,V2105,7960,8250,7885,8220,395602.0,15922980500.0,8220,46,8225,258,358610.0,8050,8000.0,0.7685620546573819,365
2021-02-22,V2105,8225,8610,8185,8610,571881.0,24161972250.0,8610,8346,0,0,357952.0,8450,8220.0,0.7685620546573819,425
2021-02-23,V2105,8650,8905,8480,8610,660792.0,28678372800.0,8610,61,8615,94,322117.0,8680,8610.0,0.7685620546573819,425
2021-02-24,V2105,8610,8720,8510,8520,401418.0,17281044900.0,8520,30,8525,2,327317.0,8610,8610.0,0.7685620546573819,210
2021-02-25,V2105,8550,8820,8360,8500,683127.0,29220757425.0,8500,23,8505,120,311417.0,8555,8520.0,0.7685620546573819,460
2021-02-26,V2105,8480,8590,8380,8505,469297.0,19909925225.0,8500,81,8505,23,307183.0,8485,8500.0,0.7685620546573819,210
2021-03-01,V2105,8475,8480,8155,8340,533113.0,22230812100.0,8345,1,8350,2,292978.0,8340,8505.0,0.7685620546573819,325
2021-03-02,V2105,8300,8390,8210,8345,365171.0,15127208675.0,8345,225,8350,1,296294.0,8285,8340.0,0.7685620546573819,180
2021-03-03,V2105,8370,8690,8340,8540,562141.0,23961260125.0,8530,224,8540,44,308145.0,8525,8345.0,0.7685620546573819,350
2021-03-04,V2105,8545,8695,8355,8375,465197.0,19852281975.0,8370,64,8375,4,305330.0,8535,8540.0,0.7685620546573819,340
2021-03-05,V2105,8375,8525,8265,8430,506615.0,21252499250.0,8430,166,8435,274,298934.0,8390,8375.0,0.7685620546573819,260
2021-03-08,V2105,8465,8795,8415,8695,480149.0,20730433075.0,8690,231,8695,9,301327.0,8635,8430.0,0.7685620546573819,380
2021-03-09,V2105,8670,8840,8550,8560,531882.0,23190055200.0,8560,11,8565,15,305267.0,8720,8695.0,0.7685620546573819,290
2021-03-10,V2105,8650,8680,8450,8455,474659.0,20374737575.0,8450,718,8455,85,298121.0,8585,8560.0,0.7685620546573819,230
2021-03-11,V2105,8530,8755,8440,8705,516603.0,22188098850.0,8705,60,8710,3,332632.0,8590,8455.0,0.7685620546573819,315
2021-03-12,V2105,8730,8885,8630,8750,549819.0,24082072200.0,8745,16,8750,52,336489.0,8760,8705.0,0.7685620546573819,255
2021-03-15,V2105,8840,9190,8770,9150,930155.0,41856975000.0,9150,10,9155,470,402027.0,9000,8750.0,0.7685620546573819,420
2021-03-16,V2105,9150,9280,9040,9085,726143.0,33275502975.0,9085,69,9090,117,396177.0,9165,9150.0,0.7685620546573819,240
2021-03-17,V2105,9040,9145,8985,9070,510993.0,23160757725.0,9070,20,9075,370,373439.0,9065,9085.0,0.7685620546573819,160
2021-03-18,V2105,9025,9260,8840,8875,823804.0,37421296700.0,8870,26,8875,8,345236.0,9085,9070.0,0.7685620546573819,420
2021-03-19,V2105,8910,8960,8720,8770,692631.0,30631605975.0,8765,168,8770,339,303026.0,8845,8875.0,0.7685620546573819,240
2021-03-22,V2105,8805,8970,8770,8795,512990.0,22674158000.0,8795,10,8800,219,305818.0,8840,8770.0,0.7685620546573819,200
2021-03-23,V2105,8825,8895,8525,8650,620615.0,27089844750.0,8645,6,8650,60,289192.0,8730,8795.0,0.7685620546573819,370
2021-03-24,V2105,8600,8675,8455,8610,575388.0,24684145200.0,8605,197,8610,490,282172.0,8580,8650.0,0.7685620546573819,220
2021-03-25,V2105,8650,8835,8575,8695,533473.0,23166065025.0,8695,128,8700,922,300123.0,8685,8610.0,0.7685620546573819,260
2021-03-26,V2105,8695,8920,8645,8920,518726.0,22772071400.0,8915,20,8920,202,324851.0,8780,8695.0,0.7685620546573819,275
2021-03-29,V2105,8890,8935,8750,8795,494767.0,21881070575.0,8795,211,8800,27,300855.0,8845,8920.0,0.7685620546573819,185
2021-03-30,V2105,8830,8870,8610,8640,483511.0,21153606250.0,8640,41,8645,62,277959.0,8750,8795.0,0.7685620546573819,260
2021-03-31,V2105,8610,8690,8515,8540,471032.0,20289703400.0,8530,604,8540,21,260888.0,8615,8640.0,0.7685620546573819,175
2021-04-01,V2105,8530,8805,8530,8795,382550.0,16554851250.0,8790,5,8795,400,260769.0,8655,8540.0,0.7685620546573819,275
2021-04-02,V2105,8795,8945,8730,8930,442199.0,19523085850.0,8925,153,8930,102,271203.0,8830,8795.0,0.7685620546573819,215
2021-04-06,V2105,8880,8985,8860,8940,264335.0,11776124250.0,8935,26,8945,917,273514.0,8910,8930.0,0.7685620546573819,125
2021-04-07,V2105,8925,9140,8865,8875,456573.0,20568613650.0,8875,21,8880,3,272510.0,9010,8940.0,0.7685620546573819,275
2021-04-08,V2105,8905,8925,8785,8870,345720.0,15324039000.0,8865,61,8875,309,257305.0,8865,8875.0,0.7685620546573819,140
2021-04-09,V2105,8860,8870,8700,8735,326267.0,14298651275.0,8730,547,8735,13,234434.0,8765,8870.0,0.7685620546573819,170
2021-04-12,V2105,8735,8765,8550,8610,360957.0,15602366325.0,8605,374,8615,11,206443.0,8645,8735.0,0.7685620546573819,215
2021-04-13,V2105,8645,8710,8580,8595,316128.0,13656729600.0,8595,86,8605,89,182116.0,8640,8610.0,0.7685620546573819,130
2021-04-14,V2105,8610,8755,8610,8715,235549.0,10228715325.0,8715,89,8720,48,159360.0,8685,8595.0,0.7685620546573819,145
2021-04-15,V2109,8640,8815,8625,8725,425725.0,18540323750.0,8720,53,8725,14,305659.0,8710,8640.0,0.7752336002707273,190
2021-04-16,V2109,8760,8860,8725,8810,375499.0,16521956000.0,8810,4,8815,372,337907.0,8800,8725.0,0.7752336002707273,135
2021-04-19,V2109,8820,8995,8810,8840,488430.0,21722924250.0,8840,35,8845,140,377466.0,8895,8810.0,0.7752336002707273,185
2021-04-20,V2109,8880,8965,8775,8840,424125.0,18820546875.0,8840,144,8845,37,400137.0,8875,8840.0,0.7752336002707273,190
2021-04-21,V2109,8845,8850,8610,8640,517514.0,22524796850.0,8635,59,8640,60,375303.0,8705,8840.0,0.7752336002707273,240
2021-04-22,V2109,8650,8945,8635,8925,550628.0,24200100600.0,8925,241,8930,96,410866.0,8790,8640.0,0.7752336002707273,310
2021-04-23,V2109,8925,9050,8855,9040,444954.0,19878319950.0,9035,3,9040,513,457560.0,8935,8925.0,0.7752336002707273,195
2021-04-26,V2109,9040,9095,8795,8885,570419.0,25440687400.0,8885,72,8890,180,419534.0,8920,9040.0,0.7752336002707273,300
2021-04-27,V2109,8870,8975,8805,8925,394200.0,17502480000.0,8920,235,8925,425,417787.0,8880,8885.0,0.7752336002707273,170
2021-04-28,V2109,8930,9010,8840,8985,439382.0,19607421750.0,8985,67,8990,343,433124.0,8925,8925.0,0.7752336002707273,170
2021-04-29,V2109,8985,8985,8830,8885,382231.0,16990167950.0,8885,37,8890,256,398003.0,8890,8985.0,0.7752336002707273,155
2021-04-30,V2109,8885,8915,8740,8860,531954.0,23485769100.0,8860,46,8865,200,376265.0,8830,8885.0,0.7752336002707273,175
2021-05-06,V2109,8940,9160,8900,9120,456715.0,20654935875.0,9115,318,9120,15,426658.0,9045,8860.0,0.7752336002707273,260
2021-05-07,V2109,9120,9305,9115,9285,459848.0,21210489000.0,9275,109,9285,129,467793.0,9225,9120.0,0.7752336002707273,190
2021-05-10,V2109,9270,9435,9200,9345,497853.0,23125271850.0,9340,28,9345,175,464327.0,9290,9285.0,0.7752336002707273,235
2021-05-11,V2109,9345,9365,9140,9225,403786.0,18614534600.0,9220,291,9225,48,438764.0,9220,9345.0,0.7752336002707273,225
2021-05-12,V2109,9215,9370,9185,9280,460047.0,21311677275.0,9280,186,9285,96,433582.0,9265,9225.0,0.7752336002707273,185
2021-05-13,V2109,9240,9310,9060,9110,588126.0,26994983400.0,9110,111,9115,27,384204.0,9180,9280.0,0.7752336002707273,250
2021-05-14,V2109,9135,9255,8885,9115,836739.0,38113461450.0,9110,8,9115,78,389454.0,9110,9110.0,0.7752336002707273,370
2021-05-17,V2109,9130,9250,9070,9115,460142.0,21063000050.0,9115,25,9120,76,391767.0,9155,9115.0,0.7752336002707273,180
2021-05-18,V2109,9115,9245,9095,9235,356167.0,16312448600.0,9235,11,9240,102,414862.0,9160,9115.0,0.7752336002707273,150
2021-05-19,V2109,9235,9275,9005,9065,534134.0,24343157050.0,9060,175,9065,51,382227.0,9115,9235.0,0.7752336002707273,270
2021-05-20,V2109,9005,9010,8755,8800,730641.0,32403928350.0,8800,91,8805,107,383126.0,8870,9065.0,0.7752336002707273,255
2021-05-21,V2109,8790,8805,8565,8580,632134.0,27482025650.0,8575,6,8580,5,379936.0,8695,8800.0,0.7752336002707273,240
2021-05-24,V2109,8630,8705,8580,8635,493797.0,21332030400.0,8635,2,8640,111,376489.0,8640,8580.0,0.7752336002707273,125
2021-05-25,V2109,8640,8735,8620,8690,409165.0,17767990125.0,8685,186,8690,4,381335.0,8685,8635.0,0.7752336002707273,115
2021-05-26,V2109,8690,8715,8510,8620,533847.0,22995459525.0,8620,106,8630,321,377337.0,8615,8690.0,0.7752336002707273,205
2021-05-27,V2109,8600,8640,8455,8540,531544.0,22683640200.0,8540,67,8545,97,379450.0,8535,8620.0,0.7752336002707273,185
2021-05-28,V2109,8540,8720,8515,8600,483774.0,20838565050.0,8600,232,8605,443,382485.0,8615,8540.0,0.7752336002707273,205
2021-05-31,V2109,8600,8760,8570,8755,413590.0,17898107250.0,8750,33,8755,192,385916.0,8655,8600.0,0.7752336002707273,190
2021-06-01,V2109,8770,8945,8725,8935,468435.0,20693116125.0,8935,21,8940,34,395121.0,8835,8755.0,0.7752336002707273,220
2021-06-02,V2109,8935,8965,8730,8735,426868.0,18888909000.0,8735,1,8740,179,369084.0,8850,8935.0,0.7752336002707273,235
2021-06-03,V2109,8785,8870,8710,8785,354306.0,15589464000.0,8785,17,8790,251,373456.0,8800,8735.0,0.7752336002707273,160
2021-06-04,V2109,8785,8830,8720,8760,404548.0,17749543500.0,8760,332,8765,370,371055.0,8775,8785.0,0.7752336002707273,110
2021-06-07,V2109,8790,8810,8535,8570,523102.0,22611083950.0,8570,39,8580,354,365270.0,8645,8760.0,0.7752336002707273,275
2021-06-08,V2109,8580,8610,8490,8565,411333.0,17594769075.0,8560,237,8565,227,370899.0,8555,8570.0,0.7752336002707273,120
2021-06-09,V2109,8555,8775,8520,8770,503129.0,21710016350.0,8770,47,8775,245,384734.0,8630,8565.0,0.7752336002707273,255
2021-06-10,V2109,8795,8815,8685,8770,387757.0,16974062675.0,8770,471,8775,32,389602.0,8755,8770.0,0.7752336002707273,130
2021-06-11,V2109,8790,8920,8775,8865,381085.0,16863011250.0,8860,40,8865,9,408227.0,8850,8770.0,0.7752336002707273,145
2021-06-15,V2109,8915,8970,8710,8805,289503.0,12738132000.0,8800,28,8805,113,400438.0,8800,8865.0,0.7752336002707273,260
2021-06-16,V2109,8805,8835,8720,8720,287433.0,12603937050.0,8720,276,8725,12,396608.0,8770,8805.0,0.7752336002707273,115
2021-06-17,V2109,8705,8735,8530,8585,524580.0,22648741500.0,8585,90,8590,27,378085.0,8635,8720.0,0.7752336002707273,205
