time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,ZN2102,20875,20980,20735,20905,84188.0,8780808400.0,20895,1,20900,54,78301.0,20860,20675.0,0.9780933689506576,245
2021-01-05,ZN2102,21090,21180,20900,21150,129381.0,13604412150.0,21145,20,21150,14,76375.0,21030,20905.0,0.9780933689506576,280
2021-01-06,ZN2102,21085,21445,21080,21375,112014.0,11898687150.0,21375,37,21380,22,73690.0,21245,21150.0,0.9780933689506576,365
2021-01-07,ZN2102,21465,21700,21245,21620,136594.0,14673610450.0,21615,4,21640,6,72925.0,21485,21375.0,0.9780933689506576,455
2021-01-08,ZN2102,21545,21780,21505,21620,103371.0,11179573650.0,21610,7,21620,5,71903.0,21630,21620.0,0.9780933689506576,275
2021-01-11,ZN2102,21500,21500,20930,21020,166546.0,17599748550.0,21015,5,21020,58,66218.0,21135,21620.0,0.9780933689506576,570
2021-01-12,ZN2102,21040,21060,20650,20885,135197.0,14053728150.0,20875,17,20890,22,60722.0,20790,21020.0,0.9780933689506576,410
2021-01-13,ZN2102,20885,20970,20625,20760,115177.0,11981287425.0,20760,20,20765,1,59069.0,20805,20885.0,0.9780933689506576,345
2021-01-14,ZN2102,20695,20885,20410,20420,122188.0,12615911000.0,20410,14,20420,4,55974.0,20650,20760.0,0.9780933689506576,475
2021-01-15,ZN2102,20380,20790,20305,20310,122038.0,12551608300.0,20305,15,20310,16,51812.0,20570,20420.0,0.9780933689506576,485
2021-01-18,ZN2103,20300,20445,20135,20415,166726.0,16893511950.0,20415,11,20420,17,89243.0,20265,20290.0,0.9790574826706682,310
2021-01-19,ZN2103,20335,20415,20240,20305,111364.0,11311798300.0,20300,4,20305,16,91001.0,20315,20415.0,0.9790574826706682,175
2021-01-20,ZN2103,20340,20460,20185,20385,168405.0,17130998625.0,20380,6,20385,1,91593.0,20345,20305.0,0.9790574826706682,275
2021-01-21,ZN2103,20370,20660,20365,20540,132214.0,13558545700.0,20525,7,20540,5,87529.0,20510,20385.0,0.9790574826706682,295
2021-01-22,ZN2103,20615,20615,19950,19995,166683.0,16909990350.0,19995,6,20010,15,101725.0,20290,20540.0,0.9790574826706682,665
2021-01-25,ZN2103,20060,20500,20055,20440,151187.0,15353039850.0,20435,33,20450,8,92118.0,20310,19995.0,0.9790574826706682,445
2021-01-26,ZN2103,20315,20410,20000,20005,148244.0,14998586700.0,20000,31,20005,23,92591.0,20235,20440.0,0.9790574826706682,410
2021-01-27,ZN2103,20005,20070,19705,19780,187396.0,18613107700.0,19775,48,19785,9,101424.0,19865,20005.0,0.9790574826706682,365
2021-01-28,ZN2103,19560,19695,19325,19515,213086.0,20786539300.0,19510,11,19515,4,103381.0,19510,19780.0,0.9790574826706682,370
2021-01-29,ZN2103,19545,19715,19360,19415,164133.0,16048104075.0,19415,144,19420,57,102935.0,19555,19515.0,0.9790574826706682,355
2021-02-01,ZN2103,19505,19865,19495,19625,174729.0,17206438275.0,19625,9,19630,38,95022.0,19695,19415.0,0.9790574826706682,370
2021-02-02,ZN2103,19430,19600,19355,19505,130449.0,12728561175.0,19500,2,19505,3,96113.0,19515,19625.0,0.9790574826706682,245
2021-02-03,ZN2103,19550,19750,19465,19650,150026.0,14687545400.0,19650,4,19655,19,93857.0,19580,19505.0,0.9790574826706682,285
2021-02-04,ZN2103,19775,19980,19695,19925,137241.0,13617738225.0,19925,8,19930,57,84290.0,19845,19650.0,0.9790574826706682,285
2021-02-05,ZN2103,19890,20165,19800,20080,127379.0,12709239725.0,20080,27,20085,2,80450.0,19955,19925.0,0.9790574826706682,365
2021-02-08,ZN2103,20155,20310,19935,20035,113270.0,11358149250.0,20035,6,20040,32,81406.0,20055,20080.0,0.9790574826706682,375
2021-02-09,ZN2103,20025,20230,19890,20180,114863.0,11512144175.0,20175,20,20180,1,76234.0,20045,20035.0,0.9790574826706682,340
2021-02-10,ZN2103,20230,20515,20155,20495,113068.0,11482055400.0,20490,3,20495,1,66496.0,20310,20180.0,0.9790574826706682,360
2021-02-18,ZN2103,20825,21320,20825,21295,74706.0,7903894800.0,21285,6,21295,5,63731.0,21160,20495.0,0.9790574826706682,495
2021-02-19,ZN2103,21415,21670,21335,21630,108715.0,11692298250.0,21630,40,21635,4,60847.0,21510,21295.0,0.9790574826706682,335
2021-02-22,ZN2103,21660,22225,21505,21980,147613.0,16119339600.0,21980,1,21985,5,55210.0,21840,21630.0,0.9790574826706682,720
2021-02-23,ZN2103,21840,21965,21610,21850,96266.0,10495400650.0,21845,2,21850,4,42826.0,21805,21980.0,0.9790574826706682,355
2021-02-24,ZN2104,21615,21695,21190,21290,203602.0,21836314500.0,21290,2,21295,14,77135.0,21450,21840.0,0.9795057690638324,505
2021-02-25,ZN2104,21450,21960,21250,21675,263898.0,28507581450.0,21670,45,21675,18,72785.0,21605,21290.0,0.9795057690638324,710
2021-02-26,ZN2104,21790,21995,21320,21490,258437.0,28001648950.0,21490,1,21495,1,71090.0,21670,21675.0,0.9795057690638324,675
2021-03-01,ZN2104,21520,21520,21035,21340,211870.0,22590638750.0,21340,13,21345,46,71800.0,21325,21490.0,0.9795057690638324,485
2021-03-02,ZN2104,21325,21650,21090,21560,189686.0,20211043300.0,21565,5,21570,7,75934.0,21310,21340.0,0.9795057690638324,560
2021-03-03,ZN2104,21600,21835,21535,21705,158708.0,17207914900.0,21715,3,21720,5,79155.0,21685,21560.0,0.9795057690638324,300
2021-03-04,ZN2104,21455,21460,20960,20970,186699.0,19818098850.0,20970,4,20975,3,78236.0,21230,21705.0,0.9795057690638324,500
2021-03-05,ZN2104,21055,21360,20805,21240,224889.0,23658322800.0,21230,11,21240,69,73661.0,21040,20970.0,0.9795057690638324,555
2021-03-08,ZN2104,21145,21480,21120,21260,158669.0,16886348325.0,21260,1,21275,6,71965.0,21285,21240.0,0.9795057690638324,360
2021-03-09,ZN2104,21430,21710,21275,21290,180474.0,19423514250.0,21285,23,21295,27,71696.0,21525,21260.0,0.9795057690638324,435
2021-03-10,ZN2104,21290,21480,21205,21210,133101.0,14205204225.0,21205,16,21210,14,70867.0,21345,21290.0,0.9795057690638324,275
2021-03-11,ZN2104,21210,21880,21125,21775,168576.0,18071347200.0,21770,7,21775,8,75675.0,21440,21210.0,0.9795057690638324,755
2021-03-12,ZN2104,21610,21925,21555,21870,146631.0,15935123925.0,21865,4,21870,5,74403.0,21735,21775.0,0.9795057690638324,370
2021-03-15,ZN2104,21825,21960,21540,21865,141004.0,15355335600.0,21850,3,21865,9,68328.0,21780,21870.0,0.9795057690638324,420
2021-03-16,ZN2104,21835,22020,21585,21585,118161.0,12906135225.0,21580,122,21595,4,65292.0,21845,21865.0,0.9795057690638324,435
2021-03-17,ZN2104,21635,21795,21480,21715,98874.0,10693223100.0,21700,3,21715,2,61882.0,21630,21585.0,0.9795057690638324,315
2021-03-18,ZN2104,21660,21880,21390,21440,114696.0,12410107200.0,21445,7,21450,20,59459.0,21640,21715.0,0.9795057690638324,490
2021-03-19,ZN2104,21485,21615,21280,21460,123902.0,13294684600.0,21450,39,21460,42,53402.0,21460,21440.0,0.9795057690638324,335
2021-03-22,ZN2105,21510,22335,21420,22105,286583.0,31452484250.0,22100,1,22105,10,91081.0,21950,21420.0,0.981334911489722,915
2021-03-23,ZN2105,22120,22465,21510,21860,322736.0,35541302000.0,21855,12,21860,4,87018.0,22025,22105.0,0.981334911489722,955
2021-03-24,ZN2105,21885,21930,21575,21635,177423.0,19285880100.0,21635,90,21640,1,84546.0,21740,21860.0,0.981334911489722,355
2021-03-25,ZN2105,21635,21710,21395,21415,195949.0,21113504750.0,21405,3,21415,15,83373.0,21550,21635.0,0.981334911489722,315
2021-03-26,ZN2105,21430,21770,21340,21615,203215.0,21876094750.0,21610,1,21615,1,83176.0,21530,21415.0,0.981334911489722,430
2021-03-29,ZN2105,21590,21875,21590,21800,171254.0,18628153850.0,21795,21,21800,14,84064.0,21755,21615.0,0.981334911489722,285
2021-03-30,ZN2105,21825,21980,21750,21860,160336.0,17540758400.0,21850,2,21860,124,83855.0,21880,21800.0,0.981334911489722,230
2021-03-31,ZN2105,21815,21900,21425,21560,164723.0,17818910525.0,21555,1,21565,21,77799.0,21635,21860.0,0.981334911489722,475
2021-04-01,ZN2105,21590,21745,21405,21405,162139.0,17498851575.0,21410,1,21425,2,76065.0,21585,21560.0,0.981334911489722,340
2021-04-02,ZN2105,21440,21555,21305,21460,190500.0,20407312500.0,21460,3,21465,3,77092.0,21425,21405.0,0.981334911489722,250
2021-04-06,ZN2105,21335,21885,21335,21760,132511.0,14437073450.0,21760,33,21770,1,72102.0,21790,21460.0,0.981334911489722,550
2021-04-07,ZN2105,21840,21960,21785,21865,139855.0,15282655125.0,21860,6,21865,3,76424.0,21855,21760.0,0.981334911489722,175
2021-04-08,ZN2105,21755,22025,21730,22020,171402.0,18755663850.0,22020,17,22025,13,84346.0,21885,21865.0,0.981334911489722,295
2021-04-09,ZN2105,22005,22215,21855,21915,166912.0,18377011200.0,21905,12,21915,17,79436.0,22020,22020.0,0.981334911489722,360
2021-04-12,ZN2105,21960,22035,21495,21535,167547.0,18216547575.0,21540,1,21550,46,68815.0,21745,21915.0,0.981334911489722,540
2021-04-13,ZN2105,21535,21545,21275,21350,153726.0,16437152550.0,21350,84,21355,19,69517.0,21385,21535.0,0.981334911489722,270
2021-04-14,ZN2105,21540,21545,21315,21335,109054.0,11682409750.0,21330,2,21340,1,71440.0,21425,21350.0,0.981334911489722,230
2021-04-15,ZN2105,21635,21730,21500,21675,128372.0,13864176000.0,21675,13,21685,3,61016.0,21600,21335.0,0.981334911489722,230
2021-04-16,ZN2105,21550,21920,21545,21890,127540.0,13914614000.0,21885,16,21890,3,56964.0,21820,21675.0,0.981334911489722,375
2021-04-19,ZN2105,21995,22015,21735,21945,109643.0,12003167425.0,21940,3,21945,13,55101.0,21895,21890.0,0.981334911489722,280
2021-04-20,ZN2105,21955,21955,21725,21750,91687.0,9991590825.0,21750,6,21755,7,45770.0,21795,21945.0,0.981334911489722,230
2021-04-21,ZN2106,21780,21780,21350,21425,171244.0,18408730000.0,21425,10,21430,189,81768.0,21500,21745.0,0.981560557594916,430
2021-04-22,ZN2106,21400,21525,21350,21365,144411.0,15470028375.0,21365,48,21370,18,91665.0,21425,21425.0,0.981560557594916,175
2021-04-23,ZN2106,21415,21525,21220,21380,211868.0,22653985900.0,21380,1,21385,24,95869.0,21385,21365.0,0.981560557594916,305
