time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,A0605,2747,2796,2747,2754,140572.0,3899467280.0,0,0,0,0,127509.0,2774,2688.0,1.0
2006-02-07,A0605,2728,2742,2716,2728,49852.0,1360959600.0,0,0,0,0,117353.0,2730,2754.0,1.0
2006-02-08,A0605,2688,2690,2621,2622,87836.0,2319748760.0,0,0,0,0,95870.0,2641,2728.0,1.0
2006-02-09,A0605,2650,2658,2635,2638,33826.0,894359440.0,0,0,0,0,88977.0,2644,2622.0,1.0
2006-02-10,A0605,2680,2680,2632,2659,33002.0,875543060.0,0,0,0,0,80527.0,2653,2638.0,1.0
2006-02-13,A0605,2659,2662,2643,2658,14044.0,372166000.0,0,0,0,0,77119.0,2650,2659.0,1.0
2006-02-14,A0609,2739,2744,2733,2739,23618.0,646660840.0,0,0,0,0,77859.0,2738,2737.0,0.9711362805991962
2006-02-15,A0609,2739,2739,2725,2734,18294.0,499609140.0,0,0,0,0,80493.0,2731,2739.0,0.9711362805991962
2006-02-16,A0609,2733,2740,2715,2729,33568.0,915399360.0,0,0,0,0,80160.0,2727,2734.0,0.9711362805991962
2006-02-17,A0609,2744,2790,2733,2783,65480.0,1808557600.0,0,0,0,0,80979.0,2762,2729.0,0.9711362805991962
2006-02-20,A0609,2800,2800,2770,2777,40788.0,1133906400.0,0,0,0,0,82398.0,2780,2783.0,0.9711362805991962
2006-02-21,A0609,2779,2788,2753,2755,48310.0,1336254600.0,0,0,0,0,85894.0,2766,2777.0,0.9711362805991962
2006-02-22,A0609,2730,2749,2730,2747,31544.0,864621040.0,0,0,0,0,85481.0,2741,2755.0,0.9711362805991962
2006-02-23,A0609,2709,2723,2708,2714,32365.0,878386100.0,0,0,0,0,89152.0,2714,2747.0,0.9711362805991962
2006-02-24,A0609,2716,2740,2716,2732,31107.0,848910030.0,0,0,0,0,87990.0,2729,2714.0,0.9711362805991962
2006-02-27,A0609,2720,2721,2701,2702,37122.0,1006006200.0,0,0,0,0,93527.0,2710,2732.0,0.9711362805991962
2006-02-28,A0609,2723,2726,2711,2714,27264.0,740762880.0,0,0,0,0,94075.0,2717,2702.0,0.9711362805991962
2006-03-01,A0609,2720,2733,2716,2719,28333.0,771224260.0,0,0,0,0,93449.0,2722,2714.0,0.9711362805991962
2006-03-02,A0609,2715,2723,2709,2716,25728.0,698257920.0,0,0,0,0,98174.0,2714,2719.0,0.9711362805991962
2006-03-03,A0609,2748,2754,2739,2745,40512.0,1112459520.0,0,0,0,0,101546.0,2746,2716.0,0.9711362805991962
2006-03-06,A0609,2730,2730,2717,2717,22380.0,609631200.0,0,0,0,0,102788.0,2724,2745.0,0.9711362805991962
2006-03-07,A0609,2727,2745,2718,2723,40606.0,1108949860.0,0,0,0,0,102371.0,2731,2717.0,0.9711362805991962
2006-03-08,A0609,2702,2715,2692,2712,46434.0,1255575360.0,0,0,0,0,100706.0,2704,2723.0,0.9711362805991962
2006-03-09,A0609,2701,2725,2700,2724,22752.0,617034240.0,0,0,0,0,101240.0,2712,2712.0,0.9711362805991962
2006-03-10,A0609,2721,2722,2703,2705,21573.0,584628300.0,0,0,0,0,103474.0,2710,2724.0,0.9711362805991962
2006-03-13,A0609,2692,2713,2692,2706,19845.0,536807250.0,0,0,0,0,107730.0,2705,2705.0,0.9711362805991962
2006-03-14,A0609,2700,2706,2678,2686,36301.0,976133890.0,0,0,0,0,105621.0,2689,2706.0,0.9711362805991962
2006-03-15,A0609,2700,2702,2688,2692,15038.0,405424480.0,0,0,0,0,104787.0,2696,2686.0,0.9711362805991962
2006-03-16,A0609,2683,2685,2666,2680,35633.0,952113760.0,0,0,0,0,106324.0,2672,2692.0,0.9711362805991962
2006-03-17,A0609,2660,2662,2648,2657,31446.0,834891300.0,0,0,0,0,106810.0,2655,2680.0,0.9711362805991962
2006-03-20,A0609,2655,2689,2653,2689,39996.0,1069493040.0,0,0,0,0,108858.0,2674,2657.0,0.9711362805991962
2006-03-21,A0609,2666,2673,2663,2669,23739.0,633356520.0,0,0,0,0,109373.0,2668,2689.0,0.9711362805991962
2006-03-22,A0609,2671,2689,2671,2681,26846.0,720009720.0,0,0,0,0,110746.0,2682,2669.0,0.9711362805991962
2006-03-23,A0609,2674,2680,2669,2673,18433.0,492898420.0,0,0,0,0,110561.0,2674,2681.0,0.9711362805991962
2006-03-24,A0609,2675,2688,2675,2681,24226.0,649741320.0,0,0,0,0,116023.0,2682,2673.0,0.9711362805991962
2006-03-27,A0609,2678,2706,2673,2697,45111.0,1216192560.0,0,0,0,0,122372.0,2696,2681.0,0.9711362805991962
2006-03-28,A0609,2697,2701,2685,2686,24566.0,661562380.0,0,0,0,0,121092.0,2693,2697.0,0.9711362805991962
2006-03-29,A0609,2697,2698,2686,2692,19812.0,533537160.0,0,0,0,0,120957.0,2693,2686.0,0.9711362805991962
2006-03-30,A0609,2692,2694,2681,2689,15475.0,415658500.0,0,0,0,0,118122.0,2686,2692.0,0.9711362805991962
2006-03-31,A0609,2698,2708,2697,2698,23660.0,639056600.0,0,0,0,0,118260.0,2701,2689.0,0.9711362805991962
2006-04-03,A0609,2654,2667,2650,2658,35465.0,942305050.0,0,0,0,0,117894.0,2657,2698.0,0.9711362805991962
2006-04-04,A0609,2645,2646,2628,2631,37093.0,977400550.0,0,0,0,0,124011.0,2635,2658.0,0.9711362805991962
2006-04-05,A0609,2611,2633,2611,2626,34909.0,915313980.0,0,0,0,0,121049.0,2622,2631.0,0.9711362805991962
2006-04-06,A0609,2632,2637,2629,2630,14665.0,386129450.0,0,0,0,0,121839.0,2633,2626.0,0.9711362805991962
2006-04-07,A0609,2628,2628,2602,2605,34309.0,896151080.0,0,0,0,0,122680.0,2612,2630.0,0.9711362805991962
2006-04-10,A0609,2597,2597,2577,2579,22036.0,570071320.0,0,0,0,0,121776.0,2587,2605.0,0.9711362805991962
2006-04-11,A0609,2573,2598,2566,2582,39024.0,1007209440.0,0,0,0,0,123223.0,2581,2579.0,0.9711362805991962
2006-04-12,A0609,2599,2600,2585,2591,18253.0,472935230.0,0,0,0,0,124667.0,2591,2582.0,0.9711362805991962
2006-04-13,A0609,2587,2589,2575,2577,13281.0,342915420.0,0,0,0,0,123050.0,2582,2591.0,0.9711362805991962
2006-04-14,A0609,2582,2591,2582,2588,11573.0,299393510.0,0,0,0,0,123334.0,2587,2577.0,0.9711362805991962
2006-04-17,A0609,2590,2615,2585,2610,27850.0,725214000.0,0,0,0,0,127728.0,2604,2588.0,0.9711362805991962
2006-04-18,A0609,2613,2615,2591,2597,20286.0,527436000.0,0,0,0,0,127835.0,2600,2610.0,0.9711362805991962
2006-04-19,A0609,2605,2612,2600,2604,14567.0,379616020.0,0,0,0,0,128529.0,2606,2597.0,0.9711362805991962
2006-04-20,A0609,2601,2609,2599,2602,12555.0,326806650.0,0,0,0,0,129052.0,2603,2604.0,0.9711362805991962
2006-04-21,A0609,2588,2589,2573,2574,21991.0,567367800.0,0,0,0,0,123945.0,2580,2602.0,0.9711362805991962
2006-04-24,A0609,2590,2608,2590,2597,26273.0,683360730.0,0,0,0,0,127791.0,2601,2574.0,0.9711362805991962
2006-04-25,A0609,2590,2601,2587,2591,22874.0,593122820.0,0,0,0,0,126864.0,2593,2597.0,0.9711362805991962
2006-04-26,A0609,2600,2608,2600,2603,15146.0,394401840.0,0,0,0,0,126816.0,2604,2591.0,0.9711362805991962
2006-04-27,A0609,2596,2616,2596,2612,18674.0,486831180.0,0,0,0,0,126228.0,2607,2603.0,0.9711362805991962
2006-04-28,A0609,2606,2635,2605,2632,27393.0,718244460.0,0,0,0,0,125424.0,2622,2612.0,0.9711362805991962
2006-05-08,A0609,2655,2657,2631,2636,20509.0,542052870.0,0,0,0,0,125317.0,2643,2632.0,0.9711362805991962
2006-05-09,A0609,2630,2689,2630,2670,33694.0,896260400.0,0,0,0,0,126511.0,2660,2636.0,0.9711362805991962
2006-05-10,A0609,2670,2679,2663,2666,21213.0,566387100.0,0,0,0,0,126329.0,2670,2670.0,0.9711362805991962
2006-05-11,A0609,2662,2699,2655,2678,33995.0,912085850.0,0,0,0,0,126807.0,2683,2666.0,0.9711362805991962
2006-05-12,A0609,2700,2709,2669,2682,36312.0,978608400.0,0,0,0,0,124279.0,2695,2678.0,0.9711362805991962
2006-05-15,A0609,2699,2699,2678,2687,16233.0,436180710.0,0,0,0,0,122971.0,2687,2682.0,0.9711362805991962
2006-05-16,A0609,2665,2665,2623,2639,31150.0,825163500.0,0,0,0,0,123414.0,2649,2687.0,0.9711362805991962
2006-05-17,A0609,2658,2668,2651,2659,11550.0,307114500.0,0,0,0,0,121730.0,2659,2639.0,0.9711362805991962
2006-05-18,A0609,2652,2663,2643,2655,10272.0,272618880.0,0,0,0,0,119878.0,2654,2659.0,0.9711362805991962
2006-05-19,A0609,2644,2658,2641,2648,6225.0,164838000.0,0,0,0,0,119583.0,2648,2655.0,0.9711362805991962
2006-05-22,A0609,2635,2639,2616,2630,15176.0,398977040.0,0,0,0,0,120977.0,2629,2648.0,0.9711362805991962
2006-05-23,A0609,2635,2647,2631,2647,7419.0,195935790.0,0,0,0,0,121547.0,2641,2630.0,0.9711362805991962
2006-05-24,A0609,2655,2671,2648,2670,16206.0,431403720.0,0,0,0,0,122383.0,2662,2647.0,0.9711362805991962
2006-05-25,A0609,2660,2661,2645,2647,14669.0,388875190.0,0,0,0,0,120770.0,2651,2670.0,0.9711362805991962
2006-05-26,A0609,2660,2668,2658,2660,9682.0,257638020.0,0,0,0,0,120548.0,2661,2647.0,0.9711362805991962
2006-05-29,A0609,2658,2658,2652,2655,5071.0,134584340.0,0,0,0,0,119899.0,2654,2660.0,0.9711362805991962
2006-05-30,A0609,2652,2670,2646,2662,13999.0,372513390.0,0,0,0,0,119309.0,2661,2655.0,0.9711362805991962
2006-05-31,A0609,2660,2662,2640,2642,8758.0,231999420.0,0,0,0,0,118165.0,2649,2662.0,0.9711362805991962
2006-06-01,A0609,2639,2641,2580,2594,26043.0,677899290.0,0,0,0,0,113919.0,2603,2642.0,0.9711362805991962
2006-06-02,A0609,2613,2630,2610,2619,10017.0,262545570.0,0,0,0,0,112914.0,2621,2594.0,0.9711362805991962
2006-06-05,A0609,2680,2688,2660,2663,22180.0,591762400.0,0,0,0,0,111245.0,2668,2619.0,0.9711362805991962
2006-06-06,A0609,2660,2668,2654,2667,8191.0,217798690.0,0,0,0,0,112177.0,2659,2663.0,0.9711362805991962
2006-06-07,A0609,2641,2658,2641,2657,8352.0,221244480.0,0,0,0,0,110839.0,2649,2667.0,0.9711362805991962
2006-06-08,A0609,2659,2662,2636,2642,6023.0,159669730.0,0,0,0,0,109630.0,2651,2657.0,0.9711362805991962
2006-06-09,A0609,2615,2630,2615,2627,8567.0,224626740.0,0,0,0,0,109985.0,2622,2642.0,0.9711362805991962
2006-06-12,A0609,2657,2658,2635,2639,7736.0,204307760.0,0,0,0,0,109260.0,2641,2627.0,0.9711362805991962
2006-06-13,A0609,2645,2645,2628,2631,6282.0,165405060.0,0,0,0,0,108546.0,2633,2639.0,0.9711362805991962
2006-06-14,A0609,2620,2628,2601,2620,11182.0,292521120.0,0,0,0,0,105110.0,2616,2631.0,0.9711362805991962
