time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2012-05-11,AG1209,6110,6115,6000,6002,103402.0,9393037680.0,6001,23,6002,10,27510.0,6056,6140.0,1.0
2012-05-14,AG1209,6040,6045,5960,5976,103834.0,9343502490.0,5975,1,5976,3,28514.0,5999,6002.0,1.0
2012-05-15,AG1209,5895,5910,5711,5842,222575.0,19407427125.0,5842,3,5843,36,41119.0,5813,5976.0,1.0
2012-05-16,AG1209,5750,5786,5643,5647,299601.0,25633861560.0,5646,10,5647,37,54188.0,5704,5842.0,1.0
2012-05-17,AG1209,5705,5787,5691,5763,279144.0,24067795680.0,5763,102,5764,47,44869.0,5748,5647.0,1.0
2012-05-18,AG1209,5808,5881,5768,5863,347788.0,30398410140.0,5863,43,5864,3,46081.0,5827,5763.0,1.0
2012-05-21,AG1209,5957,5964,5903,5940,202883.0,18052529340.0,5939,3,5940,1,48843.0,5932,5863.0,1.0
2012-05-22,AG1209,5920,5930,5882,5890,185544.0,16428993480.0,5889,126,5890,81,45358.0,5903,5940.0,1.0
2012-05-23,AG1209,5800,5818,5759,5791,150085.0,13037133525.0,5791,21,5792,2,45101.0,5791,5890.0,1.0
2012-05-24,AG1209,5785,5838,5766,5832,150635.0,13114283100.0,5831,46,5832,33,42969.0,5804,5791.0,1.0
2012-05-25,AG1209,5858,5912,5804,5904,210139.0,18436545165.0,5904,2,5905,5,46272.0,5849,5832.0,1.0
2012-05-28,AG1209,5940,5992,5916,5986,190709.0,17035081425.0,5987,4,5989,9,47460.0,5955,5904.0,1.0
2012-05-29,AG1209,5933,5982,5922,5962,174960.0,15615180000.0,5961,564,5962,40,46552.0,5950,5986.0,1.0
2012-05-30,AG1209,5817,5855,5798,5801,174805.0,15276208950.0,5801,5,5802,95,47274.0,5826,5962.0,1.0
2012-05-31,AG1209,5836,5878,5826,5851,182979.0,16064641305.0,5850,12,5851,13,42928.0,5853,5801.0,1.0
2012-06-01,AG1209,5800,5840,5771,5832,148492.0,12943305180.0,5831,1,5832,1,43264.0,5811,5851.0,1.0
2012-06-04,AG1209,5923,5998,5901,5949,196844.0,17571279660.0,5948,85,5949,16,43637.0,5951,5832.0,1.0
2012-06-05,AG1209,5954,5985,5921,5931,161697.0,14436308160.0,5931,20,5932,41,43994.0,5952,5949.0,1.0
2012-06-06,AG1209,6001,6092,5991,6088,171923.0,15602012250.0,6088,85,6089,31,44973.0,6050,5931.0,1.0
2012-06-07,AG1209,6145,6154,6110,6134,136363.0,12528350625.0,6133,53,6134,267,45822.0,6125,6088.0,1.0
2012-06-08,AG1209,6005,6023,5905,5935,158240.0,14144282400.0,5935,100,5937,9,39859.0,5959,6134.0,1.0
2012-06-11,AG1209,6054,6099,6031,6062,103547.0,9424847940.0,6062,1,6063,9,38650.0,6068,5935.0,1.0
2012-06-12,AG1209,5992,6038,5978,5989,121851.0,10975728825.0,5989,37,5990,42,43976.0,6005,6062.0,1.0
2012-06-13,AG1209,6050,6083,6040,6083,92318.0,8394475740.0,6081,35,6083,33,40094.0,6062,5989.0,1.0
2012-06-14,AG1209,6068,6128,6061,6080,94623.0,8638133670.0,6079,14,6080,111,41026.0,6086,6083.0,1.0
2012-06-15,AG1209,6050,6085,6032,6070,104273.0,9481543890.0,6069,5,6070,30,40418.0,6062,6080.0,1.0
2012-06-18,AG1209,6087,6095,6003,6010,154959.0,14006744010.0,6008,16,6010,17,49511.0,6026,6070.0,1.0
2012-06-19,AG1209,6058,6080,6045,6061,84129.0,7651111905.0,6061,59,6062,4,38486.0,6063,6010.0,1.0
2012-06-20,AG1209,5996,6029,5990,6010,87891.0,7919418555.0,6009,16,6010,5,41651.0,6007,6061.0,1.0
2012-06-21,AG1209,5900,5925,5893,5911,70770.0,6272698950.0,5911,19,5912,68,37803.0,5909,6010.0,1.0
2012-06-25,AG1209,5700,5742,5691,5716,81257.0,6976726020.0,5716,19,5717,3,44963.0,5724,5911.0,1.0
2012-06-26,AG1209,5830,5830,5783,5791,69748.0,6077491980.0,5791,61,5792,80,41849.0,5809,5716.0,1.0
2012-06-27,AG1209,5767,5771,5725,5745,67159.0,5790448980.0,5745,9,5746,9,45121.0,5748,5791.0,1.0
2012-06-28,AG1209,5778,5782,5733,5736,60170.0,5186954850.0,5736,206,5738,79,44297.0,5747,5745.0,1.0
2012-06-29,AG1209,5651,5764,5632,5751,117327.0,10038498120.0,5751,14,5752,18,41695.0,5704,5736.0,1.0
2012-07-02,AG1209,5831,5835,5785,5796,78490.0,6833339400.0,5794,257,5796,33,36544.0,5804,5751.0,1.0
2012-07-03,AG1209,5820,5915,5810,5908,93051.0,8193140550.0,5908,27,5910,3,34028.0,5870,5796.0,1.0
2012-07-04,AG1209,5952,5979,5932,5948,66930.0,5975510400.0,5948,55,5950,28,30972.0,5952,5908.0,1.0
2012-07-05,AG1209,5960,5995,5944,5994,59112.0,5292592920.0,5993,63,5994,14,32288.0,5969,5948.0,1.0
2012-07-06,AG1209,5929,5932,5864,5872,74100.0,6547846500.0,5872,96,5873,20,32451.0,5891,5994.0,1.0
2012-07-09,AG1209,5790,5832,5782,5808,70831.0,6168671790.0,5807,1,5808,43,35954.0,5806,5872.0,1.0
2012-07-10,AG1209,5813,5834,5795,5798,50443.0,4397620740.0,5797,19,5798,2,34806.0,5812,5808.0,1.0
2012-07-11,AG1209,5755,5780,5750,5775,47731.0,4128970155.0,5775,50,5776,1,34787.0,5767,5798.0,1.0
2012-07-12,AG1209,5774,5779,5728,5743,56779.0,4892930325.0,5742,17,5743,19,38778.0,5745,5775.0,1.0
2012-07-13,AG1209,5770,5830,5764,5828,48432.0,4212857520.0,5828,36,5829,6,34672.0,5799,5743.0,1.0
2012-07-16,AG1209,5810,5834,5787,5828,45315.0,3949881975.0,5829,30,5830,24,31595.0,5811,5828.0,1.0
2012-07-17,AG1209,5845,5877,5812,5830,52429.0,4598285445.0,5828,14,5830,13,29538.0,5847,5828.0,1.0
2012-07-18,AG1209,5835,5838,5780,5811,38022.0,3310765650.0,5811,8,5812,1,28590.0,5805,5830.0,1.0
2012-07-19,AG1209,5815,5828,5797,5822,32301.0,2816970210.0,5821,3,5822,20,27739.0,5814,5811.0,1.0
2012-07-20,AG1209,5809,5811,5787,5799,30872.0,2685400920.0,5799,4,5800,27,27364.0,5799,5822.0,1.0
2012-07-23,AG1209,5806,5808,5755,5761,30298.0,2627745540.0,5759,4,5762,1,25473.0,5782,5799.0,1.0
2012-07-24,AG1212,5796,5822,5792,5794,31958.0,2782742850.0,5794,26,5795,8,26827.0,5805,5790.0,0.9949913644214162
2012-07-25,AG1212,5784,5817,5740,5740,40710.0,3534442200.0,5740,90,5741,11,32036.0,5788,5794.0,0.9949913644214162
2012-07-26,AG1212,5840,5886,5820,5872,50338.0,4423955130.0,5871,11,5872,44,27586.0,5859,5740.0,0.9949913644214162
2012-07-27,AG1212,5862,5932,5862,5927,41870.0,3703610850.0,5926,14,5927,57,28879.0,5897,5872.0,0.9949913644214162
2012-07-30,AG1212,5923,5925,5887,5893,33038.0,2926340850.0,5892,17,5893,3,26510.0,5905,5927.0,0.9949913644214162
2012-07-31,AG1212,5978,6044,5972,6024,62042.0,5600531340.0,6022,134,6024,40,30997.0,6018,5893.0,0.9949913644214162
2012-08-01,AG1212,5965,5992,5949,5990,38271.0,3428316180.0,5989,2,5990,31,30201.0,5972,6024.0,0.9949913644214162
2012-08-02,AG1212,5880,5910,5880,5896,33576.0,2970468720.0,5896,8,5897,432,30373.0,5898,5990.0,0.9949913644214162
2012-08-03,AG1212,5866,5868,5842,5862,27120.0,2380593600.0,5861,9,5863,27,31101.0,5852,5896.0,0.9949913644214162
2012-08-06,AG1212,5970,5972,5941,5952,24316.0,2171297220.0,5950,59,5952,8,29427.0,5953,5862.0,0.9949913644214162
2012-08-07,AG1212,5966,5974,5956,5966,19457.0,1740915075.0,5966,11,5967,56,29097.0,5965,5952.0,0.9949913644214162
2012-08-08,AG1212,5999,5999,5953,5955,28360.0,2542615800.0,5954,34,5955,7,30051.0,5977,5966.0,0.9949913644214162
2012-08-09,AG1212,5988,6022,5980,6020,35017.0,3154156275.0,6019,12,6020,36,34563.0,6005,5955.0,0.9949913644214162
2012-08-10,AG1212,6005,6006,5961,5976,28297.0,2539514265.0,5976,39,5977,58,32749.0,5983,6020.0,0.9949913644214162
2012-08-13,AG1212,6004,6024,5986,5995,39226.0,3531516780.0,5993,25,5995,29,34247.0,6002,5976.0,0.9949913644214162
2012-08-14,AG1212,5974,5980,5944,5976,31047.0,2776067505.0,5975,4,5976,20,31991.0,5961,5995.0,0.9949913644214162
2012-08-15,AG1212,5961,5969,5950,5953,21214.0,1896213390.0,5952,20,5953,3,31180.0,5959,5976.0,0.9949913644214162
2012-08-16,AG1212,5969,5978,5945,5952,20347.0,1819327005.0,5951,21,5952,27,32239.0,5961,5953.0,0.9949913644214162
2012-08-17,AG1212,6016,6037,6003,6031,29019.0,2619545130.0,6031,47,6032,6,35395.0,6018,5952.0,0.9949913644214162
2012-08-20,AG1212,6000,6034,5996,6019,26720.0,2411613600.0,6018,76,6019,28,35740.0,6017,6031.0,0.9949913644214162
2012-08-21,AG1212,6100,6158,6094,6148,59552.0,5474913120.0,6148,5,6149,36,45631.0,6129,6019.0,0.9949913644214162
2012-08-22,AG1212,6208,6266,6202,6260,56194.0,5258915490.0,6260,73,6261,1,51440.0,6239,6148.0,0.9949913644214162
2012-08-23,AG1212,6337,6565,6333,6526,209292.0,20333764260.0,6524,10,6526,104,75594.0,6477,6260.0,0.9949913644214162
2012-08-24,AG1212,6518,6548,6459,6487,156906.0,15307749360.0,6487,34,6488,243,77870.0,6504,6526.0,0.9949913644214162
2012-08-27,AG1212,6588,6708,6585,6631,234985.0,23439753750.0,6631,7,6632,37,80820.0,6650,6487.0,0.9949913644214162
2012-08-28,AG1212,6551,6575,6516,6566,113477.0,11147413095.0,6565,43,6566,17,84251.0,6549,6631.0,0.9949913644214162
2012-08-29,AG1212,6569,6624,6560,6620,152919.0,15113749365.0,6620,4,6621,16,88416.0,6589,6566.0,0.9949913644214162
2012-08-30,AG1212,6580,6587,6525,6573,125958.0,12394267200.0,6572,6,6573,7,85613.0,6560,6620.0,0.9949913644214162
2012-08-31,AG1212,6500,6504,6463,6494,104496.0,10164848400.0,6495,5,6496,50,78082.0,6485,6573.0,0.9949913644214162
2012-09-03,AG1212,6731,6849,6730,6820,154533.0,15785545950.0,6820,5,6821,11,98429.0,6810,6494.0,0.9949913644214162
2012-09-04,AG1212,6900,6932,6837,6876,135386.0,13981989150.0,6874,2,6875,3,95253.0,6885,6820.0,0.9949913644214162
2012-09-05,AG1212,6869,6904,6855,6879,99448.0,10264525320.0,6879,60,6880,20,100933.0,6881,6876.0,0.9949913644214162
2012-09-06,AG1212,6900,7072,6889,7043,252426.0,26493370830.0,7043,45,7044,35,130544.0,6997,6879.0,0.9949913644214162
2012-09-07,AG1212,6986,7006,6802,6874,283315.0,29314603050.0,6873,25,6874,26,98247.0,6898,7043.0,0.9949913644214162
2012-09-10,AG1212,7182,7272,7175,7213,191427.0,20728672695.0,7212,197,7213,5,104211.0,7219,6874.0,0.9949913644214162
2012-09-11,AG1212,7170,7195,7115,7188,180905.0,19421056275.0,7188,87,7189,82,102745.0,7157,7213.0,0.9949913644214162
2012-09-12,AG1212,7200,7221,7166,7183,141847.0,15293943540.0,7181,27,7183,18,106036.0,7188,7188.0,0.9949913644214162
2012-09-13,AG1212,7109,7123,7051,7056,130803.0,13908937005.0,7055,18,7056,28,103765.0,7089,7183.0,0.9949913644214162
2012-09-14,AG1212,7450,7506,7356,7384,210702.0,23447972070.0,7383,61,7384,33,100885.0,7419,7056.0,0.9949913644214162
2012-09-17,AG1212,7399,7405,7342,7352,112920.0,12493468800.0,7352,47,7353,69,102242.0,7376,7384.0,0.9949913644214162
2012-09-18,AG1212,7275,7295,7220,7289,125557.0,13659973815.0,7289,124,7291,18,98863.0,7253,7352.0,0.9949913644214162
2012-09-19,AG1212,7374,7438,7300,7435,194015.0,21459999150.0,7434,8,7435,33,108514.0,7374,7289.0,0.9949913644214162
2012-09-20,AG1212,7367,7405,7283,7307,191215.0,21058507950.0,7306,69,7307,15,105708.0,7342,7435.0,0.9949913644214162
2012-09-21,AG1212,7396,7419,7364,7409,152952.0,16959317760.0,7408,17,7409,24,111361.0,7392,7307.0,0.9949913644214162
2012-09-24,AG1212,7254,7258,7098,7165,166548.0,17872265880.0,7161,60,7165,392,95086.0,7154,7409.0,0.9949913644214162
2012-09-25,AG1212,7215,7220,7123,7159,111683.0,12001455180.0,7158,55,7159,29,95245.0,7164,7165.0,0.9949913644214162
2012-09-26,AG1212,7120,7193,7118,7150,107354.0,11526598980.0,7150,70,7151,4,87638.0,7158,7159.0,0.9949913644214162
2012-09-27,AG1212,7175,7237,7168,7234,132268.0,14294864100.0,7233,7,7234,15,95257.0,7205,7150.0,0.9949913644214162
2012-09-28,AG1212,7370,7405,7310,7378,114228.0,12597063840.0,7378,8,7379,74,97381.0,7352,7234.0,0.9949913644214162
