time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,AL0605,21930,21930,21930,21930,167.0,18311550.0,0,0,0,0,28996.0,21930,21500.0,1.0
2006-02-07,AL0605,22690,22800,22610,22800,19575.0,2227635000.0,0,0,0,0,32219.0,22760,21930.0,1.0
2006-02-08,AL0605,21620,22380,21620,21820,59429.0,6519361300.0,0,0,0,0,35672.0,21940,22800.0,1.0
2006-02-09,AL0605,22280,22450,22220,22360,37489.0,4185646850.0,0,0,0,0,39615.0,22330,21820.0,1.0
2006-02-10,AL0605,22520,22690,22050,22060,61554.0,6887892600.0,0,0,0,0,42747.0,22380,22360.0,1.0
2006-02-13,AL0605,21700,21700,21700,21700,973.0,105570500.0,0,0,0,0,42489.0,21700,22060.0,1.0
2006-02-14,AL0605,21000,21440,21000,21300,56334.0,5988304200.0,0,0,0,0,44917.0,21260,21700.0,1.0
2006-02-15,AL0605,21490,21500,21050,21190,48736.0,5173326400.0,0,0,0,0,46974.0,21230,21300.0,1.0
2006-02-16,AL0605,20590,20590,20590,20590,494.0,50857300.0,0,0,0,0,46842.0,20590,21190.0,1.0
2006-02-17,AL0605,20500,20600,19760,19870,64541.0,6483143450.0,0,0,0,0,40251.0,20090,20590.0,1.0
2006-02-20,AL0605,19920,20080,19660,20020,57438.0,5706465300.0,0,0,0,0,42484.0,19870,19870.0,1.0
2006-02-21,AL0605,20360,20430,20120,20210,34583.0,3501528750.0,0,0,0,0,41765.0,20250,20020.0,1.0
2006-02-22,AL0605,20480,20540,20070,20130,37389.0,3813678000.0,0,0,0,0,42703.0,20400,20210.0,1.0
2006-02-23,AL0605,20240,20260,19780,19780,36584.0,3652912400.0,0,0,0,0,41781.0,19970,20130.0,1.0
2006-02-24,AL0605,19500,19750,19170,19670,53648.0,5222632800.0,0,0,0,0,37706.0,19470,19780.0,1.0
2006-02-27,AL0605,19690,19820,19280,19310,41433.0,4033502550.0,0,0,0,0,36534.0,19470,19670.0,1.0
2006-02-28,AL0605,19000,19230,18880,19100,47638.0,4549429000.0,0,0,0,0,34082.0,19100,19310.0,1.0
2006-03-01,AL0605,19350,19380,18960,19040,34912.0,3337587200.0,0,0,0,0,34510.0,19120,19100.0,1.0
2006-03-02,AL0605,19100,19370,18980,19370,41392.0,3969492800.0,0,0,0,0,33515.0,19180,19040.0,1.0
2006-03-03,AL0605,19400,19610,19320,19570,44790.0,4367025000.0,0,0,0,0,31557.0,19500,19370.0,1.0
2006-03-06,AL0605,19800,19820,19630,19680,25711.0,2532533500.0,0,0,0,0,29825.0,19700,19570.0,1.0
2006-03-07,AL0605,19330,19470,19300,19460,17536.0,1698361600.0,0,0,0,0,28181.0,19370,19680.0,1.0
2006-03-08,AL0605,19180,19400,19080,19380,22298.0,2145067600.0,0,0,0,0,27670.0,19240,19460.0,1.0
2006-03-09,AL0605,19350,19500,19300,19430,16484.0,1601420600.0,0,0,0,0,26599.0,19430,19380.0,1.0
2006-03-10,AL0605,19470,19490,19270,19300,11319.0,1094547300.0,0,0,0,0,26237.0,19340,19430.0,1.0
2006-03-13,AL0605,19400,19440,19300,19370,4711.0,455789250.0,0,0,0,0,25174.0,19350,19300.0,1.0
2006-03-14,AL0605,19430,19470,19320,19330,2799.0,271223100.0,0,0,0,0,24601.0,19380,19370.0,1.0
2006-03-15,AL0605,19490,19610,19470,19500,7787.0,760011200.0,0,0,0,0,24650.0,19520,19330.0,1.0
2006-03-16,AL0605,19480,19490,19280,19340,3481.0,336960800.0,0,0,0,0,24170.0,19360,19500.0,1.0
2006-03-17,AL0605,19480,19690,19420,19690,4462.0,435045000.0,0,0,0,0,23300.0,19500,19340.0,1.0
2006-03-20,AL0606,20110,20240,20040,20240,25507.0,2568554900.0,0,0,0,0,28059.0,20140,19840.0,0.9924395161290323
2006-03-21,AL0606,20000,20210,19930,20120,27382.0,2753260100.0,0,0,0,0,29808.0,20110,20240.0,0.9924395161290323
2006-03-22,AL0606,20000,20120,19980,20030,22274.0,2231854800.0,0,0,0,0,29524.0,20040,20120.0,0.9924395161290323
2006-03-23,AL0606,20030,20640,19900,20360,51415.0,5195485750.0,0,0,0,0,34882.0,20210,20030.0,0.9924395161290323
2006-03-24,AL0606,20650,20650,20320,20330,50299.0,5155647500.0,0,0,0,0,36469.0,20500,20360.0,0.9924395161290323
2006-03-27,AL0606,20450,20580,20360,20410,42234.0,4318426500.0,0,0,0,0,37541.0,20450,20330.0,0.9924395161290323
2006-03-28,AL0606,20540,20570,20360,20400,32244.0,3298561200.0,0,0,0,0,36925.0,20460,20410.0,0.9924395161290323
2006-03-29,AL0606,20400,20430,20080,20090,43711.0,4416996550.0,0,0,0,0,36208.0,20210,20400.0,0.9924395161290323
