time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2017-12-25,AP.CZC,8790.7618135161,8832.99385474881,8727.955188093098,8765.855737917323,179012.0,14507132480.0,8095,6,8096,8,12648.0,AP1805
2017-12-26,AP.CZC,8776.68446643853,8818.91650767124,8748.529772283391,8760.44137365672,73210.0,5933670500.0,8090,1,8091,15,10509.0,AP1805
2017-12-27,AP.CZC,8764.772865065202,8781.015957847014,8735.535298057943,8756.109882248236,33944.0,2745051280.0,8086,9,8088,26,8762.0,AP1805
2017-12-28,AP.CZC,8762.60711936096,8819.999380523359,8758.275627952478,8775.601593586409,35588.0,2887966200.0,8104,32,8105,3,7779.0,AP1805
2017-12-29,AP.CZC,8777.76733929065,8795.093304924583,8747.44689943127,8758.275627952478,12881.0,1042716950.0,8087,6,8088,2,6877.0,AP1805
2018-01-02,AP.CZC,8758.275627952478,8777.76733929065,8756.109882248236,8772.352975030048,8213.0,665088740.0,8101,6,8103,210,6180.0,AP1805
2018-01-03,AP.CZC,8774.51872073429,8795.093304924583,8758.275627952478,8764.772865065202,10077.0,816237000.0,8094,11,8095,14,5926.0,AP1805
2018-01-04,AP.CZC,8769.104356473685,8786.430322107617,8745.28115372703,8762.60711936096,8326.0,673906440.0,8091,10,8095,1,5626.0,AP1805
2018-01-05,AP.CZC,8769.104356473685,8783.181703551254,8751.778390839754,8770.187229325806,4769.0,386145930.0,8099,36,8100,8,5045.0,AP1805
2018-01-08,AP.CZC,8774.51872073429,8774.51872073429,8749.612645135512,8753.944136543994,3466.0,280295420.0,8084,3,8085,1,4897.0,AP1805
2018-01-09,AP.CZC,8756.109882248236,8760.44137365672,8590.430335873765,8626.16513999375,35564.0,2840852320.0,7966,12,7967,91,7967.0,AP1805
2018-01-10,AP.CZC,8615.336411472541,8641.32535992344,8590.430335873765,8595.844700134368,15096.0,1201339680.0,7938,9,7940,13,8002.0,AP1805
2018-01-11,AP.CZC,8588.264590169523,8612.08779291618,8504.883380556226,8516.794981929555,21620.0,1707547600.0,7865,4,7866,9,10119.0,AP1805
2018-01-12,AP.CZC,8469.148576436242,8505.966253408347,8429.082280907776,8432.330899464137,19426.0,1518530420.0,7786,31,7788,2,12035.0,AP1805
2018-01-15,AP.CZC,8406.34195101324,8440.993882281104,8400.927586752636,8421.502170942931,13082.0,1017256320.0,7776,4,7777,4,12512.0,AP1805
2018-01-16,AP.CZC,8407.424823865362,8462.651339323518,8350.032562702962,8363.027036928412,22356.0,1737284760.0,7722,21,7723,6,14365.0,AP1805
2018-01-17,AP.CZC,8377.104384005981,8385.767366822947,8292.640301540563,8305.634775766011,44078.0,3389157420.0,7670,3,7672,9,15657.0,AP1805
2018-01-18,AP.CZC,8303.469030061771,8346.7839441466,8301.30328435753,8306.717648618132,24043.0,1848185410.0,7670,1,7671,11,16257.0,AP1805
