time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2008-01-10,AU.SHF,269.97883098444413,270.4035167859927,259.3010165455088,261.02402751179153,43992.0,9576178560.0,0.0,0,0.0,0,11747.0,AU0806
2008-01-11,AU.SHF,264.518584964534,266.01105220997607,261.4851149534728,264.63992376497646,42709.0,9301593110.0,0.0,0,0.0,0,12712.0,AU0806
2008-01-14,AU.SHF,265.5499647682948,267.24870797448904,264.0332297627642,267.0666997738254,30388.0,6663480640.0,0.0,0,0.0,0,13857.0,AU0806
2008-01-15,AU.SHF,267.79473257648004,272.5269457937355,267.3093773747103,271.5562353901959,44121.0,9843836310.0,0.0,0,0.0,0,14933.0,AU0806
2008-01-16,AU.SHF,267.67339377603764,267.67339377603764,261.3637761530304,261.95833627519835,47181.0,10262339309.999998,0.0,0,0.0,0,14791.0,AU0806
2008-01-17,AU.SHF,259.7014345869689,263.06251935922467,259.0583389446239,262.66210131776455,30981.0,6676405500.0,0.0,0,0.0,0,15458.0,AU0806
2008-01-18,AU.SHF,259.66503294683616,260.7570821508182,257.7478798998455,260.51440454993326,29003.0,6198521160.0,0.0,0,0.0,0,14769.0,AU0806
2008-01-21,AU.SHF,260.51440454993326,262.49222699714517,259.42235534595125,259.907710547721,21755.0,4681676000.0,0.0,0,0.0,0,15147.0,AU0806
2008-01-22,AU.SHF,252.38470492028932,254.20478692692603,248.40479226577708,250.46755187329865,39266.0,8150836280.0,0.0,0,0.0,0,14663.0,AU0806
2008-01-23,AU.SHF,257.2382569379872,259.96837994794225,255.90353013312028,257.8570848202437,30494.0,6482719460.0,0.0,0,0.0,0,13298.0,AU0806
2008-01-24,AU.SHF,258.4759127025002,263.4022680004635,257.97842362068616,262.9411805587822,28981.0,6213816210.0,0.0,0,0.0,0,15078.0,AU0806
2008-01-25,AU.SHF,267.0666997738254,268.6441041795772,264.9068691259498,266.7026833724981,36312.0,7981740720.0,0.0,0,0.0,0,16214.0,AU0806
2008-01-28,AU.SHF,266.46000577161317,269.33573534209916,265.97465056984333,267.34577901484306,31356.0,6919642080.0,0.0,0,0.0,0,16591.0,AU0806
2008-01-29,AU.SHF,271.313557789311,272.16292939240816,270.0516342647096,270.0516342647096,23826.0,5322013620.0,0.0,0,0.0,0,17084.0,AU0806
2008-01-30,AU.SHF,268.1587489778074,269.4328063824531,266.9574948534272,267.0666997738254,18115.0,4004501900.0,0.0,0,0.0,0,17864.0,AU0806
2008-01-31,AU.SHF,266.94536097338295,268.2072844979844,264.7855303255074,266.156658770507,21501.0,4719039479.999999,0.0,0,0.0,0,16541.0,AU0806
