time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-02-06,B.DCE,1359.371758332417,1376.8788188563951,1359.371758332417,1372.244596952989,11486.0,306101900.0,0,0,0,0,20862.0,B0609
2006-02-07,B.DCE,1361.9463260565315,1383.0577813942696,1349.5884009807821,1374.8191646771036,16647.0,439147860.0,0,0,0,0,21100.0,B0609
2006-02-08,B.DCE,1349.5884009807821,1349.5884009807821,1304.2760090363681,1315.6041070224717,15509.0,399977110.0,0,0,0,0,21099.0,B0609
2006-02-09,B.DCE,1332.596254001627,1337.7453894498558,1321.7830695603463,1325.3874643741065,14447.0,372154720.0,0,0,0,0,21115.0,B0609
2006-02-10,B.DCE,1349.0734874359591,1349.0734874359591,1313.5444528431801,1328.4769456430438,14559.0,378970770.0,0,0,0,0,21113.0,B0609
2006-02-13,B.DCE,1332.596254001627,1332.596254001627,1322.2979831051691,1329.5067727326896,17692.0,455922840.0,0,0,0,0,21039.0,B0609
2006-02-14,B.DCE,1329.5067727326896,1338.7752165395016,1326.9322050085752,1337.7453894498558,16330.0,423273600.0,0,0,0,0,21235.0,B0609
2006-02-15,B.DCE,1339.2901300843243,1339.2901300843243,1327.962032098221,1335.1708217257412,17094.0,442392720.0,0,0,0,0,21204.0,B0609
2006-02-16,B.DCE,1338.7752165395016,1348.0436603463133,1328.4769456430438,1340.8348707187931,15991.0,414486720.0,0,0,0,0,20418.0,B0609
2006-02-17,B.DCE,1346.4989197118448,1365.5507208702916,1340.3199571739701,1362.4612396013542,15077.0,395017400.0,0,0,0,0,20262.0,B0609
2006-02-20,B.DCE,1375.3340782219263,1376.3639053115721,1359.371758332417,1360.4015854220627,14568.0,386052000.0,0,0,0,0,20026.0,B0609
2006-02-21,B.DCE,1359.371758332417,1368.125288594406,1352.1629687048965,1353.7077093393652,14934.0,394556280.0,0,0,0,0,19934.0,B0609
2006-02-22,B.DCE,1339.2901300843243,1352.1629687048965,1339.2901300843243,1347.0138332566678,14893.0,389005160.0,0,0,0,0,19915.0,B0609
2006-02-23,B.DCE,1331.5664269119811,1335.6857352705642,1323.327810194815,1326.9322050085752,15452.0,399279680.0,0,0,0,0,20033.0,B0609
2006-02-24,B.DCE,1326.9322050085752,1338.7752165395016,1326.9322050085752,1336.71556236021,15014.0,389162880.0,0,0,0,0,20147.0,B0609
2006-02-27,B.DCE,1328.4769456430438,1331.0515133671583,1323.842723739638,1324.8725508292837,15155.0,390695900.0,0,0,0,0,20036.0,B0609
