time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,B0609,2640,2674,2640,2665,11486.0,306101900.0,0,0,0,0,20862.0,2665,2588.0,1.0
2006-02-07,B0609,2645,2686,2621,2670,16647.0,439147860.0,0,0,0,0,21100.0,2638,2665.0,1.0
2006-02-08,B0609,2621,2621,2533,2555,15509.0,399977110.0,0,0,0,0,21099.0,2579,2670.0,1.0
2006-02-09,B0609,2588,2598,2567,2574,14447.0,372154720.0,0,0,0,0,21115.0,2576,2555.0,1.0
2006-02-10,B0609,2620,2620,2551,2580,14559.0,378970770.0,0,0,0,0,21113.0,2603,2574.0,1.0
2006-02-13,B0609,2588,2588,2568,2582,17692.0,455922840.0,0,0,0,0,21039.0,2577,2580.0,1.0
2006-02-14,B0609,2582,2600,2577,2598,16330.0,423273600.0,0,0,0,0,21235.0,2592,2582.0,1.0
2006-02-15,B0609,2601,2601,2579,2593,17094.0,442392720.0,0,0,0,0,21204.0,2588,2598.0,1.0
2006-02-16,B0609,2600,2618,2580,2604,15991.0,414486720.0,0,0,0,0,20418.0,2592,2593.0,1.0
2006-02-17,B0609,2615,2652,2603,2646,15077.0,395017400.0,0,0,0,0,20262.0,2620,2604.0,1.0
2006-02-20,B0609,2671,2673,2640,2642,14568.0,386052000.0,0,0,0,0,20026.0,2650,2646.0,1.0
2006-02-21,B0609,2640,2657,2626,2629,14934.0,394556280.0,0,0,0,0,19934.0,2642,2642.0,1.0
2006-02-22,B0609,2601,2626,2601,2616,14893.0,389005160.0,0,0,0,0,19915.0,2612,2629.0,1.0
2006-02-23,B0609,2586,2594,2570,2577,15452.0,399279680.0,0,0,0,0,20033.0,2584,2616.0,1.0
2006-02-24,B0609,2577,2600,2577,2596,15014.0,389162880.0,0,0,0,0,20147.0,2592,2577.0,1.0
2006-02-27,B0609,2580,2585,2571,2573,15155.0,390695900.0,0,0,0,0,20036.0,2578,2596.0,1.0
2006-02-28,B0609,2583,2595,2580,2580,14396.0,372568480.0,0,0,0,0,17398.0,2588,2573.0,1.0
2006-03-01,B0609,2584,2615,2584,2596,15095.0,392620950.0,0,0,0,0,19745.0,2601,2580.0,1.0
2006-03-02,B0609,2590,2608,2582,2607,15125.0,392342500.0,0,0,0,0,20136.0,2594,2596.0,1.0
2006-03-03,B0609,2640,2644,2623,2630,16091.0,423193300.0,0,0,0,0,19975.0,2630,2607.0,1.0
2006-03-06,B0609,2608,2621,2601,2612,19234.0,502969100.0,0,0,0,0,18919.0,2615,2630.0,1.0
2006-03-07,B0609,2615,2657,2614,2628,21872.0,576545920.0,0,0,0,0,19233.0,2636,2612.0,1.0
2006-03-08,B0609,2605,2624,2600,2623,25167.0,657110370.0,0,0,0,0,19179.0,2611,2628.0,1.0
2006-03-09,B0609,2608,2647,2607,2647,20512.0,539875840.0,0,0,0,0,19414.0,2632,2623.0,1.0
2006-03-10,B0609,2642,2648,2612,2619,22192.0,581430400.0,0,0,0,0,18205.0,2620,2647.0,1.0
2006-03-13,B0609,2619,2636,2613,2620,19617.0,514946250.0,0,0,0,0,18222.0,2625,2619.0,1.0
2006-03-14,B0609,2616,2618,2586,2590,26861.0,699729050.0,0,0,0,0,17966.0,2605,2620.0,1.0
2006-03-15,B0609,2605,2617,2594,2604,26613.0,693800910.0,0,0,0,0,17948.0,2607,2590.0,1.0
2006-03-16,B0609,2595,2595,2576,2588,29818.0,770795300.0,0,0,0,0,17680.0,2585,2604.0,1.0
2006-03-17,B0609,2567,2570,2553,2559,26969.0,690945780.0,0,0,0,0,17681.0,2562,2588.0,1.0
2006-03-20,B0609,2560,2600,2554,2575,26481.0,678708030.0,0,0,0,0,15771.0,2563,2559.0,1.0
2006-03-21,B0609,2560,2574,2555,2570,27121.0,696467280.0,0,0,0,0,17656.0,2568,2575.0,1.0
2006-03-22,B0609,2575,2594,2574,2586,26727.0,691427490.0,0,0,0,0,17654.0,2587,2570.0,1.0
2006-03-23,B0609,2575,2589,2567,2578,27330.0,704840700.0,0,0,0,0,17895.0,2579,2586.0,1.0
2006-03-24,B0609,2582,2588,2578,2582,28230.0,729180900.0,0,0,0,0,18076.0,2583,2578.0,1.0
2006-03-27,B0609,2570,2600,2570,2596,28457.0,737320870.0,0,0,0,0,18556.0,2591,2582.0,1.0
2006-03-28,B0609,2598,2598,2583,2585,28358.0,735322940.0,0,0,0,0,17878.0,2593,2596.0,1.0
2006-03-29,B0609,2595,2604,2587,2595,29278.0,758885760.0,0,0,0,0,17917.0,2592,2585.0,1.0
2006-03-30,B0609,2593,2601,2583,2587,27583.0,714951360.0,0,0,0,0,16957.0,2592,2595.0,1.0
2006-03-31,B0609,2600,2606,2597,2600,26752.0,695552000.0,0,0,0,0,16287.0,2600,2587.0,1.0
2006-04-03,B0609,2549,2570,2548,2565,27655.0,709350750.0,0,0,0,0,17926.0,2565,2600.0,1.0
2006-04-04,B0609,2545,2560,2530,2530,27720.0,705474000.0,0,0,0,0,18506.0,2545,2565.0,1.0
2006-04-05,B0609,2505,2530,2505,2515,27383.0,690051600.0,0,0,0,0,18578.0,2520,2530.0,1.0
2006-04-06,B0609,2521,2528,2512,2512,26667.0,673075080.0,0,0,0,0,18748.0,2524,2515.0,1.0
2006-04-07,B0609,2512,2516,2478,2480,29891.0,745780450.0,0,0,0,0,16556.0,2495,2512.0,1.0
2006-04-10,B0609,2476,2486,2469,2474,28065.0,695170050.0,0,0,0,0,16429.0,2477,2480.0,1.0
2006-04-11,B0609,2470,2500,2466,2482,27798.0,690224340.0,0,0,0,0,16293.0,2483,2474.0,1.0
2006-04-12,B0609,2494,2498,2485,2486,28722.0,714603360.0,0,0,0,0,14994.0,2488,2482.0,1.0
2006-04-13,B0609,2486,2498,2477,2479,26273.0,652095860.0,0,0,0,0,14005.0,2482,2486.0,1.0
2006-04-14,B0609,2482,2499,2482,2498,22427.0,557983760.0,0,0,0,0,13226.0,2488,2479.0,1.0
2006-04-17,B0609,2500,2524,2499,2519,21574.0,541291660.0,0,0,0,0,12542.0,2509,2498.0,1.0
2006-04-18,B0609,2522,2528,2505,2520,18731.0,471271960.0,0,0,0,0,8622.0,2516,2519.0,1.0
2006-04-19,B0609,2524,2537,2518,2525,13855.0,350531500.0,0,0,0,0,7220.0,2530,2520.0,1.0
2006-04-20,B0609,2524,2527,2502,2508,13738.0,346197600.0,0,0,0,0,5511.0,2520,2525.0,1.0
2006-04-21,B0609,2500,2500,2474,2482,10799.0,268247160.0,0,0,0,0,6895.0,2484,2508.0,1.0
2006-04-24,B0609,2490,2510,2490,2495,12302.0,307303960.0,0,0,0,0,8584.0,2498,2482.0,1.0
2006-04-25,B0609,2500,2500,2490,2496,10362.0,258324660.0,0,0,0,0,8597.0,2493,2495.0,1.0
2006-04-26,B0609,2506,2507,2495,2500,10752.0,269015040.0,0,0,0,0,8461.0,2502,2496.0,1.0
2006-04-27,B0609,2495,2512,2491,2502,11035.0,276095700.0,0,0,0,0,8430.0,2502,2500.0,1.0
2006-04-28,B0609,2500,2525,2499,2523,11275.0,282438750.0,0,0,0,0,7623.0,2505,2502.0,1.0
2006-05-08,B0609,2551,2551,2509,2524,8429.0,212832250.0,0,0,0,0,7579.0,2525,2523.0,1.0
2006-05-09,B0609,2515,2555,2513,2539,9578.0,241748720.0,0,0,0,0,6869.0,2524,2524.0,1.0
2006-05-10,B0609,2538,2548,2535,2535,5379.0,136734180.0,0,0,0,0,6857.0,2542,2539.0,1.0
2006-05-11,B0609,2541,2567,2530,2560,6621.0,168769290.0,0,0,0,0,7255.0,2549,2535.0,1.0
2006-05-12,B0609,2575,2595,2555,2569,6369.0,164001750.0,0,0,0,0,7330.0,2575,2560.0,1.0
2006-05-15,B0609,2572,2585,2567,2578,5467.0,140829920.0,0,0,0,0,7331.0,2576,2569.0,1.0
2006-05-16,B0609,2550,2552,2525,2530,5399.0,137134600.0,0,0,0,0,7314.0,2540,2578.0,1.0
2006-05-17,B0609,2539,2551,2539,2550,5054.0,128674840.0,0,0,0,0,7315.0,2546,2530.0,1.0
2006-05-18,B0609,2530,2556,2530,2553,5924.0,150943520.0,0,0,0,0,6929.0,2548,2550.0,1.0
2006-05-19,B0609,2545,2556,2543,2550,5395.0,137572500.0,0,0,0,0,6741.0,2550,2553.0,1.0
2006-05-22,B0609,2534,2558,2526,2552,6367.0,162231160.0,0,0,0,0,6129.0,2548,2550.0,1.0
2006-05-23,B0609,2560,2575,2550,2560,5624.0,144255600.0,0,0,0,0,6137.0,2565,2552.0,1.0
2006-05-24,B0609,2568,2582,2560,2562,5328.0,137036160.0,0,0,0,0,6112.0,2572,2560.0,1.0
2006-05-25,B0609,2547,2559,2545,2548,5111.0,130279390.0,0,0,0,0,6080.0,2549,2562.0,1.0
2006-05-26,B0609,2560,2561,2550,2561,5113.0,130534890.0,0,0,0,0,6073.0,2553,2548.0,1.0
2006-05-29,B0609,2556,2557,2545,2550,5105.0,130330650.0,0,0,0,0,6067.0,2553,2561.0,1.0
2006-05-30,B0609,2551,2561,2541,2553,5377.0,137328580.0,0,0,0,0,6248.0,2554,2550.0,1.0
2006-05-31,B0609,2543,2553,2533,2537,5124.0,130508280.0,0,0,0,0,6275.0,2547,2553.0,1.0
2006-06-01,B0609,2519,2537,2480,2500,5651.0,142066140.0,0,0,0,0,6154.0,2514,2537.0,1.0
2006-06-02,B0609,2518,2536,2517,2526,5283.0,133395750.0,0,0,0,0,6125.0,2525,2500.0,1.0
2006-06-05,B0609,2571,2598,2559,2559,5373.0,138032370.0,0,0,0,0,6225.0,2569,2526.0,1.0
2006-06-06,B0609,2552,2558,2545,2557,5137.0,131044870.0,0,0,0,0,6251.0,2551,2559.0,1.0
2006-06-07,B0609,2529,2548,2528,2542,5121.0,130022190.0,0,0,0,0,5898.0,2539,2557.0,1.0
2006-06-08,B0609,2548,2550,2530,2530,3829.0,97409760.0,0,0,0,0,5440.0,2544,2542.0,1.0
2006-06-09,B0609,2511,2518,2505,2516,2745.0,68926950.0,0,0,0,0,5044.0,2511,2530.0,1.0
