time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,C0609,1480,1496,1475,1496,89988.0,1343520840.0,0,0,0,0,229969.0,1493,1446.0,1.0
2006-02-07,C0609,1481,1538,1468,1520,485783.0,7325607640.0,0,0,0,0,288958.0,1508,1496.0,1.0
2006-02-08,C0609,1458,1489,1448,1448,452756.0,6632875400.0,0,0,0,0,226257.0,1465,1520.0,1.0
2006-02-09,C0609,1488,1495,1469,1480,405644.0,6007587640.0,0,0,0,0,243150.0,1481,1448.0,1.0
2006-02-10,C0609,1500,1505,1449,1466,448543.0,6629465540.0,0,0,0,0,251209.0,1478,1480.0,1.0
2006-02-13,C0609,1468,1472,1451,1458,304306.0,4445910660.0,0,0,0,0,243696.0,1461,1466.0,1.0
2006-02-14,C0609,1460,1468,1456,1466,144504.0,2112648480.0,0,0,0,0,244809.0,1462,1458.0,1.0
2006-02-15,C0609,1460,1479,1456,1476,151224.0,2215431600.0,0,0,0,0,247323.0,1465,1466.0,1.0
2006-02-16,C0609,1480,1489,1470,1483,308970.0,4575845700.0,0,0,0,0,249841.0,1481,1476.0,1.0
2006-02-17,C0609,1489,1493,1477,1481,206263.0,3065068180.0,0,0,0,0,249155.0,1486,1483.0,1.0
2006-02-20,C0609,1495,1497,1471,1476,156051.0,2309554800.0,0,0,0,0,254977.0,1480,1481.0,1.0
2006-02-21,C0609,1481,1488,1472,1476,163647.0,2420339130.0,0,0,0,0,259884.0,1479,1476.0,1.0
2006-02-22,C0609,1478,1505,1475,1499,307699.0,4593946070.0,0,0,0,0,291555.0,1493,1476.0,1.0
2006-02-23,C0609,1481,1492,1469,1475,293697.0,4349652570.0,0,0,0,0,258725.0,1481,1499.0,1.0
2006-02-24,C0609,1481,1489,1475,1484,145149.0,2151108180.0,0,0,0,0,257116.0,1482,1475.0,1.0
2006-02-27,C0609,1495,1496,1473,1476,136822.0,2027702040.0,0,0,0,0,246998.0,1482,1484.0,1.0
2006-02-28,C0609,1480,1482,1466,1467,120166.0,1768843520.0,0,0,0,0,255007.0,1472,1476.0,1.0
2006-03-01,C0609,1471,1471,1459,1460,112328.0,1645605200.0,0,0,0,0,258245.0,1465,1467.0,1.0
2006-03-02,C0609,1453,1465,1452,1465,96544.0,1406646080.0,0,0,0,0,249077.0,1457,1460.0,1.0
2006-03-03,C0609,1476,1478,1470,1474,103561.0,1526489140.0,0,0,0,0,256048.0,1474,1465.0,1.0
