time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-02-06,CF.CZC,27933.667861712067,28355.54523623021,27924.691747360615,28238.85574966136,27534.0,2162795700.0,0,0,0,0,23221.0,CF0605
2006-02-07,CF.CZC,28238.85574966136,28256.80797836426,28059.333462632363,28193.97517790411,15290.0,1200647250.0,0,0,0,0,25152.0,CF0605
2006-02-08,CF.CZC,27718.241117277266,27808.002260791767,27529.74271589682,27601.551630708418,22227.0,1712034675.0,0,0,0,0,19336.0,CF0605
2006-02-09,CF.CZC,27790.050032088868,27843.906718197566,27745.169460331617,27754.14557468307,8834.0,683751600.0,0,0,0,0,19172.0,CF0605
2006-02-10,CF.CZC,27763.121689034517,27790.050032088868,27610.52774505987,27664.384431168568,7356.0,567331500.0,0,0,0,0,19594.0,CF0605
2006-02-13,CF.CZC,27610.52774505987,27610.52774505987,27493.83825849102,27556.67105895117,9305.0,713460875.0,0,0,0,0,18622.0,CF0605
2006-02-14,CF.CZC,27431.00545803087,27556.67105895117,27395.101000625073,27547.69494459972,7653.0,586028475.0,0,0,0,0,18349.0,CF0605
2006-02-15,CF.CZC,27745.169460331617,27799.026146440316,27646.43220246567,27646.43220246567,6607.0,509730050.0,0,0,0,0,18563.0,CF0605
2006-02-16,CF.CZC,27574.62328765407,27628.47997376277,27538.718830248272,27610.52774505987,8132.0,624740900.0,0,0,0,0,17918.0,CF0605
2006-02-17,CF.CZC,27547.69494459972,27565.64717330262,27466.90991543667,27511.79048719392,7454.0,571162750.0,0,0,0,0,17823.0,CF0605
2006-02-20,CF.CZC,27556.67105895117,27601.551630708418,27395.101000625073,27484.86214413957,7616.0,582624000.0,0,0,0,0,17912.0,CF0605
2006-02-21,CF.CZC,27520.76660154537,27520.76660154537,27206.602599244623,27350.220428867822,8526.0,649894350.0,0,0,0,0,16609.0,CF0605
2006-02-22,CF.CZC,27251.483171001873,27305.33985711057,27134.793684433025,27296.363742759124,6641.0,503719850.0,0,0,0,0,16992.0,CF0605
2006-02-23,CF.CZC,27368.17265757072,27368.17265757072,27089.913112675775,27143.769798784473,12415.0,941988125.0,0,0,0,0,16948.0,CF0605
