time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,CF0605,15560,15795,15555,15730,27534.0,2162795700.0,0,0,0,0,23221.0,15710,15470.0,1.0
2006-02-07,CF0605,15730,15740,15630,15705,15290.0,1200647250.0,0,0,0,0,25152.0,15705,15730.0,1.0
2006-02-08,CF0605,15440,15490,15335,15375,22227.0,1712034675.0,0,0,0,0,19336.0,15405,15705.0,1.0
2006-02-09,CF0605,15480,15510,15455,15460,8834.0,683751600.0,0,0,0,0,19172.0,15480,15375.0,1.0
2006-02-10,CF0605,15465,15480,15380,15410,7356.0,567331500.0,0,0,0,0,19594.0,15425,15460.0,1.0
2006-02-13,CF0605,15380,15380,15315,15350,9305.0,713460875.0,0,0,0,0,18622.0,15335,15410.0,1.0
2006-02-14,CF0605,15280,15350,15260,15345,7653.0,586028475.0,0,0,0,0,18349.0,15315,15350.0,1.0
2006-02-15,CF0605,15455,15485,15400,15400,6607.0,509730050.0,0,0,0,0,18563.0,15430,15345.0,1.0
2006-02-16,CF0605,15360,15390,15340,15380,8132.0,624740900.0,0,0,0,0,17918.0,15365,15400.0,1.0
2006-02-17,CF0605,15345,15355,15300,15325,7454.0,571162750.0,0,0,0,0,17823.0,15325,15380.0,1.0
2006-02-20,CF0605,15350,15375,15260,15310,7616.0,582624000.0,0,0,0,0,17912.0,15300,15325.0,1.0
2006-02-21,CF0605,15330,15330,15155,15235,8526.0,649894350.0,0,0,0,0,16609.0,15245,15310.0,1.0
2006-02-22,CF0605,15180,15210,15115,15205,6641.0,503719850.0,0,0,0,0,16992.0,15170,15235.0,1.0
2006-02-23,CF0605,15245,15245,15090,15120,12415.0,941988125.0,0,0,0,0,16948.0,15175,15205.0,1.0
2006-02-24,CF0605,15100,15120,15055,15085,7818.0,589868100.0,0,0,0,0,17033.0,15090,15120.0,1.0
2006-02-27,CF0605,15035,15035,14890,14900,6448.0,481988000.0,0,0,0,0,16889.0,14950,15085.0,1.0
