time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2019-05-06,CJ.CZC,9902.449078850435,9992.267211084905,9677.903748264258,9728.426447646147,174602.0,7634472450.0,8665,113,8670,9,28642.0,CJ1912
2019-05-07,CJ.CZC,9778.949147028037,9790.176413557347,9593.699249294441,9672.290114999603,150838.0,6501117800.0,8605,18,8610,1,35452.0,CJ1912
2019-05-08,CJ.CZC,9677.903748264258,9778.949147028037,9649.835581940984,9694.74464805822,117221.0,5069808250.0,8635,18,8640,187,35982.0,CJ1912
2019-05-09,CJ.CZC,9694.74464805822,9756.49461396942,9632.994682147022,9677.903748264258,101511.0,4385275200.0,8620,34,8625,47,35355.0,CJ1912
2019-05-10,CJ.CZC,9717.19918111684,9823.858213145273,9677.903748264258,9734.040080910801,94233.0,4089712200.0,8665,197,8670,23,32783.0,CJ1912
2019-05-13,CJ.CZC,9756.49461396942,10233.653441465047,9734.040080910801,10233.653441465047,308736.0,13869964800.0,9115,5996,0,0,51931.0,CJ1912
2019-05-14,CJ.CZC,10244.880707994356,10750.107701813256,10244.880707994356,10671.516836108094,621179.0,29273060375.0,9505,1,9510,37,44469.0,CJ1912
2019-05-15,CJ.CZC,10671.516836108094,11075.698431163213,10536.789637756387,10845.539467312381,600125.0,28760990625.0,9660,47,9665,41,55821.0,CJ1912
2019-05-16,CJ.CZC,10867.994000371,11103.766597486485,10800.630401195145,10907.28943322358,655301.0,31945923750.0,9715,37,9720,64,64167.0,CJ1912
2019-05-17,CJ.CZC,10946.58486607616,10997.10756545805,10806.2440344598,10952.198499340815,416237.0,20218712275.0,9755,19,9765,284,60155.0,CJ1912
2019-05-20,CJ.CZC,10991.493932193396,11131.834763809758,10839.925834047726,10952.198499340815,423001.0,20674173875.0,9750,45,9755,32,60801.0,CJ1912
2019-05-21,CJ.CZC,10974.653032399434,11120.607497280449,10890.448533429617,11047.630264839941,377595.0,18521034750.0,9835,159,9840,20,60534.0,CJ1912
2019-05-22,CJ.CZC,11042.016631575287,11569.698158452804,10991.493932193396,11569.698158452804,881339.0,44617786875.0,10305,3191,0,0,74383.0,CJ1912
2019-05-23,CJ.CZC,11603.37995804073,11693.198090275202,11513.56182580626,11620.220857834694,591525.0,30581842500.0,10350,1,10355,32,79148.0,CJ1912
2019-05-24,CJ.CZC,11541.629992129532,12046.856985948432,11485.493659482987,12035.629719419123,641769.0,33660784050.0,10710,283,10720,37,89429.0,CJ1912
2019-05-27,CJ.CZC,11900.902521067415,12277.015949799264,11766.17532271571,11855.993454950181,888504.0,47779302600.0,10560,23,10565,40,77896.0,CJ1912
2019-05-28,CJ.CZC,11906.51615433207,12001.947919831196,11558.470891923494,11681.970823745893,1025710.0,53695918500.0,10400,10,10410,8,71374.0,CJ1912
2019-05-29,CJ.CZC,11743.720789657093,11951.425220449306,11670.743557216583,11844.766188420872,543892.0,28581524600.0,10545,59,10550,33,84220.0,CJ1912
2019-05-30,CJ.CZC,11850.379821685527,12063.697885742395,11642.675390893311,11822.311655362255,621616.0,32836865200.0,10530,100,10535,50,79580.0,CJ1912
2019-05-31,CJ.CZC,11811.084388832945,11889.675254538108,11608.993591305385,11771.788955980364,454048.0,23701305600.0,10485,53,10490,112,75739.0,CJ1912
2019-06-03,CJ.CZC,11715.652623333819,11855.993454950181,11227.266529308883,11333.925561337317,526314.0,26920961100.0,10095,87,10100,135,70346.0,CJ1912
