time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2014-12-22,CS.DCE,2715.3158329973335,2720.1732852924983,2649.254481783087,2659.94087683245,13085.0,360491750.0,2737,5,2738,9,4066.0,CS1505
2014-12-23,CS.DCE,2657.997895914384,2681.313666931177,2637.5965962746905,2661.883857750516,9363.0,257014350.0,2739,18,2740,10,4332.0,CS1505
2014-12-24,CS.DCE,2668.6842909637476,2681.313666931177,2662.8553482095494,2673.541743258913,4142.0,113987840.0,2750,5,2752,9,3861.0,CS1505
2014-12-25,CS.DCE,2671.598762340847,2671.598762340847,2589.022073323039,2649.254481783087,10130.0,275941200.0,2727,5,2728,30,4396.0,CS1505
2014-12-26,CS.DCE,2649.254481783087,2659.94087683245,2640.5110676517897,2643.4255390288886,4579.0,124823540.0,2721,7,2723,21,4558.0,CS1505
2014-12-29,CS.DCE,2644.397029487922,2658.9693863734174,2642.454048569856,2653.1404436192192,2703.0,73764870.0,2728,35,2732,4,4264.0,CS1505
2014-12-30,CS.DCE,2649.254481783087,2655.0834245372853,2632.739143979525,2643.4255390288886,4528.0,123206880.0,2720,45,2721,15,4098.0,CS1505
2014-12-31,CS.DCE,2650.22597224212,2650.22597224212,2630.796163061459,2635.6536153566244,2640.0,71755200.0,2711,19,2713,10,3760.0,CS1505
2015-01-05,CS.DCE,2640.5110676517897,2640.5110676517897,2601.651449290468,2607.4803920446666,6704.0,180404640.0,2684,1,2685,20,4895.0,CS1505
2015-01-06,CS.DCE,2612.3378443398315,2620.109768012096,2549.1909645026844,2555.0199072568826,14441.0,382975320.0,2629,10,2631,114,7138.0,CS1505
2015-01-07,CS.DCE,2564.7348118472128,2575.421206896576,2550.1624549617172,2567.649283224312,8253.0,217796670.0,2642,1,2643,41,6072.0,CS1505
2015-01-08,CS.DCE,2564.7348118472128,2581.2501496507743,2560.8488500110807,2576.3926973556095,5429.0,143759920.0,2652,6,2653,7,6115.0,CS1505
2015-01-09,CS.DCE,2576.3926973556095,2586.1076019459397,2561.820340470114,2572.506735519477,6139.0,162560720.0,2648,7,2650,21,6379.0,CS1505
2015-01-12,CS.DCE,2573.47822597851,2584.1646210278736,2572.506735519477,2582.2216401098076,4226.0,112115780.0,2655,5,2658,9,6273.0,CS1505
2015-01-13,CS.DCE,2582.2216401098076,2585.1361114869064,2562.7918309291467,2582.2216401098076,5115.0,135342900.0,2657,5,2658,2,6647.0,CS1505
2015-01-14,CS.DCE,2570.563754601411,2589.022073323039,2570.563754601411,2571.535245060444,4338.0,115130520.0,2646,14,2647,11,6232.0,CS1505
2015-01-15,CS.DCE,2569.592264142378,2587.0790924049725,2564.7348118472128,2586.1076019459397,3702.0,98251080.0,2663,1,2664,36,6268.0,CS1505
2015-01-16,CS.DCE,2584.1646210278736,2616.2238061759635,2579.3071687327083,2607.4803920446666,5970.0,159697500.0,2683,5,2684,58,6092.0,CS1505
2015-01-19,CS.DCE,2613.3093347988647,2636.6251058156577,2603.5944302085345,2623.995729848228,4642.0,125334000.0,2700,1,2701,4,5482.0,CS1505
2015-01-20,CS.DCE,2623.024239389195,2630.796163061459,2617.195296634997,2624.967220307261,2071.0,55917000.0,2702,3,2703,17,5580.0,CS1505
2015-01-21,CS.DCE,2626.910201225327,2645.3685199469546,2624.967220307261,2633.7106344385584,3593.0,97442160.0,2711,2,2715,6,5420.0,CS1505
2015-01-22,CS.DCE,2635.6536153566244,2636.6251058156577,2595.82250653627,2617.195296634997,5118.0,137520660.0,2693,4,2695,31,5990.0,CS1505
2015-01-23,CS.DCE,2613.3093347988647,2625.938710766294,2604.5659206675673,2609.4233729627326,2456.0,66090960.0,2686,10,2688,4,6308.0,CS1505
2015-01-26,CS.DCE,2618.1667870940296,2625.938710766294,2584.1646210278736,2617.195296634997,2527.0,67976300.0,2693,4,2694,17,6197.0,CS1505
2015-01-27,CS.DCE,2618.1667870940296,2657.997895914384,2616.2238061759635,2650.22597224212,6343.0,172783320.0,2728,26,2729,1,5925.0,CS1505
2015-01-28,CS.DCE,2647.3115008650207,2684.2281383082764,2626.910201225327,2680.3421764721443,6581.0,180121970.0,2759,1,2760,78,6385.0,CS1505
2015-01-29,CS.DCE,2681.313666931177,2747.3750181454234,2671.598762340847,2700.743476111838,11566.0,321997440.0,2779,9,2780,34,6760.0,CS1505
2015-01-30,CS.DCE,2700.743476111838,2715.3158329973335,2687.142609685375,2698.800495193772,7459.0,207509380.0,2778,4,2780,11,6814.0,CS1505
2015-02-02,CS.DCE,2701.7149665708707,2731.831170800895,2686.1711192263424,2716.2873234563663,5872.0,163535200.0,2796,6,2798,6,6740.0,CS1505
2015-02-03,CS.DCE,2715.3158329973335,2726.002228046697,2702.686457029904,2712.401361620234,4978.0,139135100.0,2792,33,2793,2,6986.0,CS1505
