time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2014-12-22,CS1505,2795,2800,2727,2738,13085.0,360491750.0,2737,5,2738,9,4066.0,2755,2793.0,1.0
2014-12-23,CS1505,2736,2760,2715,2740,9363.0,257014350.0,2739,18,2740,10,4332.0,2745,2738.0,1.0
2014-12-24,CS1505,2747,2760,2741,2752,4142.0,113987840.0,2750,5,2752,9,3861.0,2752,2740.0,1.0
2014-12-25,CS1505,2750,2750,2665,2727,10130.0,275941200.0,2727,5,2728,30,4396.0,2724,2752.0,1.0
2014-12-26,CS1505,2727,2738,2718,2721,4579.0,124823540.0,2721,7,2723,21,4558.0,2726,2727.0,1.0
2014-12-29,CS1505,2722,2737,2720,2731,2703.0,73764870.0,2728,35,2732,4,4264.0,2729,2721.0,1.0
2014-12-30,CS1505,2727,2733,2710,2721,4528.0,123206880.0,2720,45,2721,15,4098.0,2721,2731.0,1.0
2014-12-31,CS1505,2728,2728,2708,2713,2640.0,71755200.0,2711,19,2713,10,3760.0,2718,2721.0,1.0
2015-01-05,CS1505,2718,2718,2678,2684,6704.0,180404640.0,2684,1,2685,20,4895.0,2691,2713.0,1.0
2015-01-06,CS1505,2689,2697,2624,2630,14441.0,382975320.0,2629,10,2631,114,7138.0,2652,2684.0,1.0
2015-01-07,CS1505,2640,2651,2625,2643,8253.0,217796670.0,2642,1,2643,41,6072.0,2639,2630.0,1.0
2015-01-08,CS1505,2640,2657,2636,2652,5429.0,143759920.0,2652,6,2653,7,6115.0,2648,2643.0,1.0
2015-01-09,CS1505,2652,2662,2637,2648,6139.0,162560720.0,2648,7,2650,21,6379.0,2648,2652.0,1.0
2015-01-12,CS1505,2649,2660,2648,2658,4226.0,112115780.0,2655,5,2658,9,6273.0,2653,2648.0,1.0
2015-01-13,CS1505,2658,2661,2638,2658,5115.0,135342900.0,2657,5,2658,2,6647.0,2646,2658.0,1.0
2015-01-14,CS1505,2646,2665,2646,2647,4338.0,115130520.0,2646,14,2647,11,6232.0,2654,2658.0,1.0
2015-01-15,CS1505,2645,2663,2640,2662,3702.0,98251080.0,2663,1,2664,36,6268.0,2654,2647.0,1.0
