time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-02-06,CU.SHF,38362.81866423558,38362.81866423558,38362.81866423558,38362.81866423558,409.0,97342000.0,0,0,0,0,13047.0,CU0604
2006-02-07,CU.SHF,38926.97776223905,39676.50342101508,38926.97776223905,39475.01802887098,9162.0,2239192800.0,0,0,0,0,13006.0,CU0604
2006-02-08,CU.SHF,37814.778397603644,38644.89821323731,37814.778397603644,38314.462170121,13267.0,3148259100.0,0,0,0,0,14424.0,CU0604
2006-02-09,CU.SHF,38685.19529166613,38951.156009296334,38596.54171912273,38854.44302106717,5165.0,1241924250.0,0,0,0,0,14420.0,CU0604
2006-02-10,CU.SHF,38926.97776223905,39160.70081712619,38524.006977950856,38604.601134808494,6589.0,1586301750.0,0,0,0,0,14657.0,CU0604
2006-02-13,CU.SHF,37411.80761331545,37790.60015054635,37274.79754665747,37484.34235448733,10355.0,2408055250.0,0,0,0,0,15520.0,CU0604
2006-02-14,CU.SHF,37645.530668202606,37959.84787994739,37540.75826428767,37903.431970147045,5114.0,1198210200.0,0,0,0,0,14853.0,CU0604
2006-02-15,CU.SHF,38282.22450737794,38403.1157426644,38000.14495837621,38137.15502503419,5611.0,1328965350.0,0,0,0,0,15122.0,CU0604
2006-02-16,CU.SHF,36750.935527082824,37137.78747999948,36726.75728002553,36912.1238407981,7099.0,1624251200.0,0,0,0,0,14678.0,CU0604
2006-02-17,CU.SHF,37315.09462508629,37476.28293880156,36509.15305650991,37008.83682902726,5499.0,1266969600.0,0,0,0,0,14080.0,CU0604
2006-02-20,CU.SHF,36912.1238407981,37234.50046822865,36831.52968394046,37153.906311371014,2477.0,569090750.0,0,0,0,0,14100.0,CU0604
2006-02-21,CU.SHF,37919.55080151857,37919.55080151857,37564.93651134497,37685.827746631425,1842.0,430199100.0,0,0,0,0,13686.0,CU0604
2006-02-22,CU.SHF,37887.31313877551,38048.50145249079,37484.34235448733,37556.8770956592,1748.0,411129600.0,0,0,0,0,13394.0,CU0604
2006-02-23,CU.SHF,37750.30307211753,37798.65956623211,37290.916378029,37355.39170351511,2044.0,476252000.0,0,0,0,0,13263.0,CU0604
2006-02-24,CU.SHF,37045.99656734824,37762.49056689256,36720.317476646276,37738.06463508991,20457.0,4674424500.0,0,0,0,0,16046.0,CU0605
2006-02-27,CU.SHF,37453.0954307257,37534.51520340119,36801.73724932177,36932.008885602554,24180.0,5505786000.0,0,0,0,0,19091.0,CU0605
2006-02-28,CU.SHF,36077.101272509906,36524.9100222251,36036.39138617216,36427.20629501452,26611.0,5932922450.0,0,0,0,0,22551.0,CU0605
2006-03-01,CU.SHF,36883.15702199726,36980.86074920785,36394.638385944316,36500.484090422455,21576.0,4863230400.0,0,0,0,0,23302.0,CU0605
2006-03-02,CU.SHF,37184.41018089658,37387.9596125853,36989.002726475395,37371.675658050204,27994.0,6395229300.0,0,0,0,0,22961.0,CU0605
2006-03-03,CU.SHF,37746.20661235746,38454.55863463423,37738.06463508991,38023.03383945413,26531.0,6212233650.0,0,0,0,0,21854.0,CU0605
2006-03-06,CU.SHF,38145.163498467366,38259.15118021305,37933.47208951109,38031.175816721676,13402.0,3132717500.0,0,0,0,0,21176.0,CU0605
2006-03-07,CU.SHF,37379.817635317755,37558.94113520383,37208.83611269922,37485.663339795894,19608.0,4501996800.0,0,0,0,0,21018.0,CU0605
2006-03-08,CU.SHF,37127.41634002373,37282.11390810717,37005.2866810105,37273.971930839616,14759.0,3365052000.0,0,0,0,0,20948.0,CU0605
2006-03-09,CU.SHF,37086.70645368599,37550.799157936286,37029.71261281314,37436.811476190596,25273.0,5800153500.0,0,0,0,0,22794.0,CU0605
2006-03-10,CU.SHF,37575.22508973893,37615.93497607668,37021.5706355456,37029.71261281314,24508.0,5619684400.0,0,0,0,0,24225.0,CU0605
2006-03-13,CU.SHF,37534.51520340119,37575.22508973893,37306.53983990981,37534.51520340119,14221.0,3268696850.0,0,0,0,0,23606.0,CU0605
2006-03-14,CU.SHF,37909.04615770844,37925.33011224354,37713.638703287266,37754.34858962501,11225.0,2606445000.0,0,0,0,0,23928.0,CU0605
2006-03-15,CU.SHF,37884.6202259058,37982.323953116385,37738.06463508991,37762.49056689256,10335.0,2402887500.0,0,0,0,0,23543.0,CU0605
2006-03-16,CU.SHF,37729.92265782236,37778.77452142766,37542.657180668735,37681.07079421707,11397.0,2633846700.0,0,0,0,0,24049.0,CU0605
2006-03-17,CU.SHF,37941.61406677864,38413.848748296485,37941.61406677864,38397.56479376139,11315.0,2649973000.0,0,0,0,0,21143.0,CU0605
2006-03-20,CU.SHF,39659.57127023149,39659.57127023149,39488.58974761296,39659.57127023149,9059.0,2203601750.0,0,0,0,0,19226.0,CU0605
2006-03-21,CU.SHF,39407.16997493747,39732.849065639435,39374.60206586728,39708.42313383678,7706.0,1872558000.0,0,0,0,0,18650.0,CU0605
2006-03-22,CU.SHF,39390.88602040237,39521.15765668316,39252.47240685404,39325.75020226198,4907.0,1186267250.0,0,0,0,0,17972.0,CU0605
2006-03-23,CU.SHF,39596.679170252515,39719.8287011573,39333.96017098896,39695.19879497634,17126.0,4123084500.0,0,0,0,0,20540.0,CU0606
2006-03-24,CU.SHF,40310.946449500276,40409.46607422411,39990.75766914783,39998.96763787482,16512.0,4046265600.0,0,0,0,0,22904.0,CU0606
2006-03-27,CU.SHF,40269.896605865346,40351.996293135206,40048.227450236736,40130.32713750659,12532.0,3069713400.0,0,0,0,0,23349.0,CU0606
2006-03-28,CU.SHF,40475.145824039995,40573.66544876382,40204.21685604946,40228.846762230416,14136.0,3474628800.0,0,0,0,0,24335.0,CU0606
2006-03-29,CU.SHF,40278.10657459233,40319.15641822726,39892.238044424004,39900.448013150984,18156.0,4427340600.0,0,0,0,0,24807.0,CU0606
2006-03-30,CU.SHF,40253.47666841138,40450.51591785904,40163.16701241454,40425.88601167808,19283.0,4731084050.0,0,0,0,0,25012.0,CU0606
2006-03-31,CU.SHF,40934.9040727512,41542.44175854815,40787.12463566545,41361.82244655446,31786.0,7965571600.0,0,0,0,0,24791.0,CU0606
2006-04-03,CU.SHF,40951.32401020517,41238.67291564967,40852.80438548134,41197.62307201474,18312.0,4578000000.0,0,0,0,0,24380.0,CU0606
2006-04-04,CU.SHF,42429.11838106262,42691.83738032616,42330.59875633878,42494.798130878495,16509.0,4276656450.0,0,0,0,0,23170.0,CU0606
2006-04-05,CU.SHF,42494.798130878495,42856.036754865876,42396.27850615467,42691.83738032616,20470.0,5312988500.0,0,0,0,0,21722.0,CU0606
2006-04-06,CU.SHF,43553.88409665967,43906.91275192006,43315.79500357708,43791.97318974225,22464.0,5970931200.0,0,0,0,0,22693.0,CU0606
2006-04-07,CU.SHF,44087.53206391374,44596.55012498686,44046.48222027881,44177.84171991059,20808.0,5626483200.0,0,0,0,0,21441.0,CU0606
2006-04-10,CU.SHF,44342.0410944503,45105.56818605999,44259.94140718044,45072.72831115204,16185.0,4407175500.0,0,0,0,0,22051.0,CU0606
2006-04-11,CU.SHF,45721.31584058392,46197.4940267491,45721.31584058392,46049.71458966335,11053.0,3098155900.0,0,0,0,0,20796.0,CU0606
2006-04-12,CU.SHF,45942.98499621254,46098.97440202527,45483.22674750133,45819.83546530775,12076.0,3372223000.0,0,0,0,0,20067.0,CU0606
2006-04-13,CU.SHF,46632.62236927934,46714.7220565492,46098.97440202527,46189.28405802211,8590.0,2426245500.0,0,0,0,0,18915.0,CU0606
2006-04-14,CU.SHF,46706.512087822215,47125.220492898494,46525.89277582853,47084.170649263564,7489.0,2131369400.0,0,0,0,0,18025.0,CU0606
2006-04-17,CU.SHF,47535.71892924778,48594.80489502895,47535.71892924778,48594.80489502895,4207.0,1236016600.0,0,0,0,0,16633.0,CU0606
2006-04-18,CU.SHF,49251.602393187815,50400.99801496583,49013.51330010522,49341.912049184655,7356.0,2229603600.0,0,0,0,0,14843.0,CU0606
2006-04-19,CU.SHF,50245.0086091531,51312.30454366125,50245.0086091531,50663.71701422937,24477.0,7545035250.0,0,0,0,0,17409.0,CU0607
2006-04-20,CU.SHF,49670.31079826409,50203.95876551817,49489.69148627041,49883.769985165716,23123.0,7022455100.0,0,0,0,0,18501.0,CU0607
2006-04-21,CU.SHF,49268.02233064178,49456.85161136246,48381.34570812732,48594.80489502895,25807.0,7711131600.0,0,0,0,0,19381.0,CU0607
2006-04-24,CU.SHF,51024.95563821674,51024.95563821674,51024.95563821674,51024.95563821674,249.0,77376750.0,0,0,0,0,19243.0,CU0607
2006-04-25,CU.SHF,52453.49019671228,52872.19860178854,51936.262166912165,52765.469008337735,32446.0,10358385500.0,0,0,0,0,18035.0,CU0607
