time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,CU0604,47600,47600,47600,47600,409.0,97342000.0,0,0,0,0,13047.0,47600,45890.0,1.0
2006-02-07,CU0604,48300,49230,48300,48980,9162.0,2239192800.0,0,0,0,0,13006.0,48880,47600.0,1.0
2006-02-08,CU0604,46920,47950,46920,47540,13267.0,3148259100.0,0,0,0,0,14424.0,47460,48980.0,1.0
2006-02-09,CU0604,48000,48330,47890,48210,5165.0,1241924250.0,0,0,0,0,14420.0,48090,47540.0,1.0
2006-02-10,CU0604,48300,48590,47800,47900,6589.0,1586301750.0,0,0,0,0,14657.0,48150,48210.0,1.0
2006-02-13,CU0604,46420,46890,46250,46510,10355.0,2408055250.0,0,0,0,0,15520.0,46510,47900.0,1.0
2006-02-14,CU0604,46710,47100,46580,47030,5114.0,1198210200.0,0,0,0,0,14853.0,46860,46510.0,1.0
2006-02-15,CU0604,47500,47650,47150,47320,5611.0,1328965350.0,0,0,0,0,15122.0,47370,47030.0,1.0
2006-02-16,CU0604,45600,46080,45570,45800,7099.0,1624251200.0,0,0,0,0,14678.0,45760,47320.0,1.0
2006-02-17,CU0604,46300,46500,45300,45920,5499.0,1266969600.0,0,0,0,0,14080.0,46080,45800.0,1.0
2006-02-20,CU0604,45800,46200,45700,46100,2477.0,569090750.0,0,0,0,0,14100.0,45950,45920.0,1.0
2006-02-21,CU0604,47050,47050,46610,46760,1842.0,430199100.0,0,0,0,0,13686.0,46710,46100.0,1.0
2006-02-22,CU0604,47010,47210,46510,46600,1748.0,411129600.0,0,0,0,0,13394.0,47040,46760.0,1.0
2006-02-23,CU0604,46840,46900,46270,46350,2044.0,476252000.0,0,0,0,0,13263.0,46600,46600.0,1.0
2006-02-24,CU0605,45500,46380,45100,46350,20457.0,4674424500.0,0,0,0,0,16046.0,45700,45880.0,1.0102441150828247
2006-02-27,CU0605,46000,46100,45200,45360,24180.0,5505786000.0,0,0,0,0,19091.0,45540,46350.0,1.0102441150828247
2006-02-28,CU0605,44310,44860,44260,44740,26611.0,5932922450.0,0,0,0,0,22551.0,44590,45360.0,1.0102441150828247
2006-03-01,CU0605,45300,45420,44700,44830,21576.0,4863230400.0,0,0,0,0,23302.0,45080,44740.0,1.0102441150828247
2006-03-02,CU0605,45670,45920,45430,45900,27994.0,6395229300.0,0,0,0,0,22961.0,45690,44830.0,1.0102441150828247
2006-03-03,CU0605,46360,47230,46350,46700,26531.0,6212233650.0,0,0,0,0,21854.0,46830,45900.0,1.0102441150828247
2006-03-06,CU0605,46850,46990,46590,46710,13402.0,3132717500.0,0,0,0,0,21176.0,46750,46700.0,1.0102441150828247
2006-03-07,CU0605,45910,46130,45700,46040,19608.0,4501996800.0,0,0,0,0,21018.0,45920,46710.0,1.0102441150828247
2006-03-08,CU0605,45600,45790,45450,45780,14759.0,3365052000.0,0,0,0,0,20948.0,45600,46040.0,1.0102441150828247
2006-03-09,CU0605,45550,46120,45480,45980,25273.0,5800153500.0,0,0,0,0,22794.0,45900,45780.0,1.0102441150828247
2006-03-10,CU0605,46150,46200,45470,45480,24508.0,5619684400.0,0,0,0,0,24225.0,45860,45980.0,1.0102441150828247
2006-03-13,CU0605,46100,46150,45820,46100,14221.0,3268696850.0,0,0,0,0,23606.0,45970,45480.0,1.0102441150828247
2006-03-14,CU0605,46560,46580,46320,46370,11225.0,2606445000.0,0,0,0,0,23928.0,46440,46100.0,1.0102441150828247
2006-03-15,CU0605,46530,46650,46350,46380,10335.0,2402887500.0,0,0,0,0,23543.0,46500,46370.0,1.0102441150828247
2006-03-16,CU0605,46340,46400,46110,46280,11397.0,2633846700.0,0,0,0,0,24049.0,46220,46380.0,1.0102441150828247
2006-03-17,CU0605,46600,47180,46600,47160,11315.0,2649973000.0,0,0,0,0,21143.0,46840,46280.0,1.0102441150828247
2006-03-20,CU0605,48710,48710,48500,48710,9059.0,2203601750.0,0,0,0,0,19226.0,48650,47160.0,1.0102441150828247
2006-03-21,CU0605,48400,48800,48360,48770,7706.0,1872558000.0,0,0,0,0,18650.0,48600,48710.0,1.0102441150828247
2006-03-22,CU0605,48380,48540,48210,48300,4907.0,1186267250.0,0,0,0,0,17972.0,48350,48770.0,1.0102441150828247
2006-03-23,CU0606,48230,48380,47910,48350,17126.0,4123084500.0,0,0,0,0,20540.0,48150,47900.0,1.0186803916179632
2006-03-24,CU0606,49100,49220,48710,48720,16512.0,4046265600.0,0,0,0,0,22904.0,49010,48350.0,1.0186803916179632
2006-03-27,CU0606,49050,49150,48780,48880,12532.0,3069713400.0,0,0,0,0,23349.0,48990,48720.0,1.0186803916179632
2006-03-28,CU0606,49300,49420,48970,49000,14136.0,3474628800.0,0,0,0,0,24335.0,49160,48880.0,1.0186803916179632
2006-03-29,CU0606,49060,49110,48590,48600,18156.0,4427340600.0,0,0,0,0,24807.0,48770,49000.0,1.0186803916179632
2006-03-30,CU0606,49030,49270,48920,49240,19283.0,4731084050.0,0,0,0,0,25012.0,49070,48600.0,1.0186803916179632
2006-03-31,CU0606,49860,50600,49680,50380,31786.0,7965571600.0,0,0,0,0,24791.0,50120,49240.0,1.0186803916179632
2006-04-03,CU0606,49880,50230,49760,50180,18312.0,4578000000.0,0,0,0,0,24380.0,50000,50380.0,1.0186803916179632
2006-04-04,CU0606,51680,52000,51560,51760,16509.0,4276656450.0,0,0,0,0,23170.0,51810,50180.0,1.0186803916179632
2006-04-05,CU0606,51760,52200,51640,52000,20470.0,5312988500.0,0,0,0,0,21722.0,51910,51760.0,1.0186803916179632
2006-04-06,CU0606,53050,53480,52760,53340,22464.0,5970931200.0,0,0,0,0,22693.0,53160,52000.0,1.0186803916179632
2006-04-07,CU0606,53700,54320,53650,53810,20808.0,5626483200.0,0,0,0,0,21441.0,54080,53340.0,1.0186803916179632
2006-04-10,CU0606,54010,54940,53910,54900,16185.0,4407175500.0,0,0,0,0,22051.0,54460,53810.0,1.0186803916179632
2006-04-11,CU0606,55690,56270,55690,56090,11053.0,3098155900.0,0,0,0,0,20796.0,56060,54900.0,1.0186803916179632
2006-04-12,CU0606,55960,56150,55400,55810,12076.0,3372223000.0,0,0,0,0,20067.0,55850,56090.0,1.0186803916179632
2006-04-13,CU0606,56800,56900,56150,56260,8590.0,2426245500.0,0,0,0,0,18915.0,56490,55810.0,1.0186803916179632
2006-04-14,CU0606,56890,57400,56670,57350,7489.0,2131369400.0,0,0,0,0,18025.0,56920,56260.0,1.0186803916179632
2006-04-17,CU0606,57900,59190,57900,59190,4207.0,1236016600.0,0,0,0,0,16633.0,58760,57350.0,1.0186803916179632
2006-04-18,CU0606,59990,61390,59700,60100,7356.0,2229603600.0,0,0,0,0,14843.0,60620,59190.0,1.0186803916179632
2006-04-19,CU0607,61200,62500,61200,61710,24477.0,7545035250.0,0,0,0,0,17409.0,61650,60100.0,1.0186803916179632
2006-04-20,CU0607,60500,61150,60280,60760,23123.0,7022455100.0,0,0,0,0,18501.0,60740,61710.0,1.0186803916179632
2006-04-21,CU0607,60010,60240,58930,59190,25807.0,7711131600.0,0,0,0,0,19381.0,59760,60760.0,1.0186803916179632
2006-04-24,CU0607,62150,62150,62150,62150,249.0,77376750.0,0,0,0,0,19243.0,62150,59190.0,1.0186803916179632
2006-04-25,CU0607,63890,64400,63260,64270,32446.0,10358385500.0,0,0,0,0,18035.0,63850,62150.0,1.0186803916179632
2006-04-26,CU0607,66400,66400,66400,66400,1327.0,440564000.0,0,0,0,0,16883.0,66400,64270.0,1.0186803916179632
2006-04-27,CU0607,68720,69720,68460,69720,21180.0,7350519000.0,0,0,0,0,15449.0,69410,66400.0,1.0186803916179632
2006-04-28,CU0607,67000,68490,65880,68000,25184.0,8476934400.0,0,0,0,0,15010.0,67320,69720.0,1.0186803916179632
2006-05-08,CU0607,70010,70010,70010,70010,34.0,11901700.0,0,0,0,0,15001.0,70010,68000.0,1.0186803916179632
2006-05-09,CU0607,72500,73510,72420,73300,13004.0,4758813800.0,0,0,0,0,15006.0,73190,70010.0,1.0186803916179632
2006-05-10,CU0607,75000,76110,75000,76110,10709.0,4053891950.0,0,0,0,0,14060.0,75710,73300.0,1.0186803916179632
2006-05-11,CU0607,78500,79490,77700,79490,7853.0,3107432100.0,0,0,0,0,13177.0,79140,76110.0,1.0186803916179632
2006-05-12,CU0607,83880,83880,80010,81500,17439.0,7181380200.0,0,0,0,0,12079.0,82360,79490.0,1.0186803916179632
2006-05-15,CU0607,82210,85500,81800,83280,10914.0,4548955200.0,0,0,0,0,10688.0,83360,81500.0,1.0186803916179632
2006-05-16,CU0608,80210,80890,80210,80210,9872.0,3966076000.0,0,0,0,0,14931.0,80350,83400.0,1.0172146644357791
2006-05-17,CU0608,83950,84300,77010,81780,31403.0,12837546400.0,0,0,0,0,16613.0,81760,80210.0,1.0172146644357791
2006-05-18,CU0608,78480,78780,78480,78480,4114.0,1614333600.0,0,0,0,0,15381.0,78480,81780.0,1.0172146644357791
2006-05-19,CU0608,78100,78100,76280,76420,20727.0,7980931350.0,0,0,0,0,15156.0,77010,78480.0,1.0172146644357791
2006-05-22,CU0608,73920,73920,73920,73920,18.0,6652800.0,0,0,0,0,15151.0,73920,76420.0,1.0172146644357791
2006-05-23,CU0608,72500,72990,70220,70650,26481.0,9402079050.0,0,0,0,0,18074.0,71010,73920.0,1.0172146644357791
2006-05-24,CU0608,73850,73850,73850,73850,19.0,7015750.0,0,0,0,0,18062.0,73850,70650.0,1.0172146644357791
