time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2019-09-27,EB2005,8020,8068,7901,7940,19957.0,795984945.0,7931,6,7940,1,7537.0,7977,8056.0,1.0
2019-09-30,EB2005,7905,7999,7905,7976,6869.0,273248820.0,7971,3,7978,1,6732.0,7956,7940.0,1.0
2019-10-08,EB2005,7950,7998,7920,7968,2735.0,108880350.0,7963,4,7968,1,7104.0,7962,7976.0,1.0
2019-10-09,EB2005,7971,8018,7940,7952,6449.0,257121630.0,7951,5,7952,2,7991.0,7974,7968.0,1.0
2019-10-10,EB2005,7950,7968,7835,7843,22385.0,881073600.0,7842,1,7843,22,10555.0,7872,7952.0,1.0
2019-10-11,EB2005,7832,7880,7794,7826,14821.0,580538570.0,7825,9,7826,33,11258.0,7834,7843.0,1.0
2019-10-14,EB2005,7828,7850,7756,7770,14861.0,579281780.0,7769,8,7770,15,14783.0,7796,7826.0,1.0
2019-10-15,EB2005,7760,7760,7592,7649,31746.0,1216982910.0,7648,9,7649,3,20841.0,7667,7770.0,1.0
2019-10-16,EB2005,7675,7676,7490,7526,36496.0,1383015920.0,7525,1,7526,1,24677.0,7579,7649.0,1.0
2019-10-17,EB2005,7510,7518,7425,7478,38909.0,1451889335.0,7478,1,7479,1,28069.0,7463,7526.0,1.0
2019-10-18,EB2005,7490,7574,7467,7546,41809.0,1573690760.0,7546,10,7547,17,26395.0,7528,7478.0,1.0
2019-10-21,EB2005,7560,7585,7466,7494,25829.0,971816125.0,7493,1,7494,1,25217.0,7525,7546.0,1.0
2019-10-22,EB2005,7503,7509,7409,7469,22627.0,844779045.0,7468,2,7469,2,26976.0,7467,7494.0,1.0
2019-10-23,EB2005,7502,7515,7442,7447,17925.0,669498750.0,7447,98,7448,28,28872.0,7470,7469.0,1.0
2019-10-24,EB2005,7430,7544,7400,7509,34443.0,1291956930.0,7509,1,7511,3,29101.0,7502,7447.0,1.0
2019-10-25,EB2005,7520,7530,7455,7456,15032.0,563173880.0,7455,14,7456,7,28690.0,7493,7509.0,1.0
2019-10-28,EB2005,7450,7502,7411,7430,21911.0,817061190.0,7429,9,7430,9,31211.0,7458,7456.0,1.0
