time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2018-12-11,EG.DCE,5944.769668011308,6010.375883642618,5816.731731053428,5863.290980856294,240977.0,13420009130.0,5536,228,5541,5,41561.0,EG1906
2018-12-12,EG.DCE,5904.559406817924,5923.606372646369,5833.66236734538,5866.465475161034,150993.0,8381621430.0,5544,47,5545,61,44256.0,EG1906
2018-12-13,EG.DCE,5840.011355954861,5974.3982815222225,5793.452106151995,5916.19921926864,178462.0,9922487200.0,5591,12,5592,2,44994.0,EG1906
2018-12-14,EG.DCE,5975.456446290469,5995.561576887161,5907.733901122665,5932.071690792344,93932.0,5278978400.0,5605,4,5606,40,46865.0,EG1906
2018-12-17,EG.DCE,5917.257384036888,5964.874798608,5889.745100062467,5944.769668011308,61887.0,3474955050.0,5618,1,5619,34,49596.0,EG1906
2018-12-18,EG.DCE,5913.0247249639,5955.351315693777,5893.977759135455,5954.29315092553,61376.0,3438283520.0,5626,2,5627,6,47831.0,EG1906
2018-12-19,EG.DCE,5903.501242049677,5962.758469071506,5873.872628538763,5946.885997547802,73894.0,4130674600.0,5620,6,5621,5,44420.0,EG1906
2018-12-20,EG.DCE,5955.351315693777,5962.758469071506,5887.628770525973,5900.326747744936,49598.0,2776992020.0,5575,247,5576,27,45048.0,EG1906
2018-12-21,EG.DCE,5884.454276221232,5900.326747744936,5629.43656707372,5733.13671436192,275542.0,14906822200.0,5415,83,5418,26,55850.0,EG1906
2018-12-24,EG.DCE,5692.926453168537,5698.217277009771,5614.622260318262,5642.134544292683,126470.0,6758556800.0,5331,4,5333,22,61480.0,EG1906
2018-12-25,EG.DCE,5502.456794884087,5535.259902699742,5426.268931570307,5474.944510909667,158313.0,8191114620.0,5174,67,5175,696,60073.0,EG1906
2018-12-26,EG.DCE,5502.456794884087,5533.143573163248,5426.268931570307,5451.664886008234,136210.0,7040694900.0,5152,3,5153,46,60505.0,EG1906
2018-12-27,EG.DCE,5609.331436477028,5689.751958863795,5433.676084948036,5433.676084948036,157777.0,8228070550.0,5136,22,5138,37,71043.0,EG1906
2018-12-28,EG.DCE,5440.025073557517,5466.479192763691,5383.94234084043,5432.617920179789,165545.0,8479214900.0,5134,2,5135,17,62970.0,EG1906
2019-01-02,EG.DCE,5401.931141900628,5432.617920179789,5339.499420574059,5344.790244415293,122708.0,6238474720.0,5051,4,5052,31,72217.0,EG1906
2019-01-03,EG.DCE,5389.233164681665,5451.664886008234,5362.779045475491,5425.210766802061,133101.0,6802792110.0,5127,2,5128,24,73291.0,EG1906
2019-01-04,EG.DCE,5449.54855647174,5482.351664287396,5390.291329449911,5451.664886008234,141912.0,7290019440.0,5152,75,5153,49,72764.0,EG1906
2019-01-07,EG.DCE,5467.537357531938,5502.456794884087,5423.094437265567,5431.559755411542,109827.0,5661581850.0,5133,29,5134,97,83520.0,EG1906
2019-01-08,EG.DCE,5438.966908789271,5468.595522300185,5360.662715938997,5375.477022694455,164400.0,8384400000.0,5079,38,5080,11,94088.0,EG1906
2019-01-09,EG.DCE,5434.734249716283,5488.700652896877,5408.280130510109,5419.919942960826,176816.0,9111328480.0,5122,20,5123,15,96407.0,EG1906
2019-01-10,EG.DCE,5462.2465336907035,5468.595522300185,5382.8841760721825,5388.174999913417,146054.0,7502793980.0,5091,6,5092,10,106957.0,EG1906
2019-01-11,EG.DCE,5375.477022694455,5433.676084948036,5361.720880707244,5414.629119119591,153952.0,7851552000.0,5116,23,5117,3,112648.0,EG1906
