time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2018-12-11,EG1906,5618,5680,5497,5541,240977.0,13420009130.0,5536,228,5541,5,41561.0,5569,5674.0,1.0
2018-12-12,EG1906,5580,5598,5513,5544,150993.0,8381621430.0,5544,47,5545,61,44256.0,5551,5541.0,1.0
2018-12-13,EG1906,5519,5646,5475,5591,178462.0,9922487200.0,5591,12,5592,2,44994.0,5560,5544.0,1.0
2018-12-14,EG1906,5647,5666,5583,5606,93932.0,5278978400.0,5605,4,5606,40,46865.0,5620,5591.0,1.0
2018-12-17,EG1906,5592,5637,5566,5618,61887.0,3474955050.0,5618,1,5619,34,49596.0,5615,5606.0,1.0
2018-12-18,EG1906,5588,5628,5570,5627,61376.0,3438283520.0,5626,2,5627,6,47831.0,5602,5618.0,1.0
2018-12-19,EG1906,5579,5635,5551,5620,73894.0,4130674600.0,5620,6,5621,5,44420.0,5590,5627.0,1.0
2018-12-20,EG1906,5628,5635,5564,5576,49598.0,2776992020.0,5575,247,5576,27,45048.0,5599,5620.0,1.0
2018-12-21,EG1906,5561,5576,5320,5418,275542.0,14906822200.0,5415,83,5418,26,55850.0,5410,5576.0,1.0
2018-12-24,EG1906,5380,5385,5306,5332,126470.0,6758556800.0,5331,4,5333,22,61480.0,5344,5418.0,1.0
2018-12-25,EG1906,5200,5231,5128,5174,158313.0,8191114620.0,5174,67,5175,696,60073.0,5174,5332.0,1.0
2018-12-26,EG1906,5200,5229,5128,5152,136210.0,7040694900.0,5152,3,5153,46,60505.0,5169,5174.0,1.0
2018-12-27,EG1906,5301,5377,5135,5135,157777.0,8228070550.0,5136,22,5138,37,71043.0,5215,5152.0,1.0
2018-12-28,EG1906,5141,5166,5088,5134,165545.0,8479214900.0,5134,2,5135,17,62970.0,5122,5135.0,1.0
2019-01-02,EG1906,5105,5134,5046,5051,122708.0,6238474720.0,5051,4,5052,31,72217.0,5084,5134.0,1.0
2019-01-03,EG1906,5093,5152,5068,5127,133101.0,6802792110.0,5127,2,5128,24,73291.0,5111,5051.0,1.0
2019-01-04,EG1906,5150,5181,5094,5152,141912.0,7290019440.0,5152,75,5153,49,72764.0,5137,5127.0,1.0
2019-01-07,EG1906,5167,5200,5125,5133,109827.0,5661581850.0,5133,29,5134,97,83520.0,5155,5152.0,1.0
2019-01-08,EG1906,5140,5168,5066,5080,164400.0,8384400000.0,5079,38,5080,11,94088.0,5100,5133.0,1.0
2019-01-09,EG1906,5136,5187,5111,5122,176816.0,9111328480.0,5122,20,5123,15,96407.0,5153,5080.0,1.0
2019-01-10,EG1906,5162,5168,5087,5092,146054.0,7502793980.0,5091,6,5092,10,106957.0,5137,5122.0,1.0
2019-01-11,EG1906,5080,5135,5067,5117,153952.0,7851552000.0,5116,23,5117,3,112648.0,5100,5092.0,1.0
2019-01-14,EG1906,5125,5177,5096,5143,164698.0,8457242300.0,5143,70,5144,26,113378.0,5135,5117.0,1.0
2019-01-15,EG1906,5141,5236,5129,5221,245201.0,12721027880.0,5221,13,5223,2,119263.0,5188,5143.0,1.0
2019-01-16,EG1906,5225,5243,5193,5226,138063.0,7201366080.0,5225,109,5226,50,120230.0,5216,5221.0,1.0
2019-01-17,EG1906,5210,5225,5155,5159,125749.0,6516313180.0,5158,75,5159,24,126512.0,5182,5226.0,1.0
2019-01-18,EG1906,5139,5176,5117,5156,211768.0,10908169680.0,5156,40,5157,99,146094.0,5151,5159.0,1.0
2019-01-21,EG1906,5219,5323,5188,5273,356396.0,18753557520.0,5272,27,5273,11,154876.0,5262,5156.0,1.0
2019-01-22,EG1906,5273,5457,5260,5277,374422.0,19994134800.0,5276,33,5277,3,151034.0,5340,5273.0,1.0
2019-01-23,EG1906,5240,5280,5222,5254,177443.0,9312208640.0,5253,39,5254,30,153084.0,5248,5277.0,1.0
2019-01-24,EG1906,5239,5273,5206,5245,164284.0,8610124440.0,5245,50,5246,8,153545.0,5241,5254.0,1.0
2019-01-25,EG1906,5275,5323,5232,5234,209980.0,11101642600.0,5234,5,5235,17,150548.0,5287,5245.0,1.0
2019-01-28,EG1906,5254,5264,5175,5180,167582.0,8747780400.0,5178,3,5180,61,149405.0,5220,5234.0,1.0
2019-01-29,EG1906,5150,5198,5136,5157,125369.0,6479069920.0,5156,2,5157,28,144519.0,5168,5180.0,1.0
2019-01-30,EG1906,5181,5239,5171,5207,131327.0,6830317270.0,5207,4,5208,15,131228.0,5201,5157.0,1.0
2019-01-31,EG1906,5230,5289,5229,5279,109946.0,5789756360.0,5278,9,5280,25,123736.0,5266,5207.0,1.0
2019-02-01,EG1906,5290,5330,5265,5322,88412.0,4681415400.0,5322,52,5324,2,118591.0,5295,5279.0,1.0
2019-02-11,EG1906,5295,5299,5216,5223,84944.0,4457861120.0,5223,41,5224,35,129587.0,5248,5322.0,1.0
2019-02-12,EG1906,5245,5274,5228,5234,100054.0,5248832840.0,5234,28,5235,139,140410.0,5246,5223.0,1.0
2019-02-13,EG1906,5200,5225,5151,5162,131320.0,6807628800.0,5161,11,5163,6,153926.0,5184,5234.0,1.0
2019-02-14,EG1906,5173,5195,5135,5170,97620.0,5041096800.0,5170,26,5171,113,162182.0,5164,5162.0,1.0
2019-02-15,EG1906,5159,5180,5092,5131,128418.0,6587843400.0,5131,2,5134,52,160877.0,5130,5170.0,1.0
2019-02-18,EG1906,5170,5184,5032,5039,202257.0,10307016720.0,5038,6,5039,74,184037.0,5096,5131.0,1.0
2019-02-19,EG1906,5046,5074,5007,5064,138620.0,6987834200.0,5064,20,5065,92,181371.0,5041,5039.0,1.0
2019-02-20,EG1906,5069,5082,5044,5054,91249.0,4620849360.0,5053,17,5054,6,181821.0,5064,5064.0,1.0
2019-02-21,EG1906,5104,5148,5084,5123,151705.0,7759710750.0,5123,28,5124,16,173277.0,5115,5054.0,1.0
2019-02-22,EG1906,5123,5169,5116,5142,96632.0,4971716400.0,5141,1,5142,51,170572.0,5145,5123.0,1.0
2019-02-25,EG1906,5157,5187,5120,5135,86808.0,4472348160.0,5135,8,5136,41,170384.0,5152,5142.0,1.0
2019-02-26,EG1906,5098,5168,5084,5158,88961.0,4576153840.0,5157,8,5158,1,167848.0,5144,5135.0,1.0
2019-02-27,EG1906,5170,5183,5145,5153,59144.0,3054196160.0,5153,27,5154,31,167170.0,5164,5158.0,1.0
2019-02-28,EG1906,5170,5216,5154,5175,110555.0,5731171200.0,5175,60,5176,5,168439.0,5184,5153.0,1.0
2019-03-01,EG1906,5195,5298,5186,5290,123641.0,6476315580.0,5288,11,5290,108,162982.0,5238,5175.0,1.0
2019-03-04,EG1906,5285,5421,5265,5351,189576.0,10142316000.0,5349,3,5351,12,162141.0,5350,5290.0,1.0
2019-03-05,EG1906,5320,5350,5304,5333,85112.0,4533916240.0,5332,8,5333,10,159666.0,5327,5351.0,1.0
2019-03-06,EG1906,5325,5438,5312,5432,150972.0,8132861640.0,5432,93,5433,44,166543.0,5387,5333.0,1.0
2019-03-07,EG1906,5412,5428,5303,5336,145785.0,7818449550.0,5336,3,5337,20,159133.0,5363,5432.0,1.0
2019-03-08,EG1906,5281,5320,5254,5298,120323.0,6357867320.0,5298,3,5299,17,157306.0,5284,5336.0,1.0
2019-03-11,EG1906,5330,5330,5242,5267,90644.0,4780564560.0,5266,25,5267,1,158362.0,5274,5298.0,1.0
2019-03-12,EG1906,5276,5301,5253,5270,84972.0,4483122720.0,5270,5,5271,2,157587.0,5276,5267.0,1.0
2019-03-13,EG1906,5266,5287,5226,5241,82354.0,4330996860.0,5240,25,5241,20,158566.0,5259,5270.0,1.0
2019-03-14,EG1906,5257,5270,5216,5221,79471.0,4164280400.0,5222,12,5223,49,163004.0,5240,5241.0,1.0
2019-03-15,EG1906,5189,5202,5112,5137,139103.0,7155458320.0,5137,2,5139,4,159428.0,5144,5221.0,1.0
2019-03-18,EG1906,5120,5156,5115,5127,104081.0,5344559350.0,5126,29,5127,11,165193.0,5135,5137.0,1.0
2019-03-19,EG1906,5143,5145,5093,5107,86490.0,4427423100.0,5104,2,5107,57,168257.0,5119,5127.0,1.0
2019-03-20,EG1906,5110,5148,5089,5147,74593.0,3816923810.0,5144,2,5145,2,167652.0,5117,5107.0,1.0
2019-03-21,EG1906,5164,5176,5147,5157,68616.0,3540585600.0,5157,21,5158,78,167851.0,5160,5147.0,1.0
2019-03-22,EG1906,5153,5163,5111,5126,90269.0,4634410460.0,5126,53,5127,4,170240.0,5134,5157.0,1.0
2019-03-25,EG1906,5100,5125,5057,5113,95341.0,4853810310.0,5113,10,5115,141,166239.0,5091,5126.0,1.0
2019-03-26,EG1906,5125,5130,5061,5063,73308.0,3737974920.0,5062,480,5063,34,173928.0,5099,5113.0,1.0
2019-03-27,EG1906,5050,5076,4976,4983,158619.0,7969018560.0,4982,80,4983,91,197815.0,5024,5063.0,1.0
2019-03-28,EG1906,4954,4980,4810,4814,268413.0,13133448090.0,4813,1,4814,3,204690.0,4893,4983.0,1.0
2019-03-29,EG1906,4812,4909,4812,4842,205754.0,10005817020.0,4841,38,4842,29,193172.0,4863,4814.0,1.0
2019-04-01,EG1906,4863,4889,4813,4875,214259.0,10397989270.0,4874,36,4875,151,193795.0,4853,4842.0,1.0
2019-04-02,EG1906,4875,4900,4828,4843,202611.0,9857025150.0,4842,21,4843,157,200260.0,4865,4875.0,1.0
2019-04-03,EG1906,4830,4876,4829,4853,191124.0,9280981440.0,4853,45,4854,8,195903.0,4856,4843.0,1.0
2019-04-04,EG1906,4841,4916,4761,4898,507945.0,24584538000.0,4897,5,4898,88,192208.0,4840,4853.0,1.0
2019-04-08,EG1906,4950,4968,4841,4857,308406.0,15151986780.0,4856,51,4857,5,208823.0,4913,4898.0,1.0
2019-04-09,EG1906,4856,4910,4852,4873,196756.0,9603660360.0,4872,10,4873,21,208786.0,4881,4857.0,1.0
2019-04-10,EG1906,4870,4905,4855,4871,163241.0,7971058030.0,4871,3,4872,9,199091.0,4883,4873.0,1.0
2019-04-11,EG1906,4871,4879,4805,4827,215013.0,10400178810.0,4827,64,4828,46,215999.0,4837,4871.0,1.0
2019-04-12,EG1906,4816,4836,4763,4828,233034.0,11192623020.0,4828,10,4829,123,213656.0,4803,4827.0,1.0
2019-04-15,EG1906,4850,4855,4742,4772,206705.0,9923907050.0,4770,40,4771,1,222069.0,4801,4828.0,1.0
2019-04-16,EG1906,4765,4774,4677,4707,252353.0,11911061600.0,4705,27,4706,2,228127.0,4720,4772.0,1.0
2019-04-17,EG1906,4707,4738,4695,4704,124934.0,5889388760.0,4704,2,4705,1,226223.0,4714,4707.0,1.0
2019-04-18,EG1906,4700,4737,4658,4707,240863.0,11347055930.0,4707,53,4708,11,215266.0,4711,4704.0,1.0
2019-04-19,EG1906,4715,4745,4710,4730,159231.0,7526849370.0,4729,72,4730,2,207574.0,4727,4707.0,1.0
2019-04-22,EG1906,4733,4797,4718,4736,240788.0,11461508800.0,4734,10,4737,34,182673.0,4760,4730.0,1.0
2019-04-23,EG1906,4736,4752,4714,4733,111492.0,5276916360.0,4732,81,4733,37,184468.0,4733,4736.0,1.0
2019-04-24,EG1906,4723,4728,4665,4679,156666.0,7349202060.0,4679,35,4680,7,193415.0,4691,4733.0,1.0
2019-04-25,EG1906,4682,4693,4622,4627,173717.0,8096949370.0,4627,1,4628,6,195347.0,4661,4679.0,1.0
2019-04-26,EG1906,4664,4664,4520,4549,232737.0,10654699860.0,4549,2,4550,120,190324.0,4578,4627.0,1.0
2019-04-29,EG1906,4542,4653,4539,4644,196419.0,9049023330.0,4643,3,4644,23,154859.0,4607,4549.0,1.0
2019-04-30,EG1909,4749,4758,4716,4721,80550.0,3811626000.0,4721,13,4722,42,161425.0,4732,4739.0,0.979953576703946
2019-05-06,EG1909,4691,4726,4666,4696,74137.0,3479990780.0,4696,33,4697,92,163174.0,4694,4721.0,0.979953576703946
2019-05-07,EG1909,4692,4725,4692,4712,114191.0,5376112280.0,4711,48,4712,79,174317.0,4708,4696.0,0.979953576703946
2019-05-08,EG1909,4697,4737,4697,4734,160365.0,7570831650.0,4734,55,4735,133,185099.0,4721,4712.0,0.979953576703946
2019-05-09,EG1909,4734,4739,4691,4702,153501.0,7229897100.0,4701,28,4702,72,188421.0,4710,4734.0,0.979953576703946
2019-05-10,EG1909,4706,4761,4698,4718,194353.0,9187066310.0,4717,60,4718,26,186081.0,4727,4702.0,0.979953576703946
2019-05-13,EG1909,4713,4718,4580,4582,297354.0,13794252060.0,4581,75,4582,10,221623.0,4639,4718.0,0.979953576703946
2019-05-14,EG1909,4571,4612,4408,4437,404182.0,18172022720.0,4437,20,4438,48,219651.0,4496,4582.0,0.979953576703946
2019-05-15,EG1909,4450,4492,4438,4455,220327.0,9830990740.0,4455,51,4456,54,218144.0,4462,4437.0,0.979953576703946
2019-05-16,EG1909,4450,4517,4430,4483,310869.0,13898952990.0,4483,17,4484,104,229433.0,4471,4455.0,0.979953576703946
2019-05-17,EG1909,4492,4500,4394,4404,291230.0,12950998100.0,4403,14,4404,10,253216.0,4447,4483.0,0.979953576703946
2019-05-20,EG1909,4406,4472,4394,4420,300832.0,13335882560.0,4420,3,4421,84,262597.0,4433,4404.0,0.979953576703946
2019-05-21,EG1909,4416,4465,4406,4447,206464.0,9173195520.0,4446,153,4447,26,258522.0,4443,4420.0,0.979953576703946
2019-05-22,EG1909,4445,4466,4356,4407,374649.0,16529513880.0,4407,25,4408,42,262172.0,4412,4447.0,0.979953576703946
2019-05-23,EG1909,4410,4427,4373,4403,220967.0,9731386680.0,4402,58,4403,75,261671.0,4404,4407.0,0.979953576703946
2019-05-24,EG1909,4397,4527,4395,4524,474798.0,21194982720.0,4523,90,4524,29,243691.0,4464,4403.0,0.979953576703946
2019-05-27,EG1909,4529,4563,4491,4503,323824.0,14653036000.0,4501,10,4503,18,235724.0,4525,4524.0,0.979953576703946
2019-05-28,EG1909,4517,4524,4427,4458,373756.0,16676992720.0,4457,78,4458,76,248129.0,4462,4503.0,0.979953576703946
2019-05-29,EG1909,4459,4519,4458,4489,233849.0,10495143120.0,4488,89,4489,47,241618.0,4488,4458.0,0.979953576703946
2019-05-30,EG1909,4473,4503,4455,4485,219186.0,9812957220.0,4485,38,4486,50,244258.0,4477,4489.0,0.979953576703946
2019-05-31,EG1909,4485,4529,4466,4492,304921.0,13727543420.0,4492,18,4493,34,246332.0,4502,4485.0,0.979953576703946
2019-06-03,EG1909,4492,4500,4380,4415,358240.0,15855702400.0,4415,54,4417,79,234595.0,4426,4492.0,0.979953576703946
2019-06-04,EG1909,4428,4487,4405,4445,285018.0,12671900280.0,4444,55,4445,5,235815.0,4446,4415.0,0.979953576703946
2019-06-05,EG1909,4450,4460,4330,4343,413684.0,18193822320.0,4342,106,4343,5,280896.0,4398,4445.0,0.979953576703946
2019-06-06,EG1909,4329,4382,4314,4369,381564.0,16578955800.0,4368,114,4370,101,248324.0,4345,4343.0,0.979953576703946
2019-06-10,EG1909,4413,4420,4367,4387,146435.0,6429960850.0,4386,13,4387,56,250906.0,4391,4369.0,0.979953576703946
2019-06-11,EG1909,4388,4423,4370,4408,177272.0,7792877120.0,4407,3,4408,100,244555.0,4396,4387.0,0.979953576703946
2019-06-12,EG1909,4408,4432,4362,4384,200911.0,8826020230.0,4383,47,4384,53,241471.0,4393,4408.0,0.979953576703946
2019-06-13,EG1909,4374,4415,4361,4403,218187.0,9578409300.0,4402,24,4403,1,244186.0,4390,4384.0,0.979953576703946
2019-06-14,EG1909,4410,4423,4331,4370,286911.0,12546618030.0,4370,7,4371,133,245097.0,4373,4403.0,0.979953576703946
2019-06-17,EG1909,4360,4391,4352,4370,154128.0,6740017440.0,4370,653,4371,11,242138.0,4373,4370.0,0.979953576703946
2019-06-18,EG1909,4379,4442,4366,4417,287758.0,12710270860.0,4416,107,4417,38,244081.0,4417,4370.0,0.979953576703946
2019-06-19,EG1909,4429,4505,4417,4459,286402.0,12779257240.0,4458,2,4459,157,231221.0,4462,4417.0,0.979953576703946
2019-06-20,EG1909,4460,4492,4451,4487,174646.0,7813662040.0,4486,100,4487,57,227778.0,4474,4459.0,0.979953576703946
2019-06-21,EG1909,4500,4515,4423,4437,255067.0,11398944230.0,4436,43,4437,3,233249.0,4469,4487.0,0.979953576703946
2019-06-24,EG1909,4448,4578,4447,4567,298665.0,13502644650.0,4567,49,4568,88,235585.0,4521,4437.0,0.979953576703946
2019-06-25,EG1909,4566,4594,4513,4531,252469.0,11479765430.0,4530,71,4531,16,232906.0,4547,4567.0,0.979953576703946
2019-06-26,EG1909,4537,4555,4474,4542,239673.0,10833219600.0,4540,125,4542,25,231879.0,4520,4531.0,0.979953576703946
2019-06-27,EG1909,4535,4578,4477,4491,336294.0,15227392320.0,4491,103,4492,72,232919.0,4528,4542.0,0.979953576703946
2019-06-28,EG1909,4494,4518,4384,4408,314282.0,13969834900.0,4407,12,4408,14,227252.0,4445,4491.0,0.979953576703946
2019-07-01,EG1909,4413,4465,4380,4442,251914.0,11164828480.0,4442,1,4443,16,225905.0,4432,4408.0,0.979953576703946
2019-07-02,EG1909,4450,4525,4404,4502,322509.0,14377451220.0,4501,2,4502,6,222013.0,4458,4442.0,0.979953576703946
2019-07-03,EG1909,4490,4498,4389,4437,298776.0,13259678880.0,4437,4,4438,114,219689.0,4438,4502.0,0.979953576703946
2019-07-04,EG1909,4435,4485,4397,4477,319939.0,14246883670.0,4477,46,4478,60,213119.0,4453,4437.0,0.979953576703946
2019-07-05,EG1909,4480,4516,4455,4488,293108.0,13148824880.0,4486,13,4489,59,218892.0,4486,4477.0,0.979953576703946
2019-07-08,EG1909,4486,4507,4420,4435,280112.0,12507000800.0,4435,9,4436,18,236188.0,4465,4488.0,0.979953576703946
2019-07-09,EG1909,4435,4448,4242,4242,466671.0,20267521530.0,0,0,4242,5239,249586.0,4343,4435.0,0.979953576703946
2019-07-10,EG1909,4230,4278,4150,4265,381106.0,16067428960.0,4264,5,4265,22,210066.0,4216,4242.0,0.979953576703946
2019-07-11,EG1909,4265,4309,4213,4281,335683.0,14310166290.0,4281,5,4282,52,205852.0,4263,4265.0,0.979953576703946
2019-07-12,EG1909,4290,4293,4241,4274,198798.0,8476746720.0,4274,42,4275,73,203803.0,4264,4281.0,0.979953576703946
2019-07-15,EG1909,4272,4322,4263,4296,226144.0,9719669120.0,4296,7,4297,39,187910.0,4298,4274.0,0.979953576703946
2019-07-16,EG1909,4308,4316,4245,4278,196646.0,8414482340.0,4277,1,4278,140,184129.0,4279,4296.0,0.979953576703946
2019-07-17,EG1909,4289,4376,4280,4360,282106.0,12220831920.0,4360,7,4361,1,171415.0,4332,4278.0,0.979953576703946
2019-07-18,EG1909,4369,4393,4319,4370,220205.0,9592129800.0,4370,3,4371,21,163593.0,4356,4360.0,0.979953576703946
