time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2012-12-04,FG1305,1309,1326,1296,1311,686543.0,18001157460.0,1311,1,1312,953,84331.0,1311,1318.0,1.0
2012-12-05,FG1305,1313,1345,1311,1331,763270.0,20241920400.0,1331,641,1332,172,74045.0,1326,1311.0,1.0
2012-12-06,FG1305,1333,1338,1320,1325,502604.0,13369266400.0,1325,89,1326,1521,83389.0,1330,1331.0,1.0
2012-12-07,FG1305,1322,1340,1319,1331,451842.0,12009960360.0,1330,598,1331,28,68392.0,1329,1325.0,1.0
2012-12-10,FG1305,1331,1344,1331,1336,315724.0,8442459760.0,1336,220,1337,2106,74373.0,1337,1331.0,1.0
2012-12-11,FG1305,1335,1337,1286,1293,812193.0,21311944320.0,1292,1598,1293,165,152774.0,1312,1336.0,1.0
2012-12-12,FG1305,1289,1306,1283,1299,877581.0,22729347900.0,1298,1423,1299,484,111751.0,1295,1293.0,1.0
2012-12-13,FG1305,1297,1312,1282,1289,993428.0,25749653760.0,1288,34,1289,2097,153122.0,1296,1299.0,1.0
2012-12-14,FG1305,1287,1315,1283,1304,963181.0,24984915140.0,1303,2947,1304,369,119633.0,1297,1289.0,1.0
2012-12-17,FG1305,1307,1335,1307,1327,998573.0,26422241580.0,1327,501,1328,1352,115075.0,1323,1304.0,1.0
2012-12-18,FG1305,1328,1339,1316,1325,944287.0,25023605500.0,1325,2372,1326,2011,119625.0,1325,1327.0,1.0
2012-12-19,FG1305,1324,1353,1318,1351,1387192.0,37149001760.0,1350,2471,1351,937,209615.0,1339,1325.0,1.0
2012-12-20,FG1305,1348,1356,1342,1350,1296970.0,34992250600.0,1350,40,1351,1859,195613.0,1349,1351.0,1.0
2012-12-21,FG1305,1345,1354,1330,1336,980633.0,26261351740.0,1335,98,1336,3881,139289.0,1339,1350.0,1.0
2012-12-24,FG1305,1336,1349,1334,1344,617022.0,16573210920.0,1343,1017,1344,609,139517.0,1343,1336.0,1.0
2012-12-25,FG1305,1344,1363,1339,1352,780518.0,21089596360.0,1351,1176,1352,68,139409.0,1351,1344.0,1.0
2012-12-26,FG1305,1351,1354,1344,1352,497942.0,13434475160.0,1352,544,1353,3840,126373.0,1349,1352.0,1.0
2012-12-27,FG1305,1358,1367,1349,1352,481753.0,13065141360.0,1351,457,1352,1422,112036.0,1356,1352.0,1.0
2012-12-28,FG1305,1353,1364,1343,1351,587663.0,15902160780.0,1351,657,1352,1642,94687.0,1353,1352.0,1.0
2012-12-31,FG1305,1352,1365,1349,1363,250056.0,6786519840.0,1363,831,1364,164,68001.0,1357,1351.0,1.0
2013-01-04,FG1305,1371,1425,1367,1425,500874.0,14084576880.0,1425,18312,0,0,120727.0,1406,1363.0,1.0
2013-01-07,FG1305,1440,1468,1433,1445,779276.0,22567832960.0,1444,626,1445,234,108879.0,1448,1425.0,1.0
2013-01-08,FG1305,1438,1470,1427,1457,1380700.0,40040300000.0,1457,134,1458,82,153245.0,1450,1445.0,1.0
2013-01-09,FG1305,1459,1476,1452,1476,1050156.0,30685558320.0,1475,277,1476,211,222181.0,1461,1457.0,1.0
2013-01-10,FG1305,1479,1484,1456,1463,1155676.0,33930647360.0,1463,175,1464,1610,188406.0,1468,1476.0,1.0
2013-01-11,FG1305,1462,1465,1428,1439,958135.0,27670938800.0,1438,446,1439,179,155902.0,1444,1463.0,1.0
2013-01-14,FG1305,1438,1502,1438,1502,939385.0,27580343600.0,1502,33379,0,0,254038.0,1468,1439.0,1.0
2013-01-15,FG1305,1520,1527,1490,1497,1503175.0,45245567500.0,1496,439,1497,3,193678.0,1505,1502.0,1.0
2013-01-16,FG1305,1499,1515,1455,1500,2119963.0,63174897400.0,1499,119,1500,923,236579.0,1490,1497.0,1.0
2013-01-17,FG1305,1503,1512,1491,1506,1980946.0,59428380000.0,1506,1224,1508,2215,269468.0,1500,1500.0,1.0
2013-01-18,FG1305,1520,1521,1488,1496,1933805.0,58130178300.0,1495,2229,1496,284,215859.0,1503,1506.0,1.0
2013-01-21,FG1305,1495,1518,1484,1501,1612729.0,48446379160.0,1500,447,1501,22,239012.0,1502,1496.0,1.0
2013-01-22,FG1305,1505,1508,1475,1490,1535157.0,45870491160.0,1489,355,1490,1989,200646.0,1494,1501.0,1.0
2013-01-23,FG1305,1492,1496,1472,1481,1026707.0,30431595480.0,1480,1775,1481,513,200911.0,1482,1490.0,1.0
2013-01-24,FG1305,1479,1489,1458,1467,1173231.0,34563385260.0,1467,536,1468,1162,183555.0,1473,1481.0,1.0
2013-01-25,FG1305,1470,1472,1459,1469,652650.0,19135698000.0,1469,184,1470,1782,157861.0,1466,1467.0,1.0
2013-01-28,FG1305,1471,1496,1468,1491,637394.0,18917853920.0,1490,2402,1491,2232,170782.0,1484,1469.0,1.0
2013-01-29,FG1305,1487,1494,1483,1488,218410.0,6499881600.0,1488,472,1489,86,149979.0,1488,1491.0,1.0
2013-01-30,FG1309,1585,1591,1578,1579,620296.0,19663383200.0,1579,2084,1580,178,195507.0,1585,1581.0,0.9411764705882353
2013-01-31,FG1309,1578,1601,1577,1585,1228914.0,39054886920.0,1585,3038,1586,672,228528.0,1589,1579.0,0.9411764705882353
2013-02-01,FG1309,1585,1596,1580,1594,729585.0,23157027900.0,1593,1561,1594,760,202515.0,1587,1585.0,0.9411764705882353
2013-02-04,FG1309,1599,1649,1594,1632,1201300.0,39090302000.0,1632,420,1633,405,232922.0,1627,1594.0,0.9411764705882353
2013-02-05,FG1309,1628,1646,1624,1635,932814.0,30465705240.0,1634,1054,1635,859,238391.0,1633,1632.0,0.9411764705882353
2013-02-06,FG1309,1639,1652,1624,1629,931696.0,30522360960.0,1629,1915,1630,46,234429.0,1638,1635.0,0.9411764705882353
2013-02-07,FG1309,1631,1633,1606,1623,639756.0,20702504160.0,1622,46,1623,994,198724.0,1618,1629.0,0.9411764705882353
2013-02-08,FG1309,1620,1635,1618,1634,353217.0,11500745520.0,1633,258,1634,41,175180.0,1628,1623.0,0.9411764705882353
2013-02-18,FG1309,1631,1643,1606,1607,688128.0,22322872320.0,1607,216,1608,1528,225446.0,1622,1634.0,0.9411764705882353
2013-02-19,FG1309,1606,1616,1597,1614,813674.0,26184029320.0,1613,2952,1614,840,256098.0,1609,1607.0,0.9411764705882353
2013-02-20,FG1309,1619,1622,1601,1610,677820.0,21852916800.0,1609,1871,1610,222,276242.0,1612,1614.0,0.9411764705882353
2013-02-21,FG1309,1591,1595,1549,1558,1180127.0,36961577640.0,1558,2236,1559,253,251473.0,1566,1610.0,0.9411764705882353
2013-02-22,FG1309,1558,1569,1539,1553,1175365.0,36553851500.0,1552,471,1553,170,258898.0,1555,1558.0,0.9411764705882353
2013-02-25,FG1309,1550,1574,1532,1559,1160298.0,36178091640.0,1558,47,1559,1733,269218.0,1559,1553.0,0.9411764705882353
2013-02-26,FG1309,1548,1564,1532,1536,1182700.0,36640046000.0,1535,1507,1536,380,293442.0,1549,1559.0,0.9411764705882353
2013-02-27,FG1309,1548,1562,1543,1558,1057799.0,32897548900.0,1558,1227,1559,1043,282441.0,1555,1536.0,0.9411764705882353
2013-02-28,FG1309,1566,1587,1565,1582,786963.0,24789334500.0,1582,3315,1583,318,272352.0,1575,1558.0,0.9411764705882353
2013-03-01,FG1309,1580,1581,1550,1568,921916.0,28855970800.0,1568,493,1569,627,259950.0,1565,1582.0,0.9411764705882353
2013-03-04,FG1309,1557,1564,1502,1518,1470401.0,44847230500.0,1517,1974,1518,1496,296844.0,1525,1568.0,0.9411764705882353
2013-03-05,FG1309,1524,1532,1504,1527,1396502.0,42453660800.0,1527,513,1528,1212,298129.0,1520,1518.0,0.9411764705882353
2013-03-06,FG1309,1530,1541,1518,1525,1081413.0,33026353020.0,1525,2,1526,2689,289273.0,1527,1527.0,0.9411764705882353
2013-03-07,FG1309,1521,1521,1508,1518,875946.0,26541163800.0,1517,68,1518,2587,283087.0,1515,1525.0,0.9411764705882353
2013-03-08,FG1309,1524,1528,1485,1504,1385215.0,41639562900.0,1504,41,1505,1802,280560.0,1503,1518.0,0.9411764705882353
2013-03-11,FG1309,1503,1508,1483,1496,1115595.0,33400914300.0,1496,241,1497,140,286207.0,1497,1504.0,0.9411764705882353
2013-03-12,FG1309,1500,1505,1481,1487,1192478.0,35583543520.0,1487,339,1488,965,248574.0,1492,1496.0,0.9411764705882353
2013-03-13,FG1309,1493,1493,1438,1449,1467651.0,42826056180.0,1449,3160,1450,33,247499.0,1459,1487.0,0.9411764705882353
2013-03-14,FG1309,1439,1443,1409,1436,1469687.0,41974260720.0,1435,614,1436,53,259197.0,1428,1449.0,0.9411764705882353
2013-03-15,FG1309,1442,1480,1428,1451,1280954.0,37019570600.0,1450,149,1451,2120,217984.0,1445,1436.0,0.9411764705882353
2013-03-18,FG1309,1434,1453,1420,1435,996774.0,28687155720.0,1435,199,1436,1604,213789.0,1439,1451.0,0.9411764705882353
2013-03-19,FG1309,1440,1458,1434,1450,960232.0,27750704800.0,1449,237,1450,2424,212712.0,1445,1435.0,0.9411764705882353
2013-03-20,FG1309,1445,1478,1445,1476,1148366.0,33693058440.0,1476,1874,1477,830,252425.0,1467,1450.0,0.9411764705882353
2013-03-21,FG1309,1482,1493,1478,1484,1197923.0,35554354640.0,1483,3330,1484,1023,244390.0,1484,1476.0,0.9411764705882353
2013-03-22,FG1309,1478,1489,1473,1479,633833.0,18761456800.0,1478,225,1479,1282,224838.0,1480,1484.0,0.9411764705882353
2013-03-25,FG1309,1483,1492,1481,1484,446444.0,13268315680.0,1484,832,1485,3321,218705.0,1486,1479.0,0.9411764705882353
2013-03-26,FG1309,1481,1484,1452,1458,741016.0,21682128160.0,1458,771,1459,262,235616.0,1463,1484.0,0.9411764705882353
2013-03-27,FG1309,1463,1465,1453,1455,470337.0,13715026920.0,1454,3055,1455,108,230951.0,1458,1458.0,0.9411764705882353
2013-03-28,FG1309,1455,1460,1437,1440,592522.0,17123885800.0,1439,1106,1440,183,227066.0,1445,1455.0,0.9411764705882353
2013-03-29,FG1309,1430,1443,1415,1437,555551.0,15910980640.0,1437,831,1438,204,207595.0,1432,1440.0,0.9411764705882353
2013-04-01,FG1309,1432,1437,1400,1404,855062.0,24215355840.0,1403,2028,1404,17,220720.0,1416,1437.0,0.9411764705882353
2013-04-02,FG1309,1403,1427,1397,1426,661005.0,18653561100.0,1425,19,1426,199,203120.0,1411,1404.0,0.9411764705882353
2013-04-03,FG1309,1424,1441,1421,1429,643839.0,18426672180.0,1428,898,1429,834,196166.0,1431,1426.0,0.9411764705882353
2013-04-08,FG1309,1412,1444,1410,1441,482285.0,13783705300.0,1441,789,1442,599,217328.0,1429,1429.0,0.9411764705882353
2013-04-09,FG1309,1446,1454,1439,1449,575111.0,16632210120.0,1449,580,1450,1798,225469.0,1446,1441.0,0.9411764705882353
2013-04-10,FG1309,1452,1454,1425,1430,604351.0,17381134760.0,1430,1716,1431,710,215788.0,1438,1449.0,0.9411764705882353
2013-04-11,FG1309,1430,1444,1414,1416,694700.0,19854526000.0,1416,358,1417,667,225760.0,1429,1430.0,0.9411764705882353
2013-04-12,FG1309,1413,1427,1413,1420,666888.0,18939619200.0,1420,651,1421,345,209190.0,1420,1416.0,0.9411764705882353
2013-04-15,FG1309,1406,1426,1376,1393,1386674.0,38826872000.0,1393,2313,1394,54,255315.0,1400,1420.0,0.9411764705882353
2013-04-16,FG1309,1380,1405,1365,1401,999881.0,27736698940.0,1400,1122,1401,66,239563.0,1387,1393.0,0.9411764705882353
