time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2018-07-16,FU.SHF,3579.403597043818,3650.3296920975267,3512.0238067427954,3539.21214318005,26308.0,794764680.0,2994,3,2996,2,4629.0,FU1901
2018-07-17,FU.SHF,3488.3817750582257,3488.3817750582257,3366.625311882693,3391.4494451514906,95954.0,2775949220.0,2868,25,2869,18,13552.0,FU1901
2018-07-18,FU.SHF,3394.995749904176,3455.2829306998283,3383.1747340618917,3405.6346641622326,145905.0,4223949750.0,2881,1,2882,10,17155.0,FU1901
2018-07-19,FU.SHF,3415.0914768360603,3540.3942447642785,3405.6346641622326,3462.3755402051993,106272.0,3099954240.0,2929,4,2930,13,15542.0,FU1901
2018-07-20,FU.SHF,3437.5514069364012,3555.761565359249,3431.640899015259,3530.937432090451,213579.0,6364654200.0,2987,5,2988,70,27615.0,FU1901
2018-07-23,FU.SHF,3529.7553305062224,3568.764682785762,3499.0206893162817,3530.937432090451,171524.0,5131998080.0,2987,172,2988,31,28517.0,FU1901
2018-07-24,FU.SHF,3581.7678002122752,3631.416066749871,3538.030041595822,3619.5950509075865,201856.0,6136422400.0,3061,145,3063,4,35984.0,FU1901
2018-07-25,FU.SHF,3631.416066749871,3786.271374283801,3603.045628728388,3683.4285364559237,427231.0,13359513370.0,3116,1,3117,64,65721.0,FU1901
2018-07-26,FU.SHF,3656.240200018669,3724.8020919039204,3656.240200018669,3704.706364972036,403756.0,12629487680.0,3134,163,3135,11,68839.0,FU1901
2018-07-27,FU.SHF,3696.431653882437,3723.619990319692,3671.6075206136393,3704.706364972036,241329.0,7556010990.0,3134,18,3135,83,60665.0,FU1901
2018-07-30,FU.SHF,3714.1631776458644,3749.6262251727185,3673.971723782096,3724.8020919039204,254939.0,8028029110.0,3150,49,3151,2,60275.0,FU1901
2018-07-31,FU.SHF,3759.083037846546,3798.092390126086,3702.3421618035795,3711.7989744774072,288615.0,9154867800.0,3140,80,3141,41,58437.0,FU1901
2018-08-01,FU.SHF,3711.7989744774072,3735.4410061619765,3649.147590513298,3651.511793681755,286889.0,8942330130.0,3089,9,3090,19,59842.0,FU1901
2018-08-02,FU.SHF,3629.051863581414,3672.7896221978676,3585.3141049649607,3662.150707939811,293278.0,9044693520.0,3097,58,3098,2,62561.0,FU1901
2018-08-03,FU.SHF,3647.9654889290696,3774.4503584415165,3640.8728794236986,3755.5367330938607,356276.0,11169252600.0,3177,2,3178,58,66954.0,FU1901
2018-08-06,FU.SHF,3749.6262251727185,3763.81144418346,3683.4285364559237,3747.2620220042613,253705.0,8006929800.0,3169,1,3170,122,66686.0,FU1901
2018-08-07,FU.SHF,3770.904053688831,3904.4815327066485,3747.2620220042613,3840.648047158311,508059.0,16445869830.0,3248,31,3249,34,82067.0,FU1901
2018-08-08,FU.SHF,3859.5616725059663,3883.203704190536,3754.3546315096323,3773.2682568572877,302989.0,9780484920.0,3191,32,3192,3,78797.0,FU1901
2018-08-09,FU.SHF,3736.6231077462053,3788.635577452258,3717.7094823985494,3749.6262251727185,271254.0,8617739580.0,3172,35,3173,37,82133.0,FU1901
2018-08-10,FU.SHF,3762.6293425992317,3814.6418123052845,3699.9779586351224,3712.9810760616356,284792.0,9067777280.0,3140,5,3141,110,81886.0,FU1901
2018-08-13,FU.SHF,3735.4410061619765,3779.1787647784304,3723.619990319692,3753.172529925404,226867.0,7203027250.0,3175,67,3176,53,79912.0,FU1901
2018-08-14,FU.SHF,3761.447241015003,3799.274491710314,3729.5304982408343,3747.2620220042613,272085.0,8679511500.0,3168,94,3170,105,80012.0,FU1901
2018-08-15,FU.SHF,3781.542967946887,3809.9134059683706,3705.888466556265,3728.348396656606,225292.0,7168791440.0,3153,24,3154,3,81998.0,FU1901
2018-08-16,FU.SHF,3711.7989744774072,3737.8052093304336,3535.6658384273646,3575.8572922911326,348826.0,10660122560.0,3025,25,3027,1,66352.0,FU1901
2018-08-17,FU.SHF,3593.5888160545596,3598.317222391474,3508.47750199011,3561.672073280391,220356.0,6643733400.0,3013,13,3014,16,62604.0,FU1901
2018-08-20,FU.SHF,3603.045628728388,3643.2370825921557,3517.9343146639376,3584.132003380732,287821.0,8709463460.0,3032,57,3033,33,60400.0,FU1901
2018-08-21,FU.SHF,3579.403597043818,3634.9623715025564,3565.2183780330765,3607.7740350653016,218938.0,6679798380.0,3052,4,3053,21,60812.0,FU1901
2018-08-22,FU.SHF,3638.508676255242,3666.8791142767254,3618.4129493233577,3651.511793681755,213308.0,6572019480.0,3088,15,3090,2,60252.0,FU1901
2018-08-23,FU.SHF,3677.5180285347815,3720.0736855670066,3664.5149111082683,3688.1569427928375,219486.0,6850158060.0,3120,31,3121,4,59740.0,FU1901
2018-08-24,FU.SHF,3688.1569427928375,3740.169412498891,3656.240200018669,3734.258904577748,195060.0,6115131000.0,3160,2,3161,56,60202.0,FU1901
2018-08-27,FU.SHF,3749.6262251727185,3753.172529925404,3691.703247545523,3695.2495522982085,165448.0,5213266480.0,3126,12,3127,53,58757.0,FU1901
2018-08-28,FU.SHF,3709.43477130895,3742.5336156673475,3682.2464348716953,3707.0705681404934,151751.0,4772568950.0,3135,43,3136,3,57862.0,FU1901
2018-08-29,FU.SHF,3721.255787151235,3728.348396656606,3657.4223016028973,3657.4223016028973,131363.0,4111661900.0,3094,195,3100,8,59998.0,FU1901
2018-08-30,FU.SHF,3688.1569427928375,3770.904053688831,3681.064333287467,3768.539850520374,191256.0,6020738880.0,3187,12,3188,18,59579.0,FU1901
2018-08-31,FU.SHF,3768.539850520374,3787.4534758680297,3750.808326756947,3781.542967946887,123448.0,3935522240.0,3197,7,3199,1,58835.0,FU1901
2018-09-03,FU.SHF,3770.904053688831,3774.4503584415165,3699.9779586351224,3733.07680299352,127911.0,4045824930.0,3158,10,3159,11,54077.0,FU1901
2018-09-04,FU.SHF,3750.808326756947,3779.1787647784304,3701.1600602193507,3730.7125998250626,143146.0,4530570900.0,3156,7,3158,1,54347.0,FU1901
2018-09-05,FU.SHF,3776.814561609973,3792.1818822049436,3662.150707939811,3672.7896221978676,211043.0,6649964930.0,3107,9,3109,19,59027.0,FU1901
2018-09-06,FU.SHF,3672.7896221978676,3692.885349129752,3638.508676255242,3666.8791142767254,180424.0,5589535520.0,3102,8,3103,46,55356.0,FU1901
2018-09-07,FU.SHF,3673.971723782096,3685.792739624381,3613.684542986444,3658.604403187126,145618.0,4502508560.0,3093,13,3095,504,54044.0,FU1901
2018-09-10,FU.SHF,3660.968606355583,3715.3452792300927,3620.777152491815,3715.3452792300927,161033.0,4987192010.0,3142,52,3143,96,50699.0,FU1901
2018-09-11,FU.SHF,3703.524263387808,3743.715717251576,3679.8822317032386,3689.3390443770663,168925.0,5300866500.0,3121,126,3122,25,48716.0,FU1901
2018-09-12,FU.SHF,3673.971723782096,3821.7344218106555,3666.8791142767254,3768.539850520374,288443.0,9163834110.0,3187,7,3188,31,53257.0,FU1901
2018-09-13,FU.SHF,3781.542967946887,3799.274491710314,3725.984193488149,3743.715717251576,191811.0,6111098460.0,3167,10,3168,68,52494.0,FU1901
2018-09-14,FU.SHF,3737.8052093304336,3744.8978188358046,3670.4254190294105,3682.2464348716953,181317.0,5682474780.0,3115,8,3116,3,52971.0,FU1901
2018-09-17,FU.SHF,3686.974841208609,3715.3452792300927,3660.968606355583,3696.431653882437,156865.0,4886344750.0,3127,15,3128,29,48748.0,FU1901
2018-09-18,FU.SHF,3709.43477130895,3725.984193488149,3645.601285760613,3681.064333287467,128983.0,4029428920.0,3114,83,3115,58,48252.0,FU1901
2018-09-19,FU.SHF,3711.7989744774072,3754.3546315096323,3703.524263387808,3750.808326756947,148142.0,4667954420.0,3172,89,3173,194,46352.0,FU1901
2018-09-20,FU.SHF,3730.7125998250626,3783.907171115344,3718.8915839827782,3774.4503584415165,154487.0,4903417380.0,3193,34,3194,124,49409.0,FU1901
2018-09-21,FU.SHF,3760.2651394307745,3773.2682568572877,3737.8052093304336,3748.4441235884897,108757.0,3453034750.0,3170,77,3172,16,45554.0,FU1901
2018-09-25,FU.SHF,3795.7281869576286,3900.935227953963,3795.7281869576286,3869.0184851797944,121800.0,3988950000.0,3273,45,3274,10,52049.0,FU1901
2018-09-26,FU.SHF,3879.6573994378505,3939.9445802335026,3864.29007884288,3932.8519707281316,203978.0,6723114880.0,3326,47,3327,273,65231.0,FU1901
2018-09-27,FU.SHF,3906.845735875105,3978.953932513042,3884.3858057747643,3968.315018254986,217186.0,7225778220.0,3357,76,3358,53,69263.0,FU1901
2018-09-28,FU.SHF,3969.4971198392145,3988.41074518687,3925.759361222761,3984.8644404341844,161421.0,5402760870.0,3371,152,3373,8,60345.0,FU1901
2018-10-08,FU.SHF,4032.1485038033234,4112.53141153086,4006.142268950297,4101.892497272804,167789.0,5775297380.0,3469,22,3470,165,60193.0,FU1901
2018-10-09,FU.SHF,4072.3399576670918,4312.306579265472,4072.3399576670918,4312.306579265472,510714.0,18268239780.0,3648,2724,0,0,96289.0,FU1901
2018-10-10,FU.SHF,4312.306579265472,4344.22332203964,4222.466858864108,4314.670782433929,418477.0,15144682630.0,3650,3,3651,4,85667.0,FU1901
2018-10-11,FU.SHF,4292.210852333587,4305.213969760101,4059.3368402405786,4116.077716283545,454246.0,16016713960.0,3482,10,3483,16,63012.0,FU1901
2018-10-12,FU.SHF,4123.170325788916,4171.636490742283,4040.4232148929227,4153.9049669788565,367058.0,12736912600.0,3513,74,3514,25,71978.0,FU1901
2018-10-15,FU.SHF,4147.994459057714,4166.90808440537,4085.343075093605,4137.355544799658,307020.0,10727278800.0,3499,31,3500,2,70555.0,FU1901
2018-10-16,FU.SHF,4137.355544799658,4143.2660527208,4026.237995882181,4049.880027566751,345216.0,11930664960.0,3426,13,3427,7,59130.0,FU1901
2018-10-17,FU.SHF,4042.78741806138,4145.630255889257,4022.6916911294957,4140.901849552343,300274.0,10347442040.0,3502,6,3503,26,62050.0,FU1901
2018-10-18,FU.SHF,4106.620903609717,4113.713513115088,4009.6885737029825,4092.4356845989755,377871.0,12983647560.0,3461,16,3462,5,56744.0,FU1901
2018-10-19,FU.SHF,4054.6084339036647,4108.985106778175,4032.1485038033234,4098.346192520118,335153.0,11569481560.0,3466,18,3467,1,54111.0,FU1901
2018-10-22,FU.SHF,4117.259817867774,4235.469976290621,4117.259817867774,4217.738452527194,399688.0,14116980160.0,3567,9,3568,22,68122.0,FU1901
2018-10-23,FU.SHF,4189.368014505711,4224.831062032565,4160.9975764842275,4164.543881236913,317551.0,11254007440.0,3523,1,3524,1,65435.0,FU1901
2018-10-24,FU.SHF,4124.352427373145,4124.352427373145,4021.5095895452673,4097.164090935889,373986.0,12921216300.0,3465,165,3466,12,63432.0,FU1901
2018-10-25,FU.SHF,4129.080833710058,4140.901849552343,3990.774948355327,4056.9726370721214,377577.0,12981097260.0,3430,10,3431,1,57307.0,FU1901
2018-10-26,FU.SHF,4090.071481430519,4142.083951136571,4052.2442307352076,4131.445036878516,312889.0,10832217180.0,3495,19,3496,34,55291.0,FU1901
2018-10-29,FU.SHF,4127.89873212583,4220.102655695651,4091.253583014747,4100.710395688575,379918.0,13350318520.0,3468,108,3469,55,46056.0,FU1901
2018-10-30,FU.SHF,4094.7998877674327,4182.27540500034,4091.253583014747,4168.0901859895985,387137.0,13573023220.0,3526,10,3527,1,48047.0,FU1901
2018-10-31,FU.SHF,4111.349309946631,4111.349309946631,4039.2411133086944,4100.710395688575,363850.0,12520078500.0,3468,7,3469,19,43492.0,FU1901
2018-11-01,FU.SHF,4099.528294104347,4162.179678068455,3975.4076277603567,4036.8769101402377,556862.0,19167190040.0,3415,57,3416,52,49149.0,FU1901
2018-11-02,FU.SHF,4033.330605387552,4056.9726370721214,3902.1173295381914,4026.237995882181,404656.0,13705698720.0,3406,11,3407,23,46693.0,FU1901
2018-11-05,FU.SHF,4004.9601673660686,4064.0652465774924,3975.4076277603567,4051.062129150979,355821.0,12094355790.0,3428,1,3429,1,50436.0,FU1901
2018-11-06,FU.SHF,4068.7936529144063,4106.620903609717,4049.880027566751,4087.7072782620617,355445.0,12266406950.0,3458,47,3459,2,46706.0,FU1901
2018-11-07,FU.SHF,4101.892497272804,4168.0901859895985,4075.8862624197773,4129.080833710058,528089.0,18414463430.0,3491,47,3493,39,61978.0,FU1901
2018-11-08,FU.SHF,4178.729100247654,4191.732217674167,4049.880027566751,4113.713513115088,393208.0,13730823360.0,3480,14,3481,50,54994.0,FU1901
