time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2018-07-16,FU1901,3028,3088.0,2971,2994,26308.0,794764680.0,2994,3,2996,2,4629.0,3021,3748.0,1.0
2018-07-17,FU1901,2951,2951.0,2848,2869,95954.0,2775949220.0,2868,25,2869,18,13552.0,2893,2994.0,1.0
2018-07-18,FU1901,2872,2923.0,2862,2881,145905.0,4223949750.0,2881,1,2882,10,17155.0,2895,2869.0,1.0
2018-07-19,FU1901,2889,2995.0,2881,2929,106272.0,3099954240.0,2929,4,2930,13,15542.0,2917,2881.0,1.0
2018-07-20,FU1901,2908,3008.0,2903,2987,213579.0,6364654200.0,2987,5,2988,70,27615.0,2980,2929.0,1.0
2018-07-23,FU1901,2986,3019.0,2960,2987,171524.0,5131998080.0,2987,172,2988,31,28517.0,2992,2987.0,1.0
2018-07-24,FU1901,3030,3072.0,2993,3062,201856.0,6136422400.0,3061,145,3063,4,35984.0,3040,2987.0,1.0
2018-07-25,FU1901,3072,3203.0,3048,3116,427231.0,13359513370.0,3116,1,3117,64,65721.0,3127,3062.0,1.0
2018-07-26,FU1901,3093,3151.0,3093,3134,403756.0,12629487680.0,3134,163,3135,11,68839.0,3128,3116.0,1.0
2018-07-27,FU1901,3127,3150.0,3106,3134,241329.0,7556010990.0,3134,18,3135,83,60665.0,3131,3134.0,1.0
2018-07-30,FU1901,3142,3172.0,3108,3151,254939.0,8028029110.0,3150,49,3151,2,60275.0,3149,3134.0,1.0
2018-07-31,FU1901,3180,3213.0,3132,3140,288615.0,9154867800.0,3140,80,3141,41,58437.0,3172,3151.0,1.0
2018-08-01,FU1901,3140,3160.0,3087,3089,286889.0,8942330130.0,3089,9,3090,19,59842.0,3117,3140.0,1.0
2018-08-02,FU1901,3070,3107.0,3033,3098,293278.0,9044693520.0,3097,58,3098,2,62561.0,3084,3089.0,1.0
2018-08-03,FU1901,3086,3193.0,3080,3177,356276.0,11169252600.0,3177,2,3178,58,66954.0,3135,3098.0,1.0
2018-08-06,FU1901,3172,3184.0,3116,3170,253705.0,8006929800.0,3169,1,3170,122,66686.0,3156,3177.0,1.0
2018-08-07,FU1901,3190,3303.0,3170,3249,508059.0,16445869830.0,3248,31,3249,34,82067.0,3237,3170.0,1.0
2018-08-08,FU1901,3265,3285.0,3176,3192,302989.0,9780484920.0,3191,32,3192,3,78797.0,3228,3249.0,1.0
2018-08-09,FU1901,3161,3205.0,3145,3172,271254.0,8617739580.0,3172,35,3173,37,82133.0,3177,3192.0,1.0
2018-08-10,FU1901,3183,3227.0,3130,3141,284792.0,9067777280.0,3140,5,3141,110,81886.0,3184,3172.0,1.0
