time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2014-03-24,HC.SHF,1662.7904365787742,1670.8183928205547,1638.706567853433,1670.8183928205547,43405.0,1434101200.0,3328,5,3330,231,23808.0,HC1410
2014-03-25,HC.SHF,1668.8114037601097,1705.940701378344,1665.800920169442,1694.902261545896,59927.0,2012348660.0,3378,24,3380,27,30628.0,HC1410
2014-03-26,HC.SHF,1690.8882834250057,1696.9092506063412,1682.8603271832253,1693.8987670156735,18938.0,637831840.0,3374,32,3376,142,30280.0,HC1410
2014-03-27,HC.SHF,1689.8847888947832,1698.9162396667862,1680.8533381227803,1686.8743053041155,20115.0,676668600.0,3360,215,3362,3,30715.0,HC1410
2014-03-28,HC.SHF,1693.8987670156735,1698.9162396667862,1685.870810773893,1696.9092506063412,17145.0,578129400.0,3382,92,3384,17,31540.0,HC1410
2014-03-31,HC.SHF,1703.933712317899,1716.9791412107922,1696.9092506063412,1710.9581740294568,30485.0,1037099700.0,3410,41,3412,51,32820.0,HC1410
2014-04-01,HC.SHF,1711.9616685596795,1714.972152150347,1703.933712317899,1712.965163089902,8948.0,304768880.0,3412,146,3414,1,32068.0,HC1410
2014-04-02,HC.SHF,1710.9581740294568,1718.9861302712372,1699.919734197009,1700.9232287272314,14285.0,486261400.0,3390,42,3392,67,34350.0,HC1410
2014-04-03,HC.SHF,1697.9127451365637,1712.965163089902,1696.9092506063412,1710.9581740294568,10353.0,351794940.0,3404,39,3406,2,34205.0,HC1410
2014-04-04,HC.SHF,1711.9616685596795,1726.0105919827952,1706.9441959085666,1726.0105919827952,10680.0,365469600.0,3438,4,3440,29,35047.0,HC1410
2014-04-08,HC.SHF,1731.028064633908,1750.0944607081365,1727.0140865130177,1746.0804825872463,20143.0,698559240.0,3480,76,3482,69,40436.0,HC1410
2014-04-09,HC.SHF,1750.0944607081365,1750.0944607081365,1728.0175810432404,1732.0315591641306,16451.0,569533620.0,3454,1,3456,15,40917.0,HC1410
2014-04-10,HC.SHF,1731.028064633908,1741.0630099361335,1727.0140865130177,1729.021075573463,9815.0,339206400.0,3444,5,3446,6,40616.0,HC1410
2014-04-11,HC.SHF,1720.9931193316825,1732.0315591641306,1720.9931193316825,1723.0001083921275,6550.0,225320000.0,3436,1,3442,8,38420.0,HC1410
2014-04-14,HC.SHF,1721.996613861905,1738.0525263454658,1721.996613861905,1725.0070974525727,6321.0,217821660.0,3438,54,3442,20,38510.0,HC1410
2014-04-15,HC.SHF,1727.0140865130177,1730.0245701036854,1714.972152150347,1730.0245701036854,10362.0,355416600.0,3446,6,3448,68,37762.0,HC1410
2014-04-16,HC.SHF,1729.021075573463,1729.021075573463,1710.9581740294568,1714.972152150347,9269.0,316814420.0,3418,1,3420,19,34076.0,HC1410
2014-04-17,HC.SHF,1719.98962480146,1719.98962480146,1710.9581740294568,1711.9616685596795,2795.0,95533100.0,3412,33,3414,1,33702.0,HC1410
2014-04-18,HC.SHF,1710.9581740294568,1711.9616685596795,1678.846349062335,1682.8603271832253,25880.0,872156000.0,3352,11,3356,59,33249.0,HC1410
2014-04-21,HC.SHF,1675.8358654716674,1687.877799834338,1675.8358654716674,1675.8358654716674,4146.0,138891000.0,3340,270,3342,33,32418.0,HC1410
2014-04-22,HC.SHF,1675.8358654716674,1688.8812943645607,1667.807909229887,1682.8603271832253,11979.0,400577760.0,3352,49,3354,27,30475.0,HC1410
2014-04-23,HC.SHF,1684.8673162436705,1699.919734197009,1673.8288764112224,1695.9057560761185,9922.0,333180760.0,3374,1,3388,16,29460.0,HC1410
2014-04-24,HC.SHF,1693.8987670156735,1703.933712317899,1688.8812943645607,1700.9232287272314,6324.0,213751200.0,3388,6,3390,4,29043.0,HC1410
2014-04-25,HC.SHF,1704.9372068481216,1705.940701378344,1691.8917779552282,1694.902261545896,4283.0,144851060.0,3376,5,3378,1,29285.0,HC1410
2014-04-28,HC.SHF,1691.8917779552282,1691.8917779552282,1672.8253818809999,1673.8288764112224,8677.0,289985340.0,3334,3,3336,2,28315.0,HC1410
