time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2014-03-24,HC1410,3314,3330,3266,3330,43405.0,1434101200.0,3328,5,3330,231,23808.0,3304,3324.0,1.0
2014-03-25,HC1410,3326,3400,3320,3378,59927.0,2012348660.0,3378,24,3380,27,30628.0,3358,3330.0,1.0
2014-03-26,HC1410,3370,3382,3354,3376,18938.0,637831840.0,3374,32,3376,142,30280.0,3368,3378.0,1.0
2014-03-27,HC1410,3368,3386,3350,3362,20115.0,676668600.0,3360,215,3362,3,30715.0,3364,3376.0,1.0
2014-03-28,HC1410,3376,3386,3360,3382,17145.0,578129400.0,3382,92,3384,17,31540.0,3372,3362.0,1.0
2014-03-31,HC1410,3396,3422,3382,3410,30485.0,1037099700.0,3410,41,3412,51,32820.0,3402,3382.0,1.0
2014-04-01,HC1410,3412,3418,3396,3414,8948.0,304768880.0,3412,146,3414,1,32068.0,3406,3410.0,1.0
2014-04-02,HC1410,3410,3426,3388,3390,14285.0,486261400.0,3390,42,3392,67,34350.0,3404,3414.0,1.0
2014-04-03,HC1410,3384,3414,3382,3410,10353.0,351794940.0,3404,39,3406,2,34205.0,3398,3390.0,1.0
2014-04-04,HC1410,3412,3440,3402,3440,10680.0,365469600.0,3438,4,3440,29,35047.0,3422,3410.0,1.0
2014-04-08,HC1410,3450,3488,3442,3480,20143.0,698559240.0,3480,76,3482,69,40436.0,3468,3440.0,1.0
2014-04-09,HC1410,3488,3488,3444,3452,16451.0,569533620.0,3454,1,3456,15,40917.0,3462,3480.0,1.0
2014-04-10,HC1410,3450,3470,3442,3446,9815.0,339206400.0,3444,5,3446,6,40616.0,3456,3452.0,1.0
2014-04-11,HC1410,3430,3452,3430,3434,6550.0,225320000.0,3436,1,3442,8,38420.0,3440,3446.0,1.0
2014-04-14,HC1410,3432,3464,3432,3438,6321.0,217821660.0,3438,54,3442,20,38510.0,3446,3434.0,1.0
2014-04-15,HC1410,3442,3448,3418,3448,10362.0,355416600.0,3446,6,3448,68,37762.0,3430,3438.0,1.0
2014-04-16,HC1410,3446,3446,3410,3418,9269.0,316814420.0,3418,1,3420,19,34076.0,3418,3448.0,1.0
2014-04-17,HC1410,3428,3428,3410,3412,2795.0,95533100.0,3412,33,3414,1,33702.0,3418,3418.0,1.0
2014-04-18,HC1410,3410,3412,3346,3354,25880.0,872156000.0,3352,11,3356,59,33249.0,3370,3412.0,1.0
2014-04-21,HC1410,3340,3364,3340,3340,4146.0,138891000.0,3340,270,3342,33,32418.0,3350,3354.0,1.0
2014-04-22,HC1410,3340,3366,3324,3354,11979.0,400577760.0,3352,49,3354,27,30475.0,3344,3340.0,1.0
2014-04-23,HC1410,3358,3388,3336,3380,9922.0,333180760.0,3374,1,3388,16,29460.0,3358,3354.0,1.0
2014-04-24,HC1410,3376,3396,3366,3390,6324.0,213751200.0,3388,6,3390,4,29043.0,3380,3380.0,1.0
2014-04-25,HC1410,3398,3400,3372,3378,4283.0,144851060.0,3376,5,3378,1,29285.0,3382,3390.0,1.0
2014-04-28,HC1410,3372,3372,3334,3336,8677.0,289985340.0,3334,3,3336,2,28315.0,3342,3378.0,1.0
2014-04-29,HC1410,3334,3374,3334,3360,4368.0,146677440.0,3360,34,3364,4,27846.0,3358,3336.0,1.0
2014-04-30,HC1410,3370,3370,3338,3344,4974.0,166330560.0,3342,150,3344,12,27605.0,3344,3360.0,1.0
2014-05-05,HC1410,3334,3362,3224,3352,5784.0,193185600.0,3354,3,3356,45,26863.0,3340,3344.0,1.0
2014-05-06,HC1410,3342,3364,3336,3344,2361.0,79093500.0,3342,3,3344,9,26490.0,3350,3352.0,1.0
2014-05-07,HC1410,3338,3358,3330,3332,4766.0,159184400.0,3330,52,3332,73,26392.0,3340,3344.0,1.0
2014-05-08,HC1410,3330,3338,3310,3312,6649.0,220746800.0,3312,3,3314,165,24822.0,3320,3332.0,1.0
2014-05-09,HC1410,3312,3330,3302,3318,4806.0,159463080.0,3318,1,3320,15,24675.0,3318,3312.0,1.0
2014-05-12,HC1410,3332,3336,3298,3336,5756.0,190868960.0,3332,3,3334,1,24132.0,3316,3318.0,1.0
2014-05-13,HC1410,3336,3346,3320,3326,3347.0,111522040.0,3324,3,3330,2,23913.0,3332,3336.0,1.0
2014-05-14,HC1410,3326,3330,3314,3324,3872.0,128472960.0,3322,1,3324,2,22508.0,3318,3326.0,1.0
2014-05-15,HC1410,3324,3328,3298,3300,2333.0,77268960.0,3298,7,3300,27,22369.0,3312,3324.0,1.0
2014-05-16,HC1410,3294,3300,3240,3272,5949.0,194651280.0,3264,4,3272,14,22089.0,3272,3300.0,1.0
2014-05-19,HC1410,3262,3284,3250,3264,3701.0,120948680.0,3262,2,3264,4,21930.0,3268,3272.0,1.0
2014-05-20,HC1410,3260,3276,3254,3262,1613.0,52648320.0,3262,1,3266,2,21896.0,3264,3264.0,1.0
2014-05-21,HC1410,3264,3284,3254,3274,2538.0,82891080.0,3266,15,3274,6,22028.0,3266,3262.0,1.0
2014-05-22,HC1410,3272,3314,3272,3280,2835.0,93328200.0,3278,10,3280,3,22015.0,3292,3274.0,1.0
2014-05-23,HC1410,3286,3294,3276,3282,1239.0,40688760.0,3280,2,3282,13,21923.0,3284,3280.0,1.0
2014-05-26,HC1410,3288,3330,3286,3326,3263.0,108201080.0,3324,2,3326,26,21979.0,3316,3282.0,1.0
2014-05-27,HC1410,3332,3370,3320,3340,8607.0,288162360.0,3340,33,3346,19,23904.0,3348,3326.0,1.0
2014-05-28,HC1410,3300,3342,3300,3312,3344.0,111154560.0,3310,9,3312,4,23700.0,3324,3340.0,1.0
2014-05-29,HC1410,3308,3324,3300,3308,2848.0,94268800.0,3300,135,3306,1,23502.0,3310,3312.0,1.0
2014-05-30,HC1410,3300,3300,3252,3264,5945.0,194401500.0,3262,15,3266,4,23206.0,3270,3308.0,1.0
2014-06-03,HC1410,3256,3290,3246,3268,5747.0,187926900.0,3262,16,3268,4,22996.0,3270,3264.0,1.0
2014-06-04,HC1410,3268,3276,3260,3262,3911.0,127811480.0,3262,16,3264,6,23068.0,3268,3268.0,1.0
2014-06-05,HC1410,3268,3284,3252,3270,6525.0,212976000.0,3268,1,3272,5,22093.0,3264,3262.0,1.0
2014-06-06,HC1410,3276,3282,3260,3282,2606.0,85216200.0,3280,6,3282,9,21718.0,3270,3270.0,1.0
2014-06-09,HC1410,3278,3282,3254,3262,5531.0,180642460.0,3260,12,3262,1,19969.0,3266,3282.0,1.0
2014-06-10,HC1410,3262,3272,3230,3268,4445.0,144551400.0,3264,3,3270,116,19716.0,3252,3262.0,1.0
2014-06-11,HC1410,3270,3278,3254,3260,2646.0,86312520.0,3258,5,3262,2,19698.0,3262,3268.0,1.0
2014-06-12,HC1410,3252,3256,3230,3246,6006.0,194834640.0,3242,10,3246,4,19826.0,3244,3260.0,1.0
2014-06-13,HC1410,3238,3258,3230,3248,6497.0,210892620.0,3244,1,3248,4,20335.0,3246,3246.0,1.0
2014-06-16,HC1410,3250,3250,3216,3226,9355.0,301979400.0,3224,17,3228,6,22719.0,3228,3248.0,1.0
2014-06-17,HC1410,3218,3246,3208,3238,3941.0,127294300.0,3236,14,3238,1,22080.0,3230,3226.0,1.0
2014-06-18,HC1410,3240,3276,3232,3264,9549.0,311106420.0,3262,36,3264,8,22596.0,3258,3238.0,1.0
2014-06-19,HC1410,3266,3280,3260,3264,8578.0,280672160.0,3264,43,3266,7,23735.0,3272,3264.0,1.0
2014-06-20,HC1410,3270,3286,3254,3278,9546.0,312154200.0,3276,1,3280,15,25424.0,3270,3264.0,1.0
2014-06-23,HC1410,3282,3304,3278,3298,4371.0,143893320.0,3298,3,3300,67,24781.0,3292,3278.0,1.0
2014-06-24,HC1410,3300,3300,3278,3282,3260.0,106993200.0,3280,8,3282,23,24411.0,3282,3298.0,1.0
2014-06-25,HC1410,3290,3292,3272,3288,3402.0,111721680.0,3286,11,3288,26,24609.0,3284,3282.0,1.0
2014-06-26,HC1410,3296,3320,3288,3320,5725.0,189497500.0,3318,8,3320,52,22859.0,3310,3288.0,1.0
2014-06-27,HC1410,3322,3328,3302,3304,2407.0,79767980.0,3302,30,3306,8,23033.0,3314,3320.0,1.0
2014-06-30,HC1410,3300,3308,3286,3286,2466.0,81131400.0,3286,124,3290,1,22380.0,3290,3304.0,1.0
2014-07-01,HC1410,3288,3296,3276,3294,1962.0,64392840.0,3288,30,3296,19,22230.0,3282,3286.0,1.0
2014-07-02,HC1410,3294,3312,3278,3308,3686.0,121564280.0,3306,47,3308,279,21623.0,3298,3294.0,1.0
2014-07-03,HC1410,3312,3328,3306,3310,3117.0,103359720.0,3306,87,3310,7,21952.0,3316,3308.0,1.0
2014-07-04,HC1410,3308,3314,3296,3306,2936.0,97064160.0,3306,1,3308,5,21462.0,3306,3310.0,1.0
2014-07-07,HC1410,3312,3312,3284,3294,2586.0,85234560.0,3294,2,3296,6,20837.0,3296,3306.0,1.0
2014-07-08,HC1410,3294,3314,3286,3312,3235.0,106690300.0,3312,2,3314,20,21572.0,3298,3294.0,1.0
2014-07-09,HC1410,3310,3316,3292,3298,2615.0,86504200.0,3298,67,3300,2,21560.0,3308,3312.0,1.0
