time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2013-10-21,I1405,976.0,977.0,960.0,969.0,47716.0,4614137200.0,968.0,544,969.0,54,34065.0,967.0,977.0,1.0
2013-10-22,I1405,963.0,966.0,948.0,948.0,45648.0,4363948800.0,948.0,1203,949.0,62,38002.0,956.0,969.0,1.0
2013-10-23,I1405,949.0,953.0,936.0,939.0,58245.0,5498328000.0,939.0,309,940.0,119,40581.0,944.0,948.0,1.0
2013-10-24,I1405,938.0,939.0,916.0,926.0,84514.0,7842899200.0,926.0,114,927.0,157,43936.0,928.0,939.0,1.0
2013-10-25,I1405,928.0,936.0,917.0,918.0,52030.0,4823181000.0,918.0,245,919.0,29,43236.0,927.0,926.0,1.0
2013-10-28,I1405,920.0,928.0,917.0,923.0,41895.0,3862719000.0,922.0,51,923.0,262,46740.0,922.0,918.0,1.0
2013-10-29,I1405,924.0,925.0,913.0,921.0,52938.0,4854414600.0,920.0,457,921.0,2,49529.0,917.0,923.0,1.0
2013-10-30,I1405,919.0,930.0,916.0,924.0,59136.0,5452339200.0,924.0,732,925.0,296,45631.0,922.0,921.0,1.0
2013-10-31,I1405,925.0,927.0,920.0,922.0,37336.0,3446112800.0,922.0,734,923.0,24,42410.0,923.0,924.0,1.0
2013-11-01,I1405,921.0,954.0,921.0,942.0,160621.0,15130498200.0,942.0,333,943.0,420,53791.0,942.0,922.0,1.0
2013-11-04,I1405,943.0,957.0,942.0,950.0,87540.0,8307546000.0,948.0,406,950.0,135,61149.0,949.0,942.0,1.0
2013-11-05,I1405,948.0,954.0,943.0,946.0,54192.0,5131982400.0,946.0,775,947.0,149,60971.0,947.0,950.0,1.0
2013-11-06,I1405,949.0,951.0,942.0,944.0,34681.0,3277354500.0,944.0,477,945.0,54,61825.0,945.0,946.0,1.0
2013-11-07,I1405,945.0,947.0,939.0,945.0,45838.0,4327107200.0,945.0,132,946.0,435,62479.0,944.0,944.0,1.0
2013-11-08,I1405,947.0,948.0,936.0,939.0,33170.0,3117980000.0,939.0,34,940.0,130,60266.0,940.0,945.0,1.0
2013-11-11,I1405,940.0,944.0,934.0,942.0,28782.0,2699751600.0,941.0,59,942.0,125,56171.0,938.0,939.0,1.0
2013-11-12,I1405,940.0,944.0,936.0,943.0,22797.0,2140638300.0,942.0,96,943.0,30,53969.0,939.0,942.0,1.0
2013-11-13,I1405,941.0,952.0,940.0,943.0,48242.0,4563693200.0,943.0,28,944.0,148,55406.0,946.0,943.0,1.0
2013-11-14,I1405,940.0,944.0,937.0,937.0,27876.0,2620344000.0,937.0,700,938.0,57,51723.0,940.0,943.0,1.0
2013-11-15,I1405,939.0,942.0,930.0,931.0,38007.0,3553654500.0,931.0,317,932.0,750,51376.0,935.0,937.0,1.0
2013-11-18,I1405,931.0,935.0,925.0,932.0,26352.0,2450736000.0,932.0,266,933.0,331,49689.0,930.0,931.0,1.0
2013-11-19,I1405,931.0,943.0,930.0,942.0,30082.0,2815675200.0,942.0,45,943.0,166,53452.0,936.0,932.0,1.0
2013-11-20,I1405,943.0,946.0,940.0,942.0,21726.0,2046589200.0,942.0,71,943.0,154,52114.0,942.0,942.0,1.0
2013-11-21,I1405,942.0,943.0,932.0,932.0,20661.0,1931803500.0,932.0,1083,933.0,6,52545.0,935.0,942.0,1.0
2013-11-22,I1405,934.0,935.0,929.0,931.0,26296.0,2450787200.0,931.0,623,932.0,37,53046.0,932.0,932.0,1.0
2013-11-25,I1405,933.0,936.0,928.0,933.0,19098.0,1779933600.0,933.0,82,934.0,472,52094.0,932.0,931.0,1.0
2013-11-26,I1405,934.0,943.0,934.0,941.0,36325.0,3410917500.0,940.0,88,941.0,127,54081.0,939.0,933.0,1.0
2013-11-27,I1405,940.0,942.0,933.0,936.0,15307.0,1432735200.0,936.0,7,937.0,140,53268.0,936.0,941.0,1.0
2013-11-28,I1405,933.0,940.0,933.0,939.0,13610.0,1275257000.0,938.0,26,939.0,576,52864.0,937.0,936.0,1.0
2013-11-29,I1405,939.0,945.0,939.0,939.0,16682.0,1569776200.0,939.0,66,940.0,222,53209.0,941.0,939.0,1.0
2013-12-02,I1405,940.0,941.0,934.0,936.0,20760.0,1943136000.0,937.0,5,938.0,83,54372.0,936.0,939.0,1.0
2013-12-03,I1405,938.0,941.0,936.0,939.0,17713.0,1661479400.0,939.0,326,940.0,106,52668.0,938.0,936.0,1.0
2013-12-04,I1405,942.0,955.0,941.0,952.0,47210.0,4480229000.0,951.0,257,952.0,160,57191.0,949.0,939.0,1.0
2013-12-05,I1405,953.0,956.0,944.0,945.0,26495.0,2511726000.0,944.0,406,945.0,168,57269.0,948.0,952.0,1.0
2013-12-06,I1405,944.0,945.0,938.0,941.0,20022.0,1882068000.0,940.0,154,941.0,64,54215.0,940.0,945.0,1.0
2013-12-09,I1405,941.0,946.0,940.0,945.0,9695.0,914238500.0,945.0,15,946.0,217,56189.0,943.0,941.0,1.0
2013-12-10,I1405,946.0,947.0,942.0,942.0,8450.0,796835000.0,942.0,891,943.0,16,54863.0,943.0,945.0,1.0
2013-12-11,I1405,942.0,942.0,934.0,937.0,19492.0,1824451200.0,936.0,3,937.0,139,54066.0,936.0,942.0,1.0
2013-12-12,I1405,936.0,938.0,930.0,930.0,17747.0,1657569800.0,930.0,318,931.0,509,54472.0,934.0,937.0,1.0
2013-12-13,I1405,927.0,927.0,905.0,914.0,45697.0,4167566400.0,913.0,47,914.0,301,58370.0,912.0,930.0,1.0
2013-12-16,I1405,913.0,923.0,912.0,918.0,19835.0,1820853000.0,917.0,494,918.0,131,60656.0,918.0,914.0,1.0
2013-12-17,I1405,918.0,920.0,908.0,910.0,12291.0,1125855600.0,908.0,75,910.0,83,62356.0,916.0,918.0,1.0
2013-12-18,I1405,908.0,913.0,902.0,906.0,35612.0,3230008400.0,906.0,619,907.0,78,64094.0,907.0,910.0,1.0
2013-12-19,I1405,909.0,913.0,907.0,908.0,15149.0,1377044100.0,908.0,99,909.0,184,64133.0,909.0,906.0,1.0
