time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2015-04-17,IC1505,7722.0,7918.8,7631.2,7758.2,114214,178251505519.99997,7756.2,1,7759.6,1,9144,7803.4,7707.8,1.0
2015-04-20,IC1505,7760.0,7857.0,7582.0,7622.2,98781,150565951440.0,7621.8,9,7622.2,1,10706,7621.2,7758.2,1.0
2015-04-21,IC1505,7650.2,8147.0,7640.2,8140.4,132545,213545900400.0,8138.8,1,8139.2,7,16732,8055.6,7622.2,1.0
2015-04-22,IC1505,8158.0,8237.8,8104.4,8189.8,121034,198427980960.0,8188.8,1,8190.2,2,14854,8197.2,8140.4,1.0
2015-04-23,IC1505,8193.0,8378.8,8160.4,8265.6,132278,218692571840.0,8265.2,12,8266.0,46,14805,8266.4,8189.8,1.0
2015-04-24,IC1505,8247.8,8349.8,8123.8,8327.2,126381,209984559120.0,8327.2,1,8327.8,6,14603,8307.6,8265.6,1.0
2015-04-27,IC1505,8368.0,8548.0,8292.0,8347.2,125335,209600227200.0,8346.6,8,8347.2,5,15187,8361.6,8327.2,1.0
2015-04-28,IC1505,8308.0,8419.0,8011.6,8147.0,164120,265460817600.0,8147.2,1,8149.4,3,15900,8087.4,8347.2,1.0
2015-04-29,IC1505,8138.0,8309.0,8079.0,8302.2,134158,222063687920.00003,8302.2,1,8306.0,1,17677,8276.2,8147.0,1.0
2015-04-30,IC1505,8320.0,8408.0,8291.2,8338.8,120118,200726787440.0,8338.8,4,8339.4,3,16354,8355.4,8302.2,1.0
2015-05-04,IC1505,8370.2,8527.4,8202.4,8347.2,101734,169334208319.99997,8345.8,1,8348.6,1,16271,8322.4,8338.8,1.0
2015-05-05,IC1505,8334.8,8345.0,8090.0,8145.0,109987,179041238080.0,8145.0,53,8145.2,1,15884,8139.2,8347.2,1.0
2015-05-06,IC1505,8168.0,8280.6,7970.0,8040.8,111973,180464644640.0,8037.4,1,8040.8,8,15456,8058.4,8145.0,1.0
2015-05-07,IC1505,8020.0,8068.0,7901.0,7911.4,109599,173793326280.00003,7910.6,1,7911.4,1,15127,7928.6,8040.8,1.0
2015-05-08,IC1505,7933.4,8171.4,7921.0,8171.2,121062,196193077200.0,8171.2,3,8174.4,1,16258,8103.0,7911.4,1.0
2015-05-11,IC1505,8170.0,8508.0,8144.0,8489.8,124722,210595591440.0,8487.6,3,8490.2,1,16314,8442.6,8171.2,1.0
2015-05-12,IC1505,8499.6,8648.0,8415.4,8647.8,152019,261399710880.00003,8645.0,28,8647.8,1,14671,8597.6,8489.8,1.0
2015-05-13,IC1505,8595.0,8779.0,8492.0,8695.8,189658,329655949280.0,8695.6,2,8699.0,1,14624,8690.8,8647.8,1.0
2015-05-14,IC1506,8530.0,8680.0,8477.6,8603.0,133372,229234458720.0,8600.2,2,8603.0,4,23309,8593.8,8571.6,1.0144897102057957
2015-05-15,IC1506,8610.0,8718.0,8482.0,8579.8,182662,316056405360.0,8578.2,34,8579.8,3,28064,8651.4,8603.0,1.0144897102057957
