time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2010-04-19,IF.CFE,2512.146529566909,2513.626003377019,2342.154988785261,2365.2347802229783,109733,105383183879.99998,3197.4,2,3197.8,9,3954,IF1005
2010-04-20,IF.CFE,2373.963675702628,2396.7475723783227,2344.0783047384043,2377.958254989925,141862,136893992760.0,3214.6,6,3215.0,2,3954,IF1005
2010-04-21,IF.CFE,2378.254149751947,2427.2247328665903,2373.075991416562,2416.86841619582,114531,112217473800.0,3267.0,2,3267.2,39,4496,IF1005
2010-04-22,IF.CFE,2411.6902578604345,2422.1945219122163,2375.295202131727,2393.9365721391137,133247,129516084000.0,3236.2,10,3236.4,1,5062,IF1005
2010-04-23,IF.CFE,2397.487309283378,2415.980731909754,2382.6925711822773,2382.8405185632882,116981,113551117079.99998,3221.0,8,3221.2,7,5383,IF1005
2010-04-26,IF.CFE,2398.966783093488,2405.6244152389836,2375.886991655771,2381.6569395152,112229,108574823760.00002,3219.2,8,3220.0,15,5808,IF1005
2010-04-27,IF.CFE,2368.0457804621874,2370.8567807013965,2298.806406149036,2321.886197586753,139961,131079074940.0,3138.8,1,3139.0,3,7079,IF1005
2010-04-28,IF.CFE,2294.3679847187054,2324.697197825962,2288.893931621298,2314.6367759172135,128530,120797635200.0,3128.8,1,3129.2,4,7386,IF1005
2010-04-29,IF.CFE,2323.513618777874,2335.7932514017875,2280.0170887606378,2281.200667808726,116254,108618437280.0,3083.0,16,3083.8,4,7092,IF1005
2010-04-30,IF.CFE,2295.4036163857827,2307.6832490096963,2251.0194020824806,2298.3625640060027,184157,170702489580.0,3107.0,2,3109.2,5,8297,IF1005
2010-05-04,IF.CFE,2278.241720188506,2289.0418790023095,2264.18671899246,2275.7266147113187,150123,138236260860.0,3076.2,4,3076.4,2,8297,IF1005
2010-05-05,IF.CFE,2253.534507559668,2283.5678259049023,2242.14255922182,2275.7266147113187,145542,134419680360.0,3076.4,1,3076.6,10,8261,IF1005
2010-05-06,IF.CFE,2277.3540359024396,2280.904773046704,2184.88692277056,2195.0952920603195,170221,151799683380.0,2967.4,7,2967.6,10,10150,IF1005
2010-05-07,IF.CFE,2165.949658001151,2189.4732915819013,2117.2749696485293,2143.461656087478,240106,208604092800.0,2897.0,20,2897.6,1,10150,IF1005
2010-05-10,IF.CFE,2152.6343937101606,2168.1688687163164,2123.044917507959,2158.5522889506005,201919,176396438400.0,2917.4,18,2918.0,4,8282,IF1005
2010-05-11,IF.CFE,2181.484133007307,2187.9938177717913,2069.192070819952,2072.446913202194,224626,189790999920.0,2801.4,1,2801.6,3,8987,IF1005
2010-05-12,IF.CFE,2077.920966299602,2111.9488639321335,2057.9480698631155,2098.0418101170985,273131,231822667560.0,2836.0,1,2836.2,3,8144,IF1005
2010-05-13,IF.CFE,2106.622758215737,2156.7769203784687,2088.277282970372,2141.242445372313,217422,189339774480.0,2894.6,3,2894.8,1,8276,IF1005
2010-05-14,IF.CFE,2130.4422865585093,2141.390392753324,2108.5460741688803,2117.5708644105516,185453,159185437080.0,2862.0,16,2862.8,7,6237,IF1005
2010-05-17,IF.CFE,2100.8528103563076,2101.0007577373185,2003.2075388890428,2011.3446448446482,117625,96250185000.0,2719.0,2,2719.2,1,4126,IF1005
2010-05-18,IF.CFE,2003.5132265242864,2104.139563810446,2001.0012621573776,2076.360193164634,261582,221157117720.0,2809.8,84,2810.8,6,11428,IF1006
2010-05-19,IF.CFE,2053.3092260330022,2112.266507350444,2020.0626388239186,2057.4465791079106,340531,285841721400.0,2784.8,2,2785.0,5,12817,IF1006
2010-05-20,IF.CFE,2069.415350503181,2101.7753620533554,2025.9731432166448,2041.4882172475504,293133,242819651880.0,2763.2,8,2764.0,1,14774,IF1006
2010-05-21,IF.CFE,1996.272858643197,2070.745213991544,1977.8025324159282,2069.415350503181,307325,257138827500.0,2800.8,26,2801.0,4,13329,IF1006
2010-05-24,IF.CFE,2079.01992014136,2167.2341982027956,2074.5870418468157,2144.035468461346,300512,262220760960.0,2901.8,4,2902.0,3,15770,IF1006
2010-05-25,IF.CFE,2127.78158138135,2134.5786614329845,2076.803480994088,2078.428869702088,288927,245611064160.0,2813.0,18,2813.2,2,15644,IF1006
2010-05-26,IF.CFE,2102.8097003220823,2126.895005722441,2081.6796471180874,2097.9335341980836,326246,276884980200.0,2839.0,5,2839.6,4,15219,IF1006
2010-05-27,IF.CFE,2087.146863681359,2149.798210244254,2061.2884069631828,2143.592180631892,325500,282833460000.0,2901.4,18,2901.8,1,16397,IF1006
2010-05-28,IF.CFE,2164.722233835887,2173.587990424976,2107.8336290558996,2116.8471482548066,306690,264041688600.0,2865.2,2,2865.4,1,16764,IF1006
2010-05-31,IF.CFE,2105.617189908627,2141.671266704256,2058.4809173766375,2062.766033061364,337678,284844900120.0,2791.8,3,2792.0,5,18662,IF1006
2010-06-01,IF.CFE,2053.900276472275,2083.8960862653594,2018.4372501159194,2040.6016415886415,420130,347943263400.0,2761.8,1,2762.0,2,17746,IF1006
2010-06-02,IF.CFE,2037.6463893922787,2054.9346147410024,2008.2416300384668,2051.2405494955483,343923,284974597800.0,2776.2,6,2776.6,29,18691,IF1006
