time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2010-04-19,IF1005,3396.0,3398.0,3166.2,3197.4,109733,105383183879.99998,3197.4,2,3197.8,9,3954,3201.2,3415.6,1.0
2010-04-20,IF1005,3209.2,3240.0,3168.8,3214.6,141862,136893992760.0,3214.6,6,3215.0,2,3954,3216.6,3197.4,1.0
2010-04-21,IF1005,3215.0,3281.2,3208.0,3267.2,114531,112217473800.0,3267.0,2,3267.2,39,4496,3266.0,3214.6,1.0
2010-04-22,IF1005,3260.2,3274.4,3211.0,3236.2,133247,129516084000.0,3236.2,10,3236.4,1,5062,3240.0,3267.2,1.0
2010-04-23,IF1005,3241.0,3266.0,3221.0,3221.2,116981,113551117079.99998,3221.0,8,3221.2,7,5383,3235.6,3236.2,1.0
2010-04-26,IF1005,3243.0,3252.0,3211.8,3219.6,112229,108574823760.00002,3219.2,8,3220.0,15,5808,3224.8,3221.2,1.0
2010-04-27,IF1005,3201.2,3205.0,3107.6,3138.8,139961,131079074940.0,3138.8,1,3139.0,3,7079,3121.8,3219.6,1.0
2010-04-28,IF1005,3101.6,3142.6,3094.2,3129.0,128530,120797635200.0,3128.8,1,3129.2,4,7386,3132.8,3138.8,1.0
2010-04-29,IF1005,3141.0,3157.6,3082.2,3083.8,116254,108618437280.0,3083.0,16,3083.8,4,7092,3114.4,3129.0,1.0
2010-04-30,IF1005,3103.0,3119.6,3043.0,3107.0,184157,170702489580.0,3107.0,2,3109.2,5,8297,3089.8,3083.8,1.0
2010-05-04,IF1005,3079.8,3094.4,3060.8,3076.4,150123,138236260860.0,3076.2,4,3076.4,2,8297,3069.4,3107.0,1.0
2010-05-05,IF1005,3046.4,3087.0,3031.0,3076.4,145542,134419680360.0,3076.4,1,3076.6,10,8261,3078.6,3076.4,1.0
2010-05-06,IF1005,3078.6,3083.4,2953.6,2967.4,170221,151799683380.0,2967.4,7,2967.6,10,10150,2972.6,3076.4,1.0
2010-05-07,IF1005,2928.0,2959.8,2862.2,2897.6,240106,208604092800.0,2897.0,20,2897.6,1,10150,2896.0,2967.4,1.0
2010-05-10,IF1005,2910.0,2931.0,2870.0,2918.0,201919,176396438400.0,2917.4,18,2918.0,4,8282,2912.0,2897.6,1.0
2010-05-11,IF1005,2949.0,2957.8,2797.2,2801.6,224626,189790999920.0,2801.4,1,2801.6,3,8987,2816.4,2918.0,1.0
2010-05-12,IF1005,2809.0,2855.0,2782.0,2836.2,273131,231822667560.0,2836.0,1,2836.2,3,8144,2829.2,2801.6,1.0
2010-05-13,IF1005,2847.8,2915.6,2823.0,2894.6,217422,189339774480.0,2894.6,3,2894.8,1,8276,2902.8,2836.2,1.0
2010-05-14,IF1005,2880.0,2894.8,2850.4,2862.6,185453,159185437080.0,2862.0,16,2862.8,7,6237,2861.2,2894.6,1.0
2010-05-17,IF1005,2840.0,2840.2,2708.0,2719.0,117625,96250185000.0,2719.0,2,2719.2,1,4126,2727.6,2862.6,1.0
2010-05-18,IF1006,2711.8,2848.0,2708.4,2810.4,261582,221157117720.0,2809.8,84,2810.8,6,11428,2818.2,2722.4,0.998751101968851
2010-05-19,IF1006,2779.2,2859.0,2734.2,2784.8,340531,285841721400.0,2784.8,2,2785.0,5,12817,2798.0,2810.4,0.998751101968851
2010-05-20,IF1006,2801.0,2844.8,2742.2,2763.2,293133,242819651880.0,2763.2,8,2764.0,1,14774,2761.2,2784.8,0.998751101968851
2010-05-21,IF1006,2702.0,2802.8,2677.0,2801.0,307325,257138827500.0,2800.8,26,2801.0,4,13329,2789.0,2763.2,0.998751101968851
2010-05-24,IF1006,2814.0,2933.4,2808.0,2902.0,300512,262220760960.0,2901.8,4,2902.0,3,15770,2908.6,2801.0,0.998751101968851
2010-05-25,IF1006,2880.0,2889.2,2811.0,2813.2,288927,245611064160.0,2813.0,18,2813.2,2,15644,2833.6,2902.0,0.998751101968851
2010-05-26,IF1006,2846.2,2878.8,2817.6,2839.6,326246,276884980200.0,2839.0,5,2839.6,4,15219,2829.0,2813.2,0.998751101968851
2010-05-27,IF1006,2825.0,2909.8,2790.0,2901.4,325500,282833460000.0,2901.4,18,2901.8,1,16397,2896.4,2839.6,0.998751101968851
2010-05-28,IF1006,2930.0,2942.0,2853.0,2865.2,306690,264041688600.0,2865.2,2,2865.4,1,16764,2869.8,2901.4,0.998751101968851
2010-05-31,IF1006,2850.0,2898.8,2786.2,2792.0,337678,284844900120.0,2791.8,3,2792.0,5,18662,2811.8,2865.2,0.998751101968851
2010-06-01,IF1006,2780.0,2820.6,2732.0,2762.0,420130,347943263400.0,2761.8,1,2762.0,2,17746,2760.6,2792.0,0.998751101968851
2010-06-02,IF1006,2758.0,2781.4,2718.2,2776.4,343923,284974597800.0,2776.2,6,2776.6,29,18691,2762.0,2762.0,0.998751101968851
2010-06-03,IF1006,2799.8,2807.0,2741.0,2748.0,342961,284259795240.0,2747.4,1,2748.0,27,18712,2762.8,2776.4,0.998751101968851
2010-06-04,IF1006,2740.0,2767.8,2722.2,2761.0,324387,268164245160.0,2760.8,2,2761.0,9,18712,2755.6,2748.0,0.998751101968851
2010-06-07,IF1006,2700.0,2718.0,2680.0,2706.2,289681,235058750640.00003,2706.0,6,2706.2,2,15673,2704.8,2761.0,0.998751101968851
2010-06-08,IF1006,2709.8,2726.0,2683.0,2724.4,225087,182279954340.00003,2724.8,1,2725.6,1,16526,2699.4,2706.2,0.998751101968851
2010-06-09,IF1006,2720.4,2808.0,2700.4,2788.8,314559,262908412200.0,2788.8,16,2789.0,8,16740,2786.0,2724.4,0.998751101968851
2010-06-10,IF1006,2776.0,2791.0,2763.0,2769.6,232630,193455108000.0,2769.4,1,2769.8,3,14040,2772.0,2788.8,0.998751101968851
2010-06-11,IF1006,2788.0,2796.8,2765.0,2765.8,169575,141069442500.0,2765.8,1,2766.0,3,10034,2773.0,2769.6,0.998751101968851
2010-06-17,IF1006,2779.0,2784.4,2743.0,2744.2,29949,24747457680.000004,2743.4,1,2744.8,1,4417,2754.4,2765.8,0.998751101968851
2010-06-18,IF1007,2762.4,2779.0,2705.8,2718.2,249981,204539453820.0,2718.2,18,2718.8,17,19752,2727.4,2762.6,0.9920990277357999
2010-06-21,IF1007,2749.2,2816.6,2718.0,2804.8,277989,234278009640.0,2804.6,19,2805.0,15,21545,2809.2,2718.2,0.9920990277357999
2010-06-22,IF1007,2795.6,2815.0,2793.2,2797.6,220831,185471540280.0,2797.6,17,2798.0,6,19828,2799.6,2804.8,0.9920990277357999
2010-06-23,IF1007,2785.0,2801.6,2743.0,2765.2,238316,197440039680.0,2765.0,55,2765.2,2,19132,2761.6,2797.6,0.9920990277357999
2010-06-24,IF1007,2771.0,2810.0,2750.0,2771.0,297949,247309587960.0,2771.0,5,2771.4,15,18877,2766.8,2765.2,0.9920990277357999
2010-06-25,IF1007,2759.0,2772.8,2736.0,2753.8,249654,206114342400.0,2753.8,3,2754.0,94,18599,2752.0,2771.0,0.9920990277357999
