time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2011-04-18,J1109,2233.0,2388.0,2233.0,2381.0,66351.0,15552674400.0,2380.0,40,2383.0,18,9744.0,2344.0,2247.0,1.0
2011-04-19,J1109,2375.0,2384.0,2320.0,2336.0,102231.0,23962946400.0,2336.0,10,2337.0,7,11635.0,2344.0,2381.0,1.0
2011-04-20,J1109,2350.0,2395.0,2328.0,2343.0,87753.0,20639505600.0,2342.0,68,2343.0,31,11742.0,2352.0,2336.0,1.0
2011-04-21,J1109,2353.0,2363.0,2323.0,2335.0,48788.0,11445664800.0,2335.0,7,2336.0,95,11123.0,2346.0,2343.0,1.0
2011-04-22,J1109,2336.0,2351.0,2297.0,2330.0,64109.0,14866877100.0,2329.0,22,2330.0,83,9440.0,2319.0,2335.0,1.0
2011-04-25,J1109,2340.0,2359.0,2317.0,2329.0,32477.0,7580131800.0,2329.0,10,2330.0,24,9019.0,2334.0,2330.0,1.0
2011-04-26,J1109,2315.0,2329.0,2303.0,2322.0,22168.0,5134108800.0,2322.0,18,2323.0,4,8926.0,2316.0,2329.0,1.0
2011-04-27,J1109,2332.0,2339.0,2315.0,2320.0,16019.0,3727621300.0,2320.0,6,2321.0,56,8178.0,2327.0,2322.0,1.0
2011-04-28,J1109,2330.0,2347.0,2326.0,2337.0,13143.0,3068890500.0,2336.0,106,2337.0,10,7095.0,2335.0,2320.0,1.0
2011-04-29,J1109,2337.0,2343.0,2323.0,2329.0,8827.0,2058456400.0,2329.0,49,2330.0,5,5881.0,2332.0,2337.0,1.0
2011-05-03,J1109,2330.0,2354.0,2326.0,2344.0,13297.0,3114157400.0,2343.0,38,2345.0,14,6438.0,2342.0,2329.0,1.0
2011-05-04,J1109,2341.0,2346.0,2320.0,2329.0,7259.0,1692072900.0,2329.0,4,2330.0,66,5391.0,2331.0,2344.0,1.0
2011-05-05,J1109,2309.0,2319.0,2293.0,2308.0,6948.0,1603598400.0,2306.0,24,2308.0,1,5368.0,2308.0,2329.0,1.0
2011-05-06,J1109,2255.0,2289.0,2255.0,2271.0,7368.0,1675483200.0,2270.0,7,2271.0,5,5103.0,2274.0,2308.0,1.0
2011-05-09,J1109,2280.0,2284.0,2273.0,2280.0,3620.0,824636000.0,2279.0,1,2280.0,8,4646.0,2278.0,2271.0,1.0
2011-05-10,J1109,2285.0,2288.0,2275.0,2287.0,3945.0,899854500.0,2285.0,16,2287.0,12,4145.0,2281.0,2280.0,1.0
