time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2013-11-11,JD.DCE,8913.765043980493,8916.003558557082,8801.839315151003,8821.985946340312,74430.0,2939240700.0,3941,9,3942,176,22066.0,JD1405
2013-11-12,JD.DCE,8819.74743176372,8886.902869061414,8801.839315151003,8844.371092106208,46698.0,1847839860.0,3950,195,3951,1,19406.0,JD1405
2013-11-13,JD.DCE,8833.17851922326,8886.902869061414,8808.554858880772,8846.6096066828,31074.0,1229908920.0,3952,15,3953,56,18300.0,JD1405
2013-11-14,JD.DCE,8860.040694142337,8871.233267025285,8817.508917187131,8857.802179565748,18659.0,737403680.0,3956,96,3957,1,16116.0,JD1405
2013-11-15,JD.DCE,8853.325150412567,8987.636025007954,8851.086635835978,8983.158995854776,66756.0,2666234640.0,4013,24,4014,23,21549.0,JD1405
2013-11-18,JD.DCE,8987.636025007954,9041.36037484611,8960.773850088877,9018.975229080212,54093.0,2177243250.0,4028,102,4029,267,25088.0,JD1405
2013-11-19,JD.DCE,9010.021170773853,9034.64483111634,8980.920481278185,9005.544141620672,31133.0,1252480590.0,4023,29,4024,75,21500.0,JD1405
2013-11-20,JD.DCE,9010.021170773853,9061.507006035417,8989.874539584545,9034.64483111634,29806.0,1202970160.0,4035,5,4036,60,21762.0,JD1405
2013-11-21,JD.DCE,9041.36037484611,9041.36037484611,8965.250879242058,8976.443452125006,20370.0,819077700.0,4010,73,4011,145,17962.0,JD1405
2013-11-22,JD.DCE,8980.920481278185,9043.5988894227,8967.489393818647,8994.351568737724,20404.0,821056960.0,4017,6,4018,3,17695.0,JD1405
2013-11-25,JD.DCE,9001.067112467494,9352.513900992088,9001.067112467494,9330.128755226191,137521.0,5690618980.0,4168,67,4169,131,35378.0,JD1405
2013-11-26,JD.DCE,9334.60578437937,9356.990930145268,9278.642919964626,9316.697667766652,75154.0,3127157940.0,4162,4,4163,30,31982.0,JD1405
2013-11-27,JD.DCE,9325.65172607301,9343.559842685729,9229.395599279651,9262.973317928498,59664.0,2473072800.0,4137,70,4138,20,29518.0,JD1405
2013-11-28,JD.DCE,9262.973317928498,9386.091619640934,9262.973317928498,9343.559842685729,94389.0,3934133520.0,4173,23,4174,124,34113.0,JD1405
2013-11-29,JD.DCE,9354.752415568679,9368.183503028216,9303.266580307114,9339.08281353255,45035.0,1877959500.0,4171,40,4172,110,33269.0,JD1405
2013-12-02,JD.DCE,9341.32132810914,9379.376075911166,9292.074007424164,9316.697667766652,29260.0,1219556800.0,4162,1,4163,54,33012.0,JD1405
2013-12-03,JD.DCE,9312.220638613473,9392.807163370704,9267.450347081676,9318.936182343241,81321.0,3390272490.0,4162,5,4163,8,34403.0,JD1405
2013-12-04,JD.DCE,9325.65172607301,9348.036871838909,9289.835492847575,9296.551036577344,33069.0,1375670400.0,4152,69,4153,70,34214.0,JD1405
2013-12-05,JD.DCE,9301.028065730523,9359.229444721857,9287.596978270985,9309.982124036882,43208.0,1799613200.0,4158,2,4159,24,33128.0,JD1405
2013-12-06,JD.DCE,9312.220638613473,9356.990930145268,9198.056395207394,9247.303715892369,46543.0,1928276490.0,4130,302,4131,37,30388.0,JD1405
2013-12-09,JD.DCE,9262.973317928498,9289.835492847575,9245.06520131578,9254.019259622139,21513.0,890423070.0,4133,4,4134,14,30479.0,JD1405
2013-12-10,JD.DCE,9274.165890811446,9379.376075911166,9254.019259622139,9301.028065730523,70812.0,2947903560.0,4153,88,4156,75,32134.0,JD1405
2013-12-11,JD.DCE,9314.459153190062,9345.79835726232,9287.596978270985,9301.028065730523,34321.0,1428440020.0,4154,33,4155,138,31810.0,JD1405
2013-12-12,JD.DCE,9309.982124036882,9339.08281353255,9276.404405388035,9296.551036577344,28034.0,1166214400.0,4152,29,4153,24,31062.0,JD1405
2013-12-13,JD.DCE,9283.119949117805,9305.505094883703,9155.524618252188,9180.148278594676,39445.0,1625528450.0,4100,64,4101,1,29800.0,JD1405
2013-12-16,JD.DCE,9202.533424360574,9220.441540973292,9137.61650163947,9151.04758909901,26925.0,1103655750.0,4087,93,4088,71,30266.0,JD1405
2013-12-17,JD.DCE,9157.763132828777,9233.87262843283,9157.763132828777,9193.579366054215,28425.0,1167983250.0,4107,25,4108,94,29431.0,JD1405
2013-12-18,JD.DCE,9180.148278594676,9227.157084703062,9164.478676558547,9173.432734864906,20219.0,830192140.0,4097,68,4098,34,29797.0,JD1405
2013-12-19,JD.DCE,9162.240161981957,9162.240161981957,8868.994752448696,8929.43464601662,110719.0,4428760000.0,3989,118,3990,244,33299.0,JD1405
2013-12-20,JD.DCE,8889.141383638005,8954.058306359108,8880.187325331646,8913.765043980493,41101.0,1636641820.0,3981,11,3982,21,28362.0,JD1405
2013-12-23,JD.DCE,8857.802179565748,8893.618412791184,8804.077829727594,8884.664354484825,34680.0,1372287600.0,3968,17,3969,7,28645.0,JD1405
2013-12-24,JD.DCE,8871.233267025285,8940.62721889957,8866.756237872107,8913.765043980493,28708.0,1143152560.0,3982,5,3983,25,28072.0,JD1405
2013-12-25,JD.DCE,8920.48058771026,9005.544141620672,8909.288014827313,8942.86573347616,31000.0,1240930000.0,3994,42,3995,32,28106.0,JD1405
2013-12-26,JD.DCE,8954.058306359108,8992.113054161135,8860.040694142337,8893.618412791184,33864.0,1345416720.0,3973,2,3974,34,27933.0,JD1405
2013-12-27,JD.DCE,8891.379898214595,8938.388704322979,8875.710296178466,8882.425839908236,18550.0,738104500.0,3967,2,3968,6,27277.0,JD1405
2013-12-30,JD.DCE,8886.902869061414,8967.489393818647,8880.187325331646,8918.242073133672,23617.0,941845960.0,3984,10,3985,57,26030.0,JD1405
2013-12-31,JD.DCE,8911.526529403902,8954.058306359108,8817.508917187131,8844.371092106208,30161.0,1195582040.0,3951,63,3952,11,27492.0,JD1405
2014-01-02,JD.DCE,8844.371092106208,8904.810985674132,8821.985946340312,8898.095441944364,15768.0,625358880.0,3974,50,3975,6,26713.0,JD1405
2014-01-03,JD.DCE,8949.581277205929,9034.64483111634,8909.288014827313,8987.636025007954,51297.0,2059061580.0,4015,21,4016,45,27733.0,JD1405
2014-01-06,JD.DCE,8965.250879242058,9007.782656197263,8819.74743176372,8826.46297549349,38373.0,1531082700.0,3943,14,3944,47,28442.0,JD1405
2014-01-07,JD.DCE,8577.987857492026,8772.738625655336,8577.987857492026,8651.858838519489,51399.0,1988627310.0,3865,6,3866,19,26042.0,JD1405
2014-01-08,JD.DCE,8660.812896825848,8694.390615474695,8602.611517834514,8633.95072190677,23081.0,890234170.0,3856,58,3857,50,25559.0,JD1405
2014-01-09,JD.DCE,8618.281119870642,8685.436557168336,8524.26350765387,8564.556770032486,32694.0,1255449600.0,3824,56,3826,7,27117.0,JD1405
2014-01-10,JD.DCE,8555.602711726127,8611.565576140873,8539.933109689999,8577.987857492026,19195.0,735360450.0,3831,3,3832,22,26742.0,JD1405
2014-01-13,JD.DCE,8573.510828338845,8640.666265636539,8542.17162426659,8564.556770032486,20816.0,798085440.0,3825,22,3826,19,26506.0,JD1405
2014-01-14,JD.DCE,8582.464886645204,8674.243984285386,8566.795284609077,8651.858838519489,20413.0,785696370.0,3864,9,3865,5,25082.0,JD1405
2014-01-15,JD.DCE,8654.097353096078,8654.097353096078,8551.125682572949,8569.033799185667,26189.0,1004348150.0,3827,40,3828,34,27261.0,JD1405
2014-01-16,JD.DCE,8584.703401221796,8589.180430374974,8430.2458954371,8439.199953743459,44549.0,1686179650.0,3769,7,3770,20,32355.0,JD1405
2014-01-17,JD.DCE,8439.199953743459,8472.777672392305,8396.668176788253,8457.108070356178,28374.0,1070551020.0,3778,17,3779,28,31210.0,JD1405
2014-01-20,JD.DCE,8443.676982896639,8524.26350765387,8443.676982896639,8463.823614085946,24669.0,935201790.0,3781,34,3783,60,29876.0,JD1405
2014-01-21,JD.DCE,8441.43846832005,8443.676982896639,8338.46679779692,8358.613428986228,26109.0,976476600.0,3734,76,3735,16,30268.0,JD1405
2014-01-22,JD.DCE,8349.659370679869,8351.897885256458,8206.394437778123,8273.549875075816,56534.0,2089496640.0,3695,46,3696,4,31677.0,JD1405
2014-01-23,JD.DCE,8255.641758463098,8329.51273949056,8251.164729309918,8295.935020841713,19617.0,727006020.0,3706,160,3707,23,31327.0,JD1405
2014-01-24,JD.DCE,8282.503933382175,8322.797195760792,8228.779583544021,8289.219477111945,22387.0,828766740.0,3704,1,3705,1,32566.0,JD1405
2014-01-27,JD.DCE,8255.641758463098,8360.851943562817,8248.926214733328,8340.70531237351,34609.0,1285378260.0,3726,35,3727,131,31638.0,JD1405
2014-01-28,JD.DCE,8304.889079148074,8421.29183713074,8304.889079148074,8347.42085610328,46257.0,1730936940.0,3729,20,3730,103,29750.0,JD1405
2014-01-29,JD.DCE,8354.136399833047,8414.576293400973,8313.843137454433,8345.182341526688,18790.0,700679100.0,3728,17,3729,3,28518.0,JD1405
2014-01-30,JD.DCE,8342.943826950099,8398.906691364844,8336.22828322033,8374.283031022356,11789.0,440908600.0,3740,22,3741,1,27699.0,JD1405
2014-02-07,JD.DCE,8374.283031022356,8461.585099509357,8266.834331346046,8275.788389652405,22073.0,823985090.0,3697,9,3698,8,31417.0,JD1405
2014-02-10,JD.DCE,8253.403243886507,8394.429662211664,8228.779583544021,8369.806001869176,32607.0,1211023980.0,3738,99,3739,36,33659.0,JD1405
2014-02-11,JD.DCE,8372.044516445765,8432.48441001369,8322.797195760792,8327.27422491397,39420.0,1475096400.0,3719,10,3720,8,37716.0,JD1405
2014-02-12,JD.DCE,8325.03571033738,8354.136399833047,8284.742447958764,8325.03571033738,18115.0,672972250.0,3717,21,3718,14,37309.0,JD1405
2014-02-13,JD.DCE,8349.659370679869,8392.191147635074,8327.27422491397,8349.659370679869,16234.0,605528200.0,3730,104,3731,62,37252.0,JD1405
2014-02-14,JD.DCE,8360.851943562817,8582.464886645204,8300.412049994893,8575.749342915437,88271.0,3344588190.0,3831,62,3832,11,41863.0,JD1405
2014-02-17,JD.DCE,8595.895974104744,8638.42775105995,8542.17162426659,8595.895974104744,48588.0,1863349800.0,3839,76,3840,5,38622.0,JD1405
2014-02-18,JD.DCE,8600.373003257922,8654.097353096078,8555.602711726127,8620.519634447232,41672.0,1601454960.0,3851,31,3852,74,38661.0,JD1405
2014-02-19,JD.DCE,8658.574382249257,8676.482498861975,8591.418944951563,8618.281119870642,29171.0,1125125470.0,3850,27,3851,19,38259.0,JD1405
2014-02-20,JD.DCE,8607.088546987692,8618.281119870642,8454.869555779587,8472.777672392305,37230.0,1416601500.0,3785,2,3788,8,37171.0,JD1405
2014-02-21,JD.DCE,8461.585099509357,8501.878361887973,8405.622235094612,8463.823614085946,25469.0,961709440.0,3781,3,3782,17,37992.0,JD1405
2014-02-24,JD.DCE,8472.777672392305,8544.410138843179,8407.860749671203,8495.162818158204,38415.0,1458617550.0,3795,24,3797,9,37876.0,JD1405
2014-02-25,JD.DCE,8483.970245275255,8510.832420194332,8237.73364185038,8253.403243886507,41281.0,1545147830.0,3686,72,3688,19,37561.0,JD1405
2014-02-26,JD.DCE,8237.73364185038,8304.889079148074,8125.807913020891,8275.788389652405,38605.0,1421436100.0,3697,10,3698,41,35675.0,JD1405
2014-02-27,JD.DCE,8300.412049994893,8340.70531237351,8242.210671003559,8266.834331346046,27252.0,1008869040.0,3693,16,3694,62,35685.0,JD1405
2014-02-28,JD.DCE,8282.503933382175,8327.27422491397,8237.73364185038,8327.27422491397,23402.0,866342040.0,3719,18,3720,254,34288.0,JD1405
2014-03-03,JD.DCE,8351.897885256458,8492.924303581614,8351.897885256458,8481.731730698664,46118.0,1739570960.0,3788,2,3789,16,31578.0,JD1405
2014-03-04,JD.DCE,8481.731730698664,8616.042605294051,8461.585099509357,8611.565576140873,41111.0,1567973540.0,3847,7,3848,2,31073.0,JD1405
2014-03-05,JD.DCE,8658.574382249257,8685.436557168336,8580.226372068615,8663.051411402437,33603.0,1294387560.0,3868,53,3870,44,30271.0,JD1405
2014-03-06,JD.DCE,8674.243984285386,8683.198042591745,8584.703401221796,8629.47369275359,27626.0,1064706040.0,3855,35,3856,27,29356.0,JD1405
2014-03-07,JD.DCE,8645.14329478972,8971.966422971826,8589.180430374974,8971.966422971826,73062.0,2866952880.0,4008,1993,0,0,32196.0,JD1405
2014-03-10,JD.DCE,8989.874539584545,9155.524618252188,8951.819791782518,9133.13947248629,127077.0,5146618500.0,4080,14,4081,24,31969.0,JD1405
2014-03-11,JD.DCE,9133.13947248629,9262.973317928498,9101.800268414034,9215.964511820112,95463.0,3915892260.0,4117,36,4118,48,29856.0,JD1405
2014-03-12,JD.DCE,9182.386793171265,9236.11114300942,9117.469870450162,9211.487482666933,44877.0,1841303310.0,4115,103,4116,4,29512.0,JD1405
2014-03-13,JD.DCE,9211.487482666933,9540.54912542563,9191.340851477624,9482.347746434296,110992.0,4677202880.0,4236,65,4237,4,36670.0,JD1405
2014-03-14,JD.DCE,9482.347746434296,9549.50318373199,9356.990930145268,9442.05448405568,112551.0,4745150160.0,4218,2,4219,22,34242.0,JD1405
2014-03-17,JD.DCE,9482.347746434296,9491.301804740655,9061.507006035417,9061.507006035417,100080.0,4118292000.0,0,0,4048,2315,25318.0,JD1405
2014-03-18,JD.DCE,9057.410483880789,9227.41615329782,9024.638306643772,9206.933542524685,56969.0,2542526470.0,4494,88,4495,2,38331.0,JD1409
2014-03-19,JD.DCE,9233.560936529759,9272.477896998718,9172.113104210353,9217.174847911252,42472.0,1912089440.0,4499,45,4500,68,39794.0,JD1409
2014-03-20,JD.DCE,9233.560936529759,9258.140069457522,9151.630493437215,9256.09180838021,39950.0,1796551500.0,4517,10,4519,3,39843.0,JD1409
2014-03-21,JD.DCE,9280.670941307973,9438.38704426112,9223.319631143191,9389.228778405595,74953.0,3421604450.0,4583,30,4584,16,43695.0,JD1409
2014-03-24,JD.DCE,9401.518344869475,9432.24226102918,9321.636162854245,9395.373561637536,48415.0,2217407000.0,4586,39,4587,3,47370.0,JD1409
2014-03-25,JD.DCE,9397.421822714849,9422.000955642612,9346.215295782009,9389.228778405595,44781.0,2051417610.0,4583,15,4584,64,48257.0,JD1409
2014-03-26,JD.DCE,9391.277039482908,9508.027920889785,9301.15355208111,9473.207482575453,75007.0,3463823260.0,4625,106,4626,6,56841.0,JD1409
2014-03-27,JD.DCE,9481.400526884707,9526.462270585605,9442.483566415749,9487.545310116648,52819.0,2447104270.0,4632,16,4633,1,57647.0,JD1409
2014-03-28,JD.DCE,9503.931398735156,9512.124443044411,9381.03573409634,9458.869655034257,69968.0,3224125440.0,4618,17,4619,10,55685.0,JD1409
2014-03-31,JD.DCE,9426.097477797239,9440.435305338435,9360.553123323205,9413.807911333357,51432.0,2360214480.0,4596,18,4597,8,53736.0,JD1409
2014-04-01,JD.DCE,9422.000955642612,9520.317487353666,9385.132256250967,9413.807911333357,67677.0,3124647090.0,4595,5,4596,42,53111.0,JD1409
2014-04-02,JD.DCE,9422.000955642612,9454.77313287963,9319.587901776931,9358.50486224589,47160.0,2160399600.0,4569,49,4570,6,51607.0,JD1409
2014-04-03,JD.DCE,9319.587901776931,9473.207482575453,9299.105291003796,9452.724871802317,57949.0,2659859100.0,4614,8,4615,4,57520.0,JD1409
2014-04-04,JD.DCE,9432.24226102918,9483.448787962021,9426.097477797239,9473.207482575453,39474.0,1821725100.0,4624,70,4625,12,57455.0,JD1409
2014-04-08,JD.DCE,9473.207482575453,9616.585757987406,9473.207482575453,9592.006625059643,52807.0,2466614970.0,4682,10,4683,63,63448.0,JD1409
2014-04-09,JD.DCE,9602.24793044621,9645.261413069795,9518.269226276352,9548.993142436057,48810.0,2278938900.0,4660,76,4662,10,60745.0,JD1409
2014-04-10,JD.DCE,9563.33096997725,9659.59924061099,9548.993142436057,9643.213151992482,77723.0,3647540390.0,4705,130,4708,22,70200.0,JD1409
2014-04-11,JD.DCE,9637.068368760541,9659.59924061099,9575.620536441133,9643.213151992482,54609.0,2563346460.0,4707,130,4708,58,69143.0,JD1409
2014-04-14,JD.DCE,9630.9235855286,9694.419678925322,9546.944881358742,9592.006625059643,58212.0,2726067960.0,4683,3,4684,179,65483.0,JD1409
2014-04-15,JD.DCE,9602.24793044621,9637.068368760541,9557.186186745312,9632.971846605913,33361.0,1561294800.0,4702,121,4703,59,67810.0,JD1409
2014-04-16,JD.DCE,9647.309674147109,9690.323156770697,9577.668797518447,9680.081851384126,47573.0,2235455270.0,4724,11,4726,19,69614.0,JD1409
2014-04-17,JD.DCE,9688.274895693383,9807.074038177572,9641.16489091517,9782.494905249809,120884.0,5750451880.0,4776,14,4777,20,81879.0,JD1409
2014-04-18,JD.DCE,9790.687949559062,9845.99099864653,9751.770989090102,9837.797954337275,87185.0,4173545950.0,4803,6,4804,1,84150.0,JD1409
2014-04-21,JD.DCE,9872.618392651606,10077.444500382968,9854.184042955785,10069.251456073713,153635.0,7501997050.0,4915,104,4916,116,99221.0,JD1409
2014-04-22,JD.DCE,10081.541022537594,10093.830589001476,9999.61057944505,10059.010150687145,149130.0,7311843900.0,4911,10,4912,132,99106.0,JD1409
2014-04-23,JD.DCE,10059.010150687145,10079.492761460282,9956.597096821464,10056.96188960983,130699.0,6389874110.0,4910,365,4913,4,102944.0,JD1409
2014-04-24,JD.DCE,10056.96188960983,10110.216677619987,9909.487092043251,9954.548835744152,172718.0,8433819940.0,4859,57,4860,61,98042.0,JD1409
2014-04-25,JD.DCE,9938.162747125643,10007.803623754306,9915.631875275192,9985.272751903856,89770.0,4365515100.0,4874,13,4875,95,95867.0,JD1409
2014-04-28,JD.DCE,9985.272751903856,10169.616248862081,9985.272751903856,10149.133638088944,129030.0,6357308100.0,4954,54,4955,14,104438.0,JD1409
2014-04-29,JD.DCE,10157.3266823982,10181.905815325963,10059.010150687145,10124.55450516118,87276.0,4309688880.0,4943,30,4944,51,103445.0,JD1409
2014-04-30,JD.DCE,10138.892332702375,10239.257125490743,10108.168416542672,10235.160603336115,130012.0,6471997360.0,4996,262,4997,112,114165.0,JD1409
2014-05-05,JD.DCE,10282.270608114328,10319.139307505973,10202.388426099098,10261.787997341193,125147.0,6262355880.0,5011,6,5014,107,120441.0,JD1409
2014-05-06,JD.DCE,10272.02930272776,10302.753218887467,10231.06408118149,10300.704957810152,110593.0,5544027090.0,5028,38,5029,23,125480.0,JD1409
2014-05-07,JD.DCE,10302.753218887467,10370.345834438815,10251.546691954625,10364.201051206874,163973.0,8251121360.0,5060,42,5061,24,133611.0,JD1409
2014-05-08,JD.DCE,10372.394095516129,10476.855410459122,10272.02930272776,10280.222347037017,286800.0,14514948000.0,5018,96,5019,114,123225.0,JD1409
2014-05-09,JD.DCE,10282.270608114328,10341.670179356423,10243.353647645372,10335.525396124483,173231.0,8710054680.0,5046,9,5047,73,125173.0,JD1409
2014-05-12,JD.DCE,10380.587139825382,10546.496287087784,10364.201051206874,10544.448026010472,246982.0,12633129300.0,5148,38,5149,196,144719.0,JD1409
2014-05-13,JD.DCE,10546.496287087784,10630.474991257643,10517.820632005394,10628.42673018033,209574.0,10820305620.0,5188,102,5189,13,159722.0,JD1409
2014-05-14,JD.DCE,10648.909340953465,10661.198907417347,10577.220203247489,10638.668035566898,210229.0,10900373650.0,5192,142,5194,119,157341.0,JD1409
2014-05-15,JD.DCE,10630.474991257643,10726.743261891383,10571.075420015548,10724.69500081407,213330.0,11088893400.0,5235,109,5236,35,166500.0,JD1409
2014-05-16,JD.DCE,10696.019345731678,10810.721966061243,10655.054124185406,10806.625443906614,278799.0,14603491620.0,5276,138,5277,1,163847.0,JD1409
2014-05-19,JD.DCE,10745.177611587205,10767.708483437655,10517.820632005394,10583.36498647943,322020.0,16687076400.0,5166,156,5167,25,139990.0,JD1409
2014-05-20,JD.DCE,10583.36498647943,10818.915010370496,10573.123681092862,10786.14283313348,335268.0,17557985160.0,5264,53,5266,8,161138.0,JD1409
2014-05-21,JD.DCE,10745.177611587205,10773.853266669597,10380.587139825382,10437.938449990163,454083.0,23367111180.0,5095,83,5097,1,141012.0,JD1409
2014-05-22,JD.DCE,10437.938449990163,10480.951932613749,10339.621918279112,10380.587139825382,307972.0,15651137040.0,5068,4,5069,19,142131.0,JD1409
2014-05-23,JD.DCE,10376.490617670755,10460.469321840614,10294.56017457821,10427.697144603595,311242.0,15742620360.0,5091,41,5092,37,138301.0,JD1409
2014-05-26,JD.DCE,10298.656696732838,10302.753218887467,10177.809293171335,10192.14712071253,199565.0,9964280450.0,4976,218,4978,11,128133.0,JD1409
2014-05-27,JD.DCE,10179.857554248649,10300.704957810152,10159.374943475514,10259.739736263879,252007.0,12605390140.0,5008,43,5009,55,134918.0,JD1409
2014-05-28,JD.DCE,10245.401908722682,10394.924967366578,10222.871036872233,10290.463652423585,267430.0,13483820600.0,5023,42,5024,15,138460.0,JD1409
2014-05-29,JD.DCE,10259.739736263879,10333.47713504717,10210.581470408351,10302.753218887467,181961.0,9121704930.0,5029,10,5030,285,135428.0,JD1409
2014-05-30,JD.DCE,10306.849741042091,10349.86322366568,10077.444500382968,10093.830589001476,283844.0,14132592760.0,4927,56,4928,4,129606.0,JD1409
2014-06-03,JD.DCE,9954.548835744152,10061.05841176446,9948.404052512211,10015.996668063559,143842.0,7035312220.0,4890,4,4891,88,128049.0,JD1409
2014-06-04,JD.DCE,10034.431017759382,10151.181899166257,10030.334495604755,10130.699288393122,138755.0,6837846400.0,4945,18,4946,19,131210.0,JD1409
2014-06-05,JD.DCE,10126.602766238495,10198.29190394447,10093.830589001476,10163.471465630138,181235.0,8976569550.0,4962,71,4963,14,132802.0,JD1409
2014-06-06,JD.DCE,10171.664509939395,10405.166272753146,10159.374943475514,10403.118011675831,257250.0,12947392500.0,5078,53,5080,816,150466.0,JD1409
2014-06-09,JD.DCE,10405.166272753146,10464.56584399524,10364.201051206874,10433.841927835538,224954.0,11438910900.0,5094,90,5095,548,150794.0,JD1409
2014-06-10,JD.DCE,10427.697144603595,10431.793666758223,10335.525396124483,10368.2975733615,192634.0,9758838440.0,5061,77,5062,9,142414.0,JD1409
2014-06-11,JD.DCE,10364.201051206874,10536.254981701217,10345.766701511051,10511.675848773453,256055.0,13071607750.0,5131,1,5132,1,159099.0,JD1409
2014-06-12,JD.DCE,10503.4828044642,10589.50976971137,10458.4210607633,10497.338021232259,232538.0,11940826300.0,5125,247,5126,16,145484.0,JD1409
2014-06-13,JD.DCE,10497.338021232259,10575.171942170175,10407.21453383046,10546.496287087784,195124.0,10004007480.0,5149,9,5150,421,149407.0,JD1409
2014-06-16,JD.DCE,10507.579326618827,10517.820632005394,10390.82844521195,10452.276277531359,164647.0,8392057590.0,5102,5,5103,29,143696.0,JD1409
2014-06-17,JD.DCE,10442.034972144791,10628.42673018033,10419.504100294342,10540.351503855843,255926.0,13195544560.0,5144,99,5146,250,143862.0,JD1409
2014-06-18,JD.DCE,10540.351503855843,10581.316725402117,10483.000193691063,10558.785853551666,136772.0,7036919400.0,5155,31,5156,77,150856.0,JD1409
2014-06-19,JD.DCE,10552.641070319725,10640.716296644212,10534.206720623903,10616.137163716448,162626.0,8404511680.0,5182,106,5183,62,159928.0,JD1409
2014-06-20,JD.DCE,10616.137163716448,10782.04631097885,10599.751075097938,10743.129350509891,223995.0,11710458600.0,5245,8,5246,68,165137.0,JD1409
2014-06-23,JD.DCE,10771.805005592283,10806.625443906614,10669.3919517266,10736.984567277952,182394.0,9546501960.0,5242,5,5243,366,159303.0,JD1409
2014-06-24,JD.DCE,10743.129350509891,10769.756744514969,10671.440212803915,10751.322394819144,145613.0,7618472160.0,5247,39,5249,20,164356.0,JD1409
2014-06-25,JD.DCE,10751.322394819144,10804.5771828293,10693.971084654364,10779.998049901536,184124.0,9662827520.0,5263,18,5264,221,174327.0,JD1409
2014-06-26,JD.DCE,10769.756744514969,10794.335877442732,10712.405434350188,10763.611961283026,138738.0,7285132380.0,5256,6,5257,32,171078.0,JD1409
2014-06-27,JD.DCE,10763.611961283026,10958.19676362782,10696.019345731678,10941.810675009312,305193.0,16217956020.0,5342,256,5343,38,184627.0,JD1409
2014-06-30,JD.DCE,10927.472847468118,10997.11372409678,10917.231542081548,10988.920679787525,151460.0,8104624600.0,5364,26,5365,15,182604.0,JD1409
2014-07-01,JD.DCE,10935.665891777371,10978.679374400957,10837.349360066317,10970.486330091702,191764.0,10211433000.0,5355,116,5356,3,177744.0,JD1409
2014-07-02,JD.DCE,10974.58285224633,11040.127206720364,10374.442356593443,10671.440212803915,429203.0,22554617650.0,5210,303,5211,33,138443.0,JD1409
2014-07-03,JD.DCE,10671.440212803915,10749.274133741834,10636.619774489584,10722.646739736756,135425.0,7075956250.0,5235,356,5236,107,136736.0,JD1409
2014-07-04,JD.DCE,10743.129350509891,10927.472847468118,10741.081089432577,10921.328064236175,202233.0,10714304340.0,5331,110,5332,2,150538.0,JD1409
2014-07-07,JD.DCE,10966.389807937076,11009.403290560662,10816.866749293182,10917.231542081548,198505.0,10572376300.0,5330,125,5331,2,152657.0,JD1409
2014-07-08,JD.DCE,10925.424586390804,10958.19676362782,10753.370655896459,10941.810675009312,253811.0,13454521110.0,5342,60,5343,9,159359.0,JD1409
2014-07-09,JD.DCE,10929.52110854543,10950.003719318567,10820.96327144781,10868.073276226023,226619.0,12044799850.0,5305,18,5306,1,154557.0,JD1409
2014-07-10,JD.DCE,10876.266320535276,10913.135019926922,10773.853266669597,10849.638926530199,206620.0,10940529000.0,5296,23,5298,44,158131.0,JD1409
2014-07-11,JD.DCE,10859.880231916766,11386.283328786367,10859.880231916766,11105.6715611944,295247.0,15896098480.0,5421,174,5422,2,165650.0,JD1409
2014-07-14,JD.DCE,11152.781565972613,11222.422442601277,11111.816344426343,11189.650265364258,165194.0,9006376880.0,5462,6,5463,4,165238.0,JD1409
2014-07-15,JD.DCE,11175.312437823064,11212.181137214708,11101.575039039773,11179.40895997769,129992.0,7083264080.0,5457,3,5459,60,164015.0,JD1409
2014-07-16,JD.DCE,11163.022871359182,11183.50548213232,11081.092428266638,11132.298955199478,167022.0,9074305260.0,5434,204,5435,29,151416.0,JD1409
2014-07-17,JD.DCE,11132.298955199478,11240.8567922971,11107.719822271714,11228.567225833218,165704.0,9045781360.0,5481,109,5482,135,163335.0,JD1409
