time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2013-11-11,JD1405,3982,3983,3932,3941,74430.0,2939240700.0,3941,9,3942,176,22066.0,3949,3976.0,1.0
2013-11-12,JD1405,3940,3970,3932,3951,46698.0,1847839860.0,3950,195,3951,1,19406.0,3957,3941.0,1.0
2013-11-13,JD1405,3946,3970,3935,3952,31074.0,1229908920.0,3952,15,3953,56,18300.0,3958,3951.0,1.0
2013-11-14,JD1405,3958,3963,3939,3957,18659.0,737403680.0,3956,96,3957,1,16116.0,3952,3952.0,1.0
2013-11-15,JD1405,3955,4015,3954,4013,66756.0,2666234640.0,4013,24,4014,23,21549.0,3994,3957.0,1.0
2013-11-18,JD1405,4015,4039,4003,4029,54093.0,2177243250.0,4028,102,4029,267,25088.0,4025,4013.0,1.0
2013-11-19,JD1405,4025,4036,4012,4023,31133.0,1252480590.0,4023,29,4024,75,21500.0,4023,4029.0,1.0
2013-11-20,JD1405,4025,4048,4016,4036,29806.0,1202970160.0,4035,5,4036,60,21762.0,4036,4023.0,1.0
2013-11-21,JD1405,4039,4039,4005,4010,20370.0,819077700.0,4010,73,4011,145,17962.0,4021,4036.0,1.0
2013-11-22,JD1405,4012,4040,4006,4018,20404.0,821056960.0,4017,6,4018,3,17695.0,4024,4010.0,1.0
2013-11-25,JD1405,4021,4178,4021,4168,137521.0,5690618980.0,4168,67,4169,131,35378.0,4138,4018.0,1.0
2013-11-26,JD1405,4170,4180,4145,4162,75154.0,3127157940.0,4162,4,4163,30,31982.0,4161,4168.0,1.0
2013-11-27,JD1405,4166,4174,4123,4138,59664.0,2473072800.0,4137,70,4138,20,29518.0,4145,4162.0,1.0
2013-11-28,JD1405,4138,4193,4138,4174,94389.0,3934133520.0,4173,23,4174,124,34113.0,4168,4138.0,1.0
2013-11-29,JD1405,4179,4185,4156,4172,45035.0,1877959500.0,4171,40,4172,110,33269.0,4170,4174.0,1.0
2013-12-02,JD1405,4173,4190,4151,4162,29260.0,1219556800.0,4162,1,4163,54,33012.0,4168,4172.0,1.0
2013-12-03,JD1405,4160,4196,4140,4163,81321.0,3390272490.0,4162,5,4163,8,34403.0,4169,4162.0,1.0
2013-12-04,JD1405,4166,4176,4150,4153,33069.0,1375670400.0,4152,69,4153,70,34214.0,4160,4163.0,1.0
2013-12-05,JD1405,4155,4181,4149,4159,43208.0,1799613200.0,4158,2,4159,24,33128.0,4165,4153.0,1.0
2013-12-06,JD1405,4160,4180,4109,4131,46543.0,1928276490.0,4130,302,4131,37,30388.0,4143,4159.0,1.0
2013-12-09,JD1405,4138,4150,4130,4134,21513.0,890423070.0,4133,4,4134,14,30479.0,4139,4131.0,1.0
2013-12-10,JD1405,4143,4190,4134,4155,70812.0,2947903560.0,4153,88,4156,75,32134.0,4163,4134.0,1.0
