time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2013-03-25,JM.DCE,879.5334627020708,886.4263581777924,862.301224012767,867.126250845772,361011.0,27422395560.0,1257.0,268,1258.0,150,69856.0,JM1309
2013-03-26,JM.DCE,865.0583822030555,879.5334627020708,860.9226449176226,876.7763045117822,417663.0,31700621700.0,1271.0,18,1272.0,75,70772.0,JM1309
2013-03-27,JM.DCE,881.6013313447872,881.6013313447872,868.5048299409164,869.1941194884885,249617.0,18960907320.0,1261.0,702,1262.0,892,63047.0,JM1309
2013-03-28,JM.DCE,871.2619881312049,877.4655940593543,860.2333553700505,867.8155403933441,323133.0,24487018740.0,1258.0,1336,1259.0,5,49502.0,JM1309
2013-03-29,JM.DCE,866.4369612981999,874.0191463214936,848.5154330613238,854.7190389894732,367364.0,27596383680.0,1240.0,123,1241.0,437,48012.0,JM1309
2013-04-01,JM.DCE,851.2725912516124,856.0976180846176,828.5260361817313,828.5260361817313,355066.0,25884311400.0,0.0,0,1202.0,2309,77631.0,JM1309
2013-04-02,JM.DCE,825.0795884438705,848.5154330613238,821.6331407060097,846.4475644186074,524724.0,38063478960.0,1228.0,208,1229.0,799,65053.0,JM1309
2013-04-03,JM.DCE,844.3796957758909,849.8940121564681,836.7975107525972,838.1760898477414,303282.0,22218439320.0,1216.0,11,1217.0,121,51557.0,JM1309
2013-04-08,JM.DCE,826.4581675390149,843.0011166807466,825.0795884438705,840.9332480380301,277985.0,20198390100.0,1219.0,570,1220.0,312,60590.0,JM1309
2013-04-09,JM.DCE,842.3118271331745,849.204722608896,836.108221205025,843.0011166807466,275849.0,20241799620.0,1222.0,384,1223.0,242,71914.0,JM1309
2013-04-10,JM.DCE,844.3796957758909,845.7582748710352,834.7296421098807,837.4868003001693,188901.0,13804885080.0,1214.0,740,1215.0,12,66843.0,JM1309
2013-04-11,JM.DCE,833.3510630147364,844.3796957758909,828.5260361817313,831.2831943720199,201755.0,14695834200.0,1206.0,22,1207.0,871,68672.0,JM1309
2013-04-12,JM.DCE,831.2831943720199,840.9332480380301,829.2153257293035,833.3510630147364,231093.0,16805082960.0,1209.0,881,1210.0,578,68763.0,JM1309
2013-04-15,JM.DCE,820.9438511584376,823.7010093487262,802.3330333739893,809.225928849711,221230.0,15676357800.0,1174.0,384,1175.0,48,64487.0,JM1309
2013-04-16,JM.DCE,799.5758751837008,813.3616661351439,793.3722692555514,812.6723765875718,163113.0,11450532600.0,1178.0,427,1179.0,36,59371.0,JM1309
2013-04-17,JM.DCE,814.7402452302882,819.5652720632933,791.3044006128349,803.0223229215616,351061.0,24497036580.0,1164.0,364,1165.0,24,60570.0,JM1309
2013-04-18,JM.DCE,791.993690160407,805.7794811118501,776.8293201138196,797.5080065409843,285514.0,19614811800.0,1156.0,153,1157.0,76,61826.0,JM1309
2013-04-19,JM.DCE,799.5758751837008,804.4009020167058,791.3044006128349,801.6437438264172,214284.0,14888452320.0,1162.0,731,1163.0,66,61546.0,JM1309
2013-04-22,JM.DCE,800.2651647312729,802.3330333739893,789.9258215176906,789.9258215176906,136989.0,9452241000.0,1146.0,652,1148.0,563,56212.0,JM1309
2013-04-23,JM.DCE,793.3722692555514,794.7508483506956,778.2078992089639,781.6543469468247,119745.0,8183373300.0,1133.0,214,1134.0,251,52215.0,JM1309
2013-04-24,JM.DCE,781.6543469468247,798.1972960885564,778.2078992089639,789.2365319701184,205261.0,14052168060.0,1145.0,847,1146.0,334,49316.0,JM1309
2013-04-25,JM.DCE,788.5472424225462,791.3044006128349,783.7222155895412,787.168663327402,79222.0,5428291440.0,1142.0,546,1143.0,311,43734.0,JM1309
2013-04-26,JM.DCE,790.6151110652627,796.12942744584,783.0329260419691,784.4115051371133,82757.0,5685405900.0,1138.0,273,1139.0,144,38036.0,JM1309
2013-05-02,JM.DCE,774.072161923531,774.072161923531,759.5970814245157,771.3150037332424,55502.0,3723074160.0,1119.0,82,1120.0,215,41103.0,JM1309
2013-05-03,JM.DCE,777.5186096613918,784.4115051371133,774.7614514711031,778.2078992089639,91090.0,6170436600.0,1129.0,241,1130.0,654,45995.0,JM1309
2013-05-06,JM.DCE,790.6151110652627,791.993690160407,782.3436364943968,785.7900842322576,59715.0,4088088900.0,1139.0,114,1140.0,213,43440.0,JM1309
2013-05-07,JM.DCE,782.3436364943968,791.3044006128349,779.5864783041083,781.6543469468247,54179.0,3699342120.0,1133.0,169,1134.0,117,41065.0,JM1309
2013-05-08,JM.DCE,780.9650573992526,791.993690160407,780.2757678516804,791.3044006128349,44563.0,3048109200.0,1148.0,45,1149.0,161,42958.0,JM1309
2013-05-09,JM.DCE,789.9258215176906,792.6829797079791,784.4115051371133,787.168663327402,44856.0,3076224480.0,1141.0,594,1142.0,112,41572.0,JM1309
2013-05-10,JM.DCE,787.168663327402,794.7508483506956,783.7222155895412,792.6829797079791,43589.0,2991948960.0,1150.0,157,1151.0,36,40672.0,JM1309
2013-05-13,JM.DCE,792.6829797079791,818.1866929681489,789.9258215176906,811.9830870399995,169611.0,11927045520.0,1177.0,426,1178.0,58,45310.0,JM1309
2013-05-14,JM.DCE,812.6723765875718,816.8081138730047,800.2651647312729,813.3616661351439,149066.0,10500209040.0,1180.0,17,1181.0,124,44654.0,JM1309
2013-05-15,JM.DCE,810.6045079448553,813.3616661351439,787.8579528749741,789.2365319701184,156211.0,10909776240.0,1145.0,29,1146.0,93,41008.0,JM1309
2013-05-16,JM.DCE,789.9258215176906,797.5080065409843,775.4507410186753,789.9258215176906,160533.0,11018985120.0,1145.0,31,1146.0,188,41942.0,JM1309
2013-05-17,JM.DCE,792.6829797079791,803.0223229215616,787.168663327402,801.6437438264172,173177.0,11990775480.0,1162.0,69,1163.0,388,40233.0,JM1309
2013-05-20,JM.DCE,800.2651647312729,808.5366393021387,799.5758751837008,800.9544542788451,103688.0,7254012480.0,1162.0,90,1163.0,303,42014.0,JM1309
2013-05-21,JM.DCE,803.7116124691337,807.1580602069945,793.3722692555514,801.6437438264172,102250.0,7116600000.0,1162.0,245,1163.0,203,43723.0,JM1309
2013-05-22,JM.DCE,798.8865856361286,809.9152183972831,798.1972960885564,806.4687706594223,85835.0,6010166700.0,1169.0,350,1170.0,200,44020.0,JM1309
2013-05-23,JM.DCE,798.8865856361286,802.3330333739893,789.2365319701184,789.2365319701184,87527.0,6070872720.0,1145.0,41,1146.0,75,41001.0,JM1309
2013-05-24,JM.DCE,791.993690160407,796.8187169934122,787.8579528749741,788.5472424225462,68121.0,4704436260.0,1143.0,173,1144.0,7,41214.0,JM1309
