time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2013-03-25,JM1309,1276.0,1286.0,1251.0,1258.0,361011.0,27422395560.0,1257.0,268,1258.0,150,69856.0,1266.0,1267.0,1.0
2013-03-26,JM1309,1255.0,1276.0,1249.0,1272.0,417663.0,31700621700.0,1271.0,18,1272.0,75,70772.0,1265.0,1258.0,1.0
2013-03-27,JM1309,1279.0,1279.0,1260.0,1261.0,249617.0,18960907320.0,1261.0,702,1262.0,892,63047.0,1266.0,1272.0,1.0
2013-03-28,JM1309,1264.0,1273.0,1248.0,1259.0,323133.0,24487018740.0,1258.0,1336,1259.0,5,49502.0,1263.0,1261.0,1.0
2013-03-29,JM1309,1257.0,1268.0,1231.0,1240.0,367364.0,27596383680.0,1240.0,123,1241.0,437,48012.0,1252.0,1259.0,1.0
2013-04-01,JM1309,1235.0,1242.0,1202.0,1202.0,355066.0,25884311400.0,0.0,0,1202.0,2309,77631.0,1215.0,1240.0,1.0
2013-04-02,JM1309,1197.0,1231.0,1192.0,1228.0,524724.0,38063478960.0,1228.0,208,1229.0,799,65053.0,1209.0,1202.0,1.0
2013-04-03,JM1309,1225.0,1233.0,1214.0,1216.0,303282.0,22218439320.0,1216.0,11,1217.0,121,51557.0,1221.0,1228.0,1.0
2013-04-08,JM1309,1199.0,1223.0,1197.0,1220.0,277985.0,20198390100.0,1219.0,570,1220.0,312,60590.0,1211.0,1216.0,1.0
2013-04-09,JM1309,1222.0,1232.0,1213.0,1223.0,275849.0,20241799620.0,1222.0,384,1223.0,242,71914.0,1223.0,1220.0,1.0
2013-04-10,JM1309,1225.0,1227.0,1211.0,1215.0,188901.0,13804885080.0,1214.0,740,1215.0,12,66843.0,1218.0,1223.0,1.0
2013-04-11,JM1309,1209.0,1225.0,1202.0,1206.0,201755.0,14695834200.0,1206.0,22,1207.0,871,68672.0,1214.0,1215.0,1.0
2013-04-12,JM1309,1206.0,1220.0,1203.0,1209.0,231093.0,16805082960.0,1209.0,881,1210.0,578,68763.0,1212.0,1206.0,1.0
2013-04-15,JM1309,1191.0,1195.0,1164.0,1174.0,221230.0,15676357800.0,1174.0,384,1175.0,48,64487.0,1181.0,1209.0,1.0
2013-04-16,JM1309,1160.0,1180.0,1151.0,1179.0,163113.0,11450532600.0,1178.0,427,1179.0,36,59371.0,1170.0,1174.0,1.0
2013-04-17,JM1309,1182.0,1189.0,1148.0,1165.0,351061.0,24497036580.0,1164.0,364,1165.0,24,60570.0,1163.0,1179.0,1.0
2013-04-18,JM1309,1149.0,1169.0,1127.0,1157.0,285514.0,19614811800.0,1156.0,153,1157.0,76,61826.0,1145.0,1165.0,1.0
2013-04-19,JM1309,1160.0,1167.0,1148.0,1163.0,214284.0,14888452320.0,1162.0,731,1163.0,66,61546.0,1158.0,1157.0,1.0
2013-04-22,JM1309,1161.0,1164.0,1146.0,1146.0,136989.0,9452241000.0,1146.0,652,1148.0,563,56212.0,1150.0,1163.0,1.0
2013-04-23,JM1309,1151.0,1153.0,1129.0,1134.0,119745.0,8183373300.0,1133.0,214,1134.0,251,52215.0,1139.0,1146.0,1.0
2013-04-24,JM1309,1134.0,1158.0,1129.0,1145.0,205261.0,14052168060.0,1145.0,847,1146.0,334,49316.0,1141.0,1134.0,1.0
2013-04-25,JM1309,1144.0,1148.0,1137.0,1142.0,79222.0,5428291440.0,1142.0,546,1143.0,311,43734.0,1142.0,1145.0,1.0
2013-04-26,JM1309,1147.0,1155.0,1136.0,1138.0,82757.0,5685405900.0,1138.0,273,1139.0,144,38036.0,1145.0,1142.0,1.0
2013-05-02,JM1309,1123.0,1123.0,1102.0,1119.0,55502.0,3723074160.0,1119.0,82,1120.0,215,41103.0,1118.0,1138.0,1.0
