time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2007-08-01,L.DCE,8780.538885550191,8780.538885550191,8600.069311617935,8641.716136371533,2364.0,147631800.0,0,0,0,0,1147.0,L0711
2007-08-02,L.DCE,8613.9515865358,8669.480686207264,8537.599074487538,8648.657273830466,2558.0,158723900.0,0,0,0,0,1370.0,L0711
2007-08-03,L.DCE,8634.774998912599,8718.068648419794,8613.9515865358,8672.95125493673,2405.0,150252375.0,0,0,0,0,1513.0,L0711
2007-08-06,L.DCE,8620.892723994733,8794.421160468057,8620.892723994733,8711.127510960861,3240.0,203796000.0,0,0,0,0,1848.0,L0711
2007-08-07,L.DCE,8645.186705101,8725.009785878729,8634.774998912599,8686.833529854597,1522.0,95239150.0,0,0,0,0,1476.0,L0711
2007-08-08,L.DCE,8704.186373501929,8773.597748091259,8704.186373501929,8731.950923337661,1062.0,66852900.0,0,0,0,0,1512.0,L0711
2007-08-09,L.DCE,8728.480354608195,8881.18537870472,8718.068648419794,8863.832535057387,2315.0,146655250.0,0,0,0,0,2226.0,L0711
2007-08-10,L.DCE,8822.18571030379,8919.36163472885,8759.715473173392,8815.244572844857,4112.0,261523200.0,0,0,0,0,2354.0,L0711
2007-08-13,L.DCE,8846.479691410055,8870.77367251632,8787.480023009124,8804.832866656458,1370.0,86926500.0,0,0,0,0,2061.0,L0711
2007-08-14,L.DCE,8790.95059173859,8801.362297926991,8693.77466731353,8697.245236042996,1566.0,98462250.0,0,0,0,0,1932.0,L0711
2007-08-15,L.DCE,8697.245236042996,8745.833198255526,8690.304098584063,8721.539217149262,1083.0,67985325.0,0,0,0,0,1954.0,L0711
2007-08-16,L.DCE,8742.36262952606,8759.715473173392,8683.36296112513,8686.833529854597,1264.0,79252800.0,0,0,0,0,1799.0,L0711
2007-08-17,L.DCE,8662.539548748331,8714.598079690328,8551.481349405403,8672.95125493673,1607.0,100357150.0,0,0,0,0,1804.0,L0711
2007-08-20,L.DCE,8690.304098584063,8731.950923337661,8679.892392395665,8714.598079690328,1205.0,75553500.0,0,0,0,0,1540.0,L0711
2007-08-21,L.DCE,8697.245236042996,8711.127510960861,8676.421823666196,8697.245236042996,698.0,43712250.0,0,0,0,0,1485.0,L0711
2007-08-22,L.DCE,8672.95125493673,8711.127510960861,8666.010117477797,8707.656942231395,566.0,35431600.0,0,0,0,0,1478.0,L0711
2007-08-23,L.DCE,8745.833198255526,8745.833198255526,8700.715804772462,8707.656942231395,615.0,38575875.0,0,0,0,0,1530.0,L0711
2007-08-24,L.DCE,8690.304098584063,8718.068648419794,8683.36296112513,8686.833529854597,443.0,27742875.0,0,0,0,0,1457.0,L0711
2007-08-27,L.DCE,8693.77466731353,8693.77466731353,8641.716136371533,8645.186705101,904.0,56387000.0,0,0,0,0,1750.0,L0711
2007-08-28,L.DCE,8645.186705101,8659.068980018865,8617.422155265267,8638.245567642065,527.0,32779400.0,0,0,0,0,1672.0,L0711
2007-08-29,L.DCE,8634.774998912599,8634.774998912599,8586.187036700068,8600.069311617935,820.0,50819500.0,0,0,0,0,1882.0,L0711
2007-08-30,L.DCE,8662.539548748331,8662.539548748331,8568.834193052737,8579.245899241136,1038.0,64278150.0,0,0,0,0,1920.0,L0711
2007-08-31,L.DCE,8600.069311617935,8600.069311617935,8502.893387192873,8537.599074487538,1105.0,67929875.0,0,0,0,0,1817.0,L0711
2007-09-03,L.DCE,8548.010780675937,8593.128174159001,8530.657937028605,8579.245899241136,716.0,44195100.0,0,0,0,0,1961.0,L0711
2007-09-04,L.DCE,8579.245899241136,8600.069311617935,8554.95191813487,8565.36362432327,849.0,52446975.0,0,0,0,0,1906.0,L0711
2007-09-05,L.DCE,8541.069643217004,8565.36362432327,8520.246230840206,8551.481349405403,621.0,38238075.0,0,0,0,0,1883.0,L0711
2007-09-06,L.DCE,8544.54021194647,8624.3632927242,8544.54021194647,8600.069311617935,921.0,56986875.0,0,0,0,0,1799.0,L0711
2007-09-07,L.DCE,8610.481017806334,8645.186705101,8589.657605429535,8610.481017806334,857.0,53155425.0,0,0,0,0,1783.0,L0711
2007-09-10,L.DCE,8613.9515865358,8631.304430183132,8558.422486864336,8589.657605429535,654.0,40449900.0,0,0,0,0,1688.0,L0711
2007-09-11,L.DCE,8586.187036700068,8620.892723994733,8579.245899241136,8586.187036700068,551.0,34134450.0,0,0,0,0,1594.0,L0711
2007-09-12,L.DCE,8586.187036700068,8610.481017806334,8558.422486864336,8586.187036700068,478.0,29576250.0,0,0,0,0,1563.0,L0711
2007-09-13,L.DCE,8613.9515865358,8613.9515865358,8586.187036700068,8586.187036700068,499.0,30913050.0,0,0,0,0,1488.0,L0711
2007-09-14,L.DCE,8572.304761782203,8596.598742888467,8572.304761782203,8582.716467970602,424.0,26203200.0,0,0,0,0,1429.0,L0711
2007-09-17,L.DCE,8523.716799569673,8579.245899241136,8523.716799569673,8575.77533051167,518.0,31960600.0,0,0,0,0,1347.0,L0711
2007-09-18,L.DCE,8586.187036700068,8600.069311617935,8582.716467970602,8589.657605429535,514.0,31790900.0,0,0,0,0,1224.0,L0711
2007-09-19,L.DCE,8617.035000187878,8637.568046256632,8603.346302808706,8623.879348877463,2917.0,183771000.0,0,0,0,0,1699.0,L0801
2007-09-20,L.DCE,8620.45717453267,8623.879348877463,8562.280210671195,8617.035000187878,4747.0,298111600.0,0,0,0,0,1918.0,L0801
2007-09-21,L.DCE,8630.72369756705,8634.14587191184,8596.501954119121,8610.190651498293,2977.0,187253300.0,0,0,0,0,1938.0,L0801
2007-09-24,L.DCE,8620.45717453267,8623.879348877463,8565.702385015988,8575.968908050367,2595.0,162576750.0,0,0,0,0,1867.0,L0801
2007-09-25,L.DCE,8555.43586198161,8572.546733705572,8531.480641568061,8555.43586198161,2178.0,136070550.0,0,0,0,0,1791.0,L0801
2007-09-26,L.DCE,8552.013687636816,8565.702385015988,8528.058467223269,8548.591513292024,2462.0,153813450.0,0,0,0,0,1768.0,L0801
