time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2007-08-01,L0711,12650,12650,12390,12450,2364.0,147631800.0,0,0,0,0,1147.0,12490,12580.0,1.0
2007-08-02,L0711,12410,12490,12300,12460,2558.0,158723900.0,0,0,0,0,1370.0,12410,12450.0,1.0
2007-08-03,L0711,12440,12560,12410,12495,2405.0,150252375.0,0,0,0,0,1513.0,12495,12460.0,1.0
2007-08-06,L0711,12420,12670,12420,12550,3240.0,203796000.0,0,0,0,0,1848.0,12580,12495.0,1.0
2007-08-07,L0711,12455,12570,12440,12515,1522.0,95239150.0,0,0,0,0,1476.0,12515,12550.0,1.0
2007-08-08,L0711,12540,12640,12540,12580,1062.0,66852900.0,0,0,0,0,1512.0,12590,12515.0,1.0
2007-08-09,L0711,12575,12795,12560,12770,2315.0,146655250.0,0,0,0,0,2226.0,12670,12580.0,1.0
2007-08-10,L0711,12710,12850,12620,12700,4112.0,261523200.0,0,0,0,0,2354.0,12720,12770.0,1.0
2007-08-13,L0711,12745,12780,12660,12685,1370.0,86926500.0,0,0,0,0,2061.0,12690,12700.0,1.0
2007-08-14,L0711,12665,12680,12525,12530,1566.0,98462250.0,0,0,0,0,1932.0,12575,12685.0,1.0
2007-08-15,L0711,12530,12600,12520,12565,1083.0,67985325.0,0,0,0,0,1954.0,12555,12530.0,1.0
2007-08-16,L0711,12595,12620,12510,12515,1264.0,79252800.0,0,0,0,0,1799.0,12540,12565.0,1.0
2007-08-17,L0711,12480,12555,12320,12495,1607.0,100357150.0,0,0,0,0,1804.0,12490,12515.0,1.0
2007-08-20,L0711,12520,12580,12505,12555,1205.0,75553500.0,0,0,0,0,1540.0,12540,12495.0,1.0
2007-08-21,L0711,12530,12550,12500,12530,698.0,43712250.0,0,0,0,0,1485.0,12525,12555.0,1.0
2007-08-22,L0711,12495,12550,12485,12545,566.0,35431600.0,0,0,0,0,1478.0,12520,12530.0,1.0
2007-08-23,L0711,12600,12600,12535,12545,615.0,38575875.0,0,0,0,0,1530.0,12545,12545.0,1.0
2007-08-24,L0711,12520,12560,12510,12515,443.0,27742875.0,0,0,0,0,1457.0,12525,12545.0,1.0
2007-08-27,L0711,12525,12525,12450,12455,904.0,56387000.0,0,0,0,0,1750.0,12475,12515.0,1.0
2007-08-28,L0711,12455,12475,12415,12445,527.0,32779400.0,0,0,0,0,1672.0,12440,12455.0,1.0
2007-08-29,L0711,12440,12440,12370,12390,820.0,50819500.0,0,0,0,0,1882.0,12395,12445.0,1.0
2007-08-30,L0711,12480,12480,12345,12360,1038.0,64278150.0,0,0,0,0,1920.0,12385,12390.0,1.0
2007-08-31,L0711,12390,12390,12250,12300,1105.0,67929875.0,0,0,0,0,1817.0,12295,12360.0,1.0
2007-09-03,L0711,12315,12380,12290,12360,716.0,44195100.0,0,0,0,0,1961.0,12345,12300.0,1.0
2007-09-04,L0711,12360,12390,12325,12340,849.0,52446975.0,0,0,0,0,1906.0,12355,12360.0,1.0
2007-09-05,L0711,12305,12340,12275,12320,621.0,38238075.0,0,0,0,0,1883.0,12315,12340.0,1.0
2007-09-06,L0711,12310,12425,12310,12390,921.0,56986875.0,0,0,0,0,1799.0,12375,12320.0,1.0
2007-09-07,L0711,12405,12455,12375,12405,857.0,53155425.0,0,0,0,0,1783.0,12405,12390.0,1.0
2007-09-10,L0711,12410,12435,12330,12375,654.0,40449900.0,0,0,0,0,1688.0,12370,12405.0,1.0
2007-09-11,L0711,12370,12420,12360,12370,551.0,34134450.0,0,0,0,0,1594.0,12390,12375.0,1.0
2007-09-12,L0711,12370,12405,12330,12370,478.0,29576250.0,0,0,0,0,1563.0,12375,12370.0,1.0
2007-09-13,L0711,12410,12410,12370,12370,499.0,30913050.0,0,0,0,0,1488.0,12390,12370.0,1.0
2007-09-14,L0711,12350,12385,12350,12365,424.0,26203200.0,0,0,0,0,1429.0,12360,12370.0,1.0
