time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2020-06-23,LU.INE,2747.6378253376147,2819.196374599567,2738.166840876474,2787.6264263957646,144505.0,3829382500.0,2649,3,2650,2,33377.0,LU2101
2020-06-24,LU.INE,2799.202074070492,2811.8300533520132,2723.434198381366,2739.2191724832674,79323.0,2084608440.0,2603,4,2605,40,34207.0,LU2101
2020-06-29,LU.INE,2711.858550706638,2711.858550706638,2616.0963744884375,2645.561659478653,63816.0,1606886880.0,2514,27,2515,1,42496.0,LU2101
2020-06-30,LU.INE,2672.922281255282,2702.3875662454975,2653.9803123330003,2666.6082916145215,42512.0,1080655040.0,2534,23,2535,194,40329.0,LU2101
2020-07-01,LU.INE,2658.189638760174,2702.3875662454975,2647.6663226922396,2686.602592143596,28865.0,733748300.0,2553,10,2554,1,39329.0,LU2101
2020-07-02,LU.INE,2658.189638760174,2709.7538874930515,2658.189638760174,2686.602592143596,39078.0,996879780.0,2553,12,2554,1,41683.0,LU2101
2020-07-03,LU.INE,2693.96891339115,2749.7424885512014,2693.96891339115,2724.4865299881594,43286.0,1119808820.0,2588,1,2589,29,39595.0,LU2101
2020-07-06,LU.INE,2710.806219099845,2748.690156944408,2699.2305714251174,2737.11450926968,30837.0,798678300.0,2601,19,2603,142,37478.0,LU2101
2020-07-07,LU.INE,2736.062177662887,2745.533162124028,2688.7072553571834,2708.701555886258,26882.0,693017960.0,2572,1,2574,2,37095.0,LU2101
2020-07-08,LU.INE,2709.7538874930515,2726.591193201746,2698.178239818324,2704.4922294590842,13873.0,357507210.0,2570,12,2571,7,37052.0,LU2101
2020-07-09,LU.INE,2713.9632139202254,2718.172540347399,2665.555960007728,2697.1259082115307,14556.0,373652520.0,2560,1,2563,2,36747.0,LU2101
2020-07-10,LU.INE,2702.3875662454975,2709.7538874930515,2609.782384847677,2623.4626957359915,21575.0,544553000.0,2491,113,2493,78,37502.0,LU2101
2020-07-13,LU.INE,2642.404664658273,2690.81191857077,2638.195338231099,2675.026944468869,15256.0,386587040.0,2541,3,2542,10,36363.0,LU2101
2020-07-14,LU.INE,2682.393265716423,2693.96891339115,2615.0440428816437,2650.82331751262,18192.0,458620320.0,2519,1,2520,279,38243.0,LU2101
2020-07-15,LU.INE,2649.770985905827,2671.8699496484883,2637.1430066243056,2651.8756491194135,13821.0,348842040.0,2519,1,2522,4,38565.0,LU2101
2020-07-16,LU.INE,2661.346633580554,2672.922281255282,2633.9860118039255,2641.3523330514795,16460.0,414462800.0,2508,1,2510,4,38007.0,LU2101
2020-07-17,LU.INE,2641.3523330514795,2667.660623221315,2613.9917112748503,2621.3580325224043,19137.0,479764590.0,2490,7,2491,13,38953.0,LU2101
2020-07-20,LU.INE,2615.0440428816437,2649.770985905827,2563.4797941487664,2580.317099857461,29044.0,716515480.0,2450,10,2454,1,39974.0,LU2101
2020-07-21,LU.INE,2584.526426284635,2617.148706095231,2563.4797941487664,2617.148706095231,18480.0,455347200.0,2485,28,2487,1,37574.0,LU2101
2020-07-22,LU.INE,2662.3989651873476,2733.9575144493,2647.6663226922396,2660.294301973761,37610.0,959055000.0,2526,10,2528,2,36752.0,LU2101
2020-07-23,LU.INE,2658.189638760174,2723.434198381366,2645.561659478653,2723.434198381366,16297.0,414758650.0,2584,1,2588,4,36810.0,LU2101
2020-07-24,LU.INE,2702.3875662454975,2707.6492242794648,2616.0963744884375,2637.1430066243056,30403.0,769195900.0,2504,9,2506,1,38900.0,LU2101
2020-07-27,LU.INE,2649.770985905827,2652.927980726207,2613.9917112748503,2616.0963744884375,22374.0,560021220.0,2486,8,2487,5,44380.0,LU2101
2020-07-28,LU.INE,2625.567358949578,2641.3523330514795,2590.840415925395,2622.4103641291977,29191.0,725980170.0,2492,18,2494,24,50929.0,LU2101
2020-07-29,LU.INE,2615.0440428816437,2644.5093278718596,2606.6253900272964,2639.2476698378923,18850.0,470496000.0,2508,17,2509,16,54852.0,LU2101
2020-07-30,LU.INE,2642.404664658273,2653.9803123330003,2615.0440428816437,2625.567358949578,17204.0,431132240.0,2490,22,2494,1,56772.0,LU2101
2020-07-31,LU.INE,2620.305700915611,2620.305700915611,2514.0202086294757,2557.1658045080057,61131.0,1486705920.0,2430,15,2435,40,69468.0,LU2101
2020-08-03,LU.INE,2558.218136114799,2561.3751309351796,2525.595856304203,2530.8575143381704,27686.0,668063180.0,2405,75,2408,4,71978.0,LU2101
2020-08-04,LU.INE,2536.1191723721377,2584.526426284635,2536.1191723721377,2558.218136114799,22390.0,544524800.0,2431,4,2432,8,73181.0,LU2101
2020-08-05,LU.INE,2546.6424884400717,2599.259068779743,2537.171503978931,2590.840415925395,29183.0,712940690.0,2458,5,2463,16,70883.0,LU2101
2020-08-06,LU.INE,2618.201037702024,2661.346633580554,2578.2124366438743,2601.3637319933296,47177.0,1172820220.0,2471,11,2472,31,66133.0,LU2101
2020-08-07,LU.INE,2609.782384847677,2617.148706095231,2578.2124366438743,2580.317099857461,23361.0,576783090.0,2452,108,2457,1,66350.0,LU2101
2020-08-10,LU.INE,2578.2124366438743,2609.782384847677,2569.793783789527,2607.67772163409,22114.0,544225540.0,2473,6,2478,7,66941.0,LU2101
2020-08-11,LU.INE,2605.573058420503,2623.4626957359915,2557.1658045080057,2570.8461153963203,30775.0,759219250.0,2443,54,2445,65,68826.0,LU2101
2020-08-12,LU.INE,2585.5787578914283,2624.515027342785,2543.4854936196916,2622.4103641291977,45873.0,1126182150.0,2485,26,2490,8,67059.0,LU2101
2020-08-13,LU.INE,2630.829016983545,2641.3523330514795,2588.7357527118083,2589.7880843186017,24148.0,598870400.0,2460,40,2465,25,65644.0,LU2101
2020-08-14,LU.INE,2593.9974107457756,2607.67772163409,2566.636788969147,2578.2124366438743,27603.0,679033800.0,2445,25,2450,11,66777.0,LU2101
2020-08-17,LU.INE,2572.950778609907,2588.7357527118083,2569.793783789527,2578.2124366438743,18914.0,463771280.0,2449,9,2450,5,67487.0,LU2101
2020-08-18,LU.INE,2572.950778609907,2617.148706095231,2567.6891205759403,2584.526426284635,28713.0,707488320.0,2456,28,2457,1,68463.0,LU2101
2020-08-19,LU.INE,2592.9450791389822,2604.5207268137096,2580.317099857461,2588.7357527118083,23825.0,586809750.0,2465,1,2470,55,66697.0,LU2101
2020-08-20,LU.INE,2578.2124366438743,2631.881348590339,2578.2124366438743,2620.305700915611,43268.0,1070017640.0,2490,46,2491,15,68225.0,LU2101
2020-08-21,LU.INE,2624.515027342785,2673.9746128620754,2585.5787578914283,2626.6196905563716,61106.0,1528261060.0,2493,14,2495,1,72124.0,LU2101
2020-08-24,LU.INE,2620.305700915611,2631.881348590339,2582.4217630710477,2592.9450791389822,52035.0,1287345900.0,2461,45,2464,11,75509.0,LU2101
2020-08-25,LU.INE,2597.1544055661557,2629.7766853767516,2597.1544055661557,2626.6196905563716,36139.0,896969980.0,2495,2,2496,11,72956.0,LU2101
2020-08-26,LU.INE,2636.0906750175122,2698.178239818324,2631.881348590339,2664.5036284009348,46750.0,1185112500.0,2531,11,2532,3,74683.0,LU2101
2020-08-27,LU.INE,2667.660623221315,2670.817618041695,2633.9860118039255,2643.456996265066,24264.0,610482240.0,2512,10,2513,18,76132.0,LU2101
2020-08-28,LU.INE,2643.456996265066,2644.5093278718596,2599.259068779743,2604.5207268137096,35575.0,884038750.0,2476,5,2479,3,81171.0,LU2101
2020-08-31,LU.INE,2606.6253900272964,2637.1430066243056,2604.5207268137096,2621.3580325224043,32477.0,808677300.0,2490,125,2491,12,79249.0,LU2101
2020-09-01,LU.INE,2625.567358949578,2628.7243537699583,2589.7880843186017,2606.6253900272964,28306.0,701139620.0,2477,90,2478,12,82970.0,LU2101
2020-09-02,LU.INE,2603.4683952069163,2641.3523330514795,2600.311400386536,2613.9917112748503,40039.0,996971100.0,2481,19,2484,43,82980.0,LU2101
2020-09-03,LU.INE,2615.0440428816437,2619.2533693088176,2522.438861483823,2526.648187910997,68673.0,1671500820.0,2400,18,2401,17,97450.0,LU2101
2020-09-04,LU.INE,2515.072540236269,2515.072540236269,2439.304664547143,2476.1362707849125,75683.0,1784605140.0,2352,25,2354,48,103697.0,LU2101
2020-09-07,LU.INE,2471.926944357739,2494.025908100401,2400.3683950957866,2412.996374377308,76611.0,1779673530.0,2289,47,2293,27,112806.0,LU2101
2020-09-08,LU.INE,2409.8393795569273,2436.1476697267626,2398.2637318822,2407.7347163433406,37137.0,853408260.0,2287,28,2289,7,113454.0,LU2101
2020-09-09,LU.INE,2378.2694313531247,2378.2694313531247,2273.036270673783,2291.9782395960647,86385.0,1891831500.0,2177,59,2178,55,110055.0,LU2101
2020-09-10,LU.INE,2315.12953494552,2355.11813600367,2307.763213697966,2334.0715038678013,45564.0,1010609520.0,2217,157,2219,220,108620.0,LU2101
2020-09-11,LU.INE,2327.7575142270407,2347.751814756116,2309.8678769115527,2315.12953494552,34671.0,765882390.0,2201,1,2205,2,110582.0,LU2101
2020-09-14,LU.INE,2309.8678769115527,2383.531089387092,2297.2398976300315,2356.170467610463,52287.0,1167568710.0,2236,9,2239,11,108376.0,LU2101
2020-09-15,LU.INE,2350.908809576496,2362.4844572512234,2334.0715038678013,2340.385493508562,34330.0,765902300.0,2223,30,2224,58,110454.0,LU2101
2020-09-16,LU.INE,2345.6471515425287,2389.8450790278525,2339.3331619017686,2378.2694313531247,49912.0,1121522640.0,2253,25,2260,633,110893.0,LU2101
2020-09-17,LU.INE,2376.164768139538,2387.740415814266,2325.652851013454,2338.2808302949747,44343.0,994170060.0,2221,2,2223,1,113488.0,LU2101
2020-09-18,LU.INE,2336.176167081388,2448.775649008284,2336.176167081388,2441.40932776073,83445.0,1904214900.0,2316,1,2319,11,105264.0,LU2101
2020-09-21,LU.INE,2425.6243536588286,2465.6129547169785,2406.682384736547,2412.996374377308,59087.0,1369636660.0,2296,39,2297,2,110313.0,LU2101
2020-09-22,LU.INE,2406.682384736547,2418.2580324112746,2286.7165815620974,2346.699483149322,86626.0,1933492320.0,2225,38,2230,17,106946.0,LU2101
