time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2020-06-23,LU2101,2611,2679,2602,2649,144505.0,3829382500.0,2649,3,2650,2,33377.0,2650,2599.0,1.0
2020-06-24,LU2101,2660,2672,2588,2603,79323.0,2084608440.0,2603,4,2605,40,34207.0,2628,2649.0,1.0
2020-06-29,LU2101,2577,2577,2486,2514,63816.0,1606886880.0,2514,27,2515,1,42496.0,2518,2603.0,1.0
2020-06-30,LU2101,2540,2568,2522,2534,42512.0,1080655040.0,2534,23,2535,194,40329.0,2542,2514.0,1.0
2020-07-01,LU2101,2526,2568,2516,2553,28865.0,733748300.0,2553,10,2554,1,39329.0,2542,2534.0,1.0
2020-07-02,LU2101,2526,2575,2526,2553,39078.0,996879780.0,2553,12,2554,1,41683.0,2551,2553.0,1.0
2020-07-03,LU2101,2560,2613,2560,2589,43286.0,1119808820.0,2588,1,2589,29,39595.0,2587,2553.0,1.0
2020-07-06,LU2101,2576,2612,2565,2601,30837.0,798678300.0,2601,19,2603,142,37478.0,2590,2589.0,1.0
2020-07-07,LU2101,2600,2609,2555,2574,26882.0,693017960.0,2572,1,2574,2,37095.0,2578,2601.0,1.0
2020-07-08,LU2101,2575,2591,2564,2570,13873.0,357507210.0,2570,12,2571,7,37052.0,2577,2574.0,1.0
2020-07-09,LU2101,2579,2583,2533,2563,14556.0,373652520.0,2560,1,2563,2,36747.0,2567,2570.0,1.0
2020-07-10,LU2101,2568,2575,2480,2493,21575.0,544553000.0,2491,113,2493,78,37502.0,2524,2563.0,1.0
2020-07-13,LU2101,2511,2557,2507,2542,15256.0,386587040.0,2541,3,2542,10,36363.0,2534,2493.0,1.0
2020-07-14,LU2101,2549,2560,2485,2519,18192.0,458620320.0,2519,1,2520,279,38243.0,2521,2542.0,1.0
2020-07-15,LU2101,2518,2539,2506,2520,13821.0,348842040.0,2519,1,2522,4,38565.0,2524,2519.0,1.0
2020-07-16,LU2101,2529,2540,2503,2510,16460.0,414462800.0,2508,1,2510,4,38007.0,2518,2520.0,1.0
2020-07-17,LU2101,2510,2535,2484,2491,19137.0,479764590.0,2490,7,2491,13,38953.0,2507,2510.0,1.0
2020-07-20,LU2101,2485,2518,2436,2452,29044.0,716515480.0,2450,10,2454,1,39974.0,2467,2491.0,1.0
2020-07-21,LU2101,2456,2487,2436,2487,18480.0,455347200.0,2485,28,2487,1,37574.0,2464,2452.0,1.0
2020-07-22,LU2101,2530,2598,2516,2528,37610.0,959055000.0,2526,10,2528,2,36752.0,2550,2487.0,1.0
2020-07-23,LU2101,2526,2588,2514,2588,16297.0,414758650.0,2584,1,2588,4,36810.0,2545,2528.0,1.0
2020-07-24,LU2101,2568,2573,2486,2506,30403.0,769195900.0,2504,9,2506,1,38900.0,2530,2588.0,1.0
2020-07-27,LU2101,2518,2521,2484,2486,22374.0,560021220.0,2486,8,2487,5,44380.0,2503,2506.0,1.0
2020-07-28,LU2101,2495,2510,2462,2492,29191.0,725980170.0,2492,18,2494,24,50929.0,2487,2486.0,1.0
2020-07-29,LU2101,2485,2513,2477,2508,18850.0,470496000.0,2508,17,2509,16,54852.0,2496,2492.0,1.0
2020-07-30,LU2101,2511,2522,2485,2495,17204.0,431132240.0,2490,22,2494,1,56772.0,2506,2508.0,1.0
2020-07-31,LU2101,2490,2490,2389,2430,61131.0,1486705920.0,2430,15,2435,40,69468.0,2432,2495.0,1.0
2020-08-03,LU2101,2431,2434,2400,2405,27686.0,668063180.0,2405,75,2408,4,71978.0,2413,2430.0,1.0
2020-08-04,LU2101,2410,2456,2410,2431,22390.0,544524800.0,2431,4,2432,8,73181.0,2432,2405.0,1.0
2020-08-05,LU2101,2420,2470,2411,2462,29183.0,712940690.0,2458,5,2463,16,70883.0,2443,2431.0,1.0
2020-08-06,LU2101,2488,2529,2450,2472,47177.0,1172820220.0,2471,11,2472,31,66133.0,2486,2462.0,1.0
2020-08-07,LU2101,2480,2487,2450,2452,23361.0,576783090.0,2452,108,2457,1,66350.0,2469,2472.0,1.0
2020-08-10,LU2101,2450,2480,2442,2478,22114.0,544225540.0,2473,6,2478,7,66941.0,2461,2452.0,1.0
2020-08-11,LU2101,2476,2493,2430,2443,30775.0,759219250.0,2443,54,2445,65,68826.0,2467,2478.0,1.0
2020-08-12,LU2101,2457,2494,2417,2492,45873.0,1126182150.0,2485,26,2490,8,67059.0,2455,2443.0,1.0
2020-08-13,LU2101,2500,2510,2460,2461,24148.0,598870400.0,2460,40,2465,25,65644.0,2480,2492.0,1.0
2020-08-14,LU2101,2465,2478,2439,2450,27603.0,679033800.0,2445,25,2450,11,66777.0,2460,2461.0,1.0
2020-08-17,LU2101,2445,2460,2442,2450,18914.0,463771280.0,2449,9,2450,5,67487.0,2452,2450.0,1.0
2020-08-18,LU2101,2445,2487,2440,2456,28713.0,707488320.0,2456,28,2457,1,68463.0,2464,2450.0,1.0
2020-08-19,LU2101,2464,2475,2452,2460,23825.0,586809750.0,2465,1,2470,55,66697.0,2463,2456.0,1.0
2020-08-20,LU2101,2450,2501,2450,2490,43268.0,1070017640.0,2490,46,2491,15,68225.0,2473,2460.0,1.0
2020-08-21,LU2101,2494,2541,2457,2496,61106.0,1528261060.0,2493,14,2495,1,72124.0,2501,2490.0,1.0
2020-08-24,LU2101,2490,2501,2454,2464,52035.0,1287345900.0,2461,45,2464,11,75509.0,2474,2496.0,1.0
2020-08-25,LU2101,2468,2499,2468,2496,36139.0,896969980.0,2495,2,2496,11,72956.0,2482,2464.0,1.0
2020-08-26,LU2101,2505,2564,2501,2532,46750.0,1185112500.0,2531,11,2532,3,74683.0,2535,2496.0,1.0
2020-08-27,LU2101,2535,2538,2503,2512,24264.0,610482240.0,2512,10,2513,18,76132.0,2516,2532.0,1.0
2020-08-28,LU2101,2512,2513,2470,2475,35575.0,884038750.0,2476,5,2479,3,81171.0,2485,2512.0,1.0
2020-08-31,LU2101,2477,2506,2475,2491,32477.0,808677300.0,2490,125,2491,12,79249.0,2490,2475.0,1.0
2020-09-01,LU2101,2495,2498,2461,2477,28306.0,701139620.0,2477,90,2478,12,82970.0,2477,2491.0,1.0
2020-09-02,LU2101,2474,2510,2471,2484,40039.0,996971100.0,2481,19,2484,43,82980.0,2490,2477.0,1.0
2020-09-03,LU2101,2485,2489,2397,2401,68673.0,1671500820.0,2400,18,2401,17,97450.0,2434,2484.0,1.0
2020-09-04,LU2101,2390,2390,2318,2353,75683.0,1784605140.0,2352,25,2354,48,103697.0,2358,2401.0,1.0
2020-09-07,LU2101,2349,2370,2281,2293,76611.0,1779673530.0,2289,47,2293,27,112806.0,2323,2353.0,1.0
2020-09-08,LU2101,2290,2315,2279,2288,37137.0,853408260.0,2287,28,2289,7,113454.0,2298,2293.0,1.0
2020-09-09,LU2101,2260,2260,2160,2178,86385.0,1891831500.0,2177,59,2178,55,110055.0,2190,2288.0,1.0
2020-09-10,LU2101,2200,2238,2193,2218,45564.0,1010609520.0,2217,157,2219,220,108620.0,2218,2178.0,1.0
2020-09-11,LU2101,2212,2231,2195,2200,34671.0,765882390.0,2201,1,2205,2,110582.0,2209,2218.0,1.0
2020-09-14,LU2101,2195,2265,2183,2239,52287.0,1167568710.0,2236,9,2239,11,108376.0,2233,2200.0,1.0
2020-09-15,LU2101,2234,2245,2218,2224,34330.0,765902300.0,2223,30,2224,58,110454.0,2231,2239.0,1.0
2020-09-16,LU2101,2229,2271,2223,2260,49912.0,1121522640.0,2253,25,2260,633,110893.0,2247,2224.0,1.0
2020-09-17,LU2101,2258,2269,2210,2222,44343.0,994170060.0,2221,2,2223,1,113488.0,2242,2260.0,1.0
2020-09-18,LU2101,2220,2327,2220,2320,83445.0,1904214900.0,2316,1,2319,11,105264.0,2282,2222.0,1.0
2020-09-21,LU2101,2305,2343,2287,2293,59087.0,1369636660.0,2296,39,2297,2,110313.0,2318,2320.0,1.0
2020-09-22,LU2101,2287,2298,2173,2230,86626.0,1933492320.0,2225,38,2230,17,106946.0,2232,2293.0,1.0
2020-09-23,LU2101,2235,2251,2209,2229,45516.0,1013641320.0,2224,1,2230,134,103366.0,2227,2230.0,1.0
2020-09-24,LU2101,2235,2267,2222,2227,54097.0,1210690860.0,2227,269,2229,5,94050.0,2238,2229.0,1.0
2020-09-25,LU2101,2225,2274,2220,2241,45352.0,1018152400.0,2241,2,2243,1,85514.0,2245,2227.0,1.0
2020-09-28,LU2101,2238,2260,2230,2260,33620.0,754096600.0,2254,1,2260,41,75433.0,2243,2241.0,1.0
2020-09-29,LU2101,2275,2295,2250,2270,26564.0,603268440.0,2266,1,2273,2,72393.0,2271,2260.0,1.0
2020-09-30,LU2101,2276,2279,2192,2204,38002.0,845544500.0,2204,38,2205,35,75224.0,2225,2270.0,1.0
2020-10-09,LU2101,2300,2368,2262,2314,28832.0,663712640.0,2312,2,2317,4,70396.0,2302,2204.0,1.0
2020-10-12,LU2101,2316,2335,2293,2327,42104.0,974707600.0,2322,5,2327,10,74838.0,2315,2314.0,1.0
2020-10-13,LU2101,2341,2347,2294,2312,31602.0,731586300.0,2310,55,2314,31,78396.0,2315,2327.0,1.0
