time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,M0605,2394,2412,2387,2388,156344.0,3756946320.0,0,0,0,0,146190.0,2403,2322.0,1.0
2006-02-07,M0605,2360,2387,2345,2369,140892.0,3333504720.0,0,0,0,0,142368.0,2366,2388.0,1.0
2006-02-08,M0605,2320,2320,2272,2272,119401.0,2730700870.0,0,0,0,0,124942.0,2287,2369.0,1.0
2006-02-09,M0605,2301,2303,2272,2275,70529.0,1611587650.0,0,0,0,0,117311.0,2285,2272.0,1.0
2006-02-10,M0605,2310,2315,2251,2290,84493.0,1927285330.0,0,0,0,0,111022.0,2281,2275.0,1.0
2006-02-13,M0605,2300,2300,2270,2286,73312.0,1672979840.0,0,0,0,0,105275.0,2282,2290.0,1.0
2006-02-14,M0605,2288,2295,2284,2291,25633.0,586739370.0,0,0,0,0,99585.0,2289,2286.0,1.0
2006-02-15,M0605,2290,2294,2281,2289,17346.0,396703020.0,0,0,0,0,97048.0,2287,2291.0,1.0
2006-02-16,M0605,2294,2294,2275,2286,19293.0,440845050.0,0,0,0,0,93377.0,2285,2289.0,1.0
2006-02-17,M0605,2294,2335,2290,2328,48124.0,1114551840.0,0,0,0,0,86435.0,2316,2286.0,1.0
2006-02-20,M0609,2440,2446,2409,2415,242299.0,5863635800.0,0,0,0,0,105550.0,2420,2420.0,0.9619834710743802
2006-02-21,M0609,2416,2426,2383,2387,270737.0,6497688000.0,0,0,0,0,101840.0,2400,2415.0,0.9619834710743802
2006-02-22,M0609,2370,2383,2359,2380,161201.0,3822075710.0,0,0,0,0,98434.0,2371,2387.0,0.9619834710743802
2006-02-23,M0609,2336,2351,2327,2338,169693.0,3970816200.0,0,0,0,0,101333.0,2340,2380.0,0.9619834710743802
2006-02-24,M0609,2349,2372,2344,2364,192055.0,4532498000.0,0,0,0,0,105882.0,2360,2338.0,0.9619834710743802
2006-02-27,M0609,2332,2344,2318,2319,162030.0,3772058400.0,0,0,0,0,114178.0,2328,2364.0,0.9619834710743802
2006-02-28,M0609,2340,2347,2332,2335,102043.0,2385765340.0,0,0,0,0,108315.0,2338,2319.0,0.9619834710743802
2006-03-01,M0609,2340,2351,2333,2334,124914.0,2924236740.0,0,0,0,0,107195.0,2341,2335.0,0.9619834710743802
