time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2011-10-31,MA.CZC,3819.18022410749,3894.6869759871665,3787.516102351497,3816.744522433952,17464.0,2745340800.0,3134,10,3135,3,1823.0,ME1203
2011-11-01,MA.CZC,3824.051627454566,3841.1015391693318,3805.7838649030314,3813.0909699236454,6677.0,1047287450.0,3131,18,3132,29,1526.0,ME1203
2011-11-02,MA.CZC,3789.951804025035,3809.4374174133386,3769.2483397999627,3803.348163229494,3856.0,600379200.0,3123,1,3124,2,1741.0,ME1203
2011-11-03,MA.CZC,3799.6946107191866,3802.1303123927246,3783.8625498411902,3792.387505698573,1654.0,257775900.0,3114,33,3115,15,1503.0,ME1203
2011-11-04,MA.CZC,3807.0017157398006,3830.140881638411,3802.1303123927246,3822.833776617797,2928.0,458524800.0,3139,3,3143,6,1363.0,ME1203
2011-11-07,MA.CZC,3822.833776617797,3826.487329128104,3800.912461555956,3807.0017157398006,874.0,136781000.0,3124,10,3126,1,1320.0,ME1203
2011-11-08,MA.CZC,3811.8731190868766,3816.744522433952,3792.387505698573,3797.2589090456486,824.0,128667600.0,3117,5,3120,5,1387.0,ME1203
2011-11-09,MA.CZC,3805.7838649030314,3809.4374174133386,3663.295317001062,3676.6916762055207,11194.0,1702607400.0,3019,1,3020,7,3405.0,ME1203
2011-11-10,MA.CZC,3623.106239387686,3623.106239387686,3556.124443365393,3556.124443365393,6428.0,943951800.0,0,0,2920,194,4093.0,ME1203
2011-11-11,MA.CZC,3568.3029517330824,3662.077466164293,3531.7674266300132,3624.324090224455,11827.0,1754535450.0,2976,2,2977,24,2380.0,ME1203
2011-11-14,MA.CZC,3654.770361143679,3664.513167837831,3556.124443365393,3570.7386534066204,16565.0,2443337500.0,2931,4,2932,6,4805.0,ME1203
2011-11-15,MA.CZC,3531.7674266300132,3591.442117631693,3519.5889182623237,3569.520802569851,11698.0,1711417400.0,2930,1,2931,7,4392.0,ME1203
