time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2011-10-31,ME1203,3136,3198,3110,3134,17464.0,2745340800.0,3134,10,3135,3,1823.0,3144,3139.0,1.0
2011-11-01,ME1203,3140,3154,3125,3131,6677.0,1047287450.0,3131,18,3132,29,1526.0,3137,3134.0,1.0
2011-11-02,ME1203,3112,3128,3095,3123,3856.0,600379200.0,3123,1,3124,2,1741.0,3114,3131.0,1.0
2011-11-03,ME1203,3120,3122,3107,3114,1654.0,257775900.0,3114,33,3115,15,1503.0,3117,3123.0,1.0
2011-11-04,ME1203,3126,3145,3122,3139,2928.0,458524800.0,3139,3,3143,6,1363.0,3132,3114.0,1.0
2011-11-07,ME1203,3139,3142,3121,3126,874.0,136781000.0,3124,10,3126,1,1320.0,3130,3139.0,1.0
2011-11-08,ME1203,3130,3134,3114,3118,824.0,128667600.0,3117,5,3120,5,1387.0,3123,3126.0,1.0
2011-11-09,ME1203,3125,3128,3008,3019,11194.0,1702607400.0,3019,1,3020,7,3405.0,3042,3118.0,1.0
2011-11-10,ME1203,2975,2975,2920,2920,6428.0,943951800.0,0,0,2920,194,4093.0,2937,3019.0,1.0
2011-11-11,ME1203,2930,3007,2900,2976,11827.0,1754535450.0,2976,2,2977,24,2380.0,2967,2920.0,1.0
2011-11-14,ME1203,3001,3009,2920,2932,16565.0,2443337500.0,2931,4,2932,6,4805.0,2950,2976.0,1.0
2011-11-15,ME1203,2900,2949,2890,2931,11698.0,1711417400.0,2930,1,2931,7,4392.0,2926,2932.0,1.0
2011-11-16,ME1203,2939,2944,2903,2903,5863.0,855998000.0,2903,9,2904,1,4263.0,2920,2931.0,1.0
2011-11-17,ME1203,2912,2912,2855,2871,16362.0,2352855600.0,2871,2,2872,5,5537.0,2876,2903.0,1.0
2011-11-18,ME1203,2831,2877,2831,2869,6489.0,927927000.0,2869,3,2870,233,4366.0,2860,2871.0,1.0
2011-11-21,ME1203,2852,2879,2852,2860,4744.0,680289600.0,2860,7,2861,74,4585.0,2868,2869.0,1.0
2011-11-22,ME1203,2850,2859,2833,2839,4080.0,580176000.0,2838,2,2839,3,4534.0,2844,2860.0,1.0
2011-11-23,ME1203,2841,2850,2801,2809,3879.0,549460350.0,2808,2,2809,6,4899.0,2833,2839.0,1.0
2011-11-24,ME1203,2798,2810,2769,2784,5572.0,776458200.0,2784,14,2785,5,5086.0,2787,2809.0,1.0
2011-11-25,ME1203,2776,2795,2753,2755,5332.0,739015200.0,2755,16,2756,15,5635.0,2772,2784.0,1.0
2011-11-28,ME1203,2757,2776,2721,2743,14311.0,1964184750.0,2743,29,2744,3,6819.0,2745,2755.0,1.0
2011-11-29,ME1203,2744,2766,2722,2754,17553.0,2411782200.0,2753,17,2755,34,6916.0,2748,2743.0,1.0
2011-11-30,ME1203,2758,2788,2751,2758,17175.0,2377878750.0,2757,1,2758,38,5846.0,2769,2754.0,1.0
2011-12-01,ME1203,2821,2850,2782,2793,9777.0,1369757700.0,2792,2,2793,17,5284.0,2802,2758.0,1.0
2011-12-02,ME1203,2788,2799,2762,2784,8257.0,1148961550.0,2784,10,2785,12,5390.0,2783,2793.0,1.0
2011-12-05,ME1203,2786,2804,2784,2798,4866.0,680266800.0,2797,7,2798,4,4762.0,2796,2784.0,1.0
2011-12-06,ME1203,2792,2796,2782,2794,3146.0,438709700.0,2793,23,2794,14,4447.0,2789,2798.0,1.0
2011-12-07,ME1203,2798,2804,2793,2801,1527.0,213703650.0,2800,3,2801,4,4313.0,2799,2794.0,1.0
2011-12-08,ME1203,2796,2796,2779,2789,2221.0,309496350.0,2788,1,2789,2,4177.0,2787,2801.0,1.0
2011-12-09,ME1203,2782,2785,2775,2776,1964.0,272799600.0,2775,38,2777,5,4066.0,2778,2789.0,1.0
2011-12-12,ME1203,2777,2780,2736,2739,3053.0,420550750.0,2739,1,2740,36,4576.0,2755,2776.0,1.0
2011-12-13,ME1203,2728,2735,2713,2714,4313.0,586568000.0,2714,1,2716,4,5051.0,2720,2739.0,1.0
2011-12-14,ME1203,2706,2724,2705,2713,2476.0,336117000.0,2713,4,2714,10,5205.0,2715,2714.0,1.0
2011-12-15,ME1203,2685,2689,2661,2665,4111.0,549846250.0,2664,7,2665,8,5210.0,2675,2713.0,1.0
2011-12-16,ME1203,2670,2696,2668,2692,4285.0,575047000.0,2692,3,2693,1,5070.0,2684,2665.0,1.0
2011-12-19,ME1203,2689,2689,2668,2681,3066.0,410537400.0,2680,10,2681,46,5310.0,2678,2692.0,1.0
2011-12-20,ME1203,2685,2687,2671,2677,2363.0,316405700.0,2677,2,2678,7,5463.0,2678,2681.0,1.0
2011-12-21,ME1203,2690,2703,2685,2686,3813.0,513420450.0,2686,10,2687,7,5308.0,2693,2677.0,1.0
2011-12-22,ME1203,2690,2691,2678,2690,2249.0,301815800.0,2688,2,2690,4,4998.0,2684,2686.0,1.0
2011-12-23,ME1203,2692,2702,2687,2699,2643.0,356408550.0,2698,18,2699,1,4613.0,2697,2690.0,1.0
2011-12-26,ME1203,2701,2707,2668,2668,2458.0,329863600.0,2668,2,2670,3,4549.0,2684,2699.0,1.0
2011-12-27,ME1203,2670,2679,2665,2674,1846.0,246625600.0,2673,27,2674,1,4240.0,2672,2668.0,1.0
2011-12-28,ME1203,2683,2726,2677,2720,5993.0,812950450.0,2719,2,2720,68,4114.0,2713,2674.0,1.0
2011-12-29,ME1203,2708,2718,2701,2710,1573.0,213062850.0,2708,10,2711,6,3811.0,2709,2720.0,1.0
2011-12-30,ME1205,2720,2734,2719,2731,1778.0,242341400.0,2730,11,2731,1,3979.0,2726,2716.0,0.9977908689248896
2012-01-04,ME1205,2755,2758,2738,2738,1380.0,189474000.0,2738,4,2739,2,4064.0,2746,2731.0,0.9977908689248896
2012-01-05,ME1205,2739,2773,2739,2770,2314.0,318753500.0,2770,28,2771,2,4266.0,2755,2738.0,0.9977908689248896
2012-01-06,ME1205,2763,2852,2762,2831,17583.0,2482719600.0,2831,1,2832,18,5266.0,2824,2770.0,0.9977908689248896
2012-01-09,ME1205,2828,2848,2821,2838,5841.0,828545850.0,2837,5,2838,2,5534.0,2837,2831.0,0.9977908689248896
2012-01-10,ME1205,2836,2858,2814,2835,8409.0,1191134850.0,2834,6,2835,3,5172.0,2833,2838.0,0.9977908689248896
2012-01-11,ME1205,2823,2855,2823,2847,9455.0,1344973750.0,2845,7,2848,104,6369.0,2845,2835.0,0.9977908689248896
2012-01-12,ME1205,2845,2863,2826,2841,6107.0,867804700.0,2840,38,2843,95,6509.0,2842,2847.0,0.9977908689248896
2012-01-13,ME1205,2832,2848,2822,2825,4949.0,700778400.0,2825,30,2826,13,5488.0,2832,2841.0,0.9977908689248896
2012-01-16,ME1205,2815,2843,2811,2836,3305.0,467327000.0,2836,2,2837,5,5087.0,2828,2825.0,0.9977908689248896
2012-01-17,ME1205,2838,2881,2836,2867,5374.0,767944600.0,2867,2,2868,9,4939.0,2858,2836.0,0.9977908689248896
2012-01-18,ME1205,2866,2895,2866,2877,4649.0,669223550.0,2877,15,2879,9,4622.0,2879,2867.0,0.9977908689248896
2012-01-19,ME1205,2887,2945,2880,2945,8050.0,1175300000.0,2943,9,2945,39,4112.0,2920,2877.0,0.9977908689248896
2012-01-20,ME1205,2948,2965,2933,2964,3352.0,494420000.0,2963,1,2964,1,3635.0,2950,2945.0,0.9977908689248896
